Ticker,Name,Website,DNBExchange,DNBTicker,NaicsSector,NaicsIndustry,KeyPrincipal
A,"Agilent Technologies (Shanghai) Co., Ltd.",www.agilent.com,,,Computer and Electronic Product Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",
AA,Alcoa Corporation,www.alcoa.com,NYSE,AA,Primary Metal Manufacturing,Alumina and Aluminum Production and Processing,
AAL,American Airlines Group Inc.,www.aa.com,NASDAQ,AAL,Transportation and Warehousing,Support Activities for Air Transportation,
AAON,"Aaon, Inc.'",www.aaon.com,NASDAQ,AAON,Machinery Manufacturing,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",
AAP,"Advance Auto Parts, Inc.",corp.advanceautoparts.com,NYSE,AAP,Retail Trade,"Automotive Parts, Accessories, and Tire Retailers",
AAPL,Apple Inc.,www.apple.com,NASDAQ,AAPL,Information,Software Publishers,
AB,Alliancebernstein L.P.,www.alliancebernstein.com,,,Finance and Insurance,Other Financial Investment Activities,
ABBV,Abbvie Inc.,www.abbvie.com,NYSE,ABBV,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing,
ABC,Amerisourcebergen Corporation,www.amerisourcebergen.com,NYSE,ABC,Wholesale Trade,Professional and Commercial Equipment and Supplies Merchant Wholesalers,
ABCB,Ameris Bancorp,banks.amerisbank.com,,,Finance and Insurance,Activities Related to Credit Intermediation,
ABCL,AbCellera Biologics Inc,www.abcellera.com,NASDAQ,ABCL,"Professional, Scientific, and Technical Services",Scientific Research and Development Services,
ABCM,ABCAM PLC,www.abcam.com,OTC,ABCZF,"Professional, Scientific, and Technical Services",Scientific Research and Development Services,
ABEV,AMBEV S/A,http://www.ambev.com.br/investidores,San Paulo,ABEV3,Beverage and Tobacco Product Manufacturing,Beverage Manufacturing,
ABG,"Asbury Automotive Group, Inc.",www.asburyauto.com,NYSE,ABG,Retail Trade,Automobile Dealers,
ABM,ABM Industries Incorporated,www.abm.com,NYSE,ABM,"Professional, Scientific, and Technical Services","Architectural, Engineering, and Related Services",
ABNB,"Airbnb, Inc.",www.airbnb.com,NASDAQ,ABNB,Administrative and Support and Waste Management and Remediation Services,Travel Arrangement and Reservation Services,
ABR,"Arbor Realty Trust, Inc.",www.arbor.com,NYSE,ABR,Finance and Insurance,Other Investment Pools and Funds,
ABT,Abbott Laboratories,www.abbott.com,NYSE,ABT,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing,
ACA,"Arcosa, Inc.",www.arcosa.com,NYSE,ACA,Nonmetallic Mineral Product Manufacturing,Cement and Concrete Product Manufacturing,
ACAD,Acadia Pharmaceuticals Inc.,www.acadia.com,NASDAQ,ACAD,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing,
ACGL,Arch Capital Group Ltd.,www.archgroup.com,NASDAQ,ACGL,Finance and Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",
ACHC,Acadia Healthcare Co,www.acadiahealthcare.com,,,Health Care and Social Assistance,Outpatient Care Centers,
ACI,"Albertsons Companies, Inc.",www.albertsonscompanies.com,NYSE,ACI,Retail Trade,Health and Personal Care Retailers,
ACIW,"Aci Worldwide, Inc.",www.aciworldwide.com,NASDAQ,ACIW,Wholesale Trade,Professional and Commercial Equipment and Supplies Merchant Wholesalers,
ACLS,"Axcelis Technologies, Inc.",www.axcelis.com,NASDAQ,ACLS,Computer and Electronic Product Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",
ACM,Aecom,www.aecom.com,NYSE,ACM,"Professional, Scientific, and Technical Services","Architectural, Engineering, and Related Services",
ACN,ACCENTURE LIMITED,www.accenture.com,,,"Professional, Scientific, and Technical Services","Architectural, Engineering, and Related Services",
ACT,"Enact Holdings, Inc.",www.enactmi.com,NASDAQ,ACT,Finance and Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",
ACVA,Acv Auctions Inc.,www.acvauctions.com,NASDAQ,ACVA,Administrative and Support and Waste Management and Remediation Services,Business Support Services,
ADBE,Adobe Inc.,www.adobe.com,NASDAQ,ADBE,Information,Software Publishers,
ADC,Agree Realty Corporation,www.agreerealty.com,NYSE,ADC,Real Estate and Rental and Leasing,Lessors of Real Estate,
ADI,ANALOG DEVICES INTERNATIONAL UNLIMITED COMPANY,www.analog.com,,,"Electrical Equipment, Appliance, and Component Manufacturing",Other Electrical Equipment and Component Manufacturing,
ADM,Archer-Daniels-Midland Company,www.adm.com,NYSE,ADM,Food Manufacturing,Grain and Oilseed Milling,
ADNT,ADIENT PUBLIC LIMITED COMPANY,www.adient.com,NYSE,ADNT,Administrative and Support and Waste Management and Remediation Services,Business Support Services,
ADP,"Automatic Data Processing, Inc.",www.adp.com,NASDAQ,ADP,Information,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",
