MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/10/2023 00:00:00,Theilmann Michael T,4,A-Award,--D,128,21726,6,0001329101,Dividend Equivalent Units
A,05/10/2023 00:00:00,Theilmann Michael T,4,A-Award,--D,197,33498,5,0001329101,Dividend Equivalent Units
A,05/10/2023 00:00:00,Theilmann Michael T,4,A-Award,--D,270,45904,4,0001329101,Dividend Equivalent Units
A,05/10/2023 00:00:00,Theilmann Michael T,4,A-Award,--D,320,55008,3,0001329101,Dividend Equivalent Units
A,05/10/2023 00:00:00,Theilmann Michael T,4,A-Award,--D,172,29488,2,0001329101,Dividend Equivalent Units
A,05/10/2023 00:00:00,Theilmann Michael T,4,A-Award,--D,136,23309,1,0001329101,Dividend Equivalent Units
A,05/10/2023 00:00:00,Sankaran Vivek,4,A-Award,--D,639,108632,3,0001671619,Dividend Equivalent Units
A,05/10/2023 00:00:00,Sankaran Vivek,4,A-Award,--D,1602,275040,2,0001671619,Dividend Equivalent Units
A,05/10/2023 00:00:00,Sankaran Vivek,4,A-Award,--D,859,147439,1,0001671619,Dividend Equivalent Units
A,05/10/2023 00:00:00,Saenz Jennifer,4,A-Award,--D,134,22870,4,0001878094,Dividend Equivalent Units
A,05/10/2023 00:00:00,Saenz Jennifer,4,A-Award,--D,359,61557,3,0001878094,Dividend Equivalent Units
A,05/10/2023 00:00:00,Saenz Jennifer,4,A-Award,--D,181,31042,2,0001878094,Dividend Equivalent Units
A,05/10/2023 00:00:00,Saenz Jennifer,4,A-Award,--D,801,137466,1,0001878094,Dividend Equivalent Units
A,05/10/2023 00:00:00,MORRIS SUSAN,4,A-Award,--D,269,45740,6,0001797812,Dividend Equivalent Units
A,05/10/2023 00:00:00,MORRIS SUSAN,4,A-Award,--D,363,61707,5,0001797812,Dividend Equivalent Units
A,05/10/2023 00:00:00,MORRIS SUSAN,4,A-Award,--D,497,84559,4,0001797812,Dividend Equivalent Units
