MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/14/2023 00:00:00,Addesso Dominic James,4,A-Award,--D,212,33260.972,1,0001463920,Deferred Stock Units
A,06/14/2023 00:00:00,BLESS MICHAEL A,4,A-Award,--D,97,14949.752,1,0001204903,Deferred Stock Units
A,06/14/2023 00:00:00,FISK JOHN D,4,A-Award,--D,121,18671.671,1,0001168481,Deferred Stock Units
A,06/14/2023 00:00:00,Hooda Sheila,4,A-Award,--D,121,18671.671,1,0001691816,Deferred Stock Units
A,06/14/2023 00:00:00,RESTREPO ROBERT P JR,4,A-Award,--D,121,18671.671,1,0001227758,Deferred Stock Units
A,06/14/2023 00:00:00,STILL DEBRA,4,A-Award,--D,121,18671.671,1,0001733953,Deferred Stock Units
A,06/14/2023 00:00:00,THOMPSON WESTLEY V,4,A-Award,--D,121,18671.671,1,0001228941,Deferred Stock Units
A,06/14/2023 00:00:00,Waleski Anne G,4,A-Award,--D,121,18671.671,1,0001492023,Deferred Stock Units
A,06/14/2023 00:00:00,Derstine Michael,4,A-Award,--D,52,8270,3,0001858567,Restricted Stock Units
A,06/14/2023 00:00:00,Derstine Michael,4,A-Award,--D,34,5412,2,0001858567,Restricted Stock Units
A,06/14/2023 00:00:00,Derstine Michael,4,A-Award,--D,151,24017,1,0001858567,Restricted Stock Units
A,06/14/2023 00:00:00,Gould Brian,4,A-Award,--D,46,7237,3,0001858568,Restricted Stock Units
A,06/14/2023 00:00:00,Gould Brian,4,A-Award,--D,34,5412,2,0001858568,Restricted Stock Units
A,06/14/2023 00:00:00,Gould Brian,4,A-Award,--D,151,24017,1,0001858568,Restricted Stock Units
A,06/14/2023 00:00:00,Gupta Rohit,4,A-Award,--D,552,87858,3,0001848069,Restricted Stock Units
A,06/14/2023 00:00:00,Gupta Rohit,4,A-Award,--D,418,66616,2,0001848069,Restricted Stock Units
A,06/14/2023 00:00:00,Gupta Rohit,4,A-Award,--D,1205,192105,1,0001848069,Restricted Stock Units
A,06/14/2023 00:00:00,McMullen James,4,A-Award,--D,17,2688,3,0001856018,Restricted Stock Units
A,06/14/2023 00:00:00,McMullen James,4,A-Award,--D,11,1666,2,0001856018,Restricted Stock Units
A,06/14/2023 00:00:00,McMullen James,4,A-Award,--D,19,3005,1,0001856018,Restricted Stock Units
A,06/14/2023 00:00:00,Mitchell Hardin Dean,4,A-Award,--D,124,19640,3,0001859018,Restricted Stock Units
A,06/14/2023 00:00:00,Mitchell Hardin Dean,4,A-Award,--D,89,14158,2,0001859018,Restricted Stock Units
A,06/14/2023 00:00:00,Mitchell Hardin Dean,4,A-Award,--D,302,48031,1,0001859018,Restricted Stock Units
A,06/14/2023 00:00:00,Stolove Evan,4,A-Award,--D,56,8787,3,0001858566,Restricted Stock Units
A,06/14/2023 00:00:00,Stolove Evan,4,A-Award,--D,42,6664,2,0001858566,Restricted Stock Units
A,06/14/2023 00:00:00,Stolove Evan,4,A-Award,--D,151,24017,1,0001858566,Restricted Stock Units
D,05/31/2023 00:00:00,"Genworth Holdings, Inc.",4,S-Sale,--D,772596,131019017,1,0001572983,Common Stock
A,05/12/2023 00:00:00,Waleski Anne G,4,A-Award,--D,6676.682,18550.671,1,0001492023,Deferred Stock Units
A,05/12/2023 00:00:00,THOMPSON WESTLEY V,4,A-Award,--D,6676.682,18550.671,1,0001228941,Deferred Stock Units
A,05/12/2023 00:00:00,STILL DEBRA,4,A-Award,--D,6676.682,18550.671,1,0001733953,Deferred Stock Units
A,05/12/2023 00:00:00,RESTREPO ROBERT P JR,4,A-Award,--D,6676.682,18550.671,1,0001227758,Deferred Stock Units
A,05/12/2023 00:00:00,Hooda Sheila,4,A-Award,--D,6676.682,18550.671,1,0001691816,Deferred Stock Units
A,05/12/2023 00:00:00,FISK JOHN D,4,A-Award,--D,6676.682,18550.671,1,0001168481,Deferred Stock Units
A,05/12/2023 00:00:00,Addesso Dominic James,4,A-Award,--D,11684.193,33048.972,1,0001463920,Deferred Stock Units
A,05/12/2023 00:00:00,BLESS MICHAEL A,4,A-Award,--D,6676.682,14852.752,1,0001204903,Deferred Stock Units
D,04/28/2023 00:00:00,"Genworth Holdings, Inc.",4,S-Sale,--D,285980,131791613,1,0001572983,Common Stock
D,03/16/2023 00:00:00,"Genworth Holdings, Inc.",4,S-Sale,--D,181668,132077593,1,0001572983,Common Stock
A,03/10/2023 00:00:00,Gupta Rohit,4,P-Purchase,--D,5206,65152,1,0001848069,Common Stock
A,03/09/2023 00:00:00,BLESS MICHAEL A,4,A-Award,--D,49,8176.07,1,0001204903,Deferred Stock Units
A,03/09/2023 00:00:00,Addesso Dominic James,4,A-Award,--D,128,21364.779,1,0001463920,Deferred Stock Units
A,03/09/2023 00:00:00,THOMPSON WESTLEY V,4,A-Award,--D,73,11873.989,1,0001228941,Deferred Stock Units
A,03/09/2023 00:00:00,Gupta Rohit,4,A-Award,--D,393,66198,3,0001848069,Restricted Stock Units
A,03/09/2023 00:00:00,Gupta Rohit,4,A-Award,--D,518,87306,2,0001848069,Restricted Stock Units
A,03/09/2023 00:00:00,Gupta Rohit,4,A-Award,--D,1133,190900,1,0001848069,Restricted Stock Units
A,03/09/2023 00:00:00,Waleski Anne G,4,A-Award,--D,73,11873.989,1,0001492023,Deferred Stock Units
A,03/09/2023 00:00:00,Derstine Michael,4,A-Award,--D,142,23866,3,0001858567,Restricted Stock Units
A,03/09/2023 00:00:00,Derstine Michael,4,A-Award,--D,49,8218,2,0001858567,Restricted Stock Units
A,03/09/2023 00:00:00,Derstine Michael,4,A-Award,--D,32,5378,1,0001858567,Restricted Stock Units
A,03/09/2023 00:00:00,McMullen James,4,A-Award,--D,10,1655,3,0001856018,Restricted Stock Units
A,03/09/2023 00:00:00,McMullen James,4,A-Award,--D,16,2671,2,0001856018,Restricted Stock Units
A,03/09/2023 00:00:00,McMullen James,4,A-Award,--D,18,2986,1,0001856018,Restricted Stock Units
A,03/09/2023 00:00:00,FISK JOHN D,4,A-Award,--D,73,11873.989,1,0001168481,Deferred Stock Units
A,03/09/2023 00:00:00,Gould Brian,4,A-Award,--D,32,5378,3,0001858568,Restricted Stock Units
A,03/09/2023 00:00:00,Gould Brian,4,A-Award,--D,43,7191,2,0001858568,Restricted Stock Units
A,03/09/2023 00:00:00,Gould Brian,4,A-Award,--D,142,23866,1,0001858568,Restricted Stock Units
A,03/09/2023 00:00:00,RESTREPO ROBERT P JR,4,A-Award,--D,73,11873.989,1,0001227758,Deferred Stock Units
A,03/09/2023 00:00:00,Stolove Evan,4,A-Award,--D,40,6622,3,0001858566,Restricted Stock Units
A,03/09/2023 00:00:00,Stolove Evan,4,A-Award,--D,52,8731,2,0001858566,Restricted Stock Units
A,03/09/2023 00:00:00,Stolove Evan,4,A-Award,--D,142,23866,1,0001858566,Restricted Stock Units
A,03/09/2023 00:00:00,STILL DEBRA,4,A-Award,--D,73,11873.989,1,0001733953,Deferred Stock Units
A,03/09/2023 00:00:00,Hooda Sheila,4,A-Award,--D,73,11873.989,1,0001691816,Deferred Stock Units
A,03/09/2023 00:00:00,Mitchell Hardin Dean,4,A-Award,--D,84,14069,3,0001859018,Restricted Stock Units
A,03/09/2023 00:00:00,Mitchell Hardin Dean,4,A-Award,--D,116,19516,2,0001859018,Restricted Stock Units
A,03/09/2023 00:00:00,Mitchell Hardin Dean,4,A-Award,--D,284,47729,1,0001859018,Restricted Stock Units
D,02/28/2023 00:00:00,"Genworth Holdings, Inc.",4,S-Sale,--D,359299,132259261,1,0001572983,Common Stock
D,02/11/2023 00:00:00,Derstine Michael,4,M-Exempt,--D,2677,13515,3,0001858567,Restricted Stock Units
D,02/11/2023 00:00:00,Derstine Michael,4,F-InKind,--D,924,6693,2,0001858567,Common Stock
A,02/11/2023 00:00:00,Derstine Michael,4,M-Exempt,--D,2677,7617,1,0001858567,Common Stock
D,02/11/2023 00:00:00,McMullen James,4,M-Exempt,--D,825,4300,3,0001856018,Restricted Stock Units
D,02/11/2023 00:00:00,McMullen James,4,F-InKind,--D,285,540,2,0001856018,Common Stock
A,02/11/2023 00:00:00,McMullen James,4,M-Exempt,--D,825,825,1,0001856018,Common Stock
D,02/11/2023 00:00:00,Gould Brian,4,M-Exempt,--D,2677,12494,3,0001858568,Restricted Stock Units
D,02/11/2023 00:00:00,Gould Brian,4,F-InKind,--D,924,7753,2,0001858568,Common Stock
A,02/11/2023 00:00:00,Gould Brian,4,M-Exempt,--D,2677,8677,1,0001858568,Common Stock
D,02/11/2023 00:00:00,Mitchell Hardin Dean,4,M-Exempt,--D,6993,33385,3,0001859018,Restricted Stock Units
D,02/11/2023 00:00:00,Mitchell Hardin Dean,4,F-InKind,--D,2254,24739,2,0001859018,Common Stock
A,02/11/2023 00:00:00,Mitchell Hardin Dean,4,M-Exempt,--D,6993,26993,1,0001859018,Common Stock
D,02/11/2023 00:00:00,Gupta Rohit,4,M-Exempt,--D,32907,152593,3,0001848069,Restricted Stock Units
D,02/11/2023 00:00:00,Gupta Rohit,4,F-InKind,--D,9711,59946,2,0001848069,Common Stock
A,02/11/2023 00:00:00,Gupta Rohit,4,M-Exempt,--D,32907,69657,1,0001848069,Common Stock
D,02/11/2023 00:00:00,Stolove Evan,4,M-Exempt,--D,3292,15261,3,0001858566,Restricted Stock Units
D,02/11/2023 00:00:00,Stolove Evan,4,F-InKind,--D,1136,2156,2,0001858566,Common Stock
A,02/11/2023 00:00:00,Stolove Evan,4,M-Exempt,--D,3292,3292,1,0001858566,Common Stock
A,02/09/2023 00:00:00,Derstine Michael,4,A-Award,--D,8169,16192,1,0001858567,Restricted Stock Units
A,02/09/2023 00:00:00,McMullen James,4,A-Award,--D,2655,5125,1,0001856018,Restricted Stock Units
A,02/09/2023 00:00:00,Gupta Rohit,4,A-Award,--D,86788,185500,1,0001848069,Restricted Stock Units
