MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/14/2023 00:00:00,Gluski Andres,4,M-Exempt,--D,50000,396053,3,0001348876,Stock Option (Right to Buy)
A,06/14/2023 00:00:00,Gluski Andres,4,M-Exempt,--D,50000,1476449,1,0001348876,Common Stock
A,04/20/2023 00:00:00,Shaughnessy Maura,4,A-Award,--D,11521,32451,1,0001873056,Units
A,04/20/2023 00:00:00,Sebastian Teresa Mosley,4,A-Award,--D,7331,23581,1,0001502941,Deferred Units
A,04/20/2023 00:00:00,Naim Moises,4,A-Award,--D,11521,180027,1,0001573692,Units
A,04/20/2023 00:00:00,MORSE JOHN B JR,4,A-Award,--D,12736,339562,1,0001018396,Units
A,04/20/2023 00:00:00,MONIE ALAIN,4,A-Award,--D,7331,93750,1,0001230564,Units
A,04/20/2023 00:00:00,Laulis Julia M.,4,A-Award,--D,11521,56294,1,0001644052,Units
A,04/20/2023 00:00:00,KOEPPEL HOLLY K,4,A-Award,--D,7331,151727,1,0001210399,Units
A,04/20/2023 00:00:00,Khanna Tarun,4,A-Award,--D,9636,255211,1,0001459592,Units
A,04/20/2023 00:00:00,DAVIDSON JANET,4,A-Award,--D,9007,57487,1,0001230523,Units
A,02/24/2023 00:00:00,Rubiolo Juan Ignacio,4,A-Award,--D,26782,118673,3,0001754411,Common Stock
A,02/24/2023 00:00:00,Rubiolo Juan Ignacio,4,A-Award,--D,10594,91891,2,0001754411,Common Stock
A,02/24/2023 00:00:00,Rubiolo Juan Ignacio,4,A-Award,--D,15839,81297,1,0001754411,Common Stock
A,02/24/2023 00:00:00,Kohan Sherry,4,A-Award,--D,3752,48079,4,0001801230,Common Stock
D,02/24/2023 00:00:00,Kohan Sherry,4,F-InKind,--D,366,44327,3,0001801230,Common Stock
D,02/24/2023 00:00:00,Kohan Sherry,4,F-InKind,--D,2330,44693,2,0001801230,Common Stock
A,02/24/2023 00:00:00,Kohan Sherry,4,A-Award,--D,5799,47023,1,0001801230,Common Stock
A,02/24/2023 00:00:00,Freedman Paul L,4,A-Award,--D,9326,72268,4,0001732841,Common Stock
D,02/24/2023 00:00:00,Freedman Paul L,4,F-InKind,--D,1763,62942,3,0001732841,Common Stock
D,02/24/2023 00:00:00,Freedman Paul L,4,F-InKind,--D,7211,64705,2,0001732841,Common Stock
A,02/24/2023 00:00:00,Freedman Paul L,4,A-Award,--D,15956,71916,1,0001732841,Common Stock
A,02/24/2023 00:00:00,Mendoza Tish,4,A-Award,--D,10847,164212,4,0001628839,Common Stock
D,02/24/2023 00:00:00,Mendoza Tish,4,F-InKind,--D,1931,153365,3,0001628839,Common Stock
D,02/24/2023 00:00:00,Mendoza Tish,4,F-InKind,--D,7836,155296,2,0001628839,Common Stock
A,02/24/2023 00:00:00,Mendoza Tish,4,A-Award,--D,18468,163132,1,0001628839,Common Stock
A,02/24/2023 00:00:00,Da Santos Bernerd,4,A-Award,--D,12819,261025,4,0001626763,Common Stock
D,02/24/2023 00:00:00,Da Santos Bernerd,4,F-InKind,--D,2291,248206,3,0001626763,Common Stock
D,02/24/2023 00:00:00,Da Santos Bernerd,4,F-InKind,--D,14637,250497,2,0001626763,Common Stock
A,02/24/2023 00:00:00,Da Santos Bernerd,4,A-Award,--D,32453,265134,1,0001626763,Common Stock
A,02/24/2023 00:00:00,Coughlin Stephen,4,A-Award,--D,12025,76508,2,0001887269,Common Stock
D,02/24/2023 00:00:00,Coughlin Stephen,4,F-InKind,--D,1677,64483,1,0001887269,Common Stock
A,02/24/2023 00:00:00,Gluski Andres,4,A-Award,--D,82341,1426449,4,0001348876,Common Stock
D,02/24/2023 00:00:00,Gluski Andres,4,F-InKind,--D,16644,1344108,3,0001348876,Common Stock
D,02/24/2023 00:00:00,Gluski Andres,4,F-InKind,--D,99089,1360752,2,0001348876,Common Stock
A,02/24/2023 00:00:00,Gluski Andres,4,A-Award,--D,197782,1459841,1,0001348876,Common Stock
D,02/21/2023 00:00:00,Kohan Sherry,4,F-InKind,--D,328,41224,2,0001801230,Common Stock
D,02/21/2023 00:00:00,Mendoza Tish,4,F-InKind,--D,1062,144664,2,0001628839,Common Stock
D,02/21/2023 00:00:00,Freedman Paul L,4,F-InKind,--D,1006,55960,2,0001732841,Common Stock
D,02/21/2023 00:00:00,Da Santos Bernerd,4,F-InKind,--D,1868,232681,2,0001626763,Common Stock
D,02/21/2023 00:00:00,Gluski Andres,4,F-InKind,--D,12361,1262059,2,0001348876,Common Stock
D,02/17/2023 00:00:00,Kohan Sherry,4,F-InKind,--D,266,41552,1,0001801230,Common Stock
D,02/17/2023 00:00:00,Mendoza Tish,4,F-InKind,--D,1232,145726,1,0001628839,Common Stock
D,02/17/2023 00:00:00,Freedman Paul L,4,F-InKind,--D,1125,56966,1,0001732841,Common Stock
D,02/17/2023 00:00:00,Da Santos Bernerd,4,F-InKind,--D,1523,234549,1,0001626763,Common Stock
D,02/17/2023 00:00:00,Coughlin Stephen,4,F-InKind,--D,1462,66160,1,0001887269,Common Stock
D,02/17/2023 00:00:00,Gluski Andres,4,F-InKind,--D,11084,1274420,1,0001348876,Common Stock
D,12/28/2022 00:00:00,Gluski Andres,4,M-Exempt,--D,748625,0,4,0001348876,Stock Option (Right to Buy)
