MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/29/2023 00:00:00,Wysenski Nancy,4,A-Award,--D,5985,5985,2,0001294596,Restricted Stock Unit Award
A,06/29/2023 00:00:00,Wysenski Nancy,4,A-Award,--D,12732,12732,1,0001294596,Non Qualified Stock Option (Right to Buy)
A,06/29/2023 00:00:00,Wright Christopher I,4,A-Award,--D,5985,5985,2,0001838503,Restricted Stock Unit Award
A,06/29/2023 00:00:00,Wright Christopher I,4,A-Award,--D,12732,12732,1,0001838503,Non Qualified Stock Option (Right to Buy)
A,06/29/2023 00:00:00,Wilson Frank Anders,4,A-Award,--D,5985,5985,2,0001462948,Restricted Stock Unit Award
A,06/29/2023 00:00:00,Wilson Frank Anders,4,A-Award,--D,12732,12732,1,0001462948,Non Qualified Stock Option (Right to Buy)
A,06/29/2023 00:00:00,snyderman nancy lynn MD,4,A-Award,--D,5985,5985,2,0001675198,Restricted Stock Unit Award
A,06/29/2023 00:00:00,snyderman nancy lynn MD,4,A-Award,--D,12732,12732,1,0001675198,Non Qualified Stock Option (Right to Buy)
A,06/29/2023 00:00:00,MCKEON BRIAN P,4,A-Award,--D,5985,5985,2,0001219445,Restricted Stock Unit Award
A,06/29/2023 00:00:00,MCKEON BRIAN P,4,A-Award,--D,12732,12732,1,0001219445,Non Qualified Stock Option (Right to Buy)
A,06/29/2023 00:00:00,LAURENCIN CATO T,4,A-Award,--D,5985,5985,2,0001444810,Restricted Stock Unit Award
A,06/29/2023 00:00:00,LAURENCIN CATO T,4,A-Award,--D,12732,12732,1,0001444810,Non Qualified Stock Option (Right to Buy)
A,06/29/2023 00:00:00,GAYNOR RICHARD,4,A-Award,--D,5985,5985,2,0001741284,Restricted Stock Unit Award
A,06/29/2023 00:00:00,GAYNOR RICHARD,4,A-Award,--D,12732,12732,1,0001741284,Non Qualified Stock Option (Right to Buy)
A,06/29/2023 00:00:00,Daglio David Angelo Jr.,4,A-Award,--D,5985,5985,2,0001837109,Restricted Stock Unit Award
A,06/29/2023 00:00:00,Daglio David Angelo Jr.,4,A-Award,--D,12732,12732,1,0001837109,Non Qualified Stock Option (Right to Buy)
A,06/29/2023 00:00:00,Cooke Shane,4,A-Award,--D,5985,5985,2,0001524823,Restricted Stock Unit Award
A,06/29/2023 00:00:00,Cooke Shane,4,A-Award,--D,12732,12732,1,0001524823,Non Qualified Stock Option (Right to Buy)
A,06/29/2023 00:00:00,Alva Emily Peterson,4,A-Award,--D,5985,5985,2,0001738422,Restricted Stock Unit Award
A,06/29/2023 00:00:00,Alva Emily Peterson,4,A-Award,--D,12732,12732,1,0001738422,Non Qualified Stock Option (Right to Buy)
D,06/09/2023 00:00:00,Alva Emily Peterson,4,M-Exempt,--D,3795,3796,3,0001738422,Restricted Stock Unit Award
D,06/09/2023 00:00:00,Alva Emily Peterson,4,F-InKind,--D,911,15195,2,0001738422,Ordinary Shares
A,06/09/2023 00:00:00,Alva Emily Peterson,4,M-Exempt,--D,3795,16106,1,0001738422,Ordinary Shares
D,06/08/2023 00:00:00,Wright Christopher I,4,M-Exempt,--D,3236,6473,6,0001838503,Restricted Stock Unit Award
D,06/08/2023 00:00:00,Wright Christopher I,4,M-Exempt,--D,373,0,5,0001838503,Restricted Stock Unit Award
D,06/08/2023 00:00:00,Wright Christopher I,4,F-InKind,--D,777,2742,4,0001838503,Ordinary Shares
A,06/08/2023 00:00:00,Wright Christopher I,4,M-Exempt,--D,3236,3519,3,0001838503,Ordinary Shares
D,06/08/2023 00:00:00,Wright Christopher I,4,F-InKind,--D,90,283,2,0001838503,Ordinary Shares
A,06/08/2023 00:00:00,Wright Christopher I,4,M-Exempt,--D,373,373,1,0001838503,Ordinary Shares
D,06/08/2023 00:00:00,LAURENCIN CATO T,4,M-Exempt,--D,2638,21101,3,0001444810,Non Qualified Stock Option (Right to Buy)
D,06/08/2023 00:00:00,LAURENCIN CATO T,4,S-Sale,--D,2638,7479,2,0001444810,Ordinary Shares
A,06/08/2023 00:00:00,LAURENCIN CATO T,4,M-Exempt,--D,2638,10117,1,0001444810,Ordinary Shares
D,06/07/2023 00:00:00,LAURENCIN CATO T,4,M-Exempt,--D,2800,5600,3,0001444810,Non Qualified Stock Option (Right to Buy)
D,06/07/2023 00:00:00,LAURENCIN CATO T,4,S-Sale,--D,2800,7479,2,0001444810,Ordinary Shares
A,06/07/2023 00:00:00,LAURENCIN CATO T,4,M-Exempt,--D,2800,10279,1,0001444810,Ordinary Shares
D,06/05/2023 00:00:00,Nichols Christian Todd,4,M-Exempt,--D,3500,0,3,0001813312,Restricted Stock Unit Award
D,06/05/2023 00:00:00,Nichols Christian Todd,4,F-InKind,--D,1555,42929,2,0001813312,Ordinary Shares
A,06/05/2023 00:00:00,Nichols Christian Todd,4,M-Exempt,--D,3500,44484,1,0001813312,Ordinary Shares
D,05/30/2023 00:00:00,Nichols Christian Todd,4,M-Exempt,--D,19634,44327,3,0001813312,Employee Stock Option (Right to Buy)
