MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/16/2023 00:00:00,Scapa James Ralph,4,C-Conversion,--I,5000,6717182,10,0001720314,Class B Common Stock
D,06/16/2023 00:00:00,Scapa James Ralph,4,C-Conversion,--I,5000,10331610,9,0001720314,Class B Common Stock
D,06/16/2023 00:00:00,Scapa James Ralph,4,S-Sale,--I,1400,0,8,0001720314,Class A Common Stock
D,06/16/2023 00:00:00,Scapa James Ralph,4,S-Sale,--I,3600,1400,7,0001720314,Class A Common Stock
A,06/16/2023 00:00:00,Scapa James Ralph,4,C-Conversion,--I,5000,5000,6,0001720314,Class A Common Stock
D,06/16/2023 00:00:00,Scapa James Ralph,4,S-Sale,--I,1400,0,5,0001720314,Class A Common Stock
D,06/16/2023 00:00:00,Scapa James Ralph,4,S-Sale,--I,3600,1400,4,0001720314,Class A Common Stock
A,06/16/2023 00:00:00,Scapa James Ralph,4,C-Conversion,--I,5000,5000,3,0001720314,Class A Common Stock
D,06/16/2023 00:00:00,JRS Investments LLC,4,C-Conversion,--D,5000,6717182,4,0001720683,Class B Common Stock
D,06/16/2023 00:00:00,JRS Investments LLC,4,S-Sale,--D,1400,0,3,0001720683,Class A Common Stock
D,06/16/2023 00:00:00,JRS Investments LLC,4,S-Sale,--D,3600,1400,2,0001720683,Class A Common Stock
A,06/16/2023 00:00:00,JRS Investments LLC,4,C-Conversion,--D,5000,5000,1,0001720683,Class A Common Stock
D,06/16/2023 00:00:00,James R. Scapa Declaration of Trust,4,C-Conversion,--D,5000,10331610,4,0001720615,Class B Common Stock
D,06/16/2023 00:00:00,James R. Scapa Declaration of Trust,4,S-Sale,--D,1400,0,3,0001720615,Class A Common Stock
D,06/16/2023 00:00:00,James R. Scapa Declaration of Trust,4,S-Sale,--D,3600,1400,2,0001720615,Class A Common Stock
A,06/16/2023 00:00:00,James R. Scapa Declaration of Trust,4,C-Conversion,--D,5000,5000,1,0001720615,Class A Common Stock
D,06/12/2023 00:00:00,Srikanth Mahalingam,4,S-Sale,--D,180,30682,2,0001720441,Class A Common Stock
