MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/14/2023 00:00:00,Angus Ted F.,4,S-Sale,--D,7265,123445,1,0001782568,Common Stock
D,06/09/2023 00:00:00,Zyla Gary G.,4,S-Sale,--D,855,100581,3,0001782589,Common Stock
D,06/09/2023 00:00:00,Kim Michael,4,S-Sale,--D,1348,334308,3,0001782762,Common Stock
D,06/09/2023 00:00:00,Wolfsen Natalie Grace,4,S-Sale,--D,1348,430734,3,0001782587,Common Stock
D,06/09/2023 00:00:00,Hansen Carrie E.,4,S-Sale,--D,855,156693,3,0001782584,Common Stock
D,06/09/2023 00:00:00,Mehta Mukesh,4,S-Sale,--D,855,313671,3,0001782585,Common Stock
D,06/09/2023 00:00:00,Angus Ted F.,4,S-Sale,--D,855,130710,3,0001782568,Common Stock
D,06/09/2023 00:00:00,McNatt Joel David JR,4,S-Sale,--D,300,60319,3,0001884460,Common Stock
D,06/09/2023 00:00:00,Minta-Jacobs Esi,4,S-Sale,--D,300,69295,3,0001806039,Common Stock
A,06/08/2023 00:00:00,Zyla Gary G.,4,A-Award,--D,49052,49052,5,0001782589,Stock Appreciation Right
A,06/08/2023 00:00:00,Zyla Gary G.,4,A-Award,--D,15905,15905,4,0001782589,Stock Appreciation Right
D,06/08/2023 00:00:00,Zyla Gary G.,4,S-Sale,--D,3318,101436,2,0001782589,Common Stock
A,06/08/2023 00:00:00,Zyla Gary G.,4,A-Award,--D,15157,104754,1,0001782589,Common Stock
A,06/08/2023 00:00:00,Kim Michael,4,A-Award,--D,37955,37955,7,0001782762,Stock Appreciation Right
A,06/08/2023 00:00:00,Kim Michael,4,A-Award,--D,117057,117057,6,0001782762,Stock Appreciation Right
D,06/08/2023 00:00:00,Kim Michael,4,S-Sale,--D,4979,335656,2,0001782762,Common Stock
A,06/08/2023 00:00:00,Kim Michael,4,A-Award,--D,18085,340635,1,0001782762,Common Stock
A,06/08/2023 00:00:00,Wolfsen Natalie Grace,4,A-Award,--D,56029,56029,5,0001782587,Stock Appreciation Right
A,06/08/2023 00:00:00,Wolfsen Natalie Grace,4,A-Award,--D,172798,172798,4,0001782587,Stock Appreciation Right
D,06/08/2023 00:00:00,Wolfsen Natalie Grace,4,S-Sale,--D,7186,432082,2,0001782587,Common Stock
A,06/08/2023 00:00:00,Wolfsen Natalie Grace,4,A-Award,--D,26697,439268,1,0001782587,Common Stock
D,06/08/2023 00:00:00,Hansen Carrie E.,4,S-Sale,--D,3318,157548,2,0001782584,Common Stock
A,06/08/2023 00:00:00,Hansen Carrie E.,4,A-Award,--D,37892,160866,1,0001782584,Common Stock
D,06/08/2023 00:00:00,Mehta Mukesh,4,S-Sale,--D,3318,314526,2,0001782585,Common Stock
A,06/08/2023 00:00:00,Mehta Mukesh,4,A-Award,--D,37892,317844,1,0001782585,Common Stock
D,06/08/2023 00:00:00,Angus Ted F.,4,S-Sale,--D,3318,131565,2,0001782568,Common Stock
A,06/08/2023 00:00:00,Angus Ted F.,4,A-Award,--D,37892,134883,1,0001782568,Common Stock
D,06/08/2023 00:00:00,McNatt Joel David JR,4,S-Sale,--D,1456,60619,2,0001884460,Common Stock
A,06/08/2023 00:00:00,McNatt Joel David JR,4,A-Award,--D,29280,62075,1,0001884460,Common Stock
D,06/08/2023 00:00:00,Minta-Jacobs Esi,4,S-Sale,--D,1057,69595,2,0001806039,Common Stock
A,06/08/2023 00:00:00,Minta-Jacobs Esi,4,A-Award,--D,12056,70652,1,0001806039,Common Stock
A,06/08/2023 00:00:00,VELLI JOSEPH M,4,A-Award,--D,4478,20616,1,0001209494,Common Stock
A,06/08/2023 00:00:00,Guinn Patricia Lynn,4,A-Award,--D,4478,26525,1,0001477854,Common Stock
