MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/20/2023 00:00:00,Zhou Rong,4,M-Exempt,--D,9651,24787,4,0001645326,Employee Stock Option (right to buy)
A,06/20/2023 00:00:00,Zhou Rong,4,M-Exempt,--D,9651,112341,1,0001645326,Common Stock
D,06/15/2023 00:00:00,Zhou Rong,4,M-Exempt,--D,1171,3514,9,0001645326,Employee Stock Option (right to buy)
D,06/15/2023 00:00:00,Zhou Rong,4,M-Exempt,--D,4631,13893,8,0001645326,Employee Stock Option (right to buy)
D,06/15/2023 00:00:00,Zhou Rong,4,M-Exempt,--D,13575,4316,7,0001645326,Employee Stock Option (right to buy)
A,06/15/2023 00:00:00,Zhou Rong,4,M-Exempt,--D,1171,102690,4,0001645326,Common Stock
A,06/15/2023 00:00:00,Zhou Rong,4,M-Exempt,--D,4631,101519,3,0001645326,Common Stock
D,06/15/2023 00:00:00,Zhou Rong,4,S-Sale,--D,5000,96888,2,0001645326,Common Stock
A,06/15/2023 00:00:00,Zhou Rong,4,M-Exempt,--D,13575,101888,1,0001645326,Common Stock
D,06/15/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,36868,15053,5,0001263136,Employee Stock Option (right to buy)
D,06/15/2023 00:00:00,PETERS WILLIAM J,4,S-Sale,--D,13000,105603,4,0001263136,Common Stock
D,06/15/2023 00:00:00,PETERS WILLIAM J,4,S-Sale,--D,12000,118603,3,0001263136,Common Stock
D,06/15/2023 00:00:00,PETERS WILLIAM J,4,S-Sale,--D,11868,130603,2,0001263136,Common Stock
A,06/15/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,36868,142471,1,0001263136,Common Stock
D,06/13/2023 00:00:00,Zhou Rong,4,M-Exempt,--D,5000,17891,5,0001645326,Employee Stock Option (right to buy)
D,06/13/2023 00:00:00,Zhou Rong,4,S-Sale,--D,5000,88313,2,0001645326,Common Stock
A,06/13/2023 00:00:00,Zhou Rong,4,M-Exempt,--D,5000,93313,1,0001645326,Common Stock
D,06/10/2023 00:00:00,Lee Howard,4,F-InKind,--D,375,145280,1,0001379941,Common Stock
A,06/05/2023 00:00:00,PRINS RICHARD K,4,A-Award,--D,7016,7016,2,0001047579,Stock Option (right to buy)
A,06/05/2023 00:00:00,PRINS RICHARD K,4,A-Award,--D,2716,47058,1,0001047579,Common Stock
A,06/05/2023 00:00:00,Petersen Floyd F.,4,A-Award,--D,7016,7016,2,0001611286,Stock Option (right to buy)
A,06/05/2023 00:00:00,Petersen Floyd F.,4,A-Award,--D,2716,82833,1,0001611286,Common Stock
A,06/05/2023 00:00:00,Gerst Diane G.,4,A-Award,--D,7016,7016,2,0001611283,Stock Option (right to buy)
A,06/05/2023 00:00:00,Gerst Diane G.,4,A-Award,--D,2716,15558,1,0001611283,Common Stock
A,06/05/2023 00:00:00,ZASLOFF MICHAEL A,4,A-Award,--D,7016,7016,2,0001033511,Stock Option (right to buy)
A,06/05/2023 00:00:00,ZASLOFF MICHAEL A,4,A-Award,--D,2716,46585,1,0001033511,Common Stock
A,06/05/2023 00:00:00,Lee Howard,4,A-Award,--D,7016,7016,2,0001379941,Stock Option (right to buy)
A,06/05/2023 00:00:00,Lee Howard,4,A-Award,--D,2716,145655,1,0001379941,Common Stock
A,06/05/2023 00:00:00,Deflin Gayle,4,A-Award,--D,7016,7016,2,0001866024,Stock Option (right to buy)
A,06/05/2023 00:00:00,Deflin Gayle,4,A-Award,--D,2716,6879,1,0001866024,Common Stock
D,06/04/2023 00:00:00,Liawatidewi Yakob,4,F-InKind,--D,378,69669,1,0001743927,Common Stock
D,06/02/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,11000,7490,3,0001263136,Employee Stock Option (right to buy)
D,06/02/2023 00:00:00,PETERS WILLIAM J,4,S-Sale,--D,11000,105603,2,0001263136,Common Stock
A,06/02/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,11000,116603,1,0001263136,Common Stock
D,06/01/2023 00:00:00,Lee Howard,4,M-Exempt,--D,16679,0,3,0001379941,Stock Option (right to buy)
D,06/01/2023 00:00:00,Lee Howard,4,S-Sale,--D,16679,142939,2,0001379941,Common Stock
A,06/01/2023 00:00:00,Lee Howard,4,M-Exempt,--D,16679,159618,1,0001379941,Common Stock
D,05/19/2023 00:00:00,PETERS WILLIAM J,4,F-InKind,--D,378,104770,3,0001263136,Common Stock
D,05/18/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,10500,18490,4,0001263136,Employee Stock Option (right to buy)
D,05/18/2023 00:00:00,PETERS WILLIAM J,4,S-Sale,--D,10500,105148,2,0001263136,Common Stock
A,05/18/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,10500,115648,1,0001263136,Common Stock
D,05/18/2023 00:00:00,Zhou Rong,4,M-Exempt,--D,10000,22891,5,0001645326,Employee Stock Option (right to buy)
D,05/18/2023 00:00:00,Zhou Rong,4,S-Sale,--D,10000,87598,2,0001645326,Common Stock
A,05/18/2023 00:00:00,Zhou Rong,4,M-Exempt,--D,10000,97598,1,0001645326,Common Stock
D,05/18/2023 00:00:00,Deflin Gayle,4,S-Sale,--D,4519,4163,1,0001866024,Common Stock
D,05/17/2023 00:00:00,Petersen Floyd F.,4,S-Sale,--D,5000,80117,1,0001611286,Common Stock
D,05/15/2023 00:00:00,Deflin Gayle,4,S-Sale,--D,1500,8682,1,0001866024,Common Stock
D,05/15/2023 00:00:00,ZASLOFF MICHAEL A,4,S-Sale,--D,7500,43869,1,0001033511,Common Stock
D,05/15/2023 00:00:00,PRINS RICHARD K,4,M-Exempt,--D,5000,6679,7,0001047579,Stock option (right to buy)
D,05/15/2023 00:00:00,PRINS RICHARD K,4,S-Sale,--D,5000,44342,5,0001047579,Common Stock
A,05/15/2023 00:00:00,PRINS RICHARD K,4,M-Exempt,--D,5000,49342,4,0001047579,Common Stock
D,05/12/2023 00:00:00,PRINS RICHARD K,4,M-Exempt,--D,5000,11.679,6,0001047579,Stock option (right to buy)
D,05/12/2023 00:00:00,PRINS RICHARD K,4,G-Gift,--D,3000,44342,3,0001047579,Common Stock
D,05/12/2023 00:00:00,PRINS RICHARD K,4,S-Sale,--D,5000,47342,2,0001047579,Common Stock
A,05/12/2023 00:00:00,PRINS RICHARD K,4,M-Exempt,--D,5000,52342,1,0001047579,Common Stock
D,04/17/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,5632,28990,3,0001263136,Employee Stock Option (right to buy)
D,04/17/2023 00:00:00,PETERS WILLIAM J,4,S-Sale,--D,5632,105148,2,0001263136,Common Stock
A,04/17/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,5632,110780,1,0001263136,Common Stock
D,04/13/2023 00:00:00,Liawatidewi Yakob,4,M-Exempt,--D,11494,5497,5,0001743927,Employee Stock Option (right to buy)
D,04/13/2023 00:00:00,Liawatidewi Yakob,4,S-Sale,--D,6494,69215,3,0001743927,Common Stock
D,04/13/2023 00:00:00,Liawatidewi Yakob,4,S-Sale,--D,5000,75709,2,0001743927,Common Stock
A,04/13/2023 00:00:00,Liawatidewi Yakob,4,M-Exempt,--D,11494,80709,1,0001743927,Common Stock
D,04/13/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,4868,34622,3,0001263136,Employee Stock Option (right to buy)
D,04/13/2023 00:00:00,PETERS WILLIAM J,4,S-Sale,--D,4868,105148,2,0001263136,Common Stock
A,04/13/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,4868,110016,1,0001263136,Common Stock
D,04/10/2023 00:00:00,Liawatidewi Yakob,4,M-Exempt,--D,5000,16991,4,0001743927,Employee Stock Option (right to buy)
D,04/10/2023 00:00:00,Liawatidewi Yakob,4,S-Sale,--D,5000,69215,2,0001743927,Common Stock
A,04/10/2023 00:00:00,Liawatidewi Yakob,4,M-Exempt,--D,5000,74215,1,0001743927,Common Stock
D,04/10/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,10032,39490,3,0001263136,Employee Stock Option (right to buy)
D,04/10/2023 00:00:00,PETERS WILLIAM J,4,S-Sale,--D,10032,105148,2,0001263136,Common Stock
A,04/10/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,10032,115180,1,0001263136,Common Stock
D,04/03/2023 00:00:00,Petersen Floyd F.,4,S-Sale,--D,491,85117,1,0001611286,Common Stock
D,03/17/2023 00:00:00,Liawatidewi Yakob,4,F-InKind,--D,1673,69215,2,0001743927,Common Stock
D,03/17/2023 00:00:00,Zhou Rong,4,F-InKind,--D,1901,87598,2,0001645326,Common Stock
D,03/17/2023 00:00:00,PETERS WILLIAM J,4,F-InKind,--D,4162,105148,2,0001263136,Common Stock
D,03/17/2023 00:00:00,Zhang Jack Y.,4,F-InKind,--I,7052,1455602,6,0001611157,Common Stock
D,03/17/2023 00:00:00,Zhang Jack Y.,4,F-InKind,--D,15768,2078718,5,0001611157,Common Stock
D,03/16/2023 00:00:00,Liawatidewi Yakob,4,F-InKind,--D,1620,70888,1,0001743927,Common Stock
D,03/16/2023 00:00:00,Zhou Rong,4,F-InKind,--D,2283,89499,1,0001645326,Common Stock
D,03/16/2023 00:00:00,PETERS WILLIAM J,4,F-InKind,--D,4995,109310,1,0001263136,Common Stock
D,03/16/2023 00:00:00,Zhang Jack Y.,4,F-InKind,--I,9998,1462654,4,0001611157,Common Stock
D,03/16/2023 00:00:00,Zhang Jack Y.,4,F-InKind,--D,25241,2094486,3,0001611157,Common Stock
D,03/16/2023 00:00:00,Zhang Jack Y.,4,G-Gift,--I,57365,0,2,0001611157,Common Stock
D,03/16/2023 00:00:00,Zhang Jack Y.,4,G-Gift,--I,57365,0,1,0001611157,Common Stock
D,03/15/2023 00:00:00,Liawatidewi Yakob,4,F-InKind,--D,1851,72508,1,0001743927,Common Stock
D,03/15/2023 00:00:00,Zhou Rong,4,F-InKind,--D,2057,91782,1,0001645326,Common Stock
D,03/15/2023 00:00:00,PETERS WILLIAM J,4,M-Exempt,--D,6688,0,4,0001263136,Employee Stock Option (right to buy)
D,03/15/2023 00:00:00,PETERS WILLIAM J,4,F-InKind,--D,4146,114305,3,0001263136,Common Stock
D,03/15/2023 00:00:00,PETERS WILLIAM J,4,S-Sale,--D,12776,118451,2,0001263136,Common Stock
