MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/30/2023 00:00:00,Stetson David J.,4,F-InKind,--D,3935,77978,1,0001757529,"Common Stock, $0.01 par value per share"
D,06/29/2023 00:00:00,Eidson Charles Andrew,4,G-Gift,--D,325,52022,1,0001669980,"Common Stock, $0.01 par value per share"
D,06/07/2023 00:00:00,Gorzynski Michael,4,X-InTheMoney,--I,85,13,7,0001812551,Series A Warrant
D,06/07/2023 00:00:00,Gorzynski Michael,4,X-InTheMoney,--I,3591,573,6,0001812551,Series A Warrant
A,06/07/2023 00:00:00,Gorzynski Michael,4,X-InTheMoney,--I,102,1691,2,0001812551,"Common Stock, $0.01 par value per share"
A,06/07/2023 00:00:00,Gorzynski Michael,4,X-InTheMoney,--I,4309,787097,1,0001812551,"Common Stock, $0.01 par value per share"
D,06/06/2023 00:00:00,Gorzynski Michael,4,X-InTheMoney,--I,720,0,8,0001812551,Series A Warrant
A,06/06/2023 00:00:00,Gorzynski Michael,4,X-InTheMoney,--I,864,4486,3,0001812551,"Common Stock, $0.01 par value per share"
A,05/03/2023 00:00:00,SMITH DANIEL D,4,A-Award,--D,812,9680,1,0001272065,"Common Stock, $0.01 par value per share"
A,05/03/2023 00:00:00,Quillen Michael J,4,A-Award,--D,812,16019,1,0001317673,"Common Stock, $0.01 par value per share"
A,05/03/2023 00:00:00,Fessenden Elizabeth Anne,4,A-Award,--D,812,5279,1,0001452008,"Common Stock, $0.01 par value per share"
A,05/03/2023 00:00:00,FERRARA ALBERT E JR,4,A-Award,--D,812,20292,1,0001177022,"Common Stock, $0.01 par value per share"
A,05/03/2023 00:00:00,Courtis Kenneth S.,4,A-Award,--D,812,720936,1,0001812746,"Common Stock, $0.01 par value per share"
A,05/03/2023 00:00:00,Baker De Neufville Joanna,4,A-Award,--D,910,5210,1,0001958123,"Common Stock, $0.01 par value per share"
A,05/03/2023 00:00:00,Gorzynski Michael,4,A-Award,--D,1559,1783,1,0001812551,"Common Stock, $0.01 par value per share"
D,03/13/2023 00:00:00,Fessenden Elizabeth Anne,4,G-Gift,--D,100,4467,1,0001452008,"Common Stock, $0.01 par value per share"
D,03/07/2023 00:00:00,Stetson David J.,4,S-Sale,--D,7549,81913,3,0001757529,"Common Stock, $0.01 par value per share"
D,03/07/2023 00:00:00,Stetson David J.,4,S-Sale,--D,10152,89462,2,0001757529,"Common Stock, $0.01 par value per share"
D,03/07/2023 00:00:00,Stetson David J.,4,S-Sale,--D,2299,99614,1,0001757529,"Common Stock, $0.01 par value per share"
D,03/03/2023 00:00:00,Eidson Charles Andrew,4,G-Gift,--D,900,52347,1,0001669980,"Common Stock, $0.01 par value per share"
D,02/27/2023 00:00:00,Whitehead Jason E.,4,S-Sale,--D,15552,33348,1,0001786095,"Common Stock, $0.01 par value per share"
D,02/27/2023 00:00:00,Nicholson Roger Lee,4,S-Sale,--D,9865,21842,2,0001329540,"Common Stock, $0.01 par value per share"
D,02/27/2023 00:00:00,Nicholson Roger Lee,4,S-Sale,--D,1738,31707,1,0001329540,"Common Stock, $0.01 par value per share"
D,02/27/2023 00:00:00,Horn Daniel E.,4,S-Sale,--D,7220,17464,1,0001836964,"Common Stock, $0.01 par value per share"
D,02/18/2023 00:00:00,Munsey Joshua Todd,4,F-InKind,--D,686,3843,1,0001942851,"Common Stock, $0.01 par value per share"
D,02/18/2023 00:00:00,Horn Daniel E.,4,F-InKind,--D,722,24684,1,0001836964,"Common Stock, $0.01 par value per share"
D,02/18/2023 00:00:00,Nicholson Roger Lee,4,F-InKind,--D,2989,33445,1,0001329540,"Common Stock, $0.01 par value per share"
D,02/18/2023 00:00:00,Whitehead Jason E.,4,F-InKind,--D,3155,48900,1,0001786095,"Common Stock, $0.01 par value per share"
D,02/18/2023 00:00:00,Eidson Charles Andrew,4,F-InKind,--D,2850,53247,1,0001669980,"Common Stock, $0.01 par value per share"
A,02/02/2023 00:00:00,Gorzynski Michael,4,A-Award,--D,224,224,1,0001812551,"Common Stock, $0.01 par value per share"
D,01/29/2023 00:00:00,Nicholson Roger Lee,4,F-InKind,--D,5676,36434,1,0001329540,"Common Stock, $0.01 par value per share"
D,01/29/2023 00:00:00,Horn Daniel E.,4,F-InKind,--D,3795,25406,1,0001836964,"Common Stock, $0.01 par value per share"
D,01/29/2023 00:00:00,Whitehead Jason E.,4,F-InKind,--D,8302,52055,1,0001786095,"Common Stock, $0.01 par value per share"
D,01/29/2023 00:00:00,Eidson Charles Andrew,4,F-InKind,--D,6577,56097,5,0001669980,"Common Stock, $0.01 par value per share"
D,01/26/2023 00:00:00,Stetson David J.,4,G-Gift,--D,2000,101913,3,0001757529,"Common Stock, $0.01 par value per share"
D,01/25/2023 00:00:00,Stetson David J.,4,F-InKind,--D,3066,103913,2,0001757529,"Common Stock, $0.01 par value per share"
A,01/25/2023 00:00:00,Stetson David J.,4,A-Award,--D,5231,106979,1,0001757529,"Common Stock, $0.01 par value per share"
D,01/25/2023 00:00:00,Eidson Charles Andrew,4,F-InKind,--D,1410,69827,4,0001669980,"Common Stock, $0.01 par value per share"
A,01/25/2023 00:00:00,Eidson Charles Andrew,4,A-Award,--D,8337,71237,3,0001669980,"Common Stock, $0.01 par value per share"
A,01/25/2023 00:00:00,Munsey Joshua Todd,4,A-Award,--D,3008,4529,1,0001942851,"Common Stock, $0.01 par value per share"
A,01/25/2023 00:00:00,Nicholson Roger Lee,4,F-InKind,--D,1226,42110,2,0001329540,"Common Stock, $0.01 par value per share"
A,01/25/2023 00:00:00,Nicholson Roger Lee,4,A-Award,--D,3270,43336,1,0001329540,"Common Stock, $0.01 par value per share"
D,01/25/2023 00:00:00,Horn Daniel E.,4,F-InKind,--D,1173,29201,2,0001836964,"Common Stock, $0.01 par value per share"
A,01/25/2023 00:00:00,Horn Daniel E.,4,A-Award,--D,3270,30374,1,0001836964,"Common Stock, $0.01 par value per share"
D,01/25/2023 00:00:00,Whitehead Jason E.,4,F-InKind,--D,1774,60357,2,0001786095,"Common Stock, $0.01 par value per share"
A,01/25/2023 00:00:00,Whitehead Jason E.,4,A-Award,--D,5149,62131,1,0001786095,"Common Stock, $0.01 par value per share"
D,01/20/2023 00:00:00,Eidson Charles Andrew,4,G-Gift,--D,9000,62900,2,0001669980,"Common Stock, $0.01 par value per share"
D,01/17/2023 00:00:00,Eidson Charles Andrew,4,G-Gift,--D,2000,71900,1,0001669980,"Common Stock, $0.01 par value per share"
D,01/01/2023 00:00:00,Stetson David J.,4,F-InKind,--D,3991,101748,1,0001757529,"Common Stock, $0.01 par value per share"
A,11/18/2022 00:00:00,Stetson David J.,4,A-Award,--D,30000,105739,1,0001757529,"Common Stock, $0.01 par value per share"
D,08/24/2022 00:00:00,Stetson David J.,4,S-Sale,--D,399,75739,6,0001757529,"Common Stock, $0.01 par value per share"
D,08/24/2022 00:00:00,Stetson David J.,4,S-Sale,--D,615,76138,5,0001757529,"Common Stock, $0.01 par value per share"
D,08/24/2022 00:00:00,Stetson David J.,4,S-Sale,--D,3075,76753,4,0001757529,"Common Stock, $0.01 par value per share"
D,08/24/2022 00:00:00,Stetson David J.,4,S-Sale,--D,7279,79828,3,0001757529,"Common Stock, $0.01 par value per share"
D,08/24/2022 00:00:00,Stetson David J.,4,S-Sale,--D,3632,87107,2,0001757529,"Common Stock, $0.01 par value per share"
