MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/13/2023 00:00:00,WISNESKI FRANCIS V JR,4,A-Award,--D,3062,3062,1,0001263052,Restricted Stock Unit
A,06/13/2023 00:00:00,Sutton Joseph W.,4,A-Award,--D,3062,3062,1,0001496494,Restricted Stock Unit
A,06/13/2023 00:00:00,STAVROPOULOS NICKOLAS,4,A-Award,--D,3062,3062,1,0001195025,Restricted Stock Unit
A,06/13/2023 00:00:00,Patton Charles R.,4,A-Award,--D,3062,3062,1,0001473188,Restricted Stock Unit
A,06/13/2023 00:00:00,Miller Jennifer L,4,A-Award,--D,3062,3062,1,0001633385,Restricted Stock Unit
A,06/13/2023 00:00:00,Johnson Claire D'Oyly-Hughes,4,A-Award,--D,3062,3062,1,0001874135,Restricted Stock Unit
D,06/08/2023 00:00:00,Bulgarino Nicole E,4,M-Exempt,--D,15000,0,2,0001640972,Stock Option (right to purchase)
A,06/08/2023 00:00:00,Bulgarino Nicole E,4,M-Exempt,--D,15000,15474,1,0001640972,Class A Common Stock
D,06/02/2023 00:00:00,Hole Spencer Doran,4,M-Exempt,--D,5000,10000,3,0001783379,Stock Option (right to puchase)
D,06/02/2023 00:00:00,Hole Spencer Doran,4,S-Sale,--D,5000,0,2,0001783379,Class A Common Stock
A,06/02/2023 00:00:00,Hole Spencer Doran,4,M-Exempt,--D,5000,5000,1,0001783379,Class A Common Stock
D,05/19/2023 00:00:00,WISNESKI FRANCIS V JR,4,M-Exempt,--D,2163,0,2,0001263052,Restricted Stock Unit
A,05/19/2023 00:00:00,WISNESKI FRANCIS V JR,4,M-Exempt,--D,2163,13339,1,0001263052,Class A Common Stock
D,05/19/2023 00:00:00,Sutton Joseph W.,4,M-Exempt,--D,2163,0,3,0001496494,Restricted Stock Unit
A,05/19/2023 00:00:00,Sutton Joseph W.,4,M-Exempt,--D,2163,12163,1,0001496494,Class A Common Stock
D,05/19/2023 00:00:00,STAVROPOULOS NICKOLAS,4,M-Exempt,--D,2163,0,2,0001195025,Restricted Stock Unit
A,05/19/2023 00:00:00,STAVROPOULOS NICKOLAS,4,M-Exempt,--D,2163,6163,1,0001195025,Class A Common Stock
D,05/19/2023 00:00:00,Miller Jennifer L,4,M-Exempt,--D,2163,0,2,0001633385,Restricted Stock Unit
A,05/19/2023 00:00:00,Miller Jennifer L,4,M-Exempt,--D,2163,14163,1,0001633385,Class A Common Stock
D,05/19/2023 00:00:00,Johnson Claire D'Oyly-Hughes,4,M-Exempt,--D,2163,0,2,0001874135,Restricted Stock Unit
A,05/19/2023 00:00:00,Johnson Claire D'Oyly-Hughes,4,M-Exempt,--D,2163,2163,1,0001874135,Class A Common Stock
D,05/05/2023 00:00:00,Hole Spencer Doran,4,M-Exempt,--D,5000,15000,3,0001783379,Stock Option (right to puchase)
D,05/05/2023 00:00:00,Hole Spencer Doran,4,S-Sale,--D,5000,0,2,0001783379,Class A Common Stock
A,05/05/2023 00:00:00,Hole Spencer Doran,4,M-Exempt,--D,5000,5000,1,0001783379,Class A Common Stock
A,04/20/2023 00:00:00,Patton Charles R.,4,A-Award,--D,441,441,1,0001473188,Restricted Stock Unit
A,03/17/2023 00:00:00,Sakellaris George P,4,A-Award,--D,9837,9837,1,0001496665,Restricted Stock Unit
A,03/17/2023 00:00:00,Maltezos Louis P,4,A-Award,--D,885,885,1,0001496402,Restricted Stock Unit
A,03/17/2023 00:00:00,MacIntosh Britta,4,A-Award,--D,1180,1180,1,0001842602,Restricted Stock Unit
A,03/17/2023 00:00:00,Hole Spencer Doran,4,A-Award,--D,1180,1180,1,0001783379,Restricted Stock Unit
A,03/17/2023 00:00:00,Corrsin David J,4,A-Award,--D,738,738,1,0001496596,Restricted Stock Unit
A,03/17/2023 00:00:00,Chiplock Mark,4,A-Award,--D,1107,1107,1,0001755243,Restricted Stock Unit
A,03/17/2023 00:00:00,Bulgarino Nicole E,4,A-Award,--D,1180,1180,1,0001640972,Restricted Stock Unit
A,03/17/2023 00:00:00,Bakas Michael T,4,A-Award,--D,1180,1180,1,0001496601,Restricted Stock Unit
D,03/09/2023 00:00:00,Sutton Joseph W.,4,M-Exempt,--D,10000,0,3,0001496494,Stock Option (right to purchase)
A,03/09/2023 00:00:00,Sutton Joseph W.,4,M-Exempt,--D,10000,10000,1,0001496494,Class A Common Stock
D,03/07/2023 00:00:00,Sakellaris George P,4,M-Exempt,--D,25000,0,4,0001496665,Stock Option (right to purchase)
A,03/07/2023 00:00:00,Sakellaris George P,4,M-Exempt,--D,25000,772332,1,0001496665,Class A Common Stock
D,12/20/2022 00:00:00,MacIntosh Britta,4,M-Exempt,--D,8000,12000,2,0001842602,Stock Option (right to purchase)
A,12/20/2022 00:00:00,MacIntosh Britta,4,M-Exempt,--D,8000,33000,1,0001842602,Class A Common Stock
A,11/04/2022 00:00:00,WISNESKI FRANCIS V JR,4,A-Award,--D,2163,2163,1,0001263052,Restricted Stock Unit
A,11/04/2022 00:00:00,Sutton Joseph W.,4,A-Award,--D,2163,2163,1,0001496494,Restricted Stock Unit
A,11/04/2022 00:00:00,STAVROPOULOS NICKOLAS,4,A-Award,--D,2163,2163,1,0001195025,Restricted Stock Unit
A,11/04/2022 00:00:00,Miller Jennifer L,4,A-Award,--D,2163,2163,1,0001633385,Restricted Stock Unit
A,11/04/2022 00:00:00,Johnson Claire D'Oyly-Hughes,4,A-Award,--D,2163,2163,1,0001874135,Restricted Stock Unit
A,11/04/2022 00:00:00,Foy Douglas I,4,A-Award,--D,2163,2163,1,0001496492,Restricted Stock Unit
A,10/11/2022 00:00:00,Bakas Michael T,5,W-Will,--D,128,128,1,0001496601,Class A Common Stock
D,03/24/2022 00:00:00,Maltezos Louis P,4,M-Exempt,--D,2985,12015,3,0001496402,Stock Option (right to purchase)
D,03/24/2022 00:00:00,Maltezos Louis P,4,S-Sale,--D,2985,30000,2,0001496402,Class A Common Stock
A,03/24/2022 00:00:00,Maltezos Louis P,4,M-Exempt,--D,2985,32985,1,0001496402,Class A Common Stock
D,03/10/2022 00:00:00,Chiplock Mark,4,M-Exempt,--D,2999,12001,3,0001755243,Stock Option (right to purchase)
D,03/10/2022 00:00:00,Chiplock Mark,4,S-Sale,--D,2999,0,2,0001755243,Class A Common Stock
A,03/10/2022 00:00:00,Chiplock Mark,4,M-Exempt,--D,2999,2999,1,0001755243,Class A Common Stock
D,03/10/2022 00:00:00,Chiplock Mark,4,M-Exempt,--D,2999,12001,3,0001755243,Stock Option (right to purchase)
D,03/10/2022 00:00:00,Chiplock Mark,4,S-Sale,--D,2999,0,2,0001755243,Class A Common Stock
A,03/10/2022 00:00:00,Chiplock Mark,4,M-Exempt,--D,2999,2999,1,0001755243,Class A Common Stock
D,03/09/2022 00:00:00,Foy Douglas I,4,M-Exempt,--D,5000,0,4,0001496492,Stock Option (right to purchase)
D,03/09/2022 00:00:00,Foy Douglas I,4,S-Sale,--D,1744,14000,3,0001496492,Class A Common Stock
D,03/09/2022 00:00:00,Foy Douglas I,4,S-Sale,--D,3256,15744,2,0001496492,Class A Common Stock
A,03/09/2022 00:00:00,Foy Douglas I,4,M-Exempt,--D,5000,19000,1,0001496492,Class A Common Stock
D,03/08/2022 00:00:00,Hole Spencer Doran,4,M-Exempt,--D,16000,20000,5,0001783379,Stock Option (right to puchase)
D,03/08/2022 00:00:00,Hole Spencer Doran,4,S-Sale,--D,2835,0,3,0001783379,Class A Common Stock
D,03/08/2022 00:00:00,Hole Spencer Doran,4,S-Sale,--D,13165,2835,2,0001783379,Class A Common Stock
A,03/08/2022 00:00:00,Hole Spencer Doran,4,M-Exempt,--D,16000,16000,1,0001783379,Class A Common Stock
D,03/08/2022 00:00:00,Chiplock Mark,4,M-Exempt,--D,3000,3000,4,0001755243,Stock Option (right to purchase)
D,03/08/2022 00:00:00,Chiplock Mark,4,S-Sale,--D,3000,0,2,0001755243,Class A Common Stock
A,03/08/2022 00:00:00,Chiplock Mark,4,M-Exempt,--D,3000,3000,1,0001755243,Class A Common Stock
A,03/04/2022 00:00:00,WISNESKI FRANCIS V JR,4,A-Award,--D,30000,30000,1,0001263052,Stock Option (right to puchase)
A,03/04/2022 00:00:00,Todd Lauren,4,A-Award,--D,15000,15000,1,0001857764,Stock Option (right to puchase)
A,03/04/2022 00:00:00,Sutton Joseph W.,4,A-Award,--D,30000,30000,1,0001496494,Stock Option (right to puchase)
A,03/04/2022 00:00:00,STAVROPOULOS NICKOLAS,4,A-Award,--D,30000,30000,1,0001195025,Stock Option (right to puchase)
A,03/04/2022 00:00:00,Sakellaris George P,4,A-Award,--D,320000,320000,1,0001496665,Stock Option (right to puchase)
A,03/04/2022 00:00:00,Murley Thomas S,4,A-Award,--D,30000,30000,1,0001688408,Stock Option (right to puchase)
