MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/13/2023 00:00:00,LEE JANET,4,S-Sale,--D,750,19741,2,0001711671,Common Stock
D,06/12/2023 00:00:00,LEE JANET,4,S-Sale,--D,2580,20491,1,0001711671,Common Stock
D,06/12/2023 00:00:00,Gopal Ajei,4,M-Exempt,--D,52221,156661,7,0001302712,Option To Purchase
D,06/12/2023 00:00:00,Gopal Ajei,4,S-Sale,--D,9822,213977,6,0001302712,Common Stock
D,06/12/2023 00:00:00,Gopal Ajei,4,S-Sale,--D,15490,223799,5,0001302712,Common Stock
D,06/12/2023 00:00:00,Gopal Ajei,4,S-Sale,--D,20209,239289,4,0001302712,Common Stock
D,06/12/2023 00:00:00,Gopal Ajei,4,S-Sale,--D,3300,259498,3,0001302712,Common Stock
D,06/12/2023 00:00:00,Gopal Ajei,4,S-Sale,--D,3400,262798,2,0001302712,Common Stock
A,06/12/2023 00:00:00,Gopal Ajei,4,M-Exempt,--D,52221,266198,1,0001302712,Common Stock
D,06/01/2023 00:00:00,Hearn Walter,4,F-InKind,--D,856,20165,1,0001966590,Common Stock
D,05/26/2023 00:00:00,SCHERER BARBARA VAUGHN,4,I-Discretionary,--D,797,9707,2,0001184949,Common Stock
D,05/25/2023 00:00:00,SCHERER BARBARA VAUGHN,4,I-Discretionary,--D,1203,10504,1,0001184949,Common Stock
D,05/15/2023 00:00:00,SCHERER BARBARA VAUGHN,4,S-Sale,--D,1675,11707,3,0001184949,Common Stock
D,05/12/2023 00:00:00,FRANKOLA JIM,4,F-InKind,--D,34,3038,2,0001183231,Common Stock
A,05/12/2023 00:00:00,FRANKOLA JIM,4,A-Award,--D,967,3072,1,0001183231,Common Stock
D,05/12/2023 00:00:00,BRAMLEY CLAIRE,4,F-InKind,--D,16,1442,2,0001759953,Common Stock
A,05/12/2023 00:00:00,BRAMLEY CLAIRE,4,A-Award,--D,967,1458,1,0001759953,Common Stock
D,05/12/2023 00:00:00,Vijayaraghavan Ravi K,4,F-InKind,--D,34,4256,2,0001804954,Common Stock
A,05/12/2023 00:00:00,Vijayaraghavan Ravi K,4,A-Award,--D,967,4290,1,0001804954,Common Stock
D,05/12/2023 00:00:00,GALLIMORE ALEC D.,4,F-InKind,--D,34,6151,2,0001725905,Common Stock
A,05/12/2023 00:00:00,GALLIMORE ALEC D.,4,A-Award,--D,967,6185,1,0001725905,Common Stock
D,05/12/2023 00:00:00,Dorchak Glenda,4,F-InKind,--D,34,3821,2,0001468620,Common Stock
A,05/12/2023 00:00:00,Dorchak Glenda,4,A-Award,--D,967,3855,1,0001468620,Common Stock
D,05/12/2023 00:00:00,Chakravarthy Anil,4,F-InKind,--D,34,2502,2,0001584805,Common Stock
A,05/12/2023 00:00:00,Chakravarthy Anil,4,A-Award,--D,967,2536,1,0001584805,Common Stock
D,05/12/2023 00:00:00,CALDERONI ROBERT,4,F-InKind,--D,34,4256,2,0001183228,Common Stock
A,05/12/2023 00:00:00,CALDERONI ROBERT,4,A-Award,--D,967,4290,1,0001183228,Common Stock
D,05/12/2023 00:00:00,SCHERER BARBARA VAUGHN,4,F-InKind,--D,34,13382,2,0001184949,Common Stock
A,05/12/2023 00:00:00,SCHERER BARBARA VAUGHN,4,A-Award,--D,967,13416,1,0001184949,Common Stock
D,05/12/2023 00:00:00,HOVSEPIAN RONALD W,4,F-InKind,--D,40,33569,2,0001091482,Common Stock
A,05/12/2023 00:00:00,HOVSEPIAN RONALD W,4,A-Award,--D,967,33609,1,0001091482,Common Stock
D,05/10/2023 00:00:00,Dorchak Glenda,4,S-Sale,--D,653,2888,2,0001468620,Common Stock
D,05/09/2023 00:00:00,Dorchak Glenda,4,S-Sale,--D,500,3541,1,0001468620,Common Stock
D,03/07/2023 00:00:00,Emswiler Shane,4,S-Sale,--D,50,25990,6,0001422298,Common Stock
D,03/07/2023 00:00:00,Emswiler Shane,4,S-Sale,--D,2013,26040,5,0001422298,Common Stock
D,03/07/2023 00:00:00,Emswiler Shane,4,S-Sale,--D,1249,28053,4,0001422298,Common Stock
D,03/07/2023 00:00:00,Emswiler Shane,4,S-Sale,--D,140,29302,3,0001422298,Common Stock
D,03/07/2023 00:00:00,Emswiler Shane,4,S-Sale,--D,407,29442,2,0001422298,Common Stock
D,03/03/2023 00:00:00,Emswiler Shane,4,F-InKind,--D,2972,29849,1,0001422298,Common Stock
D,03/03/2023 00:00:00,LEE JANET,4,F-InKind,--D,1313,23071,1,0001711671,Common Stock
D,03/03/2023 00:00:00,Hearn Walter,4,F-InKind,--D,851,21021,1,0001966590,Common Stock
D,03/03/2023 00:00:00,Gopal Ajei,4,F-InKind,--D,11299,213977,1,0001302712,Common Stock
D,03/03/2023 00:00:00,ANASENES NICOLE,4,F-InKind,--D,2482,29358,1,0001748987,Common Stock
D,03/02/2023 00:00:00,Hearn Walter,4,S-Sale,--D,1950,19922,1,0001966590,Common Stock
D,02/28/2023 00:00:00,LEE JANET,4,S-Sale,--D,984,24384,1,0001711671,Common Stock
D,02/21/2023 00:00:00,Emswiler Shane,4,S-Sale,--D,700,32821,4,0001422298,Common Stock
D,02/21/2023 00:00:00,Emswiler Shane,4,S-Sale,--D,1765,33521,3,0001422298,Common Stock
D,02/21/2023 00:00:00,Emswiler Shane,4,S-Sale,--D,3279,35286,2,0001422298,Common Stock
D,02/21/2023 00:00:00,Emswiler Shane,4,S-Sale,--D,5675,38565,1,0001422298,Common Stock
D,02/15/2023 00:00:00,Emswiler Shane,4,F-InKind,--D,9726,44240,6,0001422298,Common Stock
A,02/15/2023 00:00:00,Emswiler Shane,4,A-Award,--D,289,53885,5,0001422298,Common Stock
A,02/15/2023 00:00:00,Emswiler Shane,4,A-Award,--D,2968,53596,4,0001422298,Common Stock
A,02/15/2023 00:00:00,Emswiler Shane,4,A-Award,--D,4330,50628,3,0001422298,Common Stock
A,02/15/2023 00:00:00,Emswiler Shane,4,A-Award,--D,3632,46298,2,0001422298,Common Stock
A,02/15/2023 00:00:00,Emswiler Shane,4,A-Award,--D,16094,42666,1,0001422298,Common Stock
D,02/15/2023 00:00:00,ANASENES NICOLE,4,F-InKind,--D,4020,31840,4,0001748987,Common Stock
A,02/15/2023 00:00:00,ANASENES NICOLE,4,A-Award,--D,4330,35860,3,0001748987,Common Stock
A,02/15/2023 00:00:00,ANASENES NICOLE,4,A-Award,--D,2848,31530,2,0001748987,Common Stock
A,02/15/2023 00:00:00,ANASENES NICOLE,4,A-Award,--D,7228,28682,1,0001748987,Common Stock
D,02/15/2023 00:00:00,Gopal Ajei,4,F-InKind,--D,29427,225276,6,0001302712,Common Stock
A,02/15/2023 00:00:00,Gopal Ajei,4,A-Award,--D,1166,254703,5,0001302712,Common Stock
A,02/15/2023 00:00:00,Gopal Ajei,4,A-Award,--D,11968,253537,4,0001302712,Common Stock
A,02/15/2023 00:00:00,Gopal Ajei,4,A-Award,--D,17488,241569,3,0001302712,Common Stock
A,02/15/2023 00:00:00,Gopal Ajei,4,A-Award,--D,12106,224081,2,0001302712,Common Stock
A,02/15/2023 00:00:00,Gopal Ajei,4,A-Award,--D,37554,211975,1,0001302712,Common Stock
D,02/15/2023 00:00:00,LEE JANET,4,F-InKind,--D,1216,25368,5,0001711671,Common Stock
A,02/15/2023 00:00:00,LEE JANET,4,A-Award,--D,149,26538,4,0001711671,Common Stock
A,02/15/2023 00:00:00,LEE JANET,4,A-Award,--D,1532,26389,3,0001711671,Common Stock
A,02/15/2023 00:00:00,LEE JANET,4,A-Award,--D,2082,24857,2,0001711671,Common Stock
