MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/09/2023 00:00:00,Ramirez Gregory K,4,S-Sale,--D,2885,74479,2,0001588468,Class B Common Units of Artisan Partners Holdings LP
D,05/09/2023 00:00:00,Ramirez Gregory K,4,S-Sale,--D,2885,74479,1,0001588468,"Class B Common Stock, par value $0.01 per share"
A,03/01/2023 00:00:00,GOTTLIEB JASON A,4,A-Award,--D,40400,112407,1,0001695089,"Class A Common Stock, par value $0.01 per share"
A,03/01/2023 00:00:00,Krein Christopher J,4,A-Award,--D,25268,48237,1,0001794946,"Class A Common Stock, par value $0.01 per share"
A,03/01/2023 00:00:00,Colson Eric R,4,A-Award,--D,56990,204433,1,0001568880,"Class A Common Stock, par value $0.01 per share"
A,03/01/2023 00:00:00,Kwei Eileen Lee,4,A-Award,--D,17716,44141,1,0001839962,"Class A Common Stock, par value $0.01 per share"
A,03/01/2023 00:00:00,Ramirez Gregory K,4,A-Award,--D,16844,83335,1,0001588468,"Class A Common Stock, par value $0.01 per share"
A,03/01/2023 00:00:00,Sellers Samuel Bentson,4,A-Award,--D,10528,26096,1,0001959312,"Class A Common Stock, par value $0.01 per share"
A,03/01/2023 00:00:00,DALEY CHARLES J JR,4,A-Award,--D,23022,74083,1,0001206661,"Class A Common Stock, par value $0.01 per share"
D,02/15/2023 00:00:00,Kwei Eileen Lee,4,F-InKind,--D,2359,26425,1,0001839962,"Class A Common Stock, par value $0.01 per share"
D,02/15/2023 00:00:00,Krein Christopher J,4,F-InKind,--D,1166,22969,1,0001794946,"Class A Common Stock, par value $0.01 per share"
D,02/15/2023 00:00:00,Sellers Samuel Bentson,4,S-Sale,--D,9789.63,15568,2,0001959312,"Class A Common Stock, par value $0.01 per share"
D,02/15/2023 00:00:00,Sellers Samuel Bentson,4,F-InKind,--D,1279,25357.63,1,0001959312,"Class A Common Stock, par value $0.01 per share"
A,02/15/2023 00:00:00,GOTTLIEB JASON A,4,A-Award,--D,22500,22500,4,0001695089,Restricted Share Units
D,02/15/2023 00:00:00,GOTTLIEB JASON A,4,M-Exempt,--D,30000,64187,3,0001695089,Performance Share Units
D,02/15/2023 00:00:00,GOTTLIEB JASON A,4,F-InKind,--D,14206,72007,2,0001695089,"Class A Common Stock, par value $0.01 per share"
A,02/15/2023 00:00:00,GOTTLIEB JASON A,4,M-Exempt,--D,22500,86213,1,0001695089,"Class A Common Stock, par value $0.01 per share"
A,02/15/2023 00:00:00,Colson Eric R,4,A-Award,--D,22500,22500,3,0001568880,Restricted Share Units
D,02/15/2023 00:00:00,Colson Eric R,4,M-Exempt,--D,30000,64187,2,0001568880,Performance Share Units
A,02/15/2023 00:00:00,Colson Eric R,4,M-Exempt,--D,22500,147443,1,0001568880,"Class A Common Stock, par value $0.01 per share"
A,01/25/2023 00:00:00,BARBETTA JENNIFER,4,A-Award,--D,5702,13809,1,0001358479,"Class A Common Stock, par value $0.01 per share"
A,01/25/2023 00:00:00,Barger Matthew R,4,A-Award,--D,6842,18666,1,0001390196,"Class A Common Stock, par value $0.01 per share"
A,01/25/2023 00:00:00,COXE TENCH,4,A-Award,--D,5702,316612,1,0001197647,"Class A Common Stock, par value $0.01 per share"
A,01/25/2023 00:00:00,JOERRES JEFFREY A,4,A-Award,--D,6842,60455,1,0001182537,"Class A Common Stock, par value $0.01 per share"
A,01/25/2023 00:00:00,Multani Saloni S,4,A-Award,--D,7127,13080,1,0001878311,"Class A Common Stock, par value $0.01 per share"
A,01/25/2023 00:00:00,ZIEGLER ANDREW A,4,A-Award,--D,5702,53897,1,0001086157,"Class A Common Stock, par value $0.01 per share"
A,01/25/2023 00:00:00,DIMARCO STEPHANIE,4,A-Award,--D,9265,29418,1,0001195460,"Class A Common Stock, par value $0.01 per share"
A,03/01/2022 00:00:00,Krein Christopher J,4,A-Award,--D,23988,42796,2,0001794946,Performance Share Units
A,03/01/2022 00:00:00,GOTTLIEB JASON A,4,A-Award,--D,35976,94187,2,0001695089,Performance Share Units
A,03/01/2022 00:00:00,Colson Eric R,4,A-Award,--D,35976,94187,2,0001568880,Performance Share Units
A,03/01/2022 00:00:00,Kwei Eileen Lee,4,A-Award,--D,17986,28784,1,0001839962,"Class A Common Stock, par value $0.01 per share"
A,03/01/2022 00:00:00,Ramirez Gregory K,4,A-Award,--D,16187,66491,1,0001588468,"Class A Common Stock, par value $0.01 per share"
A,03/01/2022 00:00:00,Johnson Sarah A,4,A-Award,--D,16187,71591,1,0001588263,"Class A Common Stock, par value $0.01 per share"
A,03/01/2022 00:00:00,DALEY CHARLES J JR,4,A-Award,--D,16787,51061,1,0001206661,"Class A Common Stock, par value $0.01 per share"
D,02/15/2022 00:00:00,Krein Christopher J,4,F-InKind,--D,1391,24135,1,0001794946,"Class A Common Stock, par value $0.01 per share"
D,02/15/2022 00:00:00,GOTTLIEB JASON A,4,F-InKind,--D,6325,63713,1,0001695089,"Class A Common Stock, par value $0.01 per share"
D,02/15/2022 00:00:00,Kwei Eileen Lee,4,F-InKind,--D,931,10798,1,0001839962,"Class A Common Stock, par value $0.01 per share"
A,01/25/2022 00:00:00,Multani Saloni S,4,A-Award,--D,5953,5953,1,0001878311,"Class A Common Stock, par value $0.01 per share"
A,01/25/2022 00:00:00,JOERRES JEFFREY A,4,A-Award,--D,5715,53613,1,0001182537,"Class A Common Stock, par value $0.01 per share"
A,01/25/2022 00:00:00,ZIEGLER ANDREW A,4,A-Award,--D,4762,48195,1,0001086157,"Class A Common Stock, par value $0.01 per share"
A,01/25/2022 00:00:00,DIMARCO STEPHANIE,4,A-Award,--D,7739,20153,1,0001195460,"Class A Common Stock, par value $0.01 per share"
A,01/25/2022 00:00:00,COXE TENCH,4,A-Award,--D,4762,310910,1,0001197647,"Class A Common Stock, par value $0.01 per share"
A,01/25/2022 00:00:00,Barger Matthew R,4,A-Award,--D,5715,11824,1,0001390196,"Class A Common Stock, par value $0.01 per share"
A,01/25/2022 00:00:00,BARBETTA JENNIFER,4,A-Award,--D,4762,8107,1,0001358479,"Class A Common Stock, par value $0.01 per share"
A,12/14/2021 00:00:00,COXE TENCH,4,P-Purchase,--D,220000,306148,1,0001197647,"Class A Common Stock, par value $0.01 per share"
D,11/01/2021 00:00:00,GOTTLIEB JASON A,4,F-InKind,--D,1766,70038,1,0001695089,"Class A Common Stock, par value $0.01 per share"
D,05/14/2021 00:00:00,DALEY CHARLES J JR,4,S-Sale,--D,19930,34274,1,0001206661,"Class A Common Stock, par value $0.01 per share"
A,04/30/2021 00:00:00,COXE TENCH,4,P-Purchase,--I,98000,98000,1,0001197647,"Class A Common Stock, par value $0.01 per share"
D,03/01/2021 00:00:00,Johnson Sarah A,4,D-Return,--D,20000,74464,3,0001588263,Class B Common Units of Artisan Partners Holdings LP
D,03/01/2021 00:00:00,Johnson Sarah A,4,D-Return,--D,20000,74464,2,0001588263,"Class B Common Stock, par value $0.01 per share"
A,03/01/2021 00:00:00,Johnson Sarah A,4,A-Award,--D,9404,55404,1,0001588263,"Class A Common Stock, par value $0.01 per share"
A,03/01/2021 00:00:00,Ramirez Gregory K,4,A-Award,--D,9404,50304,1,0001588468,"Class A Common Stock, par value $0.01 per share"
A,03/01/2021 00:00:00,Kwei Eileen Lee,4,A-Award,--D,5642,11729,1,0001839962,"Class A Common Stock, par value $0.01 per share"
A,03/01/2021 00:00:00,DALEY CHARLES J JR,4,A-Award,--D,9404,54204,1,0001206661,"Class A Common Stock, par value $0.01 per share"
A,03/01/2021 00:00:00,Krein Christopher J,4,A-Award,--D,18808,18808,1,0001794946,Performance Share Units
A,03/01/2021 00:00:00,Colson Eric R,4,A-Award,--D,28211,58211,1,0001568880,Performance Share Units
A,03/01/2021 00:00:00,GOTTLIEB JASON A,4,A-Award,--D,28211,58211,1,0001695089,Performance Share Units
D,02/16/2021 00:00:00,GOTTLIEB JASON A,4,F-InKind,--D,10024,71804,1,0001695089,"Class A Common Stock, par value $0.01 per share"
D,02/16/2021 00:00:00,Kwei Eileen Lee,4,F-InKind,--D,558,6087,1,0001839962,"Class A Common Stock, par value $0.01 per share"
D,02/16/2021 00:00:00,Krein Christopher J,4,F-InKind,--D,2068,25526,1,0001794946,"Class A Common Stock, par value $0.01 per share"
A,01/26/2021 00:00:00,Barger Matthew R,4,A-Award,--D,4109,6109,1,0001390196,"Class A Common Stock, par value $0.01 per share"
A,01/26/2021 00:00:00,COXE TENCH,4,A-Award,--D,3345,86148,1,0001197647,"Class A Common Stock, par value $0.01 per share"
A,01/26/2021 00:00:00,DIMARCO STEPHANIE,4,A-Award,--D,4300,12414,1,0001195460,"Class A Common Stock, par value $0.01 per share"
A,01/26/2021 00:00:00,BARBETTA JENNIFER,4,A-Award,--D,3345,3345,1,0001358479,"Class A Common Stock, par value $0.01 per share"
A,01/26/2021 00:00:00,JOERRES JEFFREY A,4,A-Award,--D,4109,47898,1,0001182537,"Class A Common Stock, par value $0.01 per share"
A,01/26/2021 00:00:00,ZIEGLER ANDREW A,4,A-Award,--D,4300,43433,1,0001086157,"Class A Common Stock, par value $0.01 per share"
D,11/02/2020 00:00:00,GOTTLIEB JASON A,4,S-Sale,--D,10000,81828,1,0001695089,"Class A Common Stock, par value $0.01 per share"
A,03/13/2020 00:00:00,COXE TENCH,4,P-Purchase,--I,8075,50000,9,0001197647,"Class A Common Stock, par value $0.01 per share"
A,03/13/2020 00:00:00,COXE TENCH,4,P-Purchase,--I,13097,41925,8,0001197647,"Class A Common Stock, par value $0.01 per share"
A,03/13/2020 00:00:00,COXE TENCH,4,P-Purchase,--I,28828,28828,7,0001197647,"Class A Common Stock, par value $0.01 per share"
A,03/13/2020 00:00:00,COXE TENCH,4,P-Purchase,--I,8076,50000,6,0001197647,"Class A Common Stock, par value $0.01 per share"
A,03/13/2020 00:00:00,COXE TENCH,4,P-Purchase,--I,13096,41924,5,0001197647,"Class A Common Stock, par value $0.01 per share"
A,03/13/2020 00:00:00,COXE TENCH,4,P-Purchase,--I,28828,28828,4,0001197647,"Class A Common Stock, par value $0.01 per share"
A,03/13/2020 00:00:00,COXE TENCH,4,P-Purchase,--D,8075,82803,3,0001197647,"Class A Common Stock, par value $0.01 per share"
A,03/13/2020 00:00:00,COXE TENCH,4,P-Purchase,--D,13097,74728,2,0001197647,"Class A Common Stock, par value $0.01 per share"
A,03/13/2020 00:00:00,COXE TENCH,4,P-Purchase,--D,28828,61631,1,0001197647,"Class A Common Stock, par value $0.01 per share"
D,02/24/2020 00:00:00,DALEY CHARLES J JR,4,D-Return,--D,37729,60050,2,0001206661,Class B Common Units of Artisan Partners Holdings LP
D,02/24/2020 00:00:00,DALEY CHARLES J JR,4,D-Return,--D,37729,60050,1,0001206661,"Class B Common Stock, par value $0.01 per share"
A,02/18/2020 00:00:00,Krein Christopher J,4,A-Award,--D,11500,27594,2,0001794946,"Class A Common Stock, par value $0.01 per share"
D,02/18/2020 00:00:00,Krein Christopher J,4,F-InKind,--D,1271,27594,1,0001794946,"Class A Common Stock, par value $0.01 per share"
