MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/28/2023 00:00:00,Watson David O.,4,G-Gift,--I,12750,80705,2,0001657719,Common Stock
D,06/28/2023 00:00:00,Watson David O.,4,G-Gift,--D,12750,94263,1,0001657719,Common Stock
D,06/20/2023 00:00:00,Machiels Alec,4,M-Exempt,--D,1250,106029,6,0001496687,Stock Option (Right to Buy)
D,06/20/2023 00:00:00,Machiels Alec,4,S-Sale,--D,1250,267641,5,0001496687,Common Stock
A,06/20/2023 00:00:00,Machiels Alec,4,M-Exempt,--D,1250,268891,4,0001496687,Common Stock
D,06/08/2023 00:00:00,Deschatelets Pascal,4,M-Exempt,--D,18500,91494,3,0001657720,Stock Option (Right to Buy)
D,06/08/2023 00:00:00,Deschatelets Pascal,4,S-Sale,--D,12000,1040313,2,0001657720,Common Stock
A,06/08/2023 00:00:00,Deschatelets Pascal,4,M-Exempt,--D,18500,1052313,1,0001657720,Common Stock
D,06/05/2023 00:00:00,Sullivan Timothy Eugene,4,M-Exempt,--D,69779,288840,7,0001707000,Stock Option (Right to Buy)
D,06/05/2023 00:00:00,Sullivan Timothy Eugene,4,S-Sale,--D,30506,77713,6,0001707000,Common Stock
D,06/05/2023 00:00:00,Sullivan Timothy Eugene,4,S-Sale,--D,7064,108219,5,0001707000,Common Stock
D,06/05/2023 00:00:00,Sullivan Timothy Eugene,4,S-Sale,--D,30609,115283,4,0001707000,Common Stock
D,06/05/2023 00:00:00,Sullivan Timothy Eugene,4,S-Sale,--D,1600,145892,3,0001707000,Common Stock
A,06/05/2023 00:00:00,Sullivan Timothy Eugene,4,M-Exempt,--D,69779,147492,2,0001707000,Common Stock
D,06/01/2023 00:00:00,Lewis Karen,4,M-Exempt,--D,5000,106000,3,0001814304,Stock Option (Right to Buy)
D,06/01/2023 00:00:00,Lewis Karen,4,S-Sale,--D,5000,41504,2,0001814304,Common Stock
A,06/01/2023 00:00:00,Lewis Karen,4,M-Exempt,--D,5000,46504,1,0001814304,Common Stock
A,05/24/2023 00:00:00,Francois Cedric,4,G-Gift,--I,20000,654211,2,0001658080,Common Stock
D,05/24/2023 00:00:00,Francois Cedric,4,G-Gift,--D,20000,274655,1,0001658080,Common Stock
D,05/17/2023 00:00:00,Machiels Alec,4,M-Exempt,--D,1250,107279,6,0001496687,Stock Option (Right to Buy)
D,05/17/2023 00:00:00,Machiels Alec,4,S-Sale,--D,1250,267641,5,0001496687,Common Stock
A,05/17/2023 00:00:00,Machiels Alec,4,M-Exempt,--D,1250,268891,4,0001496687,Common Stock
D,05/17/2023 00:00:00,Francois Cedric,4,M-Exempt,--D,20000,300000,14,0001658080,Stock Option (Right to Buy)
