MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/13/2023 00:00:00,Shikin Vasily,4,S-Sale,--D,30000,8672832,1,0001847757,Class A Common Stock
D,06/13/2023 00:00:00,Harvey Dawson Alyssa,4,S-Sale,--D,5188,13789,1,0001891831,Class A Common Stock
A,06/07/2023 00:00:00,Georgiadis Mary Margaret Hastings,4,A-Award,--D,10448,40190,1,0001401333,Class A Common Stock
A,06/07/2023 00:00:00,Sharma Asha,4,A-Award,--D,10448,21491,1,0001837479,Class A Common Stock
A,06/07/2023 00:00:00,Harvey Dawson Alyssa,4,A-Award,--D,10448,18977,1,0001891831,Class A Common Stock
A,06/05/2023 00:00:00,Vivas Eduardo,4,G-Gift,--I,44554,126836,2,0001848493,Class A Common Stock
D,06/05/2023 00:00:00,Vivas Eduardo,4,G-Gift,--D,44554,9561903.249,1,0001848493,Class A Common Stock
D,06/01/2023 00:00:00,KKR Denali Holdings L.P.,4,J-Other,--I,137723,29644896,2,0001849449,Class A Common Stock
D,06/01/2023 00:00:00,KKR Denali Holdings L.P.,4,S-Sale,--I,15000000,29782619,1,0001849449,Class A Common Stock
D,06/01/2023 00:00:00,KKR Group Partnership L.P.,4,G-Gift,--I,6079,0,3,0001472698,Class A Common Stock
D,06/01/2023 00:00:00,KKR Group Partnership L.P.,4,J-Other,--I,137723,29644896,2,0001472698,Class A Common Stock
D,06/01/2023 00:00:00,KKR Group Partnership L.P.,4,S-Sale,--I,15000000,29782619,1,0001472698,Class A Common Stock
D,05/24/2023 00:00:00,Valenzuela Victoria,4,S-Sale,--D,52193,684533,1,0001846998,Class A Common Stock
D,05/23/2023 00:00:00,Jansen Katie Kihorany,4,S-Sale,--D,52193,1449373,2,0001849844,Class A Common Stock
D,05/20/2023 00:00:00,Valenzuela Victoria,4,F-InKind,--D,61328,736726,1,0001846998,Class A Common Stock
D,05/20/2023 00:00:00,Shikin Vasily,4,F-InKind,--D,103508,8702832,1,0001847757,Class A Common Stock
D,05/20/2023 00:00:00,Jansen Katie Kihorany,4,F-InKind,--D,62973,1501566,1,0001849844,Class A Common Stock
D,05/20/2023 00:00:00,Foroughi Arash Adam,4,F-InKind,--D,87054,7924394,1,0001848395,Class A Common Stock
D,05/17/2023 00:00:00,KKR Denali Holdings L.P.,4,S-Sale,--I,15952381,44782619,1,0001849449,Class A Common Stock
D,05/17/2023 00:00:00,KKR Group Partnership L.P.,4,S-Sale,--I,15952381,44782619,1,0001472698,Class A Common Stock
D,05/11/2023 00:00:00,Valenzuela Victoria,4,S-Sale,--D,24314,798054,2,0001846998,Class A Common Stock
D,05/11/2023 00:00:00,Valenzuela Victoria,4,S-Sale,--D,25686,822368,1,0001846998,Class A Common Stock
D,03/14/2023 00:00:00,Vivas Eduardo,4,G-Gift,--D,324939,9606457.249,1,0001848493,Class A Common Stock
A,03/13/2023 00:00:00,Shikin Vasily,4,A-Award,--D,6902000,8806340,2,0001847757,Class A Common Stock
A,03/13/2023 00:00:00,Shikin Vasily,4,A-Award,--D,520472,1904340,1,0001847757,Class A Common Stock
A,03/13/2023 00:00:00,Foroughi Arash Adam,4,A-Award,--D,6902000,8011448,2,0001848395,Class A Common Stock
A,03/13/2023 00:00:00,Foroughi Arash Adam,4,A-Award,--D,520472,1109448,1,0001848395,Class A Common Stock
D,03/07/2023 00:00:00,Valenzuela Victoria,4,S-Sale,--D,65167,848054,1,0001846998,Class A Common Stock
D,03/06/2023 00:00:00,Jansen Katie Kihorany,4,S-Sale,--D,65155,1564539,1,0001849844,Class A Common Stock
D,02/20/2023 00:00:00,Shikin Vasily,4,F-InKind,--D,87892,1383868,1,0001847757,Class A Common Stock
D,02/20/2023 00:00:00,Foroughi Arash Adam,4,F-InKind,--D,72399,588976,1,0001848395,Class A Common Stock
D,02/20/2023 00:00:00,Jansen Katie Kihorany,4,F-InKind,--D,49723,1629694,1,0001849844,Class A Common Stock
D,02/20/2023 00:00:00,Valenzuela Victoria,4,F-InKind,--D,48161,913221,1,0001846998,Class A Common Stock
D,02/13/2023 00:00:00,Valenzuela Victoria,4,S-Sale,--D,25000,961382,1,0001846998,Class A Common Stock
A,02/03/2023 00:00:00,Jansen Katie Kihorany,4,A-Award,--D,440917,1679417,1,0001849844,Class A Common Stock
A,02/03/2023 00:00:00,Valenzuela Victoria,4,A-Award,--D,440917,986382,1,0001846998,Class A Common Stock
A,02/03/2023 00:00:00,Shikin Vasily,4,A-Award,--D,661375,1471760,1,0001847757,Class A Common Stock
A,02/03/2023 00:00:00,Foroughi Arash Adam,4,A-Award,--D,661375,661375,1,0001848395,Class A Common Stock
D,12/15/2022 00:00:00,Chen Herald Y,4,M-Exempt,--D,19800,2280201,3,0001348636,Stock Option (Right to Buy)
A,12/15/2022 00:00:00,Chen Herald Y,4,M-Exempt,--D,19800,80199,1,0001348636,Class A Common Stock
D,12/12/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,100000,0,10,0001848395,Class A Common Stock
D,12/12/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,91223,786000,9,0001848395,Class A Common Stock
D,12/12/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,91223,1536000,8,0001848395,Class A Common Stock
D,12/12/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,91222,3036000,7,0001848395,Class A Common Stock
D,12/09/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,124555,877223,6,0001848395,Class A Common Stock
D,12/09/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,124556,1627223,5,0001848395,Class A Common Stock
D,12/09/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,124556,3127222,4,0001848395,Class A Common Stock
D,12/08/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,124556,1001778,3,0001848395,Class A Common Stock
D,12/08/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,124555,1751779,2,0001848395,Class A Common Stock
D,12/08/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,124555,3251778,1,0001848395,Class A Common Stock
D,12/07/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,124555,1126334,18,0001848395,Class A Common Stock
D,12/07/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,124555,1876334,17,0001848395,Class A Common Stock
D,12/07/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,124556,3376333,16,0001848395,Class A Common Stock
D,12/06/2022 00:00:00,Foroughi Arash Adam,4,S-Sale,--I,1117,1250889,15,0001848395,Class A Common Stock
