MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/15/2023 00:00:00,NAVARRE RICHARD A,4,A-Award,--D,276,2499,2,0001213886,Deferred Stock Units
A,06/15/2023 00:00:00,NAVARRE RICHARD A,4,A-Award,--D,23,47,1,0001213886,Dividend Equivalent Rights
A,06/15/2023 00:00:00,KRIEGSHAUSER PATRICK A,4,A-Award,--D,276,2499,1,0001046085,Deferred Stock Units
A,06/15/2023 00:00:00,KOEPPEL HOLLY K,4,A-Award,--D,224,2030,1,0001210399,Deferred Stock Units
A,06/15/2023 00:00:00,Zhang Peifang,4,A-Award,--D,43,386,2,0001708005,Deferred Stock Units
A,06/15/2023 00:00:00,Zhang Peifang,4,A-Award,--D,23,47,1,0001708005,Dividend Equivalent Rights
A,03/15/2023 00:00:00,Zhang Peifang,4,A-Award,--D,44,343,2,0001708005,Deferred Stock Units
A,03/15/2023 00:00:00,Zhang Peifang,4,A-Award,--D,24,24,1,0001708005,Dividend Equivalent Rights
A,03/15/2023 00:00:00,NAVARRE RICHARD A,4,A-Award,--D,288,2223,2,0001213886,Deferred Stock Units
A,03/15/2023 00:00:00,NAVARRE RICHARD A,4,A-Award,--D,24,24,1,0001213886,Dividend Equivalent Rights
A,03/15/2023 00:00:00,KRIEGSHAUSER PATRICK A,4,A-Award,--D,288,2223,1,0001046085,Deferred Stock Units
A,03/15/2023 00:00:00,KOEPPEL HOLLY K,4,A-Award,--D,234,1806,1,0001210399,Deferred Stock Units
D,03/03/2023 00:00:00,Klein Rosemary L,4,S-Sale,--D,1549,7999,1,0001310202,Common Stock
D,02/28/2023 00:00:00,Klein Rosemary L,4,S-Sale,--D,700,9548,7,0001310202,Common Stock
D,02/28/2023 00:00:00,Klein Rosemary L,4,S-Sale,--D,1777,10248,6,0001310202,Common Stock
D,02/27/2023 00:00:00,Ziegler John A.,4,M-Exempt,--D,3583,0,14,0001546424,Restricted Stock Units
D,02/27/2023 00:00:00,Ziegler John A.,4,S-Sale,--D,100,27207,12,0001546424,Common Stock
D,02/27/2023 00:00:00,Ziegler John A.,4,S-Sale,--D,200,27307,11,0001546424,Common Stock
D,02/27/2023 00:00:00,Ziegler John A.,4,S-Sale,--D,1885,27507,10,0001546424,Common Stock
D,02/27/2023 00:00:00,Ziegler John A.,4,S-Sale,--D,476,29392,9,0001546424,Common Stock
D,02/27/2023 00:00:00,Ziegler John A.,4,S-Sale,--D,400,29868,8,0001546424,Common Stock
D,02/27/2023 00:00:00,Ziegler John A.,4,S-Sale,--D,300,30268,7,0001546424,Common Stock
D,02/27/2023 00:00:00,Ziegler John A.,4,S-Sale,--D,718,30568,6,0001546424,Common Stock
D,02/27/2023 00:00:00,Ziegler John A.,4,F-InKind,--D,10518,31286,5,0001546424,Common Stock
A,02/27/2023 00:00:00,Ziegler John A.,4,A-Award,--D,20156,41804,4,0001546424,Common Stock
A,02/27/2023 00:00:00,Ziegler John A.,4,M-Exempt,--D,3583,21648,3,0001546424,Common Stock
D,02/27/2023 00:00:00,Ziegler John A.,4,F-InKind,--D,1434,18065,2,0001546424,Common Stock
D,02/27/2023 00:00:00,Slone Deck,4,M-Exempt,--D,3283,0,14,0001335025,Restricted Stock Units
D,02/27/2023 00:00:00,Slone Deck,4,S-Sale,--D,100,21007,12,0001335025,Common Stock
D,02/27/2023 00:00:00,Slone Deck,4,S-Sale,--D,914,21107,11,0001335025,Common Stock
D,02/27/2023 00:00:00,Slone Deck,4,S-Sale,--D,2824,22021,10,0001335025,Common Stock
D,02/27/2023 00:00:00,Slone Deck,4,S-Sale,--D,400,24845,9,0001335025,Common Stock
D,02/27/2023 00:00:00,Slone Deck,4,S-Sale,--D,500,25245,8,0001335025,Common Stock
D,02/27/2023 00:00:00,Slone Deck,4,S-Sale,--D,400,25745,7,0001335025,Common Stock
D,02/27/2023 00:00:00,Slone Deck,4,S-Sale,--D,1088,26145,6,0001335025,Common Stock
D,02/27/2023 00:00:00,Slone Deck,4,F-InKind,--D,9637,27233,5,0001335025,Common Stock
A,02/27/2023 00:00:00,Slone Deck,4,A-Award,--D,18468,36870,4,0001335025,Common Stock
A,02/27/2023 00:00:00,Slone Deck,4,M-Exempt,--D,3283,18402,3,0001335025,Common Stock
D,02/27/2023 00:00:00,Slone Deck,4,F-InKind,--D,1270,15119,2,0001335025,Common Stock
D,02/27/2023 00:00:00,LORSON JOHN W,4,M-Exempt,--D,417,0,8,0001104409,Restricted Stock Units
D,02/27/2023 00:00:00,LORSON JOHN W,4,S-Sale,--D,474,4079,6,0001104409,Common Stock
D,02/27/2023 00:00:00,LORSON JOHN W,4,F-InKind,--D,810,4553,5,0001104409,Common Stock
A,02/27/2023 00:00:00,LORSON JOHN W,4,A-Award,--D,2343,5363,4,0001104409,Common Stock
A,02/27/2023 00:00:00,LORSON JOHN W,4,M-Exempt,--D,417,3020,3,0001104409,Common Stock
D,02/27/2023 00:00:00,LORSON JOHN W,4,F-InKind,--D,118,2603,2,0001104409,Common Stock
D,02/27/2023 00:00:00,Lang Paul A,4,M-Exempt,--D,10084,0,7,0001382977,Restricted Stock Units
D,02/27/2023 00:00:00,Lang Paul A,4,F-InKind,--D,29597,132372,5,0001382977,Common Stock
A,02/27/2023 00:00:00,Lang Paul A,4,A-Award,--D,56722,161969,4,0001382977,Common Stock
A,02/27/2023 00:00:00,Lang Paul A,4,M-Exempt,--D,10084,105247,3,0001382977,Common Stock
D,02/27/2023 00:00:00,Lang Paul A,4,F-InKind,--D,4497,95163,2,0001382977,Common Stock
D,02/27/2023 00:00:00,Giljum Matthew C.,4,M-Exempt,--D,3387,0,13,0001809723,Restricted Stock Units
D,02/27/2023 00:00:00,Giljum Matthew C.,4,S-Sale,--D,200,24193,11,0001809723,Common Stock
D,02/27/2023 00:00:00,Giljum Matthew C.,4,S-Sale,--D,1144,24393,10,0001809723,Common Stock
D,02/27/2023 00:00:00,Giljum Matthew C.,4,S-Sale,--D,300,25537,9,0001809723,Common Stock
D,02/27/2023 00:00:00,Giljum Matthew C.,4,S-Sale,--D,200,25837,8,0001809723,Common Stock
D,02/27/2023 00:00:00,Giljum Matthew C.,4,S-Sale,--D,200,26037,7,0001809723,Common Stock
D,02/27/2023 00:00:00,Giljum Matthew C.,4,S-Sale,--D,573,26237,6,0001809723,Common Stock
D,02/27/2023 00:00:00,Giljum Matthew C.,4,F-InKind,--D,9941,26810,5,0001809723,Common Stock
A,02/27/2023 00:00:00,Giljum Matthew C.,4,A-Award,--D,19049,36751,4,0001809723,Common Stock
A,02/27/2023 00:00:00,Giljum Matthew C.,4,M-Exempt,--D,3387,17702,3,0001809723,Common Stock
D,02/27/2023 00:00:00,Giljum Matthew C.,4,F-InKind,--D,1654,14315,2,0001809723,Common Stock
D,02/27/2023 00:00:00,EAVES JOHN W,4,M-Exempt,--D,12367,0,7,0001046080,Restricted Stock Units
D,02/27/2023 00:00:00,EAVES JOHN W,4,F-InKind,--D,32240,187088,5,0001046080,Common Stock
A,02/27/2023 00:00:00,EAVES JOHN W,4,A-Award,--D,69562,219328,4,0001046080,Common Stock
A,02/27/2023 00:00:00,EAVES JOHN W,4,M-Exempt,--D,12367,149766,3,0001046080,Common Stock
D,02/27/2023 00:00:00,EAVES JOHN W,4,F-InKind,--D,1410,137399,2,0001046080,Common Stock
D,02/27/2023 00:00:00,Drexler John T.,4,M-Exempt,--D,6051,0,7,0001433224,Restricted Stock Units
D,02/27/2023 00:00:00,Drexler John T.,4,F-InKind,--D,17760,80632,5,0001433224,Common Stock
A,02/27/2023 00:00:00,Drexler John T.,4,A-Award,--D,34034,98392,4,0001433224,Common Stock
A,02/27/2023 00:00:00,Drexler John T.,4,M-Exempt,--D,6051,64358,3,0001433224,Common Stock
D,02/27/2023 00:00:00,Drexler John T.,4,F-InKind,--D,2629,58307,2,0001433224,Common Stock
D,02/27/2023 00:00:00,Demzik Paul T.,4,M-Exempt,--D,3450,0,13,0001762993,Restricted Stock Units
D,02/27/2023 00:00:00,Demzik Paul T.,4,S-Sale,--D,110,12237,11,0001762993,Common Stock
D,02/27/2023 00:00:00,Demzik Paul T.,4,S-Sale,--D,1818,12347,10,0001762993,Common Stock
D,02/27/2023 00:00:00,Demzik Paul T.,4,S-Sale,--D,600,14165,9,0001762993,Common Stock
D,02/27/2023 00:00:00,Demzik Paul T.,4,S-Sale,--D,300,14765,8,0001762993,Common Stock
D,02/27/2023 00:00:00,Demzik Paul T.,4,S-Sale,--D,400,15065,7,0001762993,Common Stock
D,02/27/2023 00:00:00,Demzik Paul T.,4,S-Sale,--D,698,15465,6,0001762993,Common Stock
D,02/27/2023 00:00:00,Demzik Paul T.,4,F-InKind,--D,10126,16163,5,0001762993,Common Stock
A,02/27/2023 00:00:00,Demzik Paul T.,4,A-Award,--D,19406,26289,4,0001762993,Common Stock
A,02/27/2023 00:00:00,Demzik Paul T.,4,M-Exempt,--D,3450,6883,3,0001762993,Common Stock
D,02/27/2023 00:00:00,Demzik Paul T.,4,F-InKind,--D,1344,3433,2,0001762993,Common Stock
D,02/27/2023 00:00:00,Klein Rosemary L,4,M-Exempt,--D,550,0,9,0001310202,Restricted Stock Units
D,02/27/2023 00:00:00,Klein Rosemary L,4,F-InKind,--D,1615,12025,5,0001310202,Common Stock
A,02/27/2023 00:00:00,Klein Rosemary L,4,A-Award,--D,3093,13640,4,0001310202,Common Stock
A,02/27/2023 00:00:00,Klein Rosemary L,4,M-Exempt,--D,550,10547,3,0001310202,Common Stock
D,02/27/2023 00:00:00,Klein Rosemary L,4,F-InKind,--D,2191,9997,2,0001310202,Common Stock
D,02/25/2023 00:00:00,Ziegler John A.,4,M-Exempt,--D,3450,3450,13,0001546424,Restricted Stock Units
A,02/25/2023 00:00:00,Ziegler John A.,4,M-Exempt,--D,3450,19499,1,0001546424,Common Stock
D,02/25/2023 00:00:00,Slone Deck,4,M-Exempt,--D,3150,3150,13,0001335025,Restricted Stock Units
A,02/25/2023 00:00:00,Slone Deck,4,M-Exempt,--D,3150,16389,1,0001335025,Common Stock
D,02/25/2023 00:00:00,LORSON JOHN W,4,M-Exempt,--D,400,400,7,0001104409,Restricted Stock Units
A,02/25/2023 00:00:00,LORSON JOHN W,4,M-Exempt,--D,400,2721,1,0001104409,Common Stock
D,02/25/2023 00:00:00,Lang Paul A,4,M-Exempt,--D,10150,10150,6,0001382977,Restricted Stock Units
A,02/25/2023 00:00:00,Lang Paul A,4,M-Exempt,--D,10150,99660,1,0001382977,Common Stock
D,02/25/2023 00:00:00,Giljum Matthew C.,4,M-Exempt,--D,3733,3734,12,0001809723,Restricted Stock Units
A,02/25/2023 00:00:00,Giljum Matthew C.,4,M-Exempt,--D,3733,15969,1,0001809723,Common Stock
D,02/25/2023 00:00:00,EAVES JOHN W,4,M-Exempt,--D,3583,3584,6,0001046080,Restricted Stock Units
A,02/25/2023 00:00:00,EAVES JOHN W,4,M-Exempt,--D,3583,138809,1,0001046080,Common Stock
D,02/25/2023 00:00:00,Drexler John T.,4,M-Exempt,--D,5933,5934,6,0001433224,Restricted Stock Units
A,02/25/2023 00:00:00,Drexler John T.,4,M-Exempt,--D,5933,60936,1,0001433224,Common Stock
D,02/25/2023 00:00:00,Demzik Paul T.,4,M-Exempt,--D,3317,3317,12,0001762993,Restricted Stock Units
A,02/25/2023 00:00:00,Demzik Paul T.,4,M-Exempt,--D,3317,4777,1,0001762993,Common Stock
D,02/25/2023 00:00:00,Klein Rosemary L,4,M-Exempt,--D,5117,5117,8,0001310202,Restricted Stock Units
A,02/25/2023 00:00:00,Klein Rosemary L,4,M-Exempt,--D,5117,12188,1,0001310202,Common Stock
D,02/16/2023 00:00:00,Klein Rosemary L,4,S-Sale,--D,623,7071,1,0001310202,Common Stock
D,02/10/2023 00:00:00,Ziegler John A.,4,M-Exempt,--D,1800,3600,5,0001546424,Restricted Stock Units
D,02/10/2023 00:00:00,Ziegler John A.,4,S-Sale,--D,270,16049,3,0001546424,Common Stock
D,02/10/2023 00:00:00,Ziegler John A.,4,F-InKind,--D,567,16319,2,0001546424,Common Stock
A,02/10/2023 00:00:00,Ziegler John A.,4,M-Exempt,--D,1800,16886,1,0001546424,Common Stock
D,02/10/2023 00:00:00,Slone Deck,4,M-Exempt,--D,1733,3467,5,0001335025,Restricted Stock Units
D,02/10/2023 00:00:00,Slone Deck,4,S-Sale,--D,433,13239,3,0001335025,Common Stock
D,02/10/2023 00:00:00,Slone Deck,4,F-InKind,--D,547,13672,2,0001335025,Common Stock
A,02/10/2023 00:00:00,Slone Deck,4,M-Exempt,--D,1733,14219,1,0001335025,Common Stock
D,02/10/2023 00:00:00,LORSON JOHN W,4,M-Exempt,--D,216,434,5,0001104409,Restricted Stock Units
D,02/10/2023 00:00:00,LORSON JOHN W,4,S-Sale,--D,33,2321,3,0001104409,Common Stock
D,02/10/2023 00:00:00,LORSON JOHN W,4,F-InKind,--D,75,2354,2,0001104409,Common Stock
