MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/28/2023 00:00:00,Nawabi Wahid,4,M-Exempt,--D,16667,0,3,0001538012,Performance Restricted Stock Awards
D,06/28/2023 00:00:00,Nawabi Wahid,4,F-InKind,--D,2868,70797,2,0001538012,Common Stock
A,06/28/2023 00:00:00,Nawabi Wahid,4,M-Exempt,--D,5783,73665,1,0001538012,Common Stock
A,06/28/2023 00:00:00,McDonnell Kevin Patrick,4,M-Exempt,--D,3375,0,3,0001800899,Performance Restricted Stock Awards
D,06/28/2023 00:00:00,McDonnell Kevin Patrick,4,F-InKind,--D,405,13478,2,0001800899,Common Stock
A,06/28/2023 00:00:00,McDonnell Kevin Patrick,4,M-Exempt,--D,1171,13883,1,0001800899,Common Stock
A,06/28/2023 00:00:00,Brown Melissa Ann,4,M-Exempt,--D,2152,0,3,0001718505,Performance Restricted Stock Awards
D,06/28/2023 00:00:00,Brown Melissa Ann,4,F-InKind,--D,258,11957,2,0001718505,Common Stock
A,06/28/2023 00:00:00,Brown Melissa Ann,4,M-Exempt,--D,746,12215,1,0001718505,Common Stock
A,06/28/2023 00:00:00,Shackley Brian Charles,4,M-Exempt,--D,843,0,3,0001790261,Performance Restricted Stock Awards
D,06/28/2023 00:00:00,Shackley Brian Charles,4,F-InKind,--D,101,3350,2,0001790261,Common Stock
A,06/28/2023 00:00:00,Shackley Brian Charles,4,M-Exempt,--D,292,3451,1,0001790261,Common Stock
A,06/28/2023 00:00:00,Stevenson Trace E,4,M-Exempt,--D,1265,0,3,0001983167,Performance Restricted Stock Awards
D,06/28/2023 00:00:00,Stevenson Trace E,4,F-InKind,--D,148,3704,2,0001983167,Common Stock
A,06/28/2023 00:00:00,Stevenson Trace E,4,M-Exempt,--D,438,3852,1,0001983167,Common Stock
D,04/21/2023 00:00:00,Nawabi Wahid,4,M-Exempt,--D,30000,0,2,0001538012,Option to Purchase Common Stock
A,04/21/2023 00:00:00,Nawabi Wahid,4,M-Exempt,--D,30000,67882,1,0001538012,Common Stock
D,04/04/2023 00:00:00,McDonnell Kevin Patrick,4,F-InKind,--D,305,12712,1,0001800899,Common Stock
D,04/04/2023 00:00:00,Shackley Brian Charles,4,F-InKind,--D,223,3159,1,0001790261,Common Stock
A,03/30/2023 00:00:00,PAGE STEPHEN F,4,M-Exempt,--D,10000,0,4,0001184178,Option to Purchase Common Stock
D,03/30/2023 00:00:00,PAGE STEPHEN F,4,S-Sale,--D,2105,45721,2,0001184178,Common Stock
A,03/30/2023 00:00:00,PAGE STEPHEN F,4,M-Exempt,--D,10000,47826,1,0001184178,Common Stock
A,03/15/2023 00:00:00,MULLER EDWARD R,4,J-Other,--I,17489,44496,2,0001180211,Common Stock
D,03/15/2023 00:00:00,MULLER EDWARD R,4,J-Other,--D,17489,2919,1,0001180211,Common Stock
D,03/09/2023 00:00:00,MULLER EDWARD R,4,M-Exempt,--D,25000,0,5,0001180211,Option to Purchase Common Stock
D,03/09/2023 00:00:00,MULLER EDWARD R,4,S-Sale,--D,7511,20408,2,0001180211,Common Stock
A,03/09/2023 00:00:00,MULLER EDWARD R,4,M-Exempt,--D,25000,27919,1,0001180211,Common Stock
D,01/12/2023 00:00:00,PAGE STEPHEN F,4/A,S-Sale,--D,2100,37826,1,0001184178,Common Stock
D,01/12/2023 00:00:00,PAGE STEPHEN F,4,M-Exempt,--D,10000,10000,4,0001184178,Option to Purchase Common Stock
D,01/12/2023 00:00:00,PAGE STEPHEN F,4,S-Sale,--D,5089,34837,2,0001184178,Common Stock
A,01/12/2023 00:00:00,PAGE STEPHEN F,4,M-Exempt,--D,10000,39926,1,0001184178,Common Stock
D,09/15/2022 00:00:00,Burbage Charles Thomas,4,M-Exempt,--D,25000,0,3,0001592670,Option to Purchase Common Stock
D,09/15/2022 00:00:00,Burbage Charles Thomas,4,S-Sale,--D,7324,47602,2,0001592670,Common Stock
A,09/15/2022 00:00:00,Burbage Charles Thomas,4,M-Exempt,--D,25000,54926,1,0001592670,Common Stock
D,09/12/2022 00:00:00,Shackley Brian Charles,4,S-Sale,--D,500,3382,1,0001790261,Common Stock
A,07/14/2022 00:00:00,MULLER EDWARD R,4,J-Other,--I,1667,27007,2,0001180211,Common Stock
D,07/14/2022 00:00:00,MULLER EDWARD R,4,J-Other,--D,1667,2919,1,0001180211,Common Stock
D,07/11/2022 00:00:00,McDonnell Kevin Patrick,4/A,F-InKind,--D,675,13017,5,0001800899,Common Stock
D,07/11/2022 00:00:00,Nawabi Wahid,4/A,F-InKind,--D,4578,38464,7,0001538012,Common Stock
D,07/11/2022 00:00:00,Brown Melissa Ann,4/A,F-InKind,--D,527,11469,8,0001718505,Common Stock
D,07/11/2022 00:00:00,Shackley Brian Charles,4,F-InKind,--D,177,3882,1,0001790261,Common Stock
D,07/11/2022 00:00:00,Nawabi Wahid,4,F-InKind,--D,4578,78694,1,0001538012,Common Stock
D,07/11/2022 00:00:00,McDonnell Kevin Patrick,4,F-InKind,--D,675,13536,1,0001800899,Common Stock
D,07/11/2022 00:00:00,Brown Melissa Ann,4,F-InKind,--D,527,13571,1,0001718505,Common Stock
D,07/07/2022 00:00:00,Holland Charles R,4,S-Sale,--D,4001,56998,1,0001383965,Common Stock
D,07/06/2022 00:00:00,Holland Charles R,4,S-Sale,--D,2001,60999,3,0001383965,Common Stock
D,07/05/2022 00:00:00,Holland Charles R,4,S-Sale,--D,3001,63000,2,0001383965,Common Stock
A,07/01/2022 00:00:00,McDonnell Kevin Patrick,4/A,A-Award,--D,4583,13692,4,0001800899,Common Stock
A,07/01/2022 00:00:00,Nawabi Wahid,4/A,A-Award,--D,10694,43042,6,0001538012,Common Stock
A,07/01/2022 00:00:00,Brown Melissa Ann,4/A,A-Award,--D,2118,11996,7,0001718505,Common Stock
A,07/01/2022 00:00:00,Lewis Cindy Kay,4,A-Award,--D,1513,3431,1,0001878919,Common Stock
A,07/01/2022 00:00:00,Holland Charles R,4,A-Award,--D,1513,66001,1,0001383965,Common Stock
A,07/01/2022 00:00:00,Shackley Brian Charles,4,A-Award,--D,611,4059,1,0001790261,Common Stock
A,07/01/2022 00:00:00,Brown Melissa Ann,4,A-Award,--D,2118,14098,1,0001718505,Common Stock
A,07/01/2022 00:00:00,McDonnell Kevin Patrick,4,A-Award,--D,4583,14211,1,0001800899,Common Stock
A,07/01/2022 00:00:00,Nawabi Wahid,4,A-Award,--D,10694,83272,1,0001538012,Common Stock
A,07/01/2022 00:00:00,Burbage Charles Thomas,4,A-Award,--D,1513,29926,1,0001592670,Common Stock
A,07/01/2022 00:00:00,PAGE STEPHEN F,4,A-Award,--D,1513,29926,1,0001184178,Common Stock
A,07/01/2022 00:00:00,MERIGOLD CATHARINE,4,A-Award,--D,1513,22278,1,0001650124,Common Stock
A,07/01/2022 00:00:00,MULLER EDWARD R,4,A-Award,--D,1513,4586,1,0001180211,Common Stock
D,06/29/2022 00:00:00,Nawabi Wahid,4/A,F-InKind,--D,3186,32348,5,0001538012,Common Stock
A,06/29/2022 00:00:00,Nawabi Wahid,4/A,M-Exempt,--D,6695,35534,4,0001538012,Common Stock
D,06/29/2022 00:00:00,Brown Melissa Ann,4/A,F-InKind,--D,341,9878,6,0001718505,Common Stock
A,06/29/2022 00:00:00,Brown Melissa Ann,4/A,M-Exempt,--D,984,10219,5,0001718505,Common Stock
