MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/02/2023 00:00:00,Saad Mark E,4,A-Award,--D,5681,5681,1,0001295913,Stock Option (Right to Buy)
A,06/02/2023 00:00:00,JEFFS ROGER,4,A-Award,--D,5681,5681,1,0001231615,Stock Option (Right to Buy)
A,06/02/2023 00:00:00,Coleman Mark,4,A-Award,--D,5681,5681,1,0001658379,Stock Option (Right to Buy)
A,03/02/2023 00:00:00,TABUTEAU HERRIOT,4,A-Award,--D,62400,62400,2,0001219927,Restricted Stock Units
A,03/02/2023 00:00:00,TABUTEAU HERRIOT,4,A-Award,--D,110032,110032,1,0001219927,Employee Stock Option (Right to Buy)
A,03/02/2023 00:00:00,Jacobson Mark L.,4,A-Award,--D,23491,23491,2,0001805812,Restricted Stock Units
A,03/02/2023 00:00:00,Jacobson Mark L.,4,A-Award,--D,41424,41424,1,0001805812,Employee Stock Option (Right to Buy)
A,03/02/2023 00:00:00,Pizzie Nick,4,A-Award,--D,20554,20554,2,0001742143,Restricted Stock Units
A,03/02/2023 00:00:00,Pizzie Nick,4,A-Award,--D,36246,36246,1,0001742143,Employee Stock Option (Right to Buy)
A,03/02/2023 00:00:00,Murdock Hunter R.,4,A-Award,--D,16883,16883,2,0001934008,Restricted Stock Units
A,03/02/2023 00:00:00,Murdock Hunter R.,4,A-Award,--D,29773,29773,1,0001934008,Employee Stock Option (Right to Buy)
A,03/02/2023 00:00:00,Coleman Mark,4,A-Award,--D,2870,2870,1,0001658379,Stock Option (Right to Buy)
A,03/02/2023 00:00:00,JEFFS ROGER,4,A-Award,--D,2082,2082,1,0001231615,Stock Option (Right to Buy)
A,03/02/2023 00:00:00,Saad Mark E,4,A-Award,--D,2224,2224,1,0001295913,Stock Option (Right to Buy)
D,01/03/2023 00:00:00,Coleman Mark,4,M-Exempt,--D,17501,0,3,0001658379,Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Coleman Mark,4,M-Exempt,--D,17501,25097,1,0001658379,Common Stock
