MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/14/2023 00:00:00,Scanlan Jacqueline,4,M-Exempt,--D,11545,11545,6,0001713517,Restricted Stock Units
D,06/14/2023 00:00:00,Scanlan Jacqueline,4,M-Exempt,--D,2873,2874,5,0001713517,Restricted Stock Units
D,06/14/2023 00:00:00,Scanlan Jacqueline,4,F-InKind,--D,4905,11653,4,0001713517,Common Shares
A,06/14/2023 00:00:00,Scanlan Jacqueline,4,M-Exempt,--D,11545,16558,3,0001713517,Common Shares
D,06/14/2023 00:00:00,Scanlan Jacqueline,4,F-InKind,--D,1221,5013,2,0001713517,Common Shares
A,06/14/2023 00:00:00,Scanlan Jacqueline,4,M-Exempt,--D,2873,6234,1,0001713517,Common Shares
A,03/14/2023 00:00:00,COOK WILLIAM M,4,P-Purchase,--I,2500,4500,1,0001226577,Common Shares
A,03/13/2023 00:00:00,Villavarayan Chris,4,P-Purchase,--D,34440,34440,1,0001641733,Common Shares
D,03/03/2023 00:00:00,Weaver Troy D.,4,M-Exempt,--D,3845,3845,3,0001829891,Restricted Stock Units
D,03/03/2023 00:00:00,Weaver Troy D.,4,F-InKind,--D,1634,43672,2,0001829891,Common Shares
A,03/03/2023 00:00:00,Weaver Troy D.,4,M-Exempt,--D,3845,45306,1,0001829891,Common Shares
D,03/03/2023 00:00:00,Massey Anthony,4,M-Exempt,--D,2478,2478,3,0001775582,Restricted Stock Units
D,03/03/2023 00:00:00,Massey Anthony,4,F-InKind,--D,681,20892,2,0001775582,Common Shares
A,03/03/2023 00:00:00,Massey Anthony,4,M-Exempt,--D,2478,21573,1,0001775582,Common Shares
D,03/03/2023 00:00:00,Lannon Sean M.,4,M-Exempt,--D,5527,5527,3,0001620394,Restricted Stock Units
D,03/03/2023 00:00:00,Lannon Sean M.,4,F-InKind,--D,1519,54081,2,0001620394,Common Shares
A,03/03/2023 00:00:00,Lannon Sean M.,4,M-Exempt,--D,5527,55600,1,0001620394,Common Shares
D,03/03/2023 00:00:00,BERUBE BRIAN A,4,M-Exempt,--D,4565,4566,3,0001243739,Restricted Stock Units
D,03/03/2023 00:00:00,BERUBE BRIAN A,4,F-InKind,--D,2025,39462,2,0001243739,Common Shares
A,03/03/2023 00:00:00,BERUBE BRIAN A,4,M-Exempt,--D,4565,41487,1,0001243739,Common Shares
D,03/03/2023 00:00:00,Bausch Shelley J,4,M-Exempt,--D,3845,3845,3,0001714460,Restricted Stock Units
D,03/03/2023 00:00:00,Bausch Shelley J,4,F-InKind,--D,1440,14777,2,0001714460,Common Shares
A,03/03/2023 00:00:00,Bausch Shelley J,4,M-Exempt,--D,3845,16217,1,0001714460,Common Shares
D,03/03/2023 00:00:00,Awada Hadi,4,M-Exempt,--D,3845,3845,3,0001828342,Restricted Stock Units
D,03/03/2023 00:00:00,Awada Hadi,4,F-InKind,--D,1677,11373,2,0001828342,Common Shares
A,03/03/2023 00:00:00,Awada Hadi,4,M-Exempt,--D,3845,13050,1,0001828342,Common Shares
A,02/28/2023 00:00:00,Weaver Troy D.,4,A-Award,--D,13423,13423,1,0001829891,Restricted Stock Units
A,02/28/2023 00:00:00,Villavarayan Chris,4,A-Award,--D,75839,75839,1,0001641733,Restricted Stock Units
A,02/28/2023 00:00:00,Scanlan Jacqueline,4,A-Award,--D,10739,10739,1,0001713517,Restricted Stock Units
A,02/28/2023 00:00:00,Massey Anthony,4,A-Award,--D,8180,8180,1,0001775582,Restricted Stock Units
A,02/28/2023 00:00:00,Lannon Sean M.,4,A-Award,--D,20135,20135,1,0001620394,Restricted Stock Units
A,02/28/2023 00:00:00,BERUBE BRIAN A,4,A-Award,--D,14766,14766,1,0001243739,Restricted Stock Units
A,02/28/2023 00:00:00,Bausch Shelley J,4,A-Award,--D,10739,10739,1,0001714460,Restricted Stock Units
A,02/28/2023 00:00:00,Awada Hadi,4,A-Award,--D,10739,10739,1,0001828342,Restricted Stock Units
A,02/28/2023 00:00:00,Smolik Samuel L.,4,A-Award,--D,6711,6711,1,0001500482,Restricted Stock Units
A,02/28/2023 00:00:00,SACHDEV RAKESH,4,A-Award,--D,6711,6711,1,0001259543,Restricted Stock Units
A,02/28/2023 00:00:00,MCLAUGHLIN ROBERT M,4,A-Award,--D,6711,6711,1,0001237784,Restricted Stock Units
A,02/28/2023 00:00:00,Kissire Deborah J.,4,A-Award,--D,6711,6711,1,0001648794,Restricted Stock Units
A,02/28/2023 00:00:00,Jordan Tyrone Michael,4,A-Award,--D,6711,6711,1,0001766331,Restricted Stock Units
A,02/28/2023 00:00:00,COOK WILLIAM M,4,A-Award,--D,6711,6711,1,0001226577,Restricted Stock Units
A,02/28/2023 00:00:00,CHAPMAN STEVEN M,4,A-Award,--I,6711,6711,1,0001238885,Restricted Stock Units
