MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/02/2023 00:00:00,Natali Chris,4,S-Sale,--D,1000,40464,2,0001905272,Class A Common Stock
D,06/01/2023 00:00:00,Natali Chris,4,F-InKind,--D,1972,41464,1,0001905272,Class A Common Stock
D,06/01/2023 00:00:00,Lal Christopher M,4,F-InKind,--D,3450,111922,1,0001426395,Class A Common Stock
D,06/01/2023 00:00:00,Anderson Mark,4,F-InKind,--D,13134,330629,1,0001417100,Class A Common Stock
D,06/01/2023 00:00:00,Hansen Paula,4,F-InKind,--D,15736,153684,1,0001842656,Class A Common Stock
D,06/01/2023 00:00:00,RUBIN KEVIN,4,F-InKind,--D,6246,177564,1,0001198529,Class A Common Stock
D,06/01/2023 00:00:00,Vittal Suresh,4,F-InKind,--D,7396,188554,1,0001847172,Class A Common Stock
A,05/17/2023 00:00:00,JOSHI ANJALI,4,A-Award,--D,5520,14520,1,0001199752,Class A Common Stock
A,05/17/2023 00:00:00,Morken CeCelia,4,A-Award,--D,5520,16803,1,0001367198,Class A Common Stock
A,05/17/2023 00:00:00,Stoecker Dean,4,A-Award,--D,5520,84067,2,0001699950,Class A Common Stock
D,05/17/2023 00:00:00,Stoecker Dean,4,F-InKind,--D,1045,78547,1,0001699950,Class A Common Stock
A,05/17/2023 00:00:00,WARMENHOVEN DANIEL J,4,A-Award,--D,5520,16803,1,0001197637,Class A Common Stock
A,05/17/2023 00:00:00,MAUDLIN TIMOTHY I,4,A-Award,--D,5520,46691,1,0001115047,Class A Common Stock
A,05/17/2023 00:00:00,Schloss Eileen,4,A-Award,--D,5520,12235,1,0001560574,Class A Common Stock
A,05/17/2023 00:00:00,Cory Charles,4,A-Award,--D,5520,14910,1,0001699947,Class A Common Stock
A,05/17/2023 00:00:00,HORING JEFF,4,A-Award,--D,5520,11549,1,0001119324,Class A Common Stock
D,03/08/2023 00:00:00,Schloss Eileen,4,S-Sale,--D,4500,6715,1,0001560574,Class A Common Stock
A,03/07/2023 00:00:00,Natali Chris,4,A-Award,--D,11506,43436,1,0001905272,Class A Common Stock
A,03/07/2023 00:00:00,Anderson Mark,4,A-Award,--D,115068,343763,1,0001417100,Class A Common Stock
A,03/07/2023 00:00:00,Hansen Paula,4,A-Award,--D,51780,169420,1,0001842656,Class A Common Stock
A,03/07/2023 00:00:00,Lal Christopher M,4,A-Award,--D,23013,115372,1,0001426395,Class A Common Stock
A,03/07/2023 00:00:00,RUBIN KEVIN,4,A-Award,--D,43726,183810,1,0001198529,Class A Common Stock
A,03/07/2023 00:00:00,Vittal Suresh,4,A-Award,--D,43726,195950,1,0001847172,Class A Common Stock
D,03/01/2023 00:00:00,Natali Chris,4,F-InKind,--D,4265,31930,1,0001905272,Class A Common Stock
D,03/01/2023 00:00:00,Hansen Paula,4,F-InKind,--D,3562,117640,1,0001842656,Class A Common Stock
