MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/04/2023 00:00:00,Doniz Susan,4,F-InKind,--D,153,23467.476,1,0001808920,Common Stock
D,05/01/2023 00:00:00,McKenzie Howard E,4,S-Sale,--D,412,17181.01,1,0001967796,Common Stock
A,04/14/2023 00:00:00,Biegun Stephen E,4,A-Award,--D,11529.784,11529.784,1,0001968357,Common Stock
A,04/03/2023 00:00:00,Doughtie Lynne M,4,A-Award,--D,231.965,2554.487,1,0001841605,Phantom Stock Units
A,04/03/2023 00:00:00,Bradway Robert A,4,A-Award,--D,411.737,10412.175,1,0001396482,Phantom Stock Units
A,04/03/2023 00:00:00,Gitlin David L.,4,A-Award,--D,388.541,2137.365,1,0001631473,Phantom Stock Units
A,04/03/2023 00:00:00,GOOD LYNN J,4,A-Award,--D,411.737,11510.255,1,0001230175,Phantom Stock Units
A,04/03/2023 00:00:00,Harris Stayce D.,4,A-Award,--D,388.541,3524.202,1,0001860749,Phantom Stock Units
A,04/03/2023 00:00:00,JOHRI AKHIL,4,A-Award,--D,417.537,5833.006,1,0001517450,Phantom Stock Units
A,04/03/2023 00:00:00,Joyce David Leon,4,A-Award,--D,446.532,3679.513,1,0001685062,Phantom Stock Units
A,04/03/2023 00:00:00,KELLNER LAWRENCE W,4,A-Award,--D,678.497,18729.529,1,0001202886,Phantom Stock Units
A,04/03/2023 00:00:00,MOLLENKOPF STEVEN M,4,A-Award,--D,388.541,5539.222,1,0001434806,Phantom Stock Units
A,04/03/2023 00:00:00,Richardson John M,4,A-Award,--D,231.965,3822.527,1,0001786800,Phantom Stock Units
A,04/03/2023 00:00:00,WILLIAMS RONALD A,4,A-Award,--D,411.737,24746.195,1,0001185243,Phantom Stock Units
D,02/24/2023 00:00:00,Allen Bertrand Marc,4,F-InKind,--D,364,48244.702,1,0001632131,Common Stock
D,02/24/2023 00:00:00,CALHOUN DAVID L,4,F-InKind,--D,5777,168247.197,1,0001233152,Common Stock
D,02/24/2023 00:00:00,COLBERT THEODORE III,4,F-InKind,--D,779,67755.042,1,0001671300,Common Stock
D,02/24/2023 00:00:00,Deal Stanley A,4,F-InKind,--D,836,76703.528,1,0001690924,Common Stock
D,02/24/2023 00:00:00,Gerry Brett C.,4,F-InKind,--D,462,29990.793,1,0001775883,Common Stock
D,02/24/2023 00:00:00,Hibbard Carol J.,4,F-InKind,--D,181,18176.94,1,0001851963,Common Stock
D,02/24/2023 00:00:00,Hyslop Gregory L,4,F-InKind,--D,286,37517.337,1,0001670945,Common Stock
