MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/28/2023 00:00:00,ERIKSSON MATTIAS,4,M-Exempt,--D,39062,39062,3,0001860524,Restricted Share Units
D,06/28/2023 00:00:00,ERIKSSON MATTIAS,4,S-Sale,--D,11126,64721,2,0001860524,Common Shares
A,06/28/2023 00:00:00,ERIKSSON MATTIAS,4,M-Exempt,--D,39062,75847,1,0001860524,Common Shares
A,05/31/2023 00:00:00,Daniels Michael A,4,A-Award,--D,9945,244798,1,0001403830,Deferred Share Unit
A,05/31/2023 00:00:00,DISBROW LISA S,4,A-Award,--D,10116,149527,1,0001712360,Deferred Share Unit
A,05/31/2023 00:00:00,Wouters Wayne,4,A-Award,--D,9260,221764,1,0001805288,Deferred Share Unit
A,05/31/2023 00:00:00,Smaldone Alsup Laurie,4,A-Award,--D,9259,228896,1,0001589602,Deferred Share Unit
A,05/31/2023 00:00:00,Lynch Richard J.,4,A-Award,--D,9259,270111,1,0001407680,Deferred Share Unit
A,05/31/2023 00:00:00,DATTELS TIMOTHY D,4,A-Award,--D,9260,294015,1,0001264333,Deferred Share Unit
A,05/31/2023 00:00:00,WATSA V PREM ET AL,4,A-Award,--D,9259,259190,1,0000938869,Deferred Share Units
A,04/13/2023 00:00:00,Wilson Mark George,4,A-Award,--D,1979,1979,1,0001805109,Performance-Based Restricted Share Units
A,04/13/2023 00:00:00,WHITE-IVY NITA C,4,A-Award,--D,2131,2131,1,0001186421,Performance-Based Restricted Share Units
A,04/13/2023 00:00:00,Rai Steve,4,A-Award,--D,4871,4871,1,0001804998,Performance-Based Restricted Share Units
A,04/13/2023 00:00:00,Kurtz Philip S.,4,A-Award,--D,670,670,1,0001939273,Performance-Based Restricted Share Units
A,04/13/2023 00:00:00,ERIKSSON MATTIAS,4,A-Award,--D,134548,134548,1,0001860524,Performance-Based Restricted Share Units
A,04/13/2023 00:00:00,Dickman Marjorie,4,A-Award,--D,2131,2131,1,0001808237,Performance-Based Restricted Share Units
D,04/03/2023 00:00:00,Dickman Marjorie,4,S-Sale,--D,14968,66843,4,0001808237,Common Shares
D,04/03/2023 00:00:00,Dickman Marjorie,4,S-Sale,--D,13269,35372,2,0001808237,Common Shares
D,04/02/2023 00:00:00,Dickman Marjorie,4,M-Exempt,--D,46439,0,6,0001808237,Restricted Share Units
D,04/02/2023 00:00:00,Dickman Marjorie,4,M-Exempt,--D,41796,4747,5,0001808237,Performance-Based Restricted Share Units
A,04/02/2023 00:00:00,Dickman Marjorie,4,M-Exempt,--D,46439,81811,3,0001808237,Common Shares
A,04/02/2023 00:00:00,Dickman Marjorie,4,M-Exempt,--D,41796,48641,1,0001808237,Common Shares
A,02/28/2023 00:00:00,Wouters Wayne,4,A-Award,--D,12735,212504,1,0001805288,Deferred Share Unit
A,02/28/2023 00:00:00,Smaldone Alsup Laurie,4,A-Award,--D,12736,219637,1,0001589602,Deferred Share Unit
A,02/28/2023 00:00:00,Lynch Richard J.,4,A-Award,--D,12736,260852,1,0001407680,Deferred Share Unit
A,02/28/2023 00:00:00,DISBROW LISA S,4,A-Award,--D,13915,139411,1,0001712360,Deferred Share Unit
A,02/28/2023 00:00:00,DATTELS TIMOTHY D,4,A-Award,--D,12735,284755,1,0001264333,Deferred Share Unit
A,02/28/2023 00:00:00,Daniels Michael A,4,A-Award,--D,13679,234853,1,0001403830,Deferred Share Unit
A,02/28/2023 00:00:00,WATSA V PREM ET AL,4,A-Award,--D,12736,249931,1,0000938869,Deferred Share Units
A,01/06/2023 00:00:00,Wilson Mark George,4,A-Award,--D,46164,46164,1,0001805109,Restricted Share Units
A,01/06/2023 00:00:00,WHITE-IVY NITA C,4,A-Award,--D,46164,46164,1,0001186421,Restricted Share Units
A,01/06/2023 00:00:00,Rai Steve,4,A-Award,--D,106534,106534,1,0001804998,Restricted Share Units
A,01/06/2023 00:00:00,HO BILLY,4,A-Award,--D,56818,56818,1,0001186402,Restricted Share Units
A,01/06/2023 00:00:00,GIAMATTEO JOHN JOSEPH,4,A-Award,--D,213068,213068,1,0001234080,Restricted Share Units
A,01/06/2023 00:00:00,ERIKSSON MATTIAS,4,A-Award,--D,113636,113636,1,0001860524,Restricted Share Units
A,01/06/2023 00:00:00,Dickman Marjorie,4,A-Award,--D,46164,46164,1,0001808237,Restricted Share Units
D,01/03/2023 00:00:00,Wilson Mark George,4,M-Exempt,--D,5781,11561,3,0001805109,Restricted Share Units
D,01/03/2023 00:00:00,Wilson Mark George,4,S-Sale,--D,3436,85496,2,0001805109,Common Shares
A,01/03/2023 00:00:00,Wilson Mark George,4,M-Exempt,--D,5781,88932,1,0001805109,Common Shares
D,01/03/2023 00:00:00,WHITE-IVY NITA C,4,M-Exempt,--D,6226,12450,3,0001186421,Restricted Share Units
D,01/03/2023 00:00:00,WHITE-IVY NITA C,4,S-Sale,--D,3700,248413,2,0001186421,Common Shares
A,01/03/2023 00:00:00,WHITE-IVY NITA C,4,M-Exempt,--D,6226,252113,1,0001186421,Common Shares
D,01/03/2023 00:00:00,Rai Steve,4,M-Exempt,--D,14230,28459,3,0001804998,Restricted Share Units
D,01/03/2023 00:00:00,Rai Steve,4,S-Sale,--D,8958,48655,2,0001804998,Common Shares
A,01/03/2023 00:00:00,Rai Steve,4,M-Exempt,--D,14230,57613,1,0001804998,Common Shares
D,01/03/2023 00:00:00,Kurtz Philip S.,4,M-Exempt,--D,1957,3912,3,0001939273,Restricted Share Units
D,01/03/2023 00:00:00,Kurtz Philip S.,4,S-Sale,--D,1240,5343,2,0001939273,Common Shares
A,01/03/2023 00:00:00,Kurtz Philip S.,4,M-Exempt,--D,1957,6583,1,0001939273,Common Shares
D,01/03/2023 00:00:00,HO BILLY,4,M-Exempt,--D,9338,18676,3,0001186402,Restricted Share Units
D,01/03/2023 00:00:00,HO BILLY,4,S-Sale,--D,4056,281932,2,0001186402,Common Shares
A,01/03/2023 00:00:00,HO BILLY,4,M-Exempt,--D,9338,285988,1,0001186402,Common Shares
D,01/03/2023 00:00:00,GIAMATTEO JOHN JOSEPH,4,M-Exempt,--D,106724,213446,3,0001234080,Restricted Share Units
D,01/03/2023 00:00:00,GIAMATTEO JOHN JOSEPH,4,S-Sale,--D,30239,76485,2,0001234080,Common Shares
A,01/03/2023 00:00:00,GIAMATTEO JOHN JOSEPH,4,M-Exempt,--D,106724,106724,1,0001234080,Common Shares
D,01/03/2023 00:00:00,ERIKSSON MATTIAS,4,M-Exempt,--D,16009,32016,3,0001860524,Restricted Share Units
D,01/03/2023 00:00:00,ERIKSSON MATTIAS,4,S-Sale,--D,5896,36785,2,0001860524,Common Shares
A,01/03/2023 00:00:00,ERIKSSON MATTIAS,4,M-Exempt,--D,16009,42681,1,0001860524,Common Shares
D,01/03/2023 00:00:00,Dickman Marjorie,4,M-Exempt,--D,6226,12450,3,0001808237,Restricted Share Units
D,01/03/2023 00:00:00,Dickman Marjorie,4,S-Sale,--D,2682,6845,2,0001808237,Common Shares
A,01/03/2023 00:00:00,Dickman Marjorie,4,M-Exempt,--D,6226,9527,1,0001808237,Common Shares
D,12/21/2022 00:00:00,Wilson Mark George,4,M-Exempt,--D,7032,7032,3,0001805109,Restricted Share Units
D,12/21/2022 00:00:00,Wilson Mark George,4,S-Sale,--D,3791,83151,2,0001805109,Common Shares
A,12/21/2022 00:00:00,Wilson Mark George,4,M-Exempt,--D,7032,86942,1,0001805109,Common Shares
D,12/21/2022 00:00:00,WHITE-IVY NITA C,4,M-Exempt,--D,8204,8204,3,0001186421,Restricted Share Units
D,12/21/2022 00:00:00,WHITE-IVY NITA C,4,S-Sale,--D,4422,245887,2,0001186421,Common Shares
A,12/21/2022 00:00:00,WHITE-IVY NITA C,4,M-Exempt,--D,8204,250309,1,0001186421,Common Shares
D,12/21/2022 00:00:00,Rai Steve,4,M-Exempt,--D,11720,11720,3,0001804998,Restricted Share Units
D,12/21/2022 00:00:00,Rai Steve,4,S-Sale,--D,6651,43383,2,0001804998,Common Shares
A,12/21/2022 00:00:00,Rai Steve,4,M-Exempt,--D,11720,50034,1,0001804998,Common Shares
