MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/21/2023 00:00:00,Valantine Hannah,4,A-Award,--D,51501,51501,1,0001855608,Stock Option (right to buy)
A,06/21/2023 00:00:00,Scott Randal W.,4,A-Award,--D,51501,51501,1,0001337801,Stock Option (right to buy)
A,06/21/2023 00:00:00,Satvat Ali J.,4,A-Award,--D,51501,51501,1,0001621788,Stock Option (right to buy)
A,06/21/2023 00:00:00,MOMTAZEE JAMES C,4,A-Award,--D,51501,51501,1,0001209181,Stock Option (right to buy)
A,06/21/2023 00:00:00,Lo Andrew,4,A-Award,--D,51501,51501,1,0001679076,Stock Option (right to buy)
A,06/21/2023 00:00:00,HOMCY CHARLES J,4,A-Award,--D,51501,51501,1,0001192591,Stock Option (right to buy)
A,06/21/2023 00:00:00,Hassan Fred,4,A-Award,--D,51501,51501,1,0001110744,Stock Option (right to buy)
A,06/21/2023 00:00:00,Ellis Andrea,4,A-Award,--D,51501,51501,1,0001877680,Stock Option (right to buy)
A,06/21/2023 00:00:00,DANIELS RONALD J,4,A-Award,--D,51501,51501,1,0001164475,Stock Option (right to buy)
A,06/21/2023 00:00:00,Dachille Douglas A.,4,A-Award,--D,51501,51501,1,0001652908,Stock Option (right to buy)
A,06/21/2023 00:00:00,Cook Jennifer E.,4,A-Award,--D,51501,51501,1,0001754371,Stock Option (right to buy)
A,06/21/2023 00:00:00,AGUIAR ERIC,4,A-Award,--D,51501,51501,1,0001262325,Stock Option (right to buy)
D,05/17/2023 00:00:00,Kumar Neil,4,S-Sale,--D,51552,4813197,3,0001742485,Common Stock
D,05/17/2023 00:00:00,STEPHENSON BRIAN C,4,S-Sale,--D,24424,36408,3,0001780030,Common Stock
D,05/16/2023 00:00:00,Kumar Neil,4,M-Exempt,--D,33544,503160,9,0001742485,Restricted Stock Units
D,05/16/2023 00:00:00,Kumar Neil,4,M-Exempt,--D,61182,183546,8,0001742485,Restricted Stock Units
