MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/06/2033 00:00:00,Walsh Kathleen E,4,A-Award,--D,16532,16532,1,0001667866,Stock Option (Right to Buy)
A,06/06/2023 00:00:00,Burow Kristina,4,A-Award,--D,16532,16532,4,0001569248,Stock Option (Right to Buy)
A,06/06/2023 00:00:00,COOPER GRAHAM K,4,A-Award,--D,16532,16532,1,0001396943,Stock Option (Right to Buy)
A,06/06/2023 00:00:00,Fishman Mark,4,A-Award,--D,16532,16532,1,0001786003,Stock Option (Right to Buy)
A,06/06/2023 00:00:00,Ho Carole,4,A-Award,--D,16532,16532,1,0001724605,Stock Option (Right to Buy)
A,06/06/2023 00:00:00,MARAGANORE JOHN,4,A-Award,--D,16532,16532,1,0001180432,Stock Option (Right to Buy)
D,04/04/2023 00:00:00,Evans John M.,4,S-Sale,--D,6493,1117979,2,0001786304,Common Stock
D,04/04/2023 00:00:00,Ciaramella Giuseppe,4,S-Sale,--D,1754,112290,2,0001786322,Common Stock
D,04/04/2023 00:00:00,Bellon Christine,4,S-Sale,--D,1161,82790,2,0001963878,Common Stock
D,04/04/2023 00:00:00,Simon Amy,4,S-Sale,--D,1161,69308,3,0001963879,Common Stock
D,04/04/2023 00:00:00,Simon Amy,4,S-Sale,--D,10493,70469,2,0001963879,Common Stock
D,04/04/2023 00:00:00,Burrell Terry-Ann,4,S-Sale,--D,2186,47117,2,0001786484,Common Stock
D,04/03/2023 00:00:00,Evans John M.,4,S-Sale,--D,5161,1124472,1,0001786304,Common Stock
D,04/03/2023 00:00:00,Ciaramella Giuseppe,4,S-Sale,--D,1918,114044,1,0001786322,Common Stock
D,04/03/2023 00:00:00,Bellon Christine,4,S-Sale,--D,931,83951,1,0001963878,Common Stock
D,04/03/2023 00:00:00,Simon Amy,4,S-Sale,--D,4445,80962,1,0001963879,Common Stock
D,04/03/2023 00:00:00,Burrell Terry-Ann,4,S-Sale,--D,2454,49303,1,0001786484,Common Stock
A,03/31/2023 00:00:00,Bellon Christine,4,A-Award,--D,17500,84882,3,0001963878,Common Stock
A,03/31/2023 00:00:00,Ciaramella Giuseppe,4,A-Award,--D,20000,115962,1,0001786322,Common Stock
D,03/31/2023 00:00:00,Evans John M.,4,M-Exempt,--D,13850,196904,6,0001786304,Stock Option (Right to Buy)
A,03/31/2023 00:00:00,Evans John M.,4,M-Exempt,--D,13850,1129153,3,0001786304,Common Stock
A,03/31/2023 00:00:00,Evans John M.,4,A-Award,--D,56250,1115303,2,0001786304,Common Stock
A,03/31/2023 00:00:00,Simon Amy,4,A-Award,--D,20000,85129,1,0001963879,Common Stock
A,03/31/2023 00:00:00,Burrell Terry-Ann,4,A-Award,--D,20000,51277,1,0001786484,Common Stock
D,03/30/2023 00:00:00,Bellon Christine,4,M-Exempt,--D,2669,16736,5,0001963878,Stock Option (Right to Buy)
D,03/30/2023 00:00:00,Bellon Christine,4,M-Exempt,--D,6272,13674,4,0001963878,Stock Option (Right to Buy)
A,03/30/2023 00:00:00,Bellon Christine,4,M-Exempt,--D,2669,67382,2,0001963878,Common Stock
A,03/30/2023 00:00:00,Bellon Christine,4,M-Exempt,--D,6272,64713,1,0001963878,Common Stock
A,03/06/2023 00:00:00,Evans John M.,4,L-Small,--D,225,1059053,1,0001786304,Common Stock
