MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/12/2023 00:00:00,Nelson Christopher Carl,4,M-Exempt,--D,3863,2955,10,0001848563,Stock Option (right to buy)
D,06/12/2023 00:00:00,Nelson Christopher Carl,4,M-Exempt,--D,2583,0,9,0001848563,Stock Option (right to buy)
D,06/12/2023 00:00:00,Nelson Christopher Carl,4,M-Exempt,--D,2165,0,8,0001848563,Stock Option (right to buy)
D,06/12/2023 00:00:00,Nelson Christopher Carl,4,S-Sale,--D,3863,0,6,0001848563,"Common Stock, $0.01 par value"
A,06/12/2023 00:00:00,Nelson Christopher Carl,4,M-Exempt,--D,3863,3863,5,0001848563,"Common Stock, $0.01 par value"
D,06/12/2023 00:00:00,Nelson Christopher Carl,4,S-Sale,--D,2583,0,4,0001848563,"Common Stock, $0.01 par value"
A,06/12/2023 00:00:00,Nelson Christopher Carl,4,M-Exempt,--D,2583,2583,3,0001848563,"Common Stock, $0.01 par value"
D,06/12/2023 00:00:00,Nelson Christopher Carl,4,S-Sale,--D,2165,0,2,0001848563,"Common Stock, $0.01 par value"
A,06/12/2023 00:00:00,Nelson Christopher Carl,4,M-Exempt,--D,2165,2165,1,0001848563,"Common Stock, $0.01 par value"
D,06/08/2023 00:00:00,RANDLE STUART A,4,S-Sale,--D,10299,31417,1,0001256144,"Common Stock, $0.01 par value"
D,06/01/2023 00:00:00,Bennett Jonathan Stuart,4,M-Exempt,--D,4058,4058,3,0001865130,Restricted Stock Units (RSUs)
D,06/01/2023 00:00:00,Bennett Jonathan Stuart,4,F-InKind,--D,1961,4933,2,0001865130,"Common Stock, $0.01 par value"
A,06/01/2023 00:00:00,Bennett Jonathan Stuart,4,M-Exempt,--D,4058,6894,1,0001865130,"Common Stock, $0.01 par value"
A,05/17/2023 00:00:00,Young Douglas L,4,A-Award,--D,2053,2053,1,0001378371,Restricted Stock Units (RSUs)
A,05/17/2023 00:00:00,Sleeper Nathan K,4,A-Award,--D,2053,2053,1,0001380855,Restricted Stock Units (RSUs)
A,05/17/2023 00:00:00,Newsome Earl,4,A-Award,--D,2053,2053,1,0001849073,Restricted Stock Units (RSUs)
A,05/17/2023 00:00:00,MCLAUGHLIN ROBERT M,4,A-Award,--D,2053,2053,1,0001237784,Restricted Stock Units (RSUs)
A,05/17/2023 00:00:00,Mason Racquel Harris,4,A-Award,--D,2408,2408,1,0001809434,Restricted Stock Units (RSUs)
A,05/17/2023 00:00:00,HOUSEY HART MELANIE,4,A-Award,--D,2053,2053,1,0001434897,Restricted Stock Units (RSUs)
A,05/17/2023 00:00:00,Gershenhorn Alan,4,A-Award,--D,2053,2053,1,0001386420,Restricted Stock Units (RSUs)
A,05/17/2023 00:00:00,FROST RICHARD W,4,A-Award,--D,2053,2053,1,0001229677,Restricted Stock Units (RSUs)
A,05/17/2023 00:00:00,Fast Barbara,4,A-Award,--D,2053,2053,1,0001464358,Restricted Stock Units (RSUs)
A,05/17/2023 00:00:00,RANDLE STUART A,4,A-Award,--D,2053,2053,1,0001256144,Restricted Stock Units (RSUs)
A,05/17/2023 00:00:00,NOVICH NEIL S,4,A-Award,--D,2053,2053,1,0001006057,Restricted Stock Units (RSUs)
A,05/17/2023 00:00:00,KNISELY PHILIP,4,A-Award,--D,2053,2053,1,0001205264,Restricted Stock Units (RSUs)
D,05/16/2023 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,1500,0,9,0001847397,Stock Option (right to buy)
D,05/16/2023 00:00:00,Best Clement Munroe III,4,S-Sale,--D,1500,58183,6,0001847397,"Common Stock, $0.01 par value"
A,05/16/2023 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,1500,59683,5,0001847397,"Common Stock, $0.01 par value"
D,05/15/2023 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,1895,1500,8,0001847397,Stock Option (right to buy)
D,05/15/2023 00:00:00,Best Clement Munroe III,4,S-Sale,--D,1895,58183,4,0001847397,"Common Stock, $0.01 par value"
A,05/15/2023 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,1895,60078,3,0001847397,"Common Stock, $0.01 par value"
D,05/12/2023 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,1500,3395,7,0001847397,Stock Option (right to buy)
D,05/12/2023 00:00:00,Best Clement Munroe III,4,S-Sale,--D,1500,58183,2,0001847397,"Common Stock, $0.01 par value"
A,05/12/2023 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,1500,59683,1,0001847397,"Common Stock, $0.01 par value"
A,04/28/2023 00:00:00,"CD&R Investment Associates IX, Ltd.",4,P-Purchase,--I,99880,15171964,1,0001624514,Common Stock
D,04/20/2023 00:00:00,Lonegro Frank A,4,M-Exempt,--D,21416,0,4,0001653042,Restricted Stock Units (RSUs)
D,04/20/2023 00:00:00,Lonegro Frank A,4,F-InKind,--D,9655,36804,2,0001653042,"Common Stock, $0.01 par value"
A,04/20/2023 00:00:00,Lonegro Frank A,4,M-Exempt,--D,21416,46459,1,0001653042,"Common Stock, $0.01 par value"
D,03/10/2023 00:00:00,RANDLE STUART A,4,M-Exempt,--D,2204,0,2,0001256144,Restricted Stock Units (RSUs)
A,03/10/2023 00:00:00,RANDLE STUART A,4,M-Exempt,--D,2204,41716,1,0001256144,"Common Stock, $0.01 par value"
D,03/10/2023 00:00:00,NOVICH NEIL S,4,M-Exempt,--D,2204,0,2,0001006057,Restricted Stock Units (RSUs)
A,03/10/2023 00:00:00,NOVICH NEIL S,4,M-Exempt,--D,2204,25592,1,0001006057,"Common Stock, $0.01 par value"
D,03/10/2023 00:00:00,MCLAUGHLIN ROBERT M,4,M-Exempt,--D,2204,0,2,0001237784,Restricted Stock Units (RSUs)
A,03/10/2023 00:00:00,MCLAUGHLIN ROBERT M,4,M-Exempt,--D,2204,25456,1,0001237784,"Common Stock, $0.01 par value"
D,03/10/2023 00:00:00,Gershenhorn Alan,4,M-Exempt,--D,2204,0,2,0001386420,Restricted Stock Units (RSUs)
A,03/10/2023 00:00:00,Gershenhorn Alan,4,M-Exempt,--D,2204,4957,1,0001386420,"Common Stock, $0.01 par value"
A,03/01/2023 00:00:00,Taylor Jason L,4,A-Award,--D,4904,4904,2,0001848829,Stock Option (right to buy)
A,03/01/2023 00:00:00,Taylor Jason L,4,A-Award,--D,2404,2404,1,0001848829,Restricted Stock Units (RSUs)
A,03/01/2023 00:00:00,Reddy Christine Stroh,4,A-Award,--D,3139,3139,2,0001859887,Stock Option (right to buy)
A,03/01/2023 00:00:00,Reddy Christine Stroh,4,A-Award,--D,1538,1538,1,0001859887,Restricted Stock Units (RSUs)
A,03/01/2023 00:00:00,Nelson Christopher Carl,4,A-Award,--D,2668,2668,2,0001848563,Stock Option (right to buy)
A,03/01/2023 00:00:00,Nelson Christopher Carl,4,A-Award,--D,1308,1308,1,0001848563,Restricted Stock Units (RSUs)
A,03/01/2023 00:00:00,McDevitt Sean M.,4,A-Award,--D,2668,2668,2,0001861908,Stock Option (right to buy)
A,03/01/2023 00:00:00,McDevitt Sean M.,4,A-Award,--D,1308,1308,1,0001861908,Restricted Stock Units (RSUs)
A,03/01/2023 00:00:00,Harrell Martin S.,4,A-Award,--D,2746,2746,3,0001952821,Stock Option (right to buy)
A,03/01/2023 00:00:00,Harrell Martin S.,4,A-Award,--D,1346,1346,2,0001952821,Restricted Stock Units (RSUs)
A,03/01/2023 00:00:00,Harrell Martin S.,4,P-Purchase,--D,3850,12859,1,0001952821,"Common Stock, $0.01 par value"
A,03/01/2023 00:00:00,Guzman Sam,4,A-Award,--D,785,785,2,0001744584,Stock Option (right to buy)
A,03/01/2023 00:00:00,Guzman Sam,4,A-Award,--D,538,538,1,0001744584,Restricted Stock Units (RSUs)
A,03/01/2023 00:00:00,Gosa James J,4,A-Award,--D,4904,4904,2,0001848830,Stock Option (right to buy)
A,03/01/2023 00:00:00,Gosa James J,4,A-Award,--D,2404,2404,1,0001848830,Restricted Stock Units (RSUs)
A,03/01/2023 00:00:00,Best Clement Munroe III,4,A-Award,--D,4904,4904,2,0001847397,Stock Option (right to buy)
A,03/01/2023 00:00:00,Best Clement Munroe III,4,A-Award,--D,2404,2404,1,0001847397,Restricted Stock Units (RSUs)
A,03/01/2023 00:00:00,Bennett Jonathan Stuart,4,A-Award,--D,5297,5297,2,0001865130,Stock Option (right to buy)
A,03/01/2023 00:00:00,Bennett Jonathan Stuart,4,A-Award,--D,2596,2596,1,0001865130,Restricted Stock Units (RSUs)
A,03/01/2023 00:00:00,Lonegro Frank A,4,A-Award,--D,8632,8632,2,0001653042,Stock Option (right to buy)
A,03/01/2023 00:00:00,Lonegro Frank A,4,A-Award,--D,4231,4231,1,0001653042,Restricted Stock Units (RSUs)
A,03/01/2023 00:00:00,Francis Julian,4,A-Award,--D,28700,28700,2,0001624276,Stock Option (right to buy)
A,03/01/2023 00:00:00,Francis Julian,4,A-Award,--D,14067,14067,1,0001624276,Restricted Stock Units (RSUs)
A,01/30/2023 00:00:00,"CD&R Investment Associates IX, Ltd.",4,P-Purchase,--I,107185,15072084,1,0001624514,Common Stock
A,12/15/2022 00:00:00,Harrell Martin S.,4,A-Award,--D,9642,9642,1,0001952821,Restricted Stock Units (RSUs)
D,12/06/2022 00:00:00,Nelson Christopher Carl,4,G-Gift,-EI,1450,13111,1,0001848563,"Common Stock, $0.01 par value"
A,11/15/2022 00:00:00,Nelson Christopher Carl,4,G-Gift,-EI,1450,14561,11,0001848563,"Common Stock, $0.01 par value"
D,11/15/2022 00:00:00,Nelson Christopher Carl,4,G-Gift,-ED,1450,0,10,0001848563,"Common Stock, $0.01 par value"
D,11/15/2022 00:00:00,Nelson Christopher Carl,4,S-Sale,--D,4073,1450,9,0001848563,"Common Stock, $0.01 par value"
D,11/12/2022 00:00:00,Taylor Jason L,4,M-Exempt,--D,747,0,5,0001848829,Restricted Stock Units (RSUs)
D,11/12/2022 00:00:00,Taylor Jason L,4,F-InKind,--D,365,7633,4,0001848829,"Common Stock, $0.01 par value"
A,11/12/2022 00:00:00,Taylor Jason L,4,A-Award,--D,1496,7998,3,0001848829,"Common Stock, $0.01 par value"
D,11/12/2022 00:00:00,Taylor Jason L,4,F-InKind,--D,182,6502,2,0001848829,"Common Stock, $0.01 par value"
A,11/12/2022 00:00:00,Taylor Jason L,4,M-Exempt,--D,747,6684,1,0001848829,"Common Stock, $0.01 par value"
D,11/12/2022 00:00:00,Gosa James J,4,M-Exempt,--D,2241,0,5,0001848830,Restricted Stock Units (RSUs)
D,11/12/2022 00:00:00,Gosa James J,4,F-InKind,--D,1787,11140,4,0001848830,"Common Stock, $0.01 par value"
A,11/12/2022 00:00:00,Gosa James J,4,A-Award,--D,6410,12927,3,0001848830,"Common Stock, $0.01 par value"
D,11/12/2022 00:00:00,Gosa James J,4,F-InKind,--D,625,6517,2,0001848830,"Common Stock, $0.01 par value"
A,11/12/2022 00:00:00,Gosa James J,4,M-Exempt,--D,2241,7142,1,0001848830,"Common Stock, $0.01 par value"
D,11/12/2022 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,2950,0,5,0001847397,Restricted Stock Units (RSUs)
D,11/12/2022 00:00:00,Best Clement Munroe III,4,F-InKind,--D,2798,58183,4,0001847397,"Common Stock, $0.01 par value"
A,11/12/2022 00:00:00,Best Clement Munroe III,4,A-Award,--D,8439,60981,3,0001847397,"Common Stock, $0.01 par value"
D,11/12/2022 00:00:00,Best Clement Munroe III,4,F-InKind,--D,1311,52542,2,0001847397,"Common Stock, $0.01 par value"
A,11/12/2022 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,2950,53853,1,0001847397,"Common Stock, $0.01 par value"
D,11/12/2022 00:00:00,Francis Julian,4,M-Exempt,--D,17927,0,5,0001624276,Restricted Stock Units (RSUs)
D,11/12/2022 00:00:00,Francis Julian,4,F-InKind,--D,22359,50765,4,0001624276,"Common Stock, $0.01 par value"
A,11/12/2022 00:00:00,Francis Julian,4,A-Award,--D,51270,73124,3,0001624276,"Common Stock, $0.01 par value"
D,11/12/2022 00:00:00,Francis Julian,4,F-InKind,--D,8086,21854,2,0001624276,"Common Stock, $0.01 par value"
A,11/12/2022 00:00:00,Francis Julian,4,M-Exempt,--D,17927,29940,1,0001624276,"Common Stock, $0.01 par value"
D,11/12/2022 00:00:00,Nelson Christopher Carl,4,M-Exempt,--D,2241,0,14,0001848563,Restricted Stock Units (RSUs)
D,11/12/2022 00:00:00,Nelson Christopher Carl,4,F-InKind,--D,2117,5523,8,0001848563,"Common Stock, $0.01 par value"
A,11/12/2022 00:00:00,Nelson Christopher Carl,4,A-Award,--D,6410,7640,7,0001848563,"Common Stock, $0.01 par value"
D,11/12/2022 00:00:00,Nelson Christopher Carl,4,F-InKind,--D,1011,1230,6,0001848563,"Common Stock, $0.01 par value"
A,11/12/2022 00:00:00,Nelson Christopher Carl,4,M-Exempt,--D,2241,2241,5,0001848563,"Common Stock, $0.01 par value"
D,11/11/2022 00:00:00,Nelson Christopher Carl,4,M-Exempt,--D,7143,0,13,0001848563,Stock Option (right to buy)
D,11/11/2022 00:00:00,Nelson Christopher Carl,4,M-Exempt,--D,5500,0,12,0001848563,Stock Option (right to buy)
D,11/11/2022 00:00:00,Nelson Christopher Carl,4,S-Sale,--D,7143,0,4,0001848563,"Common Stock, $0.01 par value"
A,11/11/2022 00:00:00,Nelson Christopher Carl,4,M-Exempt,--D,7143,7143,3,0001848563,"Common Stock, $0.01 par value"
D,11/11/2022 00:00:00,Nelson Christopher Carl,4,S-Sale,--D,5500,0,2,0001848563,"Common Stock, $0.01 par value"
A,11/11/2022 00:00:00,Nelson Christopher Carl,4,M-Exempt,--D,5500,5500,1,0001848563,"Common Stock, $0.01 par value"
A,11/08/2022 00:00:00,Harrell Martin S.,4,P-Purchase,--D,9009,9009,1,0001952821,"Common Stock, $0.01 par value"
A,10/28/2022 00:00:00,"CD&R Investment Associates IX, Ltd.",4,P-Purchase,--I,105320,14964899,1,0001624514,Common Stock
A,10/01/2022 00:00:00,HOUSEY HART MELANIE,4,A-Award,--D,1042,1042,1,0001434897,Restricted Stock Units (RSUs)
D,09/12/2022 00:00:00,Taylor Jason L,4,M-Exempt,--D,4000,0,3,0001848829,Stock Option (right to buy)
D,09/12/2022 00:00:00,Taylor Jason L,4,S-Sale,--D,4000,5937,2,0001848829,"Common Stock, $0.01 par value"
A,09/12/2022 00:00:00,Taylor Jason L,4,M-Exempt,--D,4000,9937,1,0001848829,"Common Stock, $0.01 par value"
A,07/29/2022 00:00:00,"CD&R Investment Associates IX, Ltd.",4,P-Purchase,--I,103931,14859579,1,0001624514,Common Stock
D,06/08/2022 00:00:00,Nelson Christopher Carl,4,I-Discretionary,--I,1106,0,3,0001848563,"Common Stock, $0.01 par value"
A,06/07/2022 00:00:00,Nelson Christopher Carl,4,G-Gift,-EI,13111,13111,2,0001848563,"Common Stock, $0.01 par value"
D,06/07/2022 00:00:00,Nelson Christopher Carl,4,G-Gift,-ED,13111,0,1,0001848563,"Common Stock, $0.01 par value"
D,06/02/2022 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,3396,0,9,0001847397,Stock Options (Right to buy)
D,06/02/2022 00:00:00,Best Clement Munroe III,4,S-Sale,--D,3396,50903,6,0001847397,"Common Stock, $0.01 par value"
A,06/02/2022 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,3396,54299,5,0001847397,"Common Stock, $0.01 par value"
D,06/01/2022 00:00:00,Bennett Jonathan Stuart,4,M-Exempt,--D,4058,8116,3,0001865130,Restricted Stock Units (RSUs)
D,06/01/2022 00:00:00,Bennett Jonathan Stuart,4,F-InKind,--D,1222,2836,2,0001865130,"Common Stock, $0.01 par value"
A,06/01/2022 00:00:00,Bennett Jonathan Stuart,4,M-Exempt,--D,4058,4058,1,0001865130,"Common Stock, $0.01 par value"
D,06/01/2022 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,3000,3396,8,0001847397,Stock Option (right to buy)
D,06/01/2022 00:00:00,Best Clement Munroe III,4,S-Sale,--D,3000,50903,4,0001847397,"Common Stock, $0.01 par value"
A,06/01/2022 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,3000,53903,3,0001847397,"Common Stock, $0.01 par value"
D,05/31/2022 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,1104,6396,7,0001847397,Stock Option (right to buy)
D,05/31/2022 00:00:00,Best Clement Munroe III,4,S-Sale,--D,1104,50903,2,0001847397,"Common Stock, $0.01 par value"
A,05/31/2022 00:00:00,Best Clement Munroe III,4,M-Exempt,--D,1104,52007,1,0001847397,"Common Stock, $0.01 par value"
D,05/19/2022 00:00:00,Gosa James J,4,M-Exempt,--D,2232,0,4,0001848830,Stock Option (right to buy)
D,05/19/2022 00:00:00,Gosa James J,4,S-Sale,--D,2300,4901,3,0001848830,"Common Stock, $0.01 par value"
D,05/19/2022 00:00:00,Gosa James J,4,S-Sale,--D,2232,7201,2,0001848830,"Common Stock, $0.01 par value"
A,05/19/2022 00:00:00,Gosa James J,4,M-Exempt,--D,2232,9433,1,0001848830,"Common Stock, $0.01 par value"
A,04/29/2022 00:00:00,"CD&R Investment Associates IX, Ltd.",4,P-Purchase,--I,102219,14755648,1,0001624514,Common Stock
D,04/20/2022 00:00:00,Lonegro Frank A,4,M-Exempt,--D,14991,0,4,0001653042,Restricted Stock Units (RSUs)
D,04/20/2022 00:00:00,Lonegro Frank A,4,F-InKind,--D,3797,25043,2,0001653042,"Common Stock, $0.01 par value"
A,04/20/2022 00:00:00,Lonegro Frank A,4,M-Exempt,--D,14991,28840,1,0001653042,"Common Stock, $0.01 par value"
D,03/16/2022 00:00:00,Best Clement Munroe III,4,S-Sale,--D,4000,50903,1,0001847397,"Common Stock, $0.01 par value"
A,03/10/2022 00:00:00,McDevitt Sean M.,4,A-Award,--D,3067,3067,3,0001861908,Stock Option (right to buy)
A,03/10/2022 00:00:00,McDevitt Sean M.,4,A-Award,--D,1378,1378,2,0001861908,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,McDevitt Sean M.,4,A-Award,--D,9320,9320,1,0001861908,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Taylor Jason L,4,A-Award,--D,4719,4719,3,0001848829,Stock Option (right to buy)
A,03/10/2022 00:00:00,Taylor Jason L,4,A-Award,--D,2119,2119,2,0001848829,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Taylor Jason L,4,A-Award,--D,11170,11170,1,0001848829,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Reddy Christine Stroh,4,A-Award,--D,3067,3067,3,0001859887,Stock Option (right to buy)
A,03/10/2022 00:00:00,Reddy Christine Stroh,4,A-Award,--D,1378,1378,2,0001859887,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Reddy Christine Stroh,4,A-Award,--D,9320,9320,1,0001859887,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Nelson Christopher Carl,4,A-Award,--D,3067,3067,3,0001848563,Stock Option (right to buy)
A,03/10/2022 00:00:00,Nelson Christopher Carl,4,A-Award,--D,1378,1378,2,0001848563,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Nelson Christopher Carl,4,A-Award,--D,9320,9320,1,0001848563,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Lonegro Frank A,4,A-Award,--D,10004,10004,3,0001653042,Stock Option (right to buy)
A,03/10/2022 00:00:00,Lonegro Frank A,4,A-Award,--D,4493,4493,2,0001653042,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Lonegro Frank A,4,A-Award,--D,11170,11170,1,0001653042,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Guzman Sam,4,A-Award,--D,1510,1510,3,0001744584,Stock Option (right to buy)
A,03/10/2022 00:00:00,Guzman Sam,4,A-Award,--D,424,424,2,0001744584,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Guzman Sam,4,A-Award,--D,1860,1860,1,0001744584,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Gosa James J,4,A-Award,--D,4719,4719,3,0001848830,Stock Option (right to buy)
A,03/10/2022 00:00:00,Gosa James J,4,A-Award,--D,2119,2119,2,0001848830,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Gosa James J,4,A-Award,--D,11170,11170,1,0001848830,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Francis Julian,4,A-Award,--D,30946,30946,2,0001624276,Stock Option (right to buy)
A,03/10/2022 00:00:00,Francis Julian,4,A-Award,--D,13899,13899,1,0001624276,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Best Clement Munroe III,4,A-Award,--D,4719,4719,3,0001847397,Stock Option (right to buy)
A,03/10/2022 00:00:00,Best Clement Munroe III,4,A-Award,--D,2119,2119,2,0001847397,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Best Clement Munroe III,4,A-Award,--D,11170,11170,1,0001847397,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Bennett Jonathan Stuart,4,A-Award,--D,6134,6134,3,0001865130,Stock Option (right to buy)
A,03/10/2022 00:00:00,Bennett Jonathan Stuart,4,A-Award,--D,2755,2755,2,0001865130,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Bennett Jonathan Stuart,4,A-Award,--D,9320,9320,1,0001865130,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Young Douglas L,4,A-Award,--D,2204,2204,1,0001378371,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Sleeper Nathan K,4,A-Award,--D,2204,2204,1,0001380855,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,RANDLE STUART A,4,A-Award,--D,2204,2204,1,0001256144,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,NOVICH NEIL S,4,A-Award,--D,2204,2204,1,0001006057,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Newsome Earl,4,A-Award,--D,2204,2204,1,0001849073,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,MCLAUGHLIN ROBERT M,4,A-Award,--D,2204,2204,1,0001237784,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Gershenhorn Alan,4,A-Award,--D,2204,2204,1,0001386420,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,FROST RICHARD W,4,A-Award,--D,2204,2204,1,0001229677,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,Fast Barbara,4,A-Award,--D,2204,2204,1,0001464358,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,BERQUIST CARL T,4,A-Award,--D,2204,2204,1,0001238140,Restricted Stock Units (RSUs)
A,03/10/2022 00:00:00,KNISELY PHILIP,4,A-Award,--D,2204,2204,1,0001205264,Restricted Stock Units (RSUs)
D,02/19/2022 00:00:00,NOVICH NEIL S,4,M-Exempt,--D,2753,0,2,0001006057,Restricted Stock Units (RSUs)
A,02/19/2022 00:00:00,NOVICH NEIL S,4,M-Exempt,--D,2753,23388,1,0001006057,"Common Stock, $0.01 par value"
