MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/21/2023 00:00:00,LISSY DAVID H,4,A-Award,--D,1630,74240,1,0001193298,Common Stock
A,06/21/2023 00:00:00,TOCIO MARY ANN,4,A-Award,--D,1087,56855,1,0001193293,Common Stock
A,06/21/2023 00:00:00,Minehan Cathy E.,4,A-Award,--D,1087,7804,1,0001419049,Common Stock
A,06/21/2023 00:00:00,Richie Laurel,4,A-Award,--D,1087,4795,1,0001658732,Common Stock
A,06/21/2023 00:00:00,HITCH JORDAN,4,A-Award,--D,1087,8804,1,0001213400,Common Stock
A,06/21/2023 00:00:00,Atkinson Julie,4,A-Award,--D,1087,7404,1,0001725624,Common Stock
A,06/21/2023 00:00:00,LAWRENCE LIGHTFOOT SARA,4,A-Award,--D,1087,5522,1,0001243761,Common Stock
A,06/21/2023 00:00:00,Alleva Lawrence M,4,A-Award,--D,1087,10042,1,0001553053,Common Stock
A,06/21/2023 00:00:00,BEKENSTEIN JOSHUA,4,A-Award,--D,1087,8804,1,0001195007,Common Stock
D,05/24/2023 00:00:00,LAWRENCE LIGHTFOOT SARA,4,S-Sale,--D,2282,4435,1,0001243761,Common Stock
D,05/08/2023 00:00:00,TOCIO MARY ANN,4,S-Sale,--D,10000,55768,1,0001193293,Common Stock
D,05/08/2023 00:00:00,Kramer Stephen Howard,4,S-Sale,--D,4800,137518,5,0001595997,Common Stock
D,05/05/2023 00:00:00,Burke Mary Lou,4,M-Exempt,--D,7680,0,5,0001661892,Option to Purchase Common Stock
D,05/05/2023 00:00:00,Burke Mary Lou,4,S-Sale,--D,7680,43353,2,0001661892,Common Stock
A,05/05/2023 00:00:00,Burke Mary Lou,4,M-Exempt,--D,7680,51033,1,0001661892,Common Stock
D,05/05/2023 00:00:00,Kramer Stephen Howard,4,S-Sale,--D,1000,142318,4,0001595997,Common Stock
D,05/05/2023 00:00:00,Kramer Stephen Howard,4,S-Sale,--D,4000,143318,3,0001595997,Common Stock
D,05/04/2023 00:00:00,Kramer Stephen Howard,4,G-Gift,--D,675,147318,2,0001595997,Common Stock
D,05/04/2023 00:00:00,Kramer Stephen Howard,4,S-Sale,--D,5000,147993,1,0001595997,Common Stock
A,02/24/2023 00:00:00,Burke Mary Lou,4,A-Award,--D,8226,8226,4,0001661892,Option to Purchase Common Stock
A,02/24/2023 00:00:00,Burke Mary Lou,4,A-Award,--D,7052,43353,1,0001661892,Common Stock
A,02/24/2023 00:00:00,Berman Mandy,4,A-Award,--D,8226,8226,2,0001662148,Option to Purchase Common Stock
