MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/08/2023 00:00:00,Hooley Stephen C,4,A-Award,--D,3703,3703,3,0001463574,Restricted Stock Units
A,06/08/2023 00:00:00,Hooley Stephen C,4,M-Exempt,--D,3361,10326,2,0001463574,Deferred Restricted Stock Units
D,06/08/2023 00:00:00,Hooley Stephen C,4,M-Exempt,--D,3361,0,1,0001463574,Restricted Stock Units
D,06/08/2023 00:00:00,Shouvlin Patrick J.,4,M-Exempt,--D,3361,0,2,0001710107,Restricted Stock Units
A,06/08/2023 00:00:00,Shouvlin Patrick J.,4,M-Exempt,--D,3361,16175,1,0001710107,Common Stock
A,06/08/2023 00:00:00,BANCROFT PHILIP V,4,A-Award,--D,3703,3703,3,0001164390,Restricted Stock Units
D,06/08/2023 00:00:00,BANCROFT PHILIP V,4,M-Exempt,--D,966,0,2,0001164390,Restricted Stock Units
A,06/08/2023 00:00:00,BANCROFT PHILIP V,4,M-Exempt,--D,966,966,1,0001164390,Common Stock
A,06/08/2023 00:00:00,Offereins Diane E,4,A-Award,--D,3703,3703,3,0001401323,Restricted Stock Units
D,06/08/2023 00:00:00,Offereins Diane E,4,M-Exempt,--D,3361,0,2,0001401323,Restricted Stock Units
A,06/08/2023 00:00:00,Offereins Diane E,4,M-Exempt,--D,3361,18244,1,0001401323,Common Stock
A,06/08/2023 00:00:00,Britt Irene Chang,4,A-Award,--D,3703,3703,3,0001502314,Restricted Stock Units
A,06/08/2023 00:00:00,Britt Irene Chang,4,M-Exempt,--D,3361,10430,2,0001502314,Deferred Restricted Stock Units
D,06/08/2023 00:00:00,Britt Irene Chang,4,M-Exempt,--D,3361,0,1,0001502314,Restricted Stock Units
A,06/08/2023 00:00:00,Juel Carol,4,A-Award,--D,3703,3703,3,0001868897,Restricted Stock Units
A,06/08/2023 00:00:00,Juel Carol,4,M-Exempt,--D,3361,3361,2,0001868897,Deferred Restricted Stock Units
D,06/08/2023 00:00:00,Juel Carol,4,M-Exempt,--D,3361,0,1,0001868897,Restricted Stock Units
A,06/08/2023 00:00:00,CHAPLIN C EDWARD,4,A-Award,--D,5947,5947,3,0001237570,Restricted Stock Units
D,06/08/2023 00:00:00,CHAPLIN C EDWARD,4,M-Exempt,--D,5398,0,2,0001237570,Restricted Stock Units
A,06/08/2023 00:00:00,CHAPLIN C EDWARD,4,M-Exempt,--D,5398,37768,1,0001237570,Common Stock
A,06/08/2023 00:00:00,Wetzel Paul M.,4,A-Award,--D,3703,3703,3,0001709824,Restricted Stock Units
A,06/08/2023 00:00:00,Wetzel Paul M.,4,M-Exempt,--D,3361,6976,2,0001709824,Deferred Restricted Stock Units
D,06/08/2023 00:00:00,Wetzel Paul M.,4,M-Exempt,--D,3361,0,1,0001709824,Restricted Stock Units
A,06/08/2023 00:00:00,MALLESCH EILEEN A,4,A-Award,--D,3703,3703,3,0001444790,Restricted Stock Units
A,06/08/2023 00:00:00,MALLESCH EILEEN A,4,M-Exempt,--D,3361,10430,2,0001444790,Deferred Restricted Stock Units
D,06/08/2023 00:00:00,MALLESCH EILEEN A,4,M-Exempt,--D,3361,0,1,0001444790,Restricted Stock Units
