MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/26/2023 00:00:00,SHERWIN STEPHEN A,4,A-Award,--D,960,18738,1,0001079462,Common Stock
A,06/26/2023 00:00:00,Rowinsky Eric K,4,A-Award,--D,960,20174,1,0001318886,Common Stock
A,06/26/2023 00:00:00,Mantas Jesus B,4,A-Award,--D,960,6048,1,0001777331,Common Stock
A,06/26/2023 00:00:00,LANGER SUSAN,4,A-Award,--D,960,1419.1,1,0001982640,Common Stock
A,06/26/2023 00:00:00,HAWKINS WILLIAM A,4,A-Award,--D,960,5150,1,0001106508,Common Stock
A,06/26/2023 00:00:00,Freire Maria C,4,A-Award,--D,960,3105,1,0001547999,Common Stock
A,06/26/2023 00:00:00,DORSA CAROLINE,4,A-Award,--D,1580,24822,1,0001181174,Common Stock
A,05/01/2023 00:00:00,Keeney Adam,4,A-Award,--D,2815,2815,2,0001973607,Restricted Stock Unit
D,04/28/2023 00:00:00,Gregory Ginger,4,S-Sale,--D,2681,8482.716,1,0001545716,Common Stock
D,04/04/2023 00:00:00,Singhal Priya,4,S-Sale,--D,91,2843.0915,1,0001769608,Common Stock
D,03/31/2023 00:00:00,Murphy Nicole,4,M-Exempt,--D,239,240,3,0001910644,Restricted Stock Unit
D,03/31/2023 00:00:00,Murphy Nicole,4,F-InKind,--D,116,5702.2903,2,0001910644,Common Stock
A,03/31/2023 00:00:00,Murphy Nicole,4,M-Exempt,--D,239,5818.2903,1,0001910644,Common Stock
D,03/28/2023 00:00:00,Singhal Priya,4,S-Sale,--D,568,2842.3923,1,0001769608,Common Stock
D,03/02/2023 00:00:00,Singhal Priya,4,J-Other,--D,341,0,5,0001769608,Restricted Stock Unit
D,03/02/2023 00:00:00,Singhal Priya,4,M-Exempt,--D,297,341,4,0001769608,Restricted Stock Unit
D,03/02/2023 00:00:00,Singhal Priya,4,F-InKind,--D,144,3410.3923,3,0001769608,Common Stock
A,03/02/2023 00:00:00,Singhal Priya,4,M-Exempt,--D,297,3554.3923,2,0001769608,Common Stock
D,03/02/2023 00:00:00,Singhal Priya,4,F-InKind,--D,543,3257.3923,1,0001769608,Common Stock
D,02/17/2023 00:00:00,Singhal Priya,4,J-Other,--D,408,874,4,0001769608,Restricted Stock Unit
D,02/17/2023 00:00:00,Singhal Priya,4,M-Exempt,--D,460,1282,3,0001769608,Restricted Stock Unit
D,02/17/2023 00:00:00,Singhal Priya,4,F-InKind,--D,151,3800.3923,2,0001769608,Common Stock
A,02/17/2023 00:00:00,Singhal Priya,4,M-Exempt,--D,460,3951.3923,1,0001769608,Common Stock
D,02/17/2023 00:00:00,Murphy Nicole,4,J-Other,--D,426,908,4,0001910644,Restricted Stock Unit
D,02/17/2023 00:00:00,Murphy Nicole,4,M-Exempt,--D,480,1334,3,0001910644,Restricted Stock Unit
D,02/17/2023 00:00:00,Murphy Nicole,4,F-InKind,--D,233,5099.2903,2,0001910644,Common Stock
A,02/17/2023 00:00:00,Murphy Nicole,4,M-Exempt,--D,480,5579.2903,1,0001910644,Common Stock
D,02/17/2023 00:00:00,MCDONNELL MICHAEL R,4,J-Other,--D,2271,4836,4,0001121897,Restricted Stock Unit
D,02/17/2023 00:00:00,MCDONNELL MICHAEL R,4,M-Exempt,--D,2561,7107,3,0001121897,Restricted Stock Unit
D,02/17/2023 00:00:00,MCDONNELL MICHAEL R,4,F-InKind,--D,1310,7586,2,0001121897,Common Stock
A,02/17/2023 00:00:00,MCDONNELL MICHAEL R,4,M-Exempt,--D,2561,10147,1,0001121897,Common Stock
D,02/17/2023 00:00:00,Kramer Robin,4,J-Other,--D,454,968,4,0001609222,Restricted Stock Unit
D,02/17/2023 00:00:00,Kramer Robin,4,M-Exempt,--D,512,1422,3,0001609222,Restricted Stock Unit
D,02/17/2023 00:00:00,Kramer Robin,4,F-InKind,--D,238,3331.7483,2,0001609222,Common Stock
A,02/17/2023 00:00:00,Kramer Robin,4,M-Exempt,--D,512,3843.7483,1,0001609222,Common Stock
D,02/17/2023 00:00:00,Izzar Rachid,4,J-Other,--D,681,1454,4,0001875506,Restricted Stock Unit
D,02/17/2023 00:00:00,Izzar Rachid,4,M-Exempt,--D,767,2135,3,0001875506,Restricted Stock Unit
D,02/17/2023 00:00:00,Izzar Rachid,4,F-InKind,--D,371,5117,2,0001875506,Common Stock
A,02/17/2023 00:00:00,Izzar Rachid,4,M-Exempt,--D,767,5884,1,0001875506,Common Stock
D,02/17/2023 00:00:00,Gregory Ginger,4,J-Other,--D,1590,3386,4,0001545716,Restricted Stock Unit
D,02/17/2023 00:00:00,Gregory Ginger,4,M-Exempt,--D,1792,4976,3,0001545716,Restricted Stock Unit
D,02/17/2023 00:00:00,Gregory Ginger,4,F-InKind,--D,867,9280.0168,2,0001545716,Common Stock
A,02/17/2023 00:00:00,Gregory Ginger,4,M-Exempt,--D,1792,11072.0168,1,0001545716,Common Stock
D,02/17/2023 00:00:00,ALEXANDER SUSAN H,4,J-Other,--D,1702,3626,4,0001263839,Restricted Stock Unit
D,02/17/2023 00:00:00,ALEXANDER SUSAN H,4,M-Exempt,--D,1920,5328,3,0001263839,Restricted Stock Unit
D,02/17/2023 00:00:00,ALEXANDER SUSAN H,4,F-InKind,--D,929,45911,2,0001263839,Common Stock
A,02/17/2023 00:00:00,ALEXANDER SUSAN H,4,M-Exempt,--D,1920,46840,1,0001263839,Common Stock
D,02/10/2023 00:00:00,ALEXANDER SUSAN H,4,J-Other,--D,1770,0,8,0001263839,Restricted Stock Unit
D,02/10/2023 00:00:00,ALEXANDER SUSAN H,4,M-Exempt,--D,1448,1770,7,0001263839,Restricted Stock Unit
D,02/10/2023 00:00:00,ALEXANDER SUSAN H,4,M-Exempt,--D,2575,5150,6,0001263839,Restricted Stock Unit
D,02/10/2023 00:00:00,ALEXANDER SUSAN H,4,F-InKind,--D,2737,44920,5,0001263839,Common Stock
D,02/10/2023 00:00:00,ALEXANDER SUSAN H,4,F-InKind,--D,701,47657,4,0001263839,Common Stock
A,02/10/2023 00:00:00,ALEXANDER SUSAN H,4,M-Exempt,--D,1448,48358,3,0001263839,Common Stock
D,02/10/2023 00:00:00,ALEXANDER SUSAN H,4,F-InKind,--D,764,46910,2,0001263839,Common Stock
A,02/10/2023 00:00:00,ALEXANDER SUSAN H,4,M-Exempt,--D,2575,47674,1,0001263839,Common Stock
D,02/10/2023 00:00:00,Gregory Ginger,4,J-Other,--D,1384,0,8,0001545716,Restricted Stock Unit
D,02/10/2023 00:00:00,Gregory Ginger,4,M-Exempt,--D,1132,1384,7,0001545716,Restricted Stock Unit
D,02/10/2023 00:00:00,Gregory Ginger,4,M-Exempt,--D,2158,4317,6,0001545716,Restricted Stock Unit
D,02/10/2023 00:00:00,Gregory Ginger,4,F-InKind,--D,2110,10147.0168,5,0001545716,Common Stock
D,02/10/2023 00:00:00,Gregory Ginger,4,F-InKind,--D,548,12257.0168,4,0001545716,Common Stock
A,02/10/2023 00:00:00,Gregory Ginger,4,M-Exempt,--D,1132,12805.0168,3,0001545716,Common Stock
D,02/10/2023 00:00:00,Gregory Ginger,4,F-InKind,--D,648,11673.0168,2,0001545716,Common Stock
A,02/10/2023 00:00:00,Gregory Ginger,4,M-Exempt,--D,2158,12321.0168,1,0001545716,Common Stock
D,02/10/2023 00:00:00,Izzar Rachid,4,J-Other,--D,553,0,8,0001875506,Restricted Stock Unit
D,02/10/2023 00:00:00,Izzar Rachid,4,M-Exempt,--D,453,553,7,0001875506,Restricted Stock Unit
D,02/10/2023 00:00:00,Izzar Rachid,4,M-Exempt,--D,1515,3030,6,0001875506,Restricted Stock Unit
D,02/10/2023 00:00:00,Izzar Rachid,4,F-InKind,--D,642,5488,5,0001875506,Common Stock
D,02/10/2023 00:00:00,Izzar Rachid,4,F-InKind,--D,220,6130,4,0001875506,Common Stock
