MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/08/2023 00:00:00,Kinzley Richard,4,G-Gift,--D,1019,35556.553,2,0001445637,Common Stock
D,05/08/2023 00:00:00,Kinzley Richard,4,S-Sale,--D,10033,36575.553,1,0001445637,Common Stock
A,05/01/2023 00:00:00,Otto Robert P,4,A-Award,--D,1836,7123.3575,1,0001693863,Common Stock
A,05/01/2023 00:00:00,Jensen Tony A,4,A-Award,--D,1836,10593.0635,1,0001256110,Common Stock
A,05/01/2023 00:00:00,McAllister Kathleen S,4,A-Award,--D,1836,8924.5932,1,0001614884,Common Stock
A,05/01/2023 00:00:00,SCHOBER MARK A,4,A-Award,--D,1836,9334.5072,1,0001194737,Common Stock
A,05/01/2023 00:00:00,MILLS STEVEN RICHARD,4,A-Award,--D,1836,22153.7192,1,0001230727,Common Stock
A,05/01/2023 00:00:00,Prochazka Scott M,4,A-Award,--D,1836,4275.6235,1,0001526699,Common Stock
A,05/01/2023 00:00:00,Roberts Rebecca B,4,A-Award,--D,1836,8439.1735,1,0001355580,Common Stock
A,05/01/2023 00:00:00,Taylor Teresa,4,A-Award,--D,1836,6421.8535,1,0001443289,Common Stock
A,05/01/2023 00:00:00,Granger Barry M,4,A-Award,--D,1836,4218.3532,1,0001828002,Common Stock
A,04/30/2023 00:00:00,Otto Robert P,4,J-Other,--D,57.2703,5287.3575,1,0001693863,Common Stock
A,04/30/2023 00:00:00,Taylor Teresa,4,J-Other,--D,57.2703,4585.8535,1,0001443289,Common Stock
A,04/30/2023 00:00:00,Roberts Rebecca B,4,J-Other,--D,57.2703,6603.1735,1,0001355580,Common Stock
A,04/30/2023 00:00:00,Jensen Tony A,4,J-Other,--D,57.2703,8757.0635,1,0001256110,Common Stock
A,04/30/2023 00:00:00,Prochazka Scott M,4,J-Other,--D,57.2703,2439.6235,1,0001526699,Common Stock
A,02/14/2023 00:00:00,Evans Linden R,4,A-Award,--D,1698,145756.254,4,0001305656,Common Stock
A,02/14/2023 00:00:00,Kinzley Richard,4,A-Award,--D,502,46608.553,4,0001445637,Common Stock
A,02/14/2023 00:00:00,Iverson Brian,4,A-Award,--D,397,39654.081,4,0001624359,Common Stock
A,02/14/2023 00:00:00,Landis Jennifer C,4,A-Award,--D,158,17785.456,4,0001697091,Common Stock
D,02/11/2023 00:00:00,Evans Linden R,4,F-InKind,--D,1445.089,144058.254,3,0001305656,Common Stock
D,02/11/2023 00:00:00,Evans Linden R,4,F-InKind,--D,1448.582,145503.343,2,0001305656,Common Stock
D,02/11/2023 00:00:00,Kinzley Richard,4,F-InKind,--D,304.375,46106.553,3,0001445637,Common Stock
D,02/11/2023 00:00:00,Kinzley Richard,4,F-InKind,--D,421.012,46410.928,2,0001445637,Common Stock
D,02/11/2023 00:00:00,Iverson Brian,4,F-InKind,--D,292.2,39257.081,3,0001624359,Common Stock
D,02/11/2023 00:00:00,Iverson Brian,4,F-InKind,--D,326.785,39549.281,2,0001624359,Common Stock
D,02/11/2023 00:00:00,Landis Jennifer C,4,F-InKind,--D,152.562,17627.456,3,0001697091,Common Stock
D,02/11/2023 00:00:00,Landis Jennifer C,4,F-InKind,--D,225.636,17780.018,2,0001697091,Common Stock
D,02/11/2023 00:00:00,Erik Keller D,4,F-InKind,--D,177.9,8083.041,2,0001830345,Common Stock
D,02/11/2023 00:00:00,Erik Keller D,4,F-InKind,--D,205.178,8260.941,1,0001830345,Common Stock
D,02/10/2023 00:00:00,Evans Linden R,4,F-InKind,--D,852.981,146951.925,1,0001305656,Common Stock
D,02/10/2023 00:00:00,Kinzley Richard,4,F-InKind,--D,244.984,46831.94,1,0001445637,Common Stock
D,02/10/2023 00:00:00,Iverson Brian,4,F-InKind,--D,215.041,39876.066,1,0001624359,Common Stock
D,02/10/2023 00:00:00,Landis Jennifer C,4,F-InKind,--D,96.659,18005.654,1,0001697091,Common Stock
A,02/09/2023 00:00:00,Landis Jennifer C,4,A-Award,--D,1372,18102.313,1,0001697091,Common Stock
A,02/09/2023 00:00:00,Erik Keller D,4,A-Award,--D,1266,8466.119,1,0001830345,Common Stock
A,02/09/2023 00:00:00,Iverson Brian,4,A-Award,--D,2532,40091.107,1,0001624359,Common Stock
A,02/09/2023 00:00:00,Evans Linden R,4,A-Award,--D,11395,147804.906,1,0001305656,Common Stock
A,12/31/2022 00:00:00,Taylor Teresa,5,A-Award,--I,292.019,9019.3083,2,0001443289,Phantom Stock Unit
A,12/31/2022 00:00:00,Taylor Teresa,5,I-Discretionary,--D,52.4059,4528.5832,1,0001443289,Common Stock
A,12/31/2022 00:00:00,SCHOBER MARK A,5,A-Award,--I,352.1648,10876.9753,2,0001194737,Phantom Stock Unit
A,12/31/2022 00:00:00,SCHOBER MARK A,5,I-Discretionary,--D,225.2334,7498.5072,1,0001194737,Common Stock
A,12/31/2022 00:00:00,Roberts Rebecca B,5,A-Award,--I,659.1351,20358.0603,2,0001355580,Phantom Stock Unit
A,12/31/2022 00:00:00,Roberts Rebecca B,5,I-Discretionary,--D,101.3788,6545.9032,1,0001355580,Common Stock
A,12/31/2022 00:00:00,Prochazka Scott M,5,A-Award,--I,65.6548,2027.8126,2,0001526699,Phantom Stock Unit
A,12/31/2022 00:00:00,Prochazka Scott M,5,I-Discretionary,--D,58.5831,2382.3532,1,0001526699,Common Stock
A,12/31/2022 00:00:00,Otto Robert P,5,A-Award,--I,274.5672,8480.2932,2,0001693863,Phantom Stock Unit
A,12/31/2022 00:00:00,Otto Robert P,5,I-Discretionary,--D,150.7851,5230.0872,1,0001693863,Common Stock
A,12/31/2022 00:00:00,MILLS STEVEN RICHARD,5,A-Award,--I,621.5435,19197.0049,2,0001230727,Phantom Stock Unit
A,12/31/2022 00:00:00,MILLS STEVEN RICHARD,5,I-Discretionary,--D,52.06,20317.7192,1,0001230727,Common Stock
A,12/31/2022 00:00:00,McAllister Kathleen S,5,A-Award,--I,119.527,3691.7098,2,0001614884,Phantom Stock Unit
A,12/31/2022 00:00:00,McAllister Kathleen S,5,I-Discretionary,--D,81.4484,7088.5932,1,0001614884,Common Stock
A,12/31/2022 00:00:00,Jensen Tony A,5,A-Award,--I,119.527,3691.7098,2,0001256110,Phantom Stock Unit
A,12/31/2022 00:00:00,Jensen Tony A,5,I-Discretionary,--D,76.5994,8699.7932,1,0001256110,Common Stock
A,12/31/2022 00:00:00,Granger Barry M,5,A-Award,--I,65.6548,2027.8126,2,0001828002,Phantom Stock Unit
A,12/31/2022 00:00:00,Granger Barry M,5,I-Discretionary,--D,58.5831,2382.3532,1,0001828002,Common Stock
A,12/31/2022 00:00:00,Landis Jennifer C,5,J-Other,--I,228.145,2452.074,2,0001697091,Common Stock
A,12/31/2022 00:00:00,Landis Jennifer C,5,J-Other,--D,418.715,16730.313,1,0001697091,Common Stock
A,12/31/2022 00:00:00,Kinzley Richard,5,J-Other,--I,168.625,5219.522,3,0001445637,Common Stock
D,12/31/2022 00:00:00,Kinzley Richard,5,G-Gift,--D,1251,47076.924,2,0001445637,Common Stock
D,12/31/2022 00:00:00,Kinzley Richard,5,G-Gift,--D,635.247,48327.924,1,0001445637,Common Stock
A,12/31/2022 00:00:00,Evans Linden R,5,J-Other,--I,127.169,3936.279,3,0001305656,Common Stock
A,06/27/2022 00:00:00,Iverson Brian,4,W-Will,--I,50,50,1,0001624359,Common Stock
D,06/01/2022 00:00:00,Vering John B,4,C-Conversion,--I,34035.1455,0,4,0001328537,Phantom Stock Unit
A,06/01/2022 00:00:00,Vering John B,4,A-Award,--I,262.9282,34035.1455,3,0001328537,Phantom Stock Unit
A,06/01/2022 00:00:00,Vering John B,4,C-Conversion,--D,34035.1455,45631.089,1,0001328537,Common Stock
D,05/20/2022 00:00:00,Roberts Rebecca B,4,S-Sale,--D,500,6444.5244,1,0001355580,Common Stock
D,05/06/2022 00:00:00,Wevik Stuart A,4,F-InKind,--D,108.601,23330.3475,1,0001806023,Common Stock
A,05/01/2022 00:00:00,Prochazka Scott M,4,A-Award,--D,1638,2323.7701,2,0001526699,Common Stock
A,05/01/2022 00:00:00,Taylor Teresa,4,A-Award,--D,1638,4476.1773,2,0001443289,Common Stock
A,05/01/2022 00:00:00,SCHOBER MARK A,4,A-Award,--D,1638,7273.2738,2,0001194737,Common Stock
A,05/01/2022 00:00:00,Roberts Rebecca B,4,A-Award,--D,1638,6944.5244,2,0001355580,Common Stock
A,05/01/2022 00:00:00,Otto Robert P,4,A-Award,--D,1638,5079.3021,2,0001693863,Common Stock
A,05/01/2022 00:00:00,MILLS STEVEN RICHARD,4,A-Award,--D,1638,20265.6592,2,0001230727,Common Stock
A,05/01/2022 00:00:00,McAllister Kathleen S,4,A-Award,--D,1638,7007.1448,2,0001614884,Common Stock
A,05/01/2022 00:00:00,Jensen Tony A,4,A-Award,--D,1638,8623.1938,2,0001256110,Common Stock
A,05/01/2022 00:00:00,Granger Barry M,4,A-Award,--D,1638,2323.7701,2,0001828002,Common Stock
A,04/30/2022 00:00:00,Prochazka Scott M,4,J-Other,--D,4.341,685.7701,1,0001526699,Common Stock
A,04/30/2022 00:00:00,Taylor Teresa,4,J-Other,--D,4.341,2838.1773,1,0001443289,Common Stock
A,04/30/2022 00:00:00,SCHOBER MARK A,4,J-Other,--D,3.341,5635.2738,1,0001194737,Common Stock
A,04/30/2022 00:00:00,Vering John B,4,J-Other,--D,4.341,11595.9435,1,0001328537,Common Stock
A,04/30/2022 00:00:00,Roberts Rebecca B,4,J-Other,--D,4.341,5306.5244,1,0001355580,Common Stock
A,04/30/2022 00:00:00,Otto Robert P,4,J-Other,--D,4.341,3441.3021,1,0001693863,Common Stock
A,04/30/2022 00:00:00,MILLS STEVEN RICHARD,4,J-Other,--D,4.341,18627.6592,1,0001230727,Common Stock
A,04/30/2022 00:00:00,McAllister Kathleen S,4,J-Other,--D,4.341,5369.1448,1,0001614884,Common Stock
A,04/30/2022 00:00:00,Jensen Tony A,4,J-Other,--D,4.341,6985.1938,1,0001256110,Common Stock
A,04/30/2022 00:00:00,Granger Barry M,4,J-Other,--D,4.341,685.7701,1,0001828002,Common Stock
D,03/16/2022 00:00:00,Evans Linden R,5,G-Gift,--D,2230,136409.906,2,0001305656,Common Stock
D,03/09/2022 00:00:00,Evans Linden R,5,G-Gift,--D,3500,138639.906,1,0001305656,Common Stock
A,03/01/2022 00:00:00,Vering John B,4,A-Award,--I,293.0116,33772.2173,2,0001328537,Phantom Stock Unit
A,02/14/2022 00:00:00,Kinzley Richard,4,A-Award,--D,862,48963.171,4,0001445637,Common Stock
A,02/14/2022 00:00:00,Landis Jennifer C,4,A-Award,--D,279,16311.598,4,0001697091,Common Stock
