MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/14/2023 00:00:00,Bonnefoy Luc,4,A-Award,--D,5361,44729,1,0001980767,"Common Shares, No Par Value"
A,05/04/2023 00:00:00,Bailey A Robert D,4,A-Award,--D,429184,429184,1,0001591683,Non-Qualified Stock Options (right to purchase)
A,05/04/2023 00:00:00,VON ESCHENBACH ANDREW C.,4,A-Award,--D,12857,25357,1,0001536529,"Common Shares, No Par Value"
A,05/04/2023 00:00:00,Ross Thomas W. Sr.,4,A-Award,--D,12857,25357,1,0001669396,"Common Shares, No Par Value"
A,05/04/2023 00:00:00,ROBERTSON RUSSEL C,4,A-Award,--D,12857,20136,1,0001677301,"Common Shares, No Par Value"
A,05/04/2023 00:00:00,Paulson John,4,A-Award,--D,12857,26613,1,0001394923,"Common Shares, No Par Value"
A,05/04/2023 00:00:00,KAVANAGH SARAH B,4,A-Award,--D,12857,18665,1,0001681171,"Common Shares, No Par Value"
A,05/04/2023 00:00:00,ICAHN BRETT,4,A-Award,--D,12857,26113,1,0001387184,"Common Shares, No Par Value"
A,05/04/2023 00:00:00,Hu Gaoxiang,4,A-Award,--D,12857,26113,1,0001839091,"Common Shares, No Par Value"
A,05/04/2023 00:00:00,DE SCHUTTER RICHARD U,4,A-Award,--D,12857,26900,1,0001083205,"Common Shares, No Par Value"
A,05/04/2023 00:00:00,Bernier Nathalie D.,4,A-Award,--D,12857,30445,1,0001903043,"Common Shares, No Par Value"
A,04/24/2023 00:00:00,Stewart Andrew J.,4,A-Award,--D,33150,33150,1,0001974516,"Common Shares, No Par Value"
A,04/24/2023 00:00:00,Bailey A Robert D,4,A-Award,--D,120500,120500,1,0001591683,"Common Shares, No Par Value"
D,04/24/2023 00:00:00,ROBERTSON RUSSEL C,4,F-InKind,--D,6692,7279,1,0001677301,"Common Shares, No Par Value"
D,04/24/2023 00:00:00,Bernier Nathalie D.,4,F-InKind,--D,227,17588,1,0001903043,"Common Shares, No Par Value"
D,04/24/2023 00:00:00,KAVANAGH SARAH B,4,F-InKind,--D,6692,5808,1,0001681171,"Common Shares, No Par Value"
A,03/31/2023 00:00:00,ROBERTSON RUSSEL C,4,A-Award,--D,1471,13971,1,0001677301,"Common Shares, No Par Value"
A,03/31/2023 00:00:00,Paulson John,4,A-Award,--D,1256,13756,1,0001394923,"Common Shares, No Par Value"
A,03/31/2023 00:00:00,DE SCHUTTER RICHARD U,4,A-Award,--D,1543,14043,1,0001083205,"Common Shares, No Par Value"
A,03/31/2023 00:00:00,Bernier Nathalie D.,4,A-Award,--D,1435,17815,1,0001903043,"Common Shares, No Par Value"
A,03/01/2023 00:00:00,Munsch Frederick,4,A-Award,--D,24103,24103,2,0001864367,Non-Qualified Stock Options (right to purchase)
A,03/01/2023 00:00:00,Munsch Frederick,4,A-Award,--D,7529,41251,1,0001864367,"Common Shares, No Par Value"
A,03/01/2023 00:00:00,Hashad Yehia,4,A-Award,--D,56715,56715,2,0001877701,Non-Qualified Stock Options (right to purchase)
A,03/01/2023 00:00:00,Hashad Yehia,4,A-Award,--D,17715,87437,1,0001877701,"Common Shares, No Par Value"
A,03/01/2023 00:00:00,Gordon Joseph F,4,A-Award,--D,68058,68058,2,0001749876,Non-Qualified Stock Options (right to purchase)
A,03/01/2023 00:00:00,Gordon Joseph F,4,A-Award,--D,21258,125702,1,0001749876,"Common Shares, No Par Value"
A,03/01/2023 00:00:00,Eldessouky Sam,4,A-Award,--D,136116,136116,2,0001558676,Non-Qualified Stock Options (right to purchase)
A,03/01/2023 00:00:00,Eldessouky Sam,4,A-Award,--D,42517,202517,1,0001558676,"Common Shares, No Par Value"
A,03/01/2023 00:00:00,ACKERMANN CHRISTINA,4,A-Award,--D,90744,90744,2,0001681871,Non-Qualified Stock Options (right to purchase)
A,03/01/2023 00:00:00,ACKERMANN CHRISTINA,4,A-Award,--D,28344,146677,1,0001681871,"Common Shares, No Par Value"
A,12/30/2022 00:00:00,Bernier Nathalie D.,4,A-Award,--D,1625,16380,1,0001903043,"Common Shares, No Par Value"
A,09/30/2022 00:00:00,Bernier Nathalie D.,4,A-Award,--D,1507,14755,1,0001903043,"Common Shares, No Par Value"
A,07/27/2022 00:00:00,Munsch Frederick,4,A-Award,--D,11500,33722,1,0001864367,"Common Shares, No Par Value"
A,07/25/2022 00:00:00,Hashad Yehia,4,A-Award,--D,35000,69722,1,0001877701,"Common Shares, No Par Value"
A,07/25/2022 00:00:00,Gordon Joseph F,4,A-Award,--D,35000,104444,1,0001749876,"Common Shares, No Par Value"
A,07/25/2022 00:00:00,Eldessouky Sam,4,A-Award,--D,35000,160000,1,0001558676,"Common Shares, No Par Value"
A,07/25/2022 00:00:00,ACKERMANN CHRISTINA,4,A-Award,--D,35000,118333,1,0001681871,"Common Shares, No Par Value"
A,06/30/2022 00:00:00,Bernier Nathalie D.,4,A-Award,--D,748,13248,1,0001903043,"Common Shares, No Par Value"
A,06/28/2022 00:00:00,Hu Gaoxiang,4,A-Award,--D,13256,13256,1,0001839091,"Common Shares, No Par Value"
A,06/28/2022 00:00:00,ICAHN BRETT,4,A-Award,--D,13256,13256,1,0001387184,"Common Shares, No Par Value"
D,06/01/2022 00:00:00,Bausch Health Companies Inc.,4,S-Sale,--I,4550357,310449643,1,0000885590,"Common Shares, No Par Value"
A,05/10/2022 00:00:00,Bernier Nathalie D.,4,A-Award,--D,12500,12500,1,0001903043,"Common Shares, No Par Value"
A,05/10/2022 00:00:00,KAVANAGH SARAH B,4,A-Award,--D,12500,12500,1,0001681171,"Common Shares, No Par Value"
A,05/10/2022 00:00:00,Ross Thomas W. Sr.,4,A-Award,--D,12500,12500,1,0001669396,"Common Shares, No Par Value"
A,05/10/2022 00:00:00,Paulson John,4,A-Award,--D,12500,12500,1,0001394923,"Common Shares, No Par Value"
A,05/10/2022 00:00:00,ROBERTSON RUSSEL C,4,A-Award,--D,12500,12500,1,0001677301,"Common Shares, No Par Value"
A,05/10/2022 00:00:00,DE SCHUTTER RICHARD U,4,A-Award,--D,12500,12500,1,0001083205,"Common Shares, No Par Value"
A,05/10/2022 00:00:00,VON ESCHENBACH ANDREW C.,4,A-Award,--D,12500,12500,1,0001536529,"Common Shares, No Par Value"
D,05/10/2022 00:00:00,Bausch Health Companies Inc.,4,S-Sale,--I,35000000,315000000,1,0000885590,"Common Shares, No Par Value"
A,05/05/2022 00:00:00,Gordon Joseph F,4,A-Award,--D,274725,274725,2,0001749876,Non-Qualified Stock Options (right to purchase)
A,05/05/2022 00:00:00,Gordon Joseph F,4,A-Award,--D,69444,69444,1,0001749876,"Common Shares, No Par Value"
A,05/05/2022 00:00:00,Munsch Frederick,4,A-Award,--D,87912,87912,2,0001864367,Non-Qualified Stock Options (right to purchase)
A,05/05/2022 00:00:00,Munsch Frederick,4,A-Award,--D,22222,22222,1,0001864367,"Common Shares, No Par Value"
A,05/05/2022 00:00:00,ACKERMANN CHRISTINA,4,A-Award,--D,329670,329670,2,0001681871,Non-Qualified Stock Options (right to purchase)
A,05/05/2022 00:00:00,ACKERMANN CHRISTINA,4,A-Award,--D,83333,83333,1,0001681871,"Common Shares, No Par Value"
A,05/05/2022 00:00:00,PAPA JOSEPH C,4,A-Award,--D,1868131,1868131,2,0001242215,Non-Qualified Stock Options (right to purchase)
A,05/05/2022 00:00:00,PAPA JOSEPH C,4,A-Award,--D,472222,472222,1,0001242215,"Common Shares, No Par Value"
A,05/05/2022 00:00:00,Eldessouky Sam,4,A-Award,--D,494505,494505,2,0001558676,Non-Qualified Stock Options (right to purchase)
A,05/05/2022 00:00:00,Eldessouky Sam,4,A-Award,--D,125000,125000,1,0001558676,"Common Shares, No Par Value"
A,05/05/2022 00:00:00,Hashad Yehia,4,A-Award,--D,137362,137362,2,0001877701,Non-Qualified Stock Options (right to purchase)
A,05/05/2022 00:00:00,Hashad Yehia,4,A-Award,--D,34722,34722,1,0001877701,"Common Shares, No Par Value"
