MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/05/2023 00:00:00,McDearis Kevin,4,S-Sale,--D,4000,67974,1,0001836951,Common Stock
D,05/31/2023 00:00:00,Olson Jon W,4,S-Sale,--D,2000,45152,1,0001524788,Common Stock
D,05/30/2023 00:00:00,Nash Sarah E,4,S-Sale,--D,2050,27870,1,0001345709,Common Stock
D,05/15/2023 00:00:00,ELLIS GEORGE H,4,S-Sale,--D,1725,9731,1,0001085715,Common Stock
D,05/09/2023 00:00:00,Olson Jon W,4,S-Sale,--D,3500,47152,1,0001524788,Common Stock
D,05/04/2023 00:00:00,McDearis Kevin,4,S-Sale,--D,6000,71974,1,0001836951,Common Stock
D,03/10/2023 00:00:00,Olson Jon W,4,S-Sale,--D,8384,50652,1,0001524788,Common Stock
D,03/10/2023 00:00:00,Gianoni Michael P,4,S-Sale,--D,7000,366358,1,0001365837,Common sTock
D,03/01/2023 00:00:00,Gianoni Michael P,4,S-Sale,--D,6900,373358,9,0001365837,Common sTock
D,03/01/2023 00:00:00,BOOR ANTHONY W,4,S-Sale,--D,23512,135362,9,0001239883,Common Stock
D,02/28/2023 00:00:00,MOONEY KEVIN W,4,S-Sale,--D,2618,99686,8,0001180692,Common Stock
D,02/28/2023 00:00:00,McDearis Kevin,4,S-Sale,--D,8464,77974,8,0001836951,Common Stock
D,02/28/2023 00:00:00,Gianoni Michael P,4,S-Sale,--D,3100,380258,8,0001365837,Common Stock
D,02/28/2023 00:00:00,BOOR ANTHONY W,4,S-Sale,--D,8238,158874,8,0001239883,Common Stock
D,02/27/2023 00:00:00,Olson Jon W,4,F-InKind,--D,1393,59036,7,0001524788,Common Stock
D,02/27/2023 00:00:00,Olson Jon W,4,F-InKind,--D,694,60429,6,0001524788,Common Stock
D,02/27/2023 00:00:00,Olson Jon W,4,F-InKind,--D,745,61123,5,0001524788,Common Stock
D,02/27/2023 00:00:00,Olson Jon W,4,F-InKind,--D,1376,61868,4,0001524788,Common Stock
D,02/27/2023 00:00:00,MOONEY KEVIN W,4,F-InKind,--D,2288,102304,7,0001180692,Common Stock
D,02/27/2023 00:00:00,MOONEY KEVIN W,4,F-InKind,--D,1111,104592,6,0001180692,Common Stock
D,02/27/2023 00:00:00,MOONEY KEVIN W,4,F-InKind,--D,1192,105703,5,0001180692,Common Stock
D,02/27/2023 00:00:00,MOONEY KEVIN W,4,F-InKind,--D,2218,106895,4,0001180692,Common Stock
D,02/27/2023 00:00:00,McDearis Kevin,4,F-InKind,--D,2451,86438,7,0001836951,Common Stock
D,02/27/2023 00:00:00,McDearis Kevin,4,F-InKind,--D,1221,88889,6,0001836951,Common Stock
D,02/27/2023 00:00:00,McDearis Kevin,4,F-InKind,--D,1311,90110,5,0001836951,Common Stock
D,02/27/2023 00:00:00,McDearis Kevin,4,F-InKind,--D,2186,91421,4,0001836951,Common Stock
D,02/27/2023 00:00:00,Gregoire Kevin P.,4,F-InKind,--D,2451,115224,7,0001601818,Common Stock
D,02/27/2023 00:00:00,Gregoire Kevin P.,4,F-InKind,--D,1221,117675,6,0001601818,Common Stock
D,02/27/2023 00:00:00,Gregoire Kevin P.,4,F-InKind,--D,1311,118896,5,0001601818,Common Stock
D,02/27/2023 00:00:00,Gregoire Kevin P.,4,F-InKind,--D,2255,120207,4,0001601818,Common Stock
D,02/27/2023 00:00:00,Gianoni Michael P,4,F-InKind,--D,8911,383358,7,0001365837,Common Stock
D,02/27/2023 00:00:00,Gianoni Michael P,4,F-InKind,--D,4438,392269,6,0001365837,Common Stock
D,02/27/2023 00:00:00,Gianoni Michael P,4,F-InKind,--D,4763,396707,5,0001365837,Common Stock
D,02/27/2023 00:00:00,Gianoni Michael P,4,F-InKind,--D,5700,401470,4,0001365837,Common Stock
D,02/27/2023 00:00:00,BOOR ANTHONY W,4,F-InKind,--D,3058,167112,7,0001239883,Common Stock
D,02/27/2023 00:00:00,BOOR ANTHONY W,4,F-InKind,--D,1523,170170,6,0001239883,Common Stock
D,02/27/2023 00:00:00,BOOR ANTHONY W,4,F-InKind,--D,1635,171693,5,0001239883,Common Stock
D,02/27/2023 00:00:00,BOOR ANTHONY W,4,F-InKind,--D,2254,173328,4,0001239883,Common Stock
