MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/07/2023 00:00:00,Otteni Peter V,4,S-Sale,--D,10463,0,1,0001862920,"Common Stock, par value $0.01"
D,06/02/2023 00:00:00,Otteni Peter V,4,C-Conversion,--D,10463,0,4,0001862920,Common OP Units
A,06/02/2023 00:00:00,Otteni Peter V,4,C-Conversion,--D,10463,10463,3,0001862920,Common OP Units
D,06/02/2023 00:00:00,Otteni Peter V,4,C-Conversion,--D,10463,28694,2,0001862920,LTIP Units
A,06/02/2023 00:00:00,Otteni Peter V,4,C-Conversion,--D,10463,10463,1,0001862920,"Common Stock, par value $0.01"
A,05/31/2023 00:00:00,KLEIN JOEL,4,A-Award,--D,3390,14238,1,0001166832,LTIP Units
A,05/31/2023 00:00:00,KIPP MARY E,4,A-Award,--D,3390,4894,1,0001478538,LTIP Units
A,05/31/2023 00:00:00,Ayotte Kelly,4,A-Award,--D,3390,10075,1,0001702559,LTIP Units
A,05/31/2023 00:00:00,Hoskins Diane J,4,A-Award,--D,3390,10328,1,0001522588,"Common Stock, par value $0.01"
A,05/31/2023 00:00:00,West Tony,4,A-Award,--D,3390,3390,1,0001626201,"Common Stock, par value $0.01"
A,05/31/2023 00:00:00,LUSTIG MATTHEW J,4,A-Award,--D,3390,17096,1,0001203367,LTIP Units
A,05/31/2023 00:00:00,WALTON WILLIAM H III,4,A-Award,--D,3390,9028,1,0001058795,LTIP Units
A,05/31/2023 00:00:00,DUNCAN BRUCE W,4,A-Award,--D,3390,12138,1,0001105577,LTIP Units
A,05/31/2023 00:00:00,Einiger Carol B.,4,A-Award,--D,3390,15148,1,0001289668,LTIP Units
A,05/26/2023 00:00:00,Einiger Carol B.,4,P-Purchase,--D,10000,10000,1,0001289668,"Common Stock, par value $0.01"
A,05/19/2023 00:00:00,Kevorkian Eric G,4,C-Conversion,--D,62.09,4819.52,2,0001931048,Common OP Units
D,05/19/2023 00:00:00,Kevorkian Eric G,4,C-Conversion,--D,62.09,9797.91,1,0001931048,LTIP Units
A,03/31/2023 00:00:00,WALTON WILLIAM H III,4,A-Award,--D,438.84,4256.12,1,0001058795,Phantom Stock Units
A,03/31/2023 00:00:00,KIPP MARY E,4,A-Award,--D,508.13,1867.25,1,0001478538,Phantom Stock Units
A,03/31/2023 00:00:00,DUNCAN BRUCE W,4,A-Award,--D,508.13,5632.73,1,0001105577,Phantom Stock Units
A,03/31/2023 00:00:00,KLEIN JOEL,4,A-Award,--D,554.32,13975.13,1,0001166832,Phantom Stock Units
A,03/31/2023 00:00:00,Einiger Carol B.,4,A-Award,--D,485.03,25709.77,1,0001289668,Phantom Stock Units
A,03/31/2023 00:00:00,TWARDOCK DAVID A,4,A-Award,--D,600.52,33717.71,1,0001229891,Phantom Stock Units
A,03/31/2023 00:00:00,Ayotte Kelly,4,A-Award,--D,623.61,5685.09,1,0001702559,Phantom Stock Units
A,03/31/2023 00:00:00,LUSTIG MATTHEW J,4,A-Award,--D,554.32,12610.69,1,0001203367,Phantom Stock Units
A,03/15/2023 00:00:00,LUSTIG MATTHEW J,4,P-Purchase,--I,10000,10000,1,0001203367,"Common Stock, par value $0.01"
A,02/13/2023 00:00:00,Kevorkian Eric G,4,A-Award,--D,185,9860,1,0001931048,LTIP Units
A,02/13/2023 00:00:00,RITCHEY RAYMOND A,4,A-Award,--D,7840,232175,1,0001219153,LTIP Units
A,02/13/2023 00:00:00,THOMAS OWEN D,4,A-Award,--D,18407,631563,1,0001339081,LTIP Units
A,02/13/2023 00:00:00,PESTER ROBERT E,4,A-Award,--D,2210,90775,1,0001217108,LTIP Units
A,02/13/2023 00:00:00,LINDE DOUGLAS T,4,A-Award,--D,10456,478437,1,0001217102,LTIP Units
A,02/13/2023 00:00:00,KOOP BRYAN J,4,A-Award,--D,2533,117496,1,0001217098,LTIP Units
A,02/13/2023 00:00:00,LABELLE MICHAEL E,4,A-Award,--D,3596,185707,1,0001419045,LTIP Units
A,02/13/2023 00:00:00,Walsh Michael R.,4,A-Award,--D,185,23986,1,0001637104,LTIP Units
A,02/07/2023 00:00:00,KOOP BRYAN J,4,A-Award,--D,9081,114963,1,0001217098,LTIP Units
A,02/07/2023 00:00:00,PESTER ROBERT E,4,A-Award,--D,7946,88565,1,0001217108,LTIP Units
A,02/07/2023 00:00:00,LABELLE MICHAEL E,4,A-Award,--D,12770,182111,1,0001419045,LTIP Units
A,02/07/2023 00:00:00,RITCHEY RAYMOND A,4,A-Award,--D,25028,224335,1,0001219153,LTIP Units
A,02/07/2023 00:00:00,THOMAS OWEN D,4,A-Award,--D,59308,613156,1,0001339081,LTIP Units
A,02/07/2023 00:00:00,LINDE DOUGLAS T,4,A-Award,--D,34620,467981,1,0001217102,LTIP Units
A,02/07/2023 00:00:00,Otteni Peter V,4,A-Award,--D,6802,39157,1,0001862920,LTIP Units
A,02/07/2023 00:00:00,Stroman John J,4,A-Award,--D,6122,34033,1,0001862860,LTIP Units
A,02/07/2023 00:00:00,Spann Hilary J.,4,A-Award,--D,4082,12776,2,0001900835,LTIP Units
A,02/07/2023 00:00:00,Spann Hilary J.,4,A-Award,--D,4081,25203,1,0001900835,"Common Stock, par value $0.01"
A,02/03/2023 00:00:00,Kevorkian Eric G,4,A-Award,--D,2980,9675,2,0001931048,LTIP Units
A,02/03/2023 00:00:00,Kevorkian Eric G,4,A-Award,--D,994,994,1,0001931048,"Common Stock, par value $0.01"
A,02/03/2023 00:00:00,LINDE DOUGLAS T,4,A-Award,--D,40408,433361,1,0001217102,LTIP Units
A,02/03/2023 00:00:00,THOMAS OWEN D,4,A-Award,--D,56637,553848,1,0001339081,LTIP Units
A,02/03/2023 00:00:00,KOOP BRYAN J,4,A-Award,--D,10598,105882,1,0001217098,LTIP Units
A,02/03/2023 00:00:00,LABELLE MICHAEL E,4,A-Award,--D,11178,169341,2,0001419045,LTIP Units
A,02/03/2023 00:00:00,LABELLE MICHAEL E,4,A-Award,--D,3726,14408,1,0001419045,"Common Stock, par value $0.01"
A,02/03/2023 00:00:00,Walsh Michael R.,4,A-Award,--D,6624,23801,2,0001637104,LTIP Units
A,02/03/2023 00:00:00,Walsh Michael R.,4,A-Award,--D,3444,17177,1,0001637104,LTIP Units
A,02/03/2023 00:00:00,Stroman John J,4,A-Award,--D,5961,27911,1,0001862860,LTIP Units
A,02/03/2023 00:00:00,Spann Hilary J.,4,A-Award,--D,3975,8694,2,0001900835,LTIP Units
A,02/03/2023 00:00:00,Spann Hilary J.,4,A-Award,--D,3974,21122,1,0001900835,"Common Stock, par value $0.01"
A,02/03/2023 00:00:00,Otteni Peter V,4,A-Award,--D,6624,32355,1,0001862920,LTIP Units
A,02/03/2023 00:00:00,PESTER ROBERT E,4,A-Award,--D,9273,80619,1,0001217108,LTIP Units
A,02/03/2023 00:00:00,RITCHEY RAYMOND A,4,A-Award,--D,29213,199307,1,0001219153,LTIP Units
D,01/15/2023 00:00:00,Spann Hilary J.,4,F-InKind,--D,549,17148,1,0001900835,"Common Stock, par value $0.01"
D,01/15/2023 00:00:00,LABELLE MICHAEL E,4,F-InKind,--D,325,10682,1,0001419045,"Common Stock, par value $0.01"
A,12/31/2022 00:00:00,LUSTIG MATTHEW J,4,A-Award,--D,443.92,11894.89,1,0001203367,Phantom Stock Units
A,12/31/2022 00:00:00,TWARDOCK DAVID A,4,A-Award,--D,480.91,32673.64,1,0001229891,Phantom Stock Units
A,12/31/2022 00:00:00,Ayotte Kelly,4,A-Award,--D,499.41,4993.69,1,0001702559,Phantom Stock Units
A,12/31/2022 00:00:00,KIPP MARY E,4,A-Award,--D,406.93,1340.92,1,0001478538,Phantom Stock Units
A,12/31/2022 00:00:00,WALTON WILLIAM H III,4,A-Award,--D,351.44,3766.15,1,0001058795,Phantom Stock Units
A,12/31/2022 00:00:00,KLEIN JOEL,4,A-Award,--D,443.92,13241.06,1,0001166832,Phantom Stock Units
A,12/31/2022 00:00:00,DUNCAN BRUCE W,4,A-Award,--D,406.93,5055.96,1,0001105577,Phantom Stock Units
A,12/31/2022 00:00:00,Einiger Carol B.,4,A-Award,--D,388.43,24886.89,1,0001289668,Phantom Stock Units
A,09/30/2022 00:00:00,KLEIN JOEL,4,A-Award,--D,400.16,12626.93,1,0001166832,Phantom Stock Units
A,09/30/2022 00:00:00,LUSTIG MATTHEW J,4,A-Award,--D,400.16,11298.66,1,0001203367,Phantom Stock Units
A,09/30/2022 00:00:00,TWARDOCK DAVID A,4,A-Award,--D,433.51,31764.54,1,0001229891,Phantom Stock Units
A,09/30/2022 00:00:00,Ayotte Kelly,4,A-Award,--D,450.18,4434.5,1,0001702559,Phantom Stock Units
A,09/30/2022 00:00:00,KIPP MARY E,4,A-Award,--D,366.81,921.57,1,0001478538,Phantom Stock Units
A,09/30/2022 00:00:00,DUNCAN BRUCE W,4,A-Award,--D,366.81,4587.19,1,0001105577,Phantom Stock Units
A,09/30/2022 00:00:00,Einiger Carol B.,4,A-Award,--D,350.14,24172.61,1,0001289668,Phantom Stock Units
A,09/30/2022 00:00:00,WALTON WILLIAM H III,4,A-Award,--D,316.79,3369.29,1,0001058795,Phantom Stock Units
D,09/07/2022 00:00:00,Spann Hilary J.,4,F-InKind,--D,4731,17697,1,0001900835,"Common Stock, par value $0.01"
D,08/12/2022 00:00:00,RITCHEY RAYMOND A,4,C-Conversion,--D,22472,88805,5,0001219153,Common OP Units
A,08/12/2022 00:00:00,RITCHEY RAYMOND A,4,C-Conversion,--D,22472,111277,4,0001219153,Common OP Units
