MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,04/18/2023 00:00:00,Turek Zdenek,4,S-Sale,--D,12000,155979.46,1,0001837361,Common Stock
A,04/01/2023 00:00:00,von Koskull Casper Wilhelm,4,A-Award,--D,35.2896,3891.1882,2,0001961830,Common Stock
A,04/01/2023 00:00:00,von Koskull Casper Wilhelm,4,A-Award,--D,688,3855.8986,1,0001961830,Common Stock
A,04/01/2023 00:00:00,Turley James S,4,A-Award,--D,63.2762,7280.4908,2,0001580994,Common Stock
A,04/01/2023 00:00:00,Turley James S,4,A-Award,--I,275.865,25039.8791,1,0001580994,Common Stock
A,04/01/2023 00:00:00,TAYLOR DIANA L,4,A-Award,--D,63.2762,5743.4908,2,0001397512,Common Stock
A,04/01/2023 00:00:00,TAYLOR DIANA L,4,A-Award,--I,484.9915,44022.0055,1,0001397512,Common Stock
A,04/01/2023 00:00:00,REINER GARY M,4,A-Award,--D,982,34889.9419,1,0001233171,Common Stock
A,04/01/2023 00:00:00,James Renee Jo,4,A-Award,--D,63.2762,5743.4908,2,0001412439,Common Stock
A,04/01/2023 00:00:00,James Renee Jo,4,A-Award,--I,195.7289,17766.0352,1,0001412439,Common Stock
A,04/01/2023 00:00:00,IRELAND SUSAN LESLIE,4,A-Award,--D,63.2762,6297.4908,2,0001718953,Common Stock
A,04/01/2023 00:00:00,IRELAND SUSAN LESLIE,4,A-Award,--I,114.6614,10407.6547,1,0001718953,Common Stock
A,04/01/2023 00:00:00,HENNES DUNCAN P,4,A-Award,--D,63.2762,6155.4908,2,0001450608,Common Stock
A,04/01/2023 00:00:00,HENNES DUNCAN P,4,A-Award,--I,275.865,25039.8791,1,0001450608,Common Stock
A,04/01/2023 00:00:00,DUGAN JOHN CUNNINGHAM,4,A-Award,--I,1365.1653,21070.8955,1,0001718909,Common Stock
A,04/01/2023 00:00:00,Dailey Grace E,4,A-Award,--D,63.2762,11059.9622,1,0001787628,Common Stock
A,04/01/2023 00:00:00,COSTELLO ELLEN,4,A-Award,--D,63.2762,5743.4908,3,0001664542,Common Stock
A,04/01/2023 00:00:00,COSTELLO ELLEN,4,A-Award,--I,489.312,45861.2463,2,0001664542,Common Stock
A,04/01/2023 00:00:00,COSTELLO ELLEN,4,A-Award,--I,1447.0753,45371.9343,1,0001664542,Common Stock
D,03/20/2023 00:00:00,COLE TITILOPE,4,F-InKind,--D,3640.61,62123.64,1,0001915422,Common Stock
A,03/03/2023 00:00:00,Whitaker Michael,4,A-Award,--D,21837.23,241803.94,1,0001758982,Common Stock
D,03/03/2023 00:00:00,Livingstone David,4,F-InKind,--D,934.68,328913.16,3,0001770460,Common Stock
A,03/03/2023 00:00:00,Livingstone David,4,A-Award,--D,1986.68,329847.84,2,0001770460,Common Stock
A,03/03/2023 00:00:00,Livingstone David,4,A-Award,--D,19046.14,327861.16,1,0001770460,Common Stock
A,03/03/2023 00:00:00,Fernandez de Ybarra Francisco,4,A-Award,--D,22231.32,611842.59,1,0001775724,Common Stock
D,02/21/2023 00:00:00,Wechter Sara,4,S-Sale,--D,2950,82779.33,2,0001745277,Common Stock
D,02/20/2023 00:00:00,Whitaker Michael,4,F-InKind,--D,19462.47,219966.71,3,0001758982,Common Stock
D,02/20/2023 00:00:00,Turek Zdenek,4,F-InKind,--D,4877.92,167979.46,2,0001837361,Common Stock
D,02/20/2023 00:00:00,Fernandez de Ybarra Francisco,4,F-InKind,--D,39473.07,589611.27,2,0001775724,Common Stock
D,02/17/2023 00:00:00,COLE TITILOPE,4,S-Sale,--I,98,93.07,3,0001915422,Common Stock
D,02/17/2023 00:00:00,COLE TITILOPE,4,S-Sale,--D,11903,65764.25,2,0001915422,Common Stock
D,02/16/2023 00:00:00,Whitaker Michael,4,S-Sale,--D,12500,239429.18,2,0001758982,Common Stock
A,02/16/2023 00:00:00,Whitaker Michael,4,A-Award,--D,127941.53,251929.18,1,0001758982,Common Stock
A,02/16/2023 00:00:00,Turek Zdenek,4,A-Award,--D,66890.62,172857.38,1,0001837361,Common Stock
A,02/16/2023 00:00:00,Wechter Sara,4,A-Award,--D,36126.83,85729.33,1,0001745277,Common Stock
A,02/16/2023 00:00:00,Torres Cantu Ernesto,4,A-Award,--D,59629.89,148410.47,1,0001792762,Common Stock
A,02/16/2023 00:00:00,Skyler Edward,4,A-Award,--D,43116.45,205518.353,1,0001810396,Common Stock
A,02/16/2023 00:00:00,Selvakesari Anand,4,A-Award,--D,66905.35,203874.11,1,0001836808,Common Stock
A,02/16/2023 00:00:00,Peetz Karen B,4,A-Award,--D,42197.08,84187.7,1,0001343152,Common Stock
A,02/16/2023 00:00:00,Okpara Johnbull,4,A-Award,--D,44200.85,86913.15,1,0001833084,Common Stock
A,02/16/2023 00:00:00,McIntosh Brent,4,A-Award,--D,53748.23,57010.4,1,0001872640,Common Stock
A,02/16/2023 00:00:00,Mason Mark,4,A-Award,--D,76850.54,208123.14,1,0001487290,Common Stock
D,02/16/2023 00:00:00,Livingstone David,4,F-InKind,--D,5779.12,308815.02,3,0001770460,Common Stock
A,02/16/2023 00:00:00,Livingstone David,4,A-Award,--D,12294.12,314594.14,2,0001770460,Common Stock
A,02/16/2023 00:00:00,Livingstone David,4,A-Award,--D,120185.02,302300.02,1,0001770460,Common Stock
A,02/16/2023 00:00:00,Garg Sunil,4,A-Award,--D,39191.42,89818.34,1,0001847149,Common Stock
A,02/16/2023 00:00:00,Fernandez de Ybarra Francisco,4,A-Award,--D,321225.46,629084.34,1,0001775724,Common Stock
A,02/16/2023 00:00:00,COLE TITILOPE,4,A-Award,--D,35851.8,77667.25,1,0001915422,Common Stock
A,02/16/2023 00:00:00,Babej Peter,4,A-Award,--D,57525.93,175053.8265,1,0001792004,Common Stock
A,02/16/2023 00:00:00,Fraser Jane Nind,4,A-Award,--D,158140.81,440524.31,1,0001644491,Common Stock
D,01/20/2023 00:00:00,Wechter Sara,4,F-InKind,--D,6693.65,49602.5,1,0001745277,Common Stock
D,01/20/2023 00:00:00,Torres Cantu Ernesto,4,F-InKind,--D,7536.57,88780.58,1,0001792762,Common Stock
D,01/20/2023 00:00:00,Skyler Edward,4,F-InKind,--D,11119.06,162401.903,1,0001810396,Common Stock
D,01/20/2023 00:00:00,Selvakesari Anand,4,F-InKind,--D,10349.47,136968.76,1,0001836808,Common Stock
D,01/20/2023 00:00:00,Peetz Karen B,4,F-InKind,--D,3953.25,41990.62,1,0001343152,Common Stock
D,01/20/2023 00:00:00,Okpara Johnbull,4,F-InKind,--D,5291.76,42712.3,1,0001833084,Common Stock
D,01/20/2023 00:00:00,McIntosh Brent,4,F-InKind,--D,378.06,3262.17,1,0001872640,Common Stock
D,01/20/2023 00:00:00,Mason Mark,4,F-InKind,--D,18124.55,131272.6,1,0001487290,Common Stock
D,01/20/2023 00:00:00,Livingstone David,4,F-InKind,--D,1171.78,182115,1,0001770460,Common Stock
D,01/20/2023 00:00:00,Garg Sunil,4,F-InKind,--D,4583.45,50626.92,1,0001847149,Common Stock
D,01/20/2023 00:00:00,Fraser Jane Nind,4,F-InKind,--D,28497.9,282383.5,1,0001644491,Common Stock
D,01/20/2023 00:00:00,DESOER BARBARA J,4,F-InKind,--D,4400.69,96574.224,1,0001189881,Common Stock
D,01/20/2023 00:00:00,COLE TITILOPE,4,F-InKind,--I,102.18,191.07,2,0001915422,Common Stock
D,01/20/2023 00:00:00,COLE TITILOPE,4,F-InKind,--D,3141.8,41815.45,1,0001915422,Common Stock
D,01/20/2023 00:00:00,Babej Peter,4,F-InKind,--D,14508.33,117527.8965,1,0001792004,Common Stock
A,01/11/2023 00:00:00,von Koskull Casper Wilhelm,4,A-Award,--D,3167.8986,3167.8986,1,0001961830,Common Stock
A,01/03/2023 00:00:00,Turley James S,4,A-Award,--D,3353.3041,9748.686,3,0001580994,Common Stock
A,01/03/2023 00:00:00,TAYLOR DIANA L,4,A-Award,--D,3353.3041,8211.686,3,0001397512,Common Stock
A,01/03/2023 00:00:00,REINER GARY M,4,A-Award,--D,3353.3041,33907.9419,2,0001233171,Common Stock
A,01/03/2023 00:00:00,James Renee Jo,4,A-Award,--D,3353.3041,8211.686,3,0001412439,Common Stock
A,01/03/2023 00:00:00,IRELAND SUSAN LESLIE,4,A-Award,--D,3353.3041,8765.686,3,0001718953,Common Stock
A,01/03/2023 00:00:00,Henry Peter B.,4,A-Award,--D,3353.3041,13099.9419,1,0001513315,Common Stock
A,01/03/2023 00:00:00,HENNES DUNCAN P,4,A-Award,--D,3353.3041,8623.686,3,0001450608,Common Stock
A,01/03/2023 00:00:00,DUGAN JOHN CUNNINGHAM,4,A-Award,--D,3353.3041,14802.9419,2,0001718909,Common Stock
A,01/03/2023 00:00:00,DESOER BARBARA J,4,A-Award,--D,3353.3041,100974.914,1,0001189881,Common Stock
A,01/03/2023 00:00:00,Dailey Grace E,4,A-Award,--D,3353.3041,10996.686,2,0001787628,Common Stock
A,01/03/2023 00:00:00,COSTELLO ELLEN,4,A-Award,--D,3353.3041,8211.686,4,0001664542,Common Stock
A,01/01/2023 00:00:00,Turley James S,4,A-Award,--D,53.6724,6395.3819,2,0001580994,Common Stock
A,01/01/2023 00:00:00,Turley James S,4,A-Award,--I,245.6113,22232.5427,1,0001580994,Common Stock
A,01/01/2023 00:00:00,TAYLOR DIANA L,4,A-Award,--D,53.6724,4858.3819,2,0001397512,Common Stock
A,01/01/2023 00:00:00,TAYLOR DIANA L,4,A-Award,--I,453.0035,41005.5426,1,0001397512,Common Stock
A,01/01/2023 00:00:00,REINER GARY M,4,A-Award,--D,982,30554.6378,1,0001233171,Common Stock
A,01/01/2023 00:00:00,James Renee Jo,4,A-Award,--D,53.6724,4858.3819,2,0001412439,Common Stock
A,01/01/2023 00:00:00,James Renee Jo,4,A-Award,--I,166.1397,15038.8349,1,0001412439,Common Stock
A,01/01/2023 00:00:00,IRELAND SUSAN LESLIE,4,A-Award,--D,53.6724,5412.3819,2,0001718953,Common Stock
A,01/01/2023 00:00:00,IRELAND SUSAN LESLIE,4,A-Award,--I,85.7444,7761.5219,1,0001718953,Common Stock
A,01/01/2023 00:00:00,HENNES DUNCAN P,4,A-Award,--D,53.6724,5270.3819,2,0001450608,Common Stock
A,01/01/2023 00:00:00,HENNES DUNCAN P,4,A-Award,--I,245.6113,22232.5427,1,0001450608,Common Stock
A,01/01/2023 00:00:00,DUGAN JOHN CUNNINGHAM,4,A-Award,--I,1364.0332,17327.6466,1,0001718909,Common Stock
A,01/01/2023 00:00:00,Dailey Grace E,4,A-Award,--D,53.6724,7643.3819,1,0001787628,Common Stock
A,01/01/2023 00:00:00,COSTELLO ELLEN,4,A-Award,--D,53.6724,4858.3819,3,0001664542,Common Stock
A,01/01/2023 00:00:00,COSTELLO ELLEN,4,A-Award,--I,441.3151,41393.3876,2,0001664542,Common Stock
A,01/01/2023 00:00:00,COSTELLO ELLEN,4,A-Award,--I,1445.8752,40952.0725,1,0001664542,Common Stock
D,11/20/2022 00:00:00,Fraser Jane Nind,4,F-InKind,--D,11617.99,310881.4,1,0001644491,Common Stock
A,10/27/2022 00:00:00,Whitaker Michael,4,G-Gift,-EI,15000,15000,2,0001758982,Common Stock
D,10/27/2022 00:00:00,Whitaker Michael,4,G-Gift,-ED,15000,123987.65,1,0001758982,Common Stock
D,10/20/2022 00:00:00,Selvakesari Anand,4,F-InKind,--D,4404.64,147318.23,1,0001836808,Common Stock
A,10/01/2022 00:00:00,Turley James S,4,A-Award,--D,49.3999,6341.7095,2,0001580994,Common Stock
A,10/01/2022 00:00:00,Turley James S,4,A-Award,--I,226.0592,21986.9314,1,0001580994,Common Stock
A,10/01/2022 00:00:00,TAYLOR DIANA L,4,A-Award,--D,49.3999,4804.7095,2,0001397512,Common Stock
A,10/01/2022 00:00:00,TAYLOR DIANA L,4,A-Award,--I,416.9421,40552.5391,1,0001397512,Common Stock
A,10/01/2022 00:00:00,REINER GARY M,4,A-Award,--D,915,29572.6378,1,0001233171,Common Stock
A,10/01/2022 00:00:00,James Renee Jo,4,A-Award,--D,49.3999,4804.7095,2,0001412439,Common Stock
A,10/01/2022 00:00:00,James Renee Jo,4,A-Award,--I,152.9141,14872.6952,1,0001412439,Common Stock
A,10/01/2022 00:00:00,IRELAND SUSAN LESLIE,4,A-Award,--D,49.3999,5358.7095,2,0001718953,Common Stock
A,10/01/2022 00:00:00,IRELAND SUSAN LESLIE,4,A-Award,--I,78.9188,7675.7775,1,0001718953,Common Stock
