MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/22/2023 00:00:00,Pecor Raymond C III,4,A-Award,--D,417.5154,5468.0365,1,0001475265,Phantom Stock (Deferred Compensation)
A,06/22/2023 00:00:00,DAVIS JEFFREY L,4,A-Award,--D,216.3951,5520.6478,1,0001220435,Phantom Stock (Deferred Compensation)
D,06/15/2023 00:00:00,DAVIS JEFFREY L,4,M-Exempt,--D,695.4506,3971.135,5,0001220435,Phantom Stock (Deferred Stock Units)
D,06/15/2023 00:00:00,DAVIS JEFFREY L,4,M-Exempt,--D,1217.4306,5304.2527,4,0001220435,Phantom Stock (Deferred Compensation)
A,06/15/2023 00:00:00,DAVIS JEFFREY L,4,M-Exempt,--D,695.4506,23428.8812,2,0001220435,Common Stock
A,06/15/2023 00:00:00,DAVIS JEFFREY L,4,M-Exempt,--D,1217.4306,22733.4306,1,0001220435,Common Stock
D,06/05/2023 00:00:00,Karaivanov Dimitar,4,F-InKind,--D,1770,13265,1,0001866135,Common Stock
A,05/11/2023 00:00:00,Abdo Michael N,4,I-Discretionary,--I,601.8725,1196.2816,1,0001933852,Common Stock
A,05/02/2023 00:00:00,Karaivanov Dimitar,4,I-Discretionary,--I,526.3158,1333.3721,1,0001866135,Common Stock
A,03/24/2023 00:00:00,Karaivanov Dimitar,4,I-Discretionary,--I,469.3954,773.8785,1,0001866135,Common Stock
A,03/20/2023 00:00:00,MacPherson Kerrie D.,4/A,P-Purchase,--D,1000,2662,1,0001794595,Common Stock
A,03/20/2023 00:00:00,MacPherson Kerrie D.,4,P-Purchase,--D,1000,3662,1,0001794595,Common Stock
A,03/16/2023 00:00:00,LEVY JEFFREY M,4,I-Discretionary,--I,726.5582,2781.0882,1,0001384972,Common Stock
A,03/16/2023 00:00:00,Pecor Raymond C III,4,A-Award,--D,379.8408,5050.5211,1,0001475265,Phantom Stock (Deferred Compensation)
A,03/16/2023 00:00:00,DAVIS JEFFREY L,4,A-Award,--D,393.7373,6521.6833,1,0001220435,Phantom Stock (Deferred Compensation)
D,03/15/2023 00:00:00,STEELE SALLY A,4,M-Exempt,--D,661.6714,1157.7781,3,0001264816,Phantom Stock (Deferred Stock Units)
A,03/15/2023 00:00:00,STEELE SALLY A,4,M-Exempt,--D,661.6714,43033.9441,1,0001264816,Common Stock
D,03/15/2023 00:00:00,STICKELS ERIC,4,M-Exempt,--D,885.0927,2508.2953,3,0001201821,Phantom Stock (Deferred Stock Units)
A,03/15/2023 00:00:00,STICKELS ERIC,4,M-Exempt,--D,885.0927,34154.5599,1,0001201821,Common Stock
A,03/15/2023 00:00:00,Parente John,4,P-Purchase,--D,2000,67187.5018,1,0001486057,Common Stock
A,03/15/2023 00:00:00,TRYNISKI MARK E,4,I-Discretionary,--I,7026.7452,27958.6487,1,0001242753,Common Stock
D,03/15/2023 00:00:00,Parente John,4,M-Exempt,--D,661.6714,1154,3,0001486057,Phantom Stock (Deferred Stock Units)
A,03/15/2023 00:00:00,Parente John,4,M-Exempt,--D,661.6714,65187.5018,1,0001486057,Common Stock
A,03/15/2023 00:00:00,STICKELS ERIC,4,I-Discretionary,--I,4632.2031,14005.767,1,0001201821,Common Stock
A,03/15/2023 00:00:00,SUTARIS JOSEPH E,4,I-Discretionary,--I,1330.5648,3934.049,1,0001278835,Common Stock
