MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/13/2023 00:00:00,ZARCONE DONNA F,4,A-Award,--D,51.79,19002.33,1,0001243083,"Common Stock, par value $0.01"
A,06/13/2023 00:00:00,WIESENHAHN CAROLYN,4,A-Award,--D,8.02,2391.64,1,0001944047,"Common Stock, par value $0.01"
A,06/13/2023 00:00:00,ADDICOTT VIRGINIA C.,4,A-Award,--D,48.55,14480.25,1,0001667743,"Common Stock, par value $0.01"
A,06/13/2023 00:00:00,Swedish Joseph,4,A-Award,--D,6.22,15464.2,1,0001179745,"Common Stock, par value $0.01"
A,06/13/2023 00:00:00,NELMS DAVID W,4,A-Award,--D,91.72,27356.05,1,0001183830,"Common Stock, par value $0.01"
A,06/13/2023 00:00:00,MIRALLES ALBERT JOSEPH JR,4,A-Award,--D,11.93,12881.77,1,0001605507,"Common Stock, par value $0.01"
A,06/13/2023 00:00:00,MEHROTRA SANJAY,4,A-Award,--D,6.36,2892.31,1,0001242654,"Common Stock, par value $0.01"
A,06/13/2023 00:00:00,LOCY PETER R,4,A-Award,--D,3.84,1461.41,1,0001927457,"Common Stock, par value $0.01"
A,06/13/2023 00:00:00,Jones Marc Ellis,4,A-Award,--D,3.31,986.35,1,0001762291,"Common Stock, par value $0.01"
A,06/13/2023 00:00:00,BELL JAMES A,4,A-Award,--D,59.81,21422.8,1,0001182047,"Common Stock, par value $0.01"
A,06/13/2023 00:00:00,Foxx Anthony R,4,A-Award,--D,10.43,3109.01,1,0001831914,"Common Stock, par value $0.01"
A,06/13/2023 00:00:00,CLARIZIO LYNDA M,4,A-Award,--D,2.82,12808.11,1,0001660318,"Common Stock, par value $0.01"
D,05/18/2023 00:00:00,LOCY PETER R,4,F-InKind,--D,253,1457.57,1,0001927457,"Common Stock, par value $0.01"
A,05/04/2023 00:00:00,NELMS DAVID W,4,A-Award,--D,214,27264.33,1,0001183830,"Common Stock, par value $0.01"
A,05/04/2023 00:00:00,LEAHY CHRISTINE A,4,P-Purchase,--D,3050,68621.96,1,0001215336,"Common Stock, par value $0.01"
D,03/15/2023 00:00:00,MIRALLES ALBERT JOSEPH JR,4,F-InKind,--D,3583,12869.84,1,0001605507,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,WIESENHAHN CAROLYN,4,A-Award,--D,7.36,2383.62,1,0001944047,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,ZARCONE DONNA F,4,A-Award,--D,58.53,18950.54,1,0001243083,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,ADDICOTT VIRGINIA C.,4,A-Award,--D,44.57,14431.7,1,0001667743,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,Swedish Joseph,4,A-Award,--D,8.96,15457.98,1,0001179745,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,NELMS DAVID W,4,A-Award,--D,83.54,27050.33,1,0001183830,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,MIRALLES ALBERT JOSEPH JR,4,A-Award,--D,35.99,16452.84,1,0001605507,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,MEHROTRA SANJAY,4,A-Award,--D,8.92,2885.95,1,0001242654,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,LOCY PETER R,4,A-Award,--D,5.28,1710.57,1,0001927457,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,Jones Marc Ellis,4,A-Award,--D,3.04,983.04,1,0001762291,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,BELL JAMES A,4,A-Award,--D,54.9,21362.99,1,0001182047,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,Foxx Anthony R,4,A-Award,--D,9.57,3098.58,1,0001831914,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,FINNEGAN PAUL J,4,A-Award,--D,22.13,16305.36,1,0001182031,"Common Stock, par value $0.01"
A,03/10/2023 00:00:00,CLARIZIO LYNDA M,4,A-Award,--D,5.84,12805.29,1,0001660318,"Common Stock, par value $0.01"
D,02/17/2023 00:00:00,Chawla Sona,4,F-InKind,--D,9586,11964.6,2,0001438864,"Common Stock, par value $0.01"
A,02/17/2023 00:00:00,Chawla Sona,4,A-Award,--D,18996.84,21550.6,1,0001438864,"Common Stock, par value $0.01"
D,02/17/2023 00:00:00,LEAHY CHRISTINE A,4,F-InKind,--D,17254,65571.96,2,0001215336,"Common Stock, par value $0.01"
A,02/17/2023 00:00:00,LEAHY CHRISTINE A,4,A-Award,--D,38945.18,82825.96,1,0001215336,"Common Stock, par value $0.01"
D,02/17/2023 00:00:00,KULEVICH FREDERICK J.,4,F-InKind,--D,2206,19837.88,2,0001719308,"Common Stock, par value $0.01"
A,02/17/2023 00:00:00,KULEVICH FREDERICK J.,4,A-Award,--D,5460.98,22043.88,1,0001719308,"Common Stock, par value $0.01"
D,02/17/2023 00:00:00,CORLEY CHRISTINA M,4,F-InKind,--D,10533,62536.43,2,0001270206,"Common Stock, par value $0.01"
A,02/17/2023 00:00:00,CORLEY CHRISTINA M,4,A-Award,--D,23746.99,73069.43,1,0001270206,"Common Stock, par value $0.01"
A,02/15/2023 00:00:00,ZARCONE DONNA F,4,A-Award,--D,835,18892.91,1,0001243083,"Common Stock, par value $0.01"
A,02/15/2023 00:00:00,WIESENHAHN CAROLYN,4,A-Award,--D,9432,9432,1,0001944047,Employee Stock Option (Right to Buy)
A,02/15/2023 00:00:00,ADDICOTT VIRGINIA C.,4,A-Award,--D,835,14387.13,1,0001667743,"Common Stock, par value $0.01"
A,02/15/2023 00:00:00,Swedish Joseph,4,A-Award,--D,835,15449.02,1,0001179745,"Common Stock, par value $0.01"
A,02/15/2023 00:00:00,Chawla Sona,4,A-Award,--D,23098,23098,3,0001438864,Employee Stock Option (Right to Buy)
A,02/15/2023 00:00:00,NELMS DAVID W,4,A-Award,--D,835,26966.79,1,0001183830,"Common Stock, par value $0.01"
A,02/15/2023 00:00:00,MIRALLES ALBERT JOSEPH JR,4,A-Award,--D,18594,18594,1,0001605507,Employee Stock Option (Right to Buy)
A,02/15/2023 00:00:00,MEHROTRA SANJAY,4,A-Award,--D,835,2877.03,1,0001242654,"Common Stock, par value $0.01"
A,02/15/2023 00:00:00,LOCY PETER R,4,A-Award,--D,1463,1463,1,0001927457,Employee Stock Option (Right to Buy)
A,02/15/2023 00:00:00,LEAHY CHRISTINE A,4,A-Award,--D,61595,61595,4,0001215336,Employee Stock Option (Right to Buy)
A,02/15/2023 00:00:00,KULEVICH FREDERICK J.,4,A-Award,--D,12512,12512,3,0001719308,Employee Stock Option (Right to Buy)
A,02/15/2023 00:00:00,Jones Marc Ellis,4,A-Award,--D,835,980,1,0001762291,"Common Stock, par value $0.01"
A,02/15/2023 00:00:00,BELL JAMES A,4,A-Award,--D,835,21308.09,1,0001182047,"Common Stock, par value $0.01"
A,02/15/2023 00:00:00,Foxx Anthony R,4,A-Award,--D,835,3089.01,1,0001831914,"Common Stock, par value $0.01"
A,02/15/2023 00:00:00,FINNEGAN PAUL J,4,A-Award,--D,835,16283.23,1,0001182031,"Common Stock, par value $0.01"
A,02/15/2023 00:00:00,CORLEY CHRISTINA M,4,A-Award,--D,23098,23098,3,0001270206,Employee Stock Option (Right to Buy)
