MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/30/2023 00:00:00,Walker John D. III,4,S-Sale,--D,1399,81394,1,0001843398,Class A Common Stock
D,03/29/2023 00:00:00,Machek Howard,4,F-InKind,--D,458,49855,1,0001650256,Class A Common Stock
D,02/16/2023 00:00:00,BROWN WILLIAM E,4,S-Sale,--D,15671,923445,2,0000936179,Class A Common Stock
D,02/16/2023 00:00:00,BROWN WILLIAM E,4,S-Sale,--D,100000,939116,1,0000936179,Class A Common Stock
D,02/13/2023 00:00:00,BROWN WILLIAM E,4,F-InKind,--D,1272,1039116,1,0000936179,Class A Common Stock
D,02/10/2023 00:00:00,Walker John D. III,4,F-InKind,--D,5397,82793,2,0001843398,Class A Common Stock
D,02/10/2023 00:00:00,LAHANAS NICHOLAS,4,F-InKind,--D,6191,107149,2,0001408494,Class A Common Stock
D,02/10/2023 00:00:00,BROWN WILLIAM E,4,F-InKind,--D,1249,1040388,1,0000936179,Class A Common Stock
D,02/09/2023 00:00:00,Walker John D. III,4,F-InKind,--D,202,88190,1,0001843398,Class A Common Stock
D,02/09/2023 00:00:00,Machek Howard,4,F-InKind,--D,133,49288,1,0001650256,Class A Common Stock
D,02/09/2023 00:00:00,LAHANAS NICHOLAS,4,F-InKind,--D,227,113340,1,0001408494,Class A Common Stock
D,02/09/2023 00:00:00,Hanson John Edward,4,F-InKind,--D,180,49579,1,0001756648,Class A Common Stock
D,02/09/2023 00:00:00,Cofer Timothy P.,4,F-InKind,--D,1914,88958,1,0001526722,Class A Common Stock
A,02/08/2023 00:00:00,Cofer Timothy P.,4,A-Award,--D,7422,7422,5,0001526722,Stock Option (Right to Buy)
A,02/06/2023 00:00:00,Machek Howard,4/A,A-Award,--D,2460,50446,1,0001650256,Class A Common Stock
A,02/06/2023 00:00:00,Cofer Timothy P.,4,A-Award,--D,32578,32578,4,0001526722,Stock Option (Right to Buy)
A,02/06/2023 00:00:00,Cofer Timothy P.,4,A-Award,--D,28290,90872,1,0001526722,Class A Common Stock
A,02/06/2023 00:00:00,Walker John D. III,4,A-Award,--D,3075,88392,1,0001843398,Class A Common Stock
A,02/06/2023 00:00:00,McCarthy Joyce M.,4,A-Award,--D,2460,7265,1,0001921439,Class A Common Stock
A,02/06/2023 00:00:00,Dougher Brendan,4,A-Award,--D,2940,6403,1,0001823044,Class A Common Stock
A,02/06/2023 00:00:00,Myers Daniel P.,4,A-Award,--D,2940,2940,1,0001526896,Class A Common Stock
A,02/06/2023 00:00:00,Ranelli John,4,A-Award,--D,2940,2940,1,0001489054,Class A Common Stock
A,02/06/2023 00:00:00,SPRINGER MARY BETH,4,A-Award,--D,2940,9255,1,0001203228,Class A Common Stock
A,02/06/2023 00:00:00,BROWN WILLIAM E,4,A-Award,--D,11070,1041637,1,0000936179,Class A Common Stock
A,02/06/2023 00:00:00,Griffith Michael J,4,A-Award,--D,2940,7382,1,0001330555,Class A Common Stock
A,02/06/2023 00:00:00,Machek Howard,4,A-Award,--D,1435,49421,1,0001650256,Class A Common Stock
A,02/06/2023 00:00:00,LAHANAS NICHOLAS,4,A-Award,--D,3075,113567,1,0001408494,Class A Common Stock
A,02/06/2023 00:00:00,Hanson John Edward,4,A-Award,--D,3075,49759,1,0001756648,Class A Common Stock
A,02/06/2023 00:00:00,PENNINGTON BROOKS III,4,A-Award,--D,2940,5551,1,0001057369,Class A Common Stock
A,02/06/2023 00:00:00,METZ CHRISTOPHER T,4,A-Award,--D,2940,7624,1,0001215870,Class A Common Stock
A,02/06/2023 00:00:00,Coleman Lisa,4,A-Award,--D,2940,5209,1,0001880553,Class A Common Stock
A,02/06/2023 00:00:00,Chun Courtnee A,4,A-Award,--D,2940,6201,1,0001576331,Class A Common Stock
D,01/19/2023 00:00:00,BROWN WILLIAM E,4,F-InKind,--D,1087,1030567,1,0000936179,Class A Common Stock
D,12/04/2022 00:00:00,LAHANAS NICHOLAS,4,F-InKind,--D,4330,110492,1,0001408494,Class A Common Stock
D,12/04/2022 00:00:00,Walker John D. III,4,F-InKind,--D,2955,85317,2,0001843398,Class A Common Stock
D,12/01/2022 00:00:00,Walker John D. III,4,S-Sale,--D,3400,88272,1,0001843398,Class A Common Stock
A,11/29/2022 00:00:00,PENNINGTON BROOKS III,4,J-Other,--I,35000,35000,4,0001057369,Class A Common Stock
D,11/29/2022 00:00:00,PENNINGTON BROOKS III,4,J-Other,--D,35000,2611,1,0001057369,Class A Common Stock
D,11/15/2022 00:00:00,LAHANAS NICHOLAS,4,M-Exempt,--D,4000,5745,7,0001408494,Stock Option (Right to Buy)
D,11/15/2022 00:00:00,LAHANAS NICHOLAS,4,M-Exempt,--D,4000,10450,6,0001408494,Stock Option (Right to Buy)
D,11/15/2022 00:00:00,LAHANAS NICHOLAS,4,F-InKind,--D,3306,114822,4,0001408494,Class A Common Stock
A,11/15/2022 00:00:00,LAHANAS NICHOLAS,4,M-Exempt,--D,4000,118128,3,0001408494,Class A Common Stock
D,11/15/2022 00:00:00,LAHANAS NICHOLAS,4,F-InKind,--D,3767,114128,2,0001408494,Class A Common Stock
A,11/15/2022 00:00:00,LAHANAS NICHOLAS,4,M-Exempt,--D,4000,117895,1,0001408494,Class A Common Stock
D,11/11/2022 00:00:00,Machek Howard,4,M-Exempt,--D,8330,0,4,0001650256,Stock Option (Right to Buy)
D,11/11/2022 00:00:00,Machek Howard,4,F-InKind,--D,7294,47986,2,0001650256,Class A Common Stock
A,11/11/2022 00:00:00,Machek Howard,4,M-Exempt,--D,8330,55280,1,0001650256,Class A Common Stock
D,11/01/2022 00:00:00,Machek Howard,4,F-InKind,--D,559,46950,2,0001650256,Class A Common Stock
D,10/25/2022 00:00:00,LAHANAS NICHOLAS,4,M-Exempt,--D,12240,0,4,0001408494,Stock Option (Right to Buy)
D,10/25/2022 00:00:00,LAHANAS NICHOLAS,4,F-InKind,--D,11127,113895,2,0001408494,Class A Common Stock
A,10/25/2022 00:00:00,LAHANAS NICHOLAS,4,M-Exempt,--D,12240,125022,1,0001408494,Class A Common Stock
A,10/07/2022 00:00:00,BROWN WILLIAM E,4,J-Other,--D,8200,1386792,3,0000936179,Common Stock
D,10/01/2022 00:00:00,Hanson John Edward,4,F-InKind,--D,3121,46684,1,0001756648,Class A Common Stock
D,08/25/2022 00:00:00,Walker John D. III,4,M-Exempt,--D,14450,0,8,0001843398,Stock Option (Right to Buy)
D,08/25/2022 00:00:00,Walker John D. III,4,M-Exempt,--D,14690,0,7,0001843398,Stock Option (Right to Buy)
D,08/25/2022 00:00:00,Walker John D. III,4,F-InKind,--D,13403,91672,5,0001843398,Class A Common Stock
A,08/25/2022 00:00:00,Walker John D. III,4,M-Exempt,--D,14450,105075,4,0001843398,Class A Common Stock
D,08/25/2022 00:00:00,Walker John D. III,4,F-InKind,--D,12181,90625,3,0001843398,Class A Common Stock
A,08/25/2022 00:00:00,Walker John D. III,4,M-Exempt,--D,14690,102806,2,0001843398,Class A Common Stock
D,08/25/2022 00:00:00,Walker John D. III,4,S-Sale,--D,5000,88116,1,0001843398,Class A Common Stock
A,08/19/2022 00:00:00,Myers Daniel P.,4,A-Award,--I,5636,5636,2,0001526896,Class A Common Stock
D,08/19/2022 00:00:00,Myers Daniel P.,4,G-Gift,--I,5636,0,1,0001526896,Class A Common Stock
D,08/16/2022 00:00:00,Hanson John Edward,4,S-Sale,--D,6466,49805,1,0001756648,Class A Common Stock
D,08/08/2022 00:00:00,PENNINGTON BROOKS III,4,F-InKind,--D,592,37611,1,0001057369,Class A Common Stock
