MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/31/2023 00:00:00,Frost Bert A,4,S-Sale,--D,15000,47539,1,0001453096,"Common stock, par value $0.01 per share"
D,05/30/2023 00:00:00,Barnard Douglas C,4,S-Sale,--D,17000,24789,1,0001329557,"Common stock, par value $0.01 per share"
A,05/03/2023 00:00:00,Ahmed Javed,4,A-Award,--D,2167,17691,1,0001761339,"Common Stock, par value $0.01 per share"
A,05/03/2023 00:00:00,ARZBAECHER ROBERT C,4,A-Award,--D,2167,80975,1,0001201635,"Common Stock, par value $0.01 per share"
A,05/03/2023 00:00:00,HAGGE STEPHEN J,4,A-Award,--D,3521,53330,1,0001181124,"Common Stock, par value $0.01 per share"
A,05/03/2023 00:00:00,EAVES JOHN W,4,A-Award,--D,2167,21862,1,0001046080,"Common Stock, par value $0.01 per share"
A,05/03/2023 00:00:00,DeHaas Deborah L,4,A-Award,--D,2167,6759,1,0001846475,"Common Stock, par value $0.01 per share"
A,05/03/2023 00:00:00,Madrazo Yris Jesus,4,A-Award,--D,2167,6999,1,0001872810,"Common Stock, par value $0.01 per share"
A,05/03/2023 00:00:00,Noonan Anne P,4,A-Award,--D,2167,28578,1,0001620412,"Common Stock, par value $0.01 per share"
A,05/03/2023 00:00:00,TOELLE MICHAEL,4,A-Award,--D,2167,21862,1,0001265959,"Common Stock, par value $0.01 per share"
A,05/03/2023 00:00:00,Wagler Theresa E,4,A-Award,--D,2167,30990,1,0001301637,"Common Stock, par value $0.01 per share"
A,05/03/2023 00:00:00,White Celso L.,4,A-Award,--D,2167,17955.165,1,0001565937,"Common Stock, par value $0.01 per share"
D,02/28/2023 00:00:00,Bohn Christopher D,4,F-InKind,--D,14474,101808,2,0001594982,"Common stock, par value $0.01 per share"
A,02/28/2023 00:00:00,Bohn Christopher D,4,A-Award,--D,32672,116282,1,0001594982,"Common stock, par value $0.01 per share"
