MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/26/2023 00:00:00,Bozeman David P,4,A-Award,--D,128201,142584,2,0001575959,Common Stock
A,06/26/2023 00:00:00,Bozeman David P,4,A-Award,--D,14383,14383,1,0001575959,Common Stock
D,05/04/2023 00:00:00,Short Michael John,4,M-Exempt,--D,6364,12728,7,0001643515,Stock Option (right to buy)
D,05/04/2023 00:00:00,Short Michael John,4,M-Exempt,--D,4044,4044,6,0001643515,Stock Option (right to buy)
D,05/04/2023 00:00:00,Short Michael John,4,M-Exempt,--D,5638,0,5,0001643515,Stock Option (right to buy)
D,05/04/2023 00:00:00,Short Michael John,4,S-Sale,--D,16155,75937,4,0001643515,Common Stock
A,05/04/2023 00:00:00,Short Michael John,4,M-Exempt,--D,6364,91974,3,0001643515,Common Stock
A,05/04/2023 00:00:00,Short Michael John,4,M-Exempt,--D,4044,85610,2,0001643515,Common Stock
A,05/04/2023 00:00:00,Short Michael John,4,M-Exempt,--D,5638,81566,1,0001643515,Common Stock
D,05/04/2023 00:00:00,Freeman Angela K.,4,S-Sale,--D,2000,92373,1,0001563847,Common Stock
D,05/01/2023 00:00:00,Pinkerton Mac S,4,M-Exempt,--D,7624,0,3,0001763184,Employee Stock Option (right to buy)
D,05/01/2023 00:00:00,Pinkerton Mac S,4,S-Sale,--D,7624,87001,2,0001763184,Common Stock
A,05/01/2023 00:00:00,Pinkerton Mac S,4,M-Exempt,--D,7624,94625,1,0001763184,Common Stock
A,03/31/2023 00:00:00,WINSHIP HENRY WARD IV,4,A-Award,--D,440,1941,3,0001565087,Phantom Stock (Restricted Stock Units)
A,03/31/2023 00:00:00,Tolliver Paula,4,A-Award,--D,440,10651,1,0001756360,Phantom Stock (Restricted Stock Units)
A,03/31/2023 00:00:00,STAKE JAMES B,4,A-Award,--D,440,27397,2,0001205398,Phantom Stock (Restricted Stock Units)
A,03/31/2023 00:00:00,Maier Henry J,4,A-Award,--D,440,1941,2,0001577578,Phantom Stock (Restricted Stock Units)
