MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/05/2023 00:00:00,Somasundaram Sivasankaran,4,F-InKind,--D,8654,419095,1,0001424543,Common Stock
D,06/05/2023 00:00:00,Bryant Deric D.,4,F-InKind,--D,1018,492477,1,0001782476,Common Stock
D,06/05/2023 00:00:00,Mahoney Paul E,4,F-InKind,--D,1080,129902,1,0001737892,Common Stock
D,06/05/2023 00:00:00,Galloway Robert K,4,F-InKind,--D,891,52456,1,0001737891,Common Stock
D,06/05/2023 00:00:00,O'Dell William Jr.,4,F-InKind,--D,581,80818,1,0001813802,Common Stock
D,06/05/2023 00:00:00,Raza Syed,4,F-InKind,--D,891,54256,1,0001737919,Common Stock
D,06/05/2023 00:00:00,Wright Julia,4,F-InKind,--D,5760,75686,1,0001737894,Common Stock
D,06/05/2023 00:00:00,Zweig Jordan,4,F-InKind,--D,764,62416,1,0001813686,Common Stock
D,06/05/2023 00:00:00,Marcos Antoine,4,F-InKind,--D,382,44961,1,0001813921,Common Stock
A,05/10/2023 00:00:00,Wagner Stephen K.,4,A-Award,--D,1955,29530,1,0001505261,Common Stock
D,02/21/2023 00:00:00,Somasundaram Sivasankaran,4,F-InKind,--D,13035,427749,1,0001424543,Common Stock
D,02/21/2023 00:00:00,Fisher Kenneth M.,4,F-InKind,--D,3227,139310,1,0001477029,Common Stock
D,02/21/2023 00:00:00,Bryant Deric D.,4,F-InKind,--D,5214,493495,1,0001782476,Common Stock
D,02/21/2023 00:00:00,Mahoney Paul E,4,F-InKind,--D,1383,130982,1,0001737892,Common Stock
D,02/21/2023 00:00:00,Galloway Robert K,4,F-InKind,--D,1461,53347,1,0001737891,Common Stock
D,02/21/2023 00:00:00,O'Dell William Jr.,4,F-InKind,--D,1856,81399,1,0001813802,Common Stock
D,02/21/2023 00:00:00,Raza Syed,4,F-InKind,--D,1312,55147,1,0001737919,Common Stock
D,02/21/2023 00:00:00,Wright Julia,4,F-InKind,--D,2328,81446,1,0001737894,Common Stock
D,02/21/2023 00:00:00,Zweig Jordan,4,F-InKind,--D,1107,63180,1,0001813686,Common Stock
D,02/21/2023 00:00:00,Marcos Antoine,4,F-InKind,--D,932,45343,1,0001813921,Common Stock
D,02/17/2023 00:00:00,Somasundaram Sivasankaran,4,F-InKind,--D,11166,440784,2,0001424543,Common Stock
D,02/17/2023 00:00:00,Fisher Kenneth M.,4,F-InKind,--D,3067,142537,2,0001477029,Common Stock
D,02/17/2023 00:00:00,Bryant Deric D.,4,F-InKind,--D,3933,498709,2,0001782476,Common Stock
D,02/17/2023 00:00:00,Mahoney Paul E,4,F-InKind,--D,1531,132365,2,0001737892,Common Stock
D,02/17/2023 00:00:00,Galloway Robert K,4,F-InKind,--D,1611,54808,2,0001737891,Common Stock
D,02/17/2023 00:00:00,Raza Syed,4,F-InKind,--D,1268,56459,2,0001737919,Common Stock
D,02/17/2023 00:00:00,O'Dell William Jr.,4,F-InKind,--D,1772,83255,2,0001813802,Common Stock
D,02/17/2023 00:00:00,Wright Julia,4,F-InKind,--D,2538,83774,2,0001737894,Common Stock
D,02/17/2023 00:00:00,Zweig Jordan,4,F-InKind,--D,1539,64287,2,0001813686,Common Stock
D,02/17/2023 00:00:00,Marcos Antoine,4,F-InKind,--D,798,46275,2,0001813921,Common Stock
A,02/16/2023 00:00:00,Somasundaram Sivasankaran,4,A-Award,--D,78222,451950,1,0001424543,Common Stock
A,02/16/2023 00:00:00,Fisher Kenneth M.,4,A-Award,--D,28942,145604,1,0001477029,Common Stock
A,02/16/2023 00:00:00,Bryant Deric D.,4,A-Award,--D,21120,502642,1,0001782476,Common Stock
A,02/16/2023 00:00:00,Mahoney Paul E,4,A-Award,--D,14080,133896,1,0001737892,Common Stock
A,02/16/2023 00:00:00,Galloway Robert K,4,A-Award,--D,7431,56419,1,0001737891,Common Stock
A,02/16/2023 00:00:00,Raza Syed,4,A-Award,--D,6648,57727,1,0001737919,Common Stock
A,02/16/2023 00:00:00,O'Dell William Jr.,4,A-Award,--D,8604,85027,1,0001813802,Common Stock
A,02/16/2023 00:00:00,Wright Julia,4,A-Award,--D,13688,86312,1,0001737894,Common Stock
A,02/16/2023 00:00:00,Zweig Jordan,4,A-Award,--D,8213,65826,1,0001813686,Common Stock
A,02/16/2023 00:00:00,Marcos Antoine,4,A-Award,--D,4693,47073,1,0001813921,Common Stock
D,02/13/2023 00:00:00,Mahoney Paul E,4,M-Exempt,--D,11735,0,5,0001737892,Stock Appreciation Right
D,02/13/2023 00:00:00,Mahoney Paul E,4,S-Sale,--D,1171,119816,4,0001737892,Common Stock
D,02/13/2023 00:00:00,Mahoney Paul E,4,F-InKind,--D,494,120987,3,0001737892,Common Stock
