MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/01/2023 00:00:00,Ozuah Phillip,4,A-Award,--D,624,624,1,0001859685,"Common Stock, $.01 Par Value"
A,05/31/2023 00:00:00,Kurian George,4,A-Award,--D,121.2562,668.819,1,0001586813,Phantom Stock Units
A,05/31/2023 00:00:00,WISEMAN ERIC C,4,A-Award,--D,159.654,7257.826,1,0001237851,Phantom Stock Units
D,05/22/2023 00:00:00,Agoglia Hoeltzel Mary T,4,I-Discretionary,--I,503.6533,0,1,0001467807,"Common Stock, $.01 Par Value"
A,05/08/2023 00:00:00,Palmer Eric P,4,G-Gift,--I,390,1125,2,0001710190,"Common Stock, $.01 Par Value"
D,05/08/2023 00:00:00,Palmer Eric P,4,G-Gift,--D,390,45564,1,0001710190,"Common Stock, $.01 Par Value"
D,05/01/2023 00:00:00,ZARCONE DONNA F,4,S-Sale,--D,757,25558,1,0001243083,"Common Stock, $.01 Par Value"
A,04/26/2023 00:00:00,WISEMAN ERIC C,4,A-Award,--D,765,21981,1,0001237851,"Common Stock, $.01 Par Value"
A,04/26/2023 00:00:00,Kurian George,4,A-Award,--D,765,2601,1,0001586813,"Common Stock, $.01 Par Value"
A,04/26/2023 00:00:00,Hathi Neesha,4,A-Award,--D,765,2192,1,0001879974,"Common Stock, $.01 Par Value"
A,04/26/2023 00:00:00,FOSS ERIC J,4,A-Award,--D,765,34737,1,0001197007,"Common Stock, $.01 Par Value"
A,04/26/2023 00:00:00,DeLaney William J III,4,A-Award,--D,765,20375,1,0001384151,"Common Stock, $.01 Par Value"
A,04/26/2023 00:00:00,Granger Elder,4,A-Award,--D,765,4932,1,0001625579,"Common Stock, $.01 Par Value"
A,04/26/2023 00:00:00,ZARCONE DONNA F,4,A-Award,--D,765,26315,1,0001243083,"Common Stock, $.01 Par Value"
A,04/26/2023 00:00:00,Ross Kimberly A.,4,A-Award,--D,765,3335,1,0001536350,"Common Stock, $.01 Par Value"
A,04/26/2023 00:00:00,McClellan Mark B.,4,A-Award,--D,765,4932,1,0001567006,"Common Stock, $.01 Par Value"
A,04/26/2023 00:00:00,MAZZARELLA KATHLEEN M,4,A-Award,--D,765,4932,1,0001273233,"Common Stock, $.01 Par Value"
D,03/10/2023 00:00:00,Triplett Michael W,4,S-Sale,--D,1731,30235,1,0001698840,"Common Stock, $.01 Par Value"
D,03/10/2023 00:00:00,Neville Everett,4,S-Sale,--D,2982,5403,1,0001641142,"Common Stock, $.01 Par Value"
D,03/10/2023 00:00:00,ZARCONE DONNA F,4,S-Sale,--D,2088,25550,1,0001243083,"Common Stock, $.01 Par Value"
D,03/10/2023 00:00:00,Granger Elder,4,S-Sale,--D,322,4167,1,0001625579,"Common Stock, $.01 Par Value"
D,03/02/2023 00:00:00,Neville Everett,4,S-Sale,--D,454,8385,2,0001641142,"Common Stock, $.01 Par Value"
D,03/02/2023 00:00:00,Jones Nicole S,4,S-Sale,--D,663,37888,2,0001492663,"Common Stock, $.01 Par Value"
D,03/01/2023 00:00:00,Triplett Michael W,4,F-InKind,--D,805,31966,1,0001698840,"Common Stock, $.01 Par Value"
D,03/01/2023 00:00:00,Sanford Paul A,4,F-InKind,--D,192,10186,1,0001886769,"Common Stock, $.01 Par Value"
D,03/01/2023 00:00:00,Ryan Cynthia,4,F-InKind,--D,244,6259,1,0001877352,"Common Stock, $.01 Par Value"
D,03/01/2023 00:00:00,Palmer Eric P,4,F-InKind,--D,1889,45954,1,0001710190,"Common Stock, $.01 Par Value"
D,03/01/2023 00:00:00,Neville Everett,4,F-InKind,--D,719,8839,1,0001641142,"Common Stock, $.01 Par Value"
D,03/01/2023 00:00:00,Jones Nicole S,4,F-InKind,--D,1146,38551,1,0001492663,"Common Stock, $.01 Par Value"
D,03/01/2023 00:00:00,Evanko Brian C,4,F-InKind,--D,1342,31332,1,0001722909,"Common Stock, $.01 Par Value"
D,03/01/2023 00:00:00,Eder Noelle K,4,F-InKind,--D,943,16826,1,0001691704,"Common Stock, $.01 Par Value"
D,03/01/2023 00:00:00,Cordani David,4,F-InKind,--D,4594,115902,1,0001318751,"Common Stock, $.01 Par Value"
D,03/01/2023 00:00:00,Agoglia Hoeltzel Mary T,4,F-InKind,--D,106,9763.593,1,0001467807,"Common Stock, $.01 Par Value"
A,02/28/2023 00:00:00,Kurian George,4,A-Award,--D,102.7046,545.4404,1,0001586813,Phantom Stock Units
A,02/28/2023 00:00:00,WISEMAN ERIC C,4,A-Award,--D,135.2277,7064.3069,1,0001237851,Phantom Stock Units
D,02/27/2023 00:00:00,Ryan Cynthia,4,S-Sale,--D,803,6503,4,0001877352,"Common Stock, $.01 Par Value"
D,02/27/2023 00:00:00,Neville Everett,4,S-Sale,--D,1772,9558,4,0001641142,"Common Stock, $.01 Par Value"
D,02/27/2023 00:00:00,Cordani David,4,S-Sale,--D,20148,120496,4,0001318751,"Common Stock, $.01 Par Value"
D,02/27/2023 00:00:00,Jones Nicole S,4,S-Sale,--D,5404,39697,4,0001492663,"Common Stock, $.01 Par Value"
D,02/24/2023 00:00:00,Triplett Michael W,4,F-InKind,--D,2172,32771,3,0001698840,"Common Stock, $.01 Par Value"
D,02/24/2023 00:00:00,Triplett Michael W,4,F-InKind,--D,280,34943,2,0001698840,"Common Stock, $.01 Par Value"
A,02/24/2023 00:00:00,Triplett Michael W,4,A-Award,--D,5633,35223,1,0001698840,"Common Stock, $.01 Par Value"
D,02/24/2023 00:00:00,Sanford Paul A,4,F-InKind,--D,328,10378,3,0001886769,"Common Stock, $.01 Par Value"
D,02/24/2023 00:00:00,Sanford Paul A,4,F-InKind,--D,63,10706,2,0001886769,"Common Stock, $.01 Par Value"
A,02/24/2023 00:00:00,Sanford Paul A,4,A-Award,--D,1040,10769,1,0001886769,"Common Stock, $.01 Par Value"
A,02/24/2023 00:00:00,Sadler Jason D,4,A-Award,--D,5070,47015,1,0001554974,"Common Stock, $.01 Par Value"
D,02/24/2023 00:00:00,Ryan Cynthia,4,F-InKind,--D,371,7306,3,0001877352,"Common Stock, $.01 Par Value"
D,02/24/2023 00:00:00,Ryan Cynthia,4,F-InKind,--D,71,7677,2,0001877352,"Common Stock, $.01 Par Value"
A,02/24/2023 00:00:00,Ryan Cynthia,4,A-Award,--D,1174,7748,1,0001877352,"Common Stock, $.01 Par Value"
D,02/24/2023 00:00:00,Palmer Eric P,4,F-InKind,--D,4992,47843,3,0001710190,"Common Stock, $.01 Par Value"
D,02/24/2023 00:00:00,Palmer Eric P,4,F-InKind,--D,572,52835,2,0001710190,"Common Stock, $.01 Par Value"
A,02/24/2023 00:00:00,Palmer Eric P,4,A-Award,--D,11265,53407,1,0001710190,"Common Stock, $.01 Par Value"
D,02/24/2023 00:00:00,Neville Everett,4,F-InKind,--D,1683,11330,3,0001641142,"Common Stock, $.01 Par Value"
D,02/24/2023 00:00:00,Neville Everett,4,F-InKind,--D,228,13013,2,0001641142,"Common Stock, $.01 Par Value"
