MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/25/2023 00:00:00,Stadler Matthew S.,4,A-Award,--D,373,142749,1,0001198029,Common Stock
A,05/25/2023 00:00:00,Cheigh Jon,4,A-Award,--D,808,157155,1,0001784007,Common Stock
A,05/25/2023 00:00:00,Dee Alicia,4,A-Award,--D,56,5400,1,0001926600,Common Stock
A,05/25/2023 00:00:00,Charles Daniel P,4,A-Award,--D,375,44803,1,0001423880,Common Stock
A,05/25/2023 00:00:00,Dulik Elena,4,A-Award,--D,53,22308,1,0001574998,Common Stock
A,05/25/2023 00:00:00,POLI FRANCIS C,4,A-Award,--D,280,75249,1,0001201881,Common Stock
A,05/25/2023 00:00:00,DERECHIN ADAM M,4,A-Award,--D,286,522234,1,0001181440,Common Stock
A,05/25/2023 00:00:00,Harvey Joseph M,4,A-Award,--D,1494,1292230,2,0001299637,Common Stock
D,05/15/2023 00:00:00,Dee Alicia,4,F-InKind,--D,128,5344,1,0001926600,Common Stock
D,04/24/2023 00:00:00,COHEN MARTIN,4,G-Gift,--D,35000,912468,2,0001181496,Common Stock
A,04/03/2023 00:00:00,Connor Frank T,4,A-Award,--D,433,19418,1,0001469602,Common Stock
A,04/03/2023 00:00:00,COHEN MARTIN,4,A-Award,--D,433,947468,3,0001181496,Common Stock
A,04/03/2023 00:00:00,Villani Edmond D,4,A-Award,--D,433,41111,1,0001299603,Common Stock
A,04/03/2023 00:00:00,Smith Dasha,4,A-Award,--D,433,5301,1,0001794225,Common Stock
A,04/03/2023 00:00:00,Simon Richard P,4,A-Award,--D,433,40636,1,0001296123,Common Stock
A,04/03/2023 00:00:00,RHEIN PETER L,4,A-Award,--D,433,19484,2,0001183494,Common Stock
A,04/03/2023 00:00:00,Aggarwal Reena,4,A-Award,--D,433,12448,1,0001519118,Common Stock
A,03/16/2023 00:00:00,DERECHIN ADAM M,4,A-Award,--D,242,521948,1,0001181440,Common Stock
A,03/16/2023 00:00:00,Dee Alicia,4,A-Award,--D,47,5472,1,0001926600,Common Stock
A,03/16/2023 00:00:00,Dulik Elena,4,A-Award,--D,45,22191,1,0001574998,Common Stock
