MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,03/23/2023 00:00:00,Deason Jennifer,4,A-Award,--D,1482,3350,1,0001679060,Common Stock
A,03/23/2023 00:00:00,Hayley Kathryn,4,A-Award,--D,1482,3350,1,0001431838,Common Stock
A,03/23/2023 00:00:00,Council LaVerne H,4,A-Award,--D,1482,3350,1,0001788616,Common Stock
A,03/23/2023 00:00:00,Chou Teh-Chien,4,A-Award,--D,1482,3350,1,0001834419,Common Stock
A,03/23/2023 00:00:00,VEZINA ANN F,4,A-Award,--D,1482,5294,1,0001356299,Common Stock
A,03/23/2023 00:00:00,Marinello Kathryn V,4,A-Award,--D,1482,3350,1,0001378931,Common Stock
A,03/23/2023 00:00:00,POLK DENNIS,4,A-Award,--D,1482,16989,1,0001270710,Common Stock
D,03/01/2023 00:00:00,POLK DENNIS,4,M-Exempt,--D,10000,18129,5,0001270710,Employee Stock Option (Right to Buy)
D,03/01/2023 00:00:00,POLK DENNIS,4,S-Sale,--D,801,15507,4,0001270710,Common Stock
D,03/01/2023 00:00:00,POLK DENNIS,4,S-Sale,--D,5408,16308,3,0001270710,Common Stock
D,03/01/2023 00:00:00,POLK DENNIS,4,S-Sale,--D,3791,21716,2,0001270710,Common Stock
A,03/01/2023 00:00:00,POLK DENNIS,4,M-Exempt,--D,10000,25507,1,0001270710,Common Stock
D,02/02/2023 00:00:00,Twomey Cormac J,4,S-Sale,--D,3631,25277,1,0001722281,Common Stock
D,02/01/2023 00:00:00,POLK DENNIS,4,M-Exempt,--D,10000,28129,5,0001270710,Employee Stock Option (Right to Buy)
D,02/01/2023 00:00:00,POLK DENNIS,4,S-Sale,--D,100,15507,4,0001270710,Common Stock
D,02/01/2023 00:00:00,POLK DENNIS,4,S-Sale,--D,4645,15607,3,0001270710,Common Stock
D,02/01/2023 00:00:00,POLK DENNIS,4,S-Sale,--D,5255,20252,2,0001270710,Common Stock
A,02/01/2023 00:00:00,POLK DENNIS,4,M-Exempt,--D,10000,25507,1,0001270710,Common Stock
