MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/02/2023 00:00:00,Mouadeb Mark Daniel,4,S-Sale,--D,469,16396,1,0001938196,Common Stock
A,05/04/2023 00:00:00,Archibong Ime,4,A-Award,--D,2453,5719,1,0001848476,Common Stock
A,05/04/2023 00:00:00,RASKIND PETER E,4,A-Award,--D,2453,30161,1,0001181669,Common Stock
A,05/04/2023 00:00:00,Locoh-Donou Francois,4,A-Award,--D,2453,10567,1,0001526624,Common Stock
A,05/04/2023 00:00:00,Serra Eileen,4,A-Award,--D,2453,8609,1,0001721344,Common Stock
A,05/04/2023 00:00:00,williams craig a.,4,A-Award,--D,2453,5962,1,0001848752,Common Stock
A,05/04/2023 00:00:00,Detrick Christine Rose,4,A-Award,--D,2453,4711,1,0001594796,Common Stock
A,05/04/2023 00:00:00,HACKETT ANN F,4,A-Award,--D,2453,69980,1,0001188662,Common Stock
A,05/04/2023 00:00:00,WARNER BRADFORD H,4,A-Award,--D,2453,47554,1,0001195086,Common Stock
A,05/04/2023 00:00:00,SHATTUCK MAYO A III,4,A-Award,--D,2453,63295,1,0001087426,Common Stock
A,05/04/2023 00:00:00,Killalea Peter Thomas,4,A-Award,--D,2453,17120,1,0001638728,Common Stock
A,05/04/2023 00:00:00,Leenaars Cornelis PAJ,4,A-Award,--D,2453,10999,1,0001549838,Common Stock
D,03/01/2023 00:00:00,Zamsky Michael,4,F-InKind,--D,1858,29644,2,0001938261,Common Stock
A,03/01/2023 00:00:00,Zamsky Michael,4,A-Award,--D,4118,31502,1,0001938261,Common Stock
D,03/01/2023 00:00:00,FAIRBANK RICHARD D,4,F-InKind,--D,75055,3848399,2,0001238032,Common Stock
A,03/01/2023 00:00:00,FAIRBANK RICHARD D,4,A-Award,--D,166419,3923448,1,0001238032,Common Stock
D,03/01/2023 00:00:00,Dean Lia,4,F-InKind,--D,6348,56211,2,0001741273,Common Stock
A,03/01/2023 00:00:00,Dean Lia,4,A-Award,--D,12675,62559,1,0001741273,Common Stock
D,03/01/2023 00:00:00,Raghu Ravi,4,F-InKind,--D,1123,44960,2,0001938203,Common Stock
A,03/01/2023 00:00:00,Raghu Ravi,4,A-Award,--D,2853,46083,1,0001938203,Common Stock
D,03/01/2023 00:00:00,Borgmann Kevin S.,4,F-InKind,--D,7709,75824,2,0001567914,Common Stock
A,03/01/2023 00:00:00,Borgmann Kevin S.,4,A-Award,--D,15392,83533,1,0001567914,Common Stock
D,03/01/2023 00:00:00,Karam Celia,4,F-InKind,--D,5197,49688,2,0001741344,Common Stock
A,03/01/2023 00:00:00,Karam Celia,4,A-Award,--D,11523,54885,1,0001741344,Common Stock
D,03/01/2023 00:00:00,Hall Sheldon,4,F-InKind,--D,7364,84733,2,0001748065,Common Stock
A,03/01/2023 00:00:00,Hall Sheldon,4,A-Award,--D,14703,92097,1,0001748065,Common Stock
D,03/01/2023 00:00:00,Sanjiv Yajnik,4,F-InKind,--D,9130,99421,2,0001466919,Common Stock
A,03/01/2023 00:00:00,Sanjiv Yajnik,4,A-Award,--D,20243,108551,1,0001466919,Common Stock
D,03/01/2023 00:00:00,Alexander Robert M.,4,F-InKind,--D,6771,78822,2,0001425374,Common Stock
A,03/01/2023 00:00:00,Alexander Robert M.,4,A-Award,--D,15012,85593,1,0001425374,Common Stock
D,03/01/2023 00:00:00,"LaPrade,III Frank G.",4,F-InKind,--D,8776,86206,2,0001497948,Common Stock
A,03/01/2023 00:00:00,"LaPrade,III Frank G.",4,A-Award,--D,17522,94982,1,0001497948,Common Stock
D,03/01/2023 00:00:00,Cooper Matthew W,4,F-InKind,--D,6912,50344,2,0001727277,Common Stock
A,03/01/2023 00:00:00,Cooper Matthew W,4,A-Award,--D,15324,57256,1,0001727277,Common Stock
D,02/15/2023 00:00:00,Borgmann Kevin S.,4,F-InKind,--D,809,68141,3,0001567914,Common Stock
D,02/15/2023 00:00:00,Borgmann Kevin S.,4,F-InKind,--D,1067,68950,2,0001567914,Common Stock
