MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/13/2023 00:00:00,Robb Gary Charles,4,G-Gift,--D,600,20029,1,0001529655,Common Stock
A,06/08/2023 00:00:00,Robb Gary Charles,4,G-Gift,--I,725,8061,8,0001529655,Common Stock
A,06/08/2023 00:00:00,Robb Gary Charles,4,G-Gift,--I,725,8061,7,0001529655,Common Stock
A,06/08/2023 00:00:00,Robb Gary Charles,4,G-Gift,--I,725,8061,6,0001529655,Common Stock
D,06/08/2023 00:00:00,Robb Gary Charles,4,G-Gift,--D,650,20629,5,0001529655,Common Stock
D,06/08/2023 00:00:00,Robb Gary Charles,4,G-Gift,--D,725,21279,4,0001529655,Common Stock
D,06/08/2023 00:00:00,Robb Gary Charles,4,G-Gift,--D,725,22004,3,0001529655,Common Stock
D,06/08/2023 00:00:00,Robb Gary Charles,4,G-Gift,--D,725,22729,2,0001529655,Common Stock
D,06/08/2023 00:00:00,Robb Gary Charles,4,G-Gift,--D,725,23454,1,0001529655,Common Stock
D,06/06/2023 00:00:00,Lyon Joseph Douglas,4,M-Exempt,--D,10000,56571,3,0001817838,Stock option (right to buy)
D,06/06/2023 00:00:00,Lyon Joseph Douglas,4,S-Sale,--D,10000,5132,2,0001817838,Common Stock
A,06/06/2023 00:00:00,Lyon Joseph Douglas,4,M-Exempt,--D,10000,15132,1,0001817838,Common Stock
A,06/01/2023 00:00:00,Robb Gary Charles,4,A-Award,--D,2091,24179,2,0001529655,Common Stock
A,06/01/2023 00:00:00,Robb Gary Charles,4,A-Award,--D,2091,22088,1,0001529655,Common Stock
A,06/01/2023 00:00:00,Lyon Joseph Douglas,4,A-Award,--D,1411,5132,2,0001817838,Common Stock
A,06/01/2023 00:00:00,Lyon Joseph Douglas,4,A-Award,--D,1411,3721,1,0001817838,Common Stock
A,06/01/2023 00:00:00,Mokari Atabak,4,A-Award,--D,1651,7408,2,0001678419,Common Stock
A,06/01/2023 00:00:00,Mokari Atabak,4,A-Award,--D,1651,5757,1,0001678419,Common Stock
A,06/01/2023 00:00:00,Maduck Sean,4,A-Award,--D,1658,62698,2,0001698310,Common Stock
A,06/01/2023 00:00:00,Maduck Sean,4,A-Award,--D,1658,61040,1,0001698310,Common Stock
A,05/19/2023 00:00:00,BAKER G LEONARD JR,4,A-Award,--D,30000,30000,1,0001201715,Stock Option (Right To Buy)
A,05/19/2023 00:00:00,Alton Gregg H,4,A-Award,--D,30000,30000,1,0001334682,Stock option (right to buy)
A,05/19/2023 00:00:00,WILSON JAMES N,4,A-Award,--D,80000,80000,1,0001236387,Stock option (right to buy)
A,05/19/2023 00:00:00,Cannon Gillian,4,A-Award,--D,30000,30000,1,0001833910,Stock option (right to buy)
A,05/19/2023 00:00:00,Park Kimberly,4,A-Award,--D,30000,30000,1,0001788208,Stock option (right to buy)
A,05/19/2023 00:00:00,Swisher Daniel N JR,4,A-Award,--D,30000,30000,1,0001323113,Stock option (right to buy)
A,05/19/2023 00:00:00,MAHONEY DAVID L,4,A-Award,--D,30000,30000,1,0001224091,Stock option (right to buy)
A,05/19/2023 00:00:00,Murray Joshua M.,4,A-Award,--D,30000,30000,1,0001867952,Stock option (right to buy)
D,05/10/2023 00:00:00,Robb Gary Charles,4,S-Sale,--D,14000,19997,2,0001529655,Common Stock
D,05/09/2023 00:00:00,Robb Gary Charles,4,S-Sale,--D,30000,33997,1,0001529655,Common Stock
