MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/22/2023 00:00:00,Goudet Olivier,4,J-Other,--I,1049102,1049102,2,0001578897,Class A common stock
D,05/22/2023 00:00:00,Goudet Olivier,4,J-Other,--D,1049102,0,1,0001578897,Class A common stock
A,05/04/2023 00:00:00,Nabi Sue,4,A-Award,--D,10416667,20416667,1,0001823432,Restricted Stock Units
A,04/04/2023 00:00:00,Srinivasan Priya,4,A-Award,--D,9481,9481,1,0001972492,Restricted Stock Units
A,01/02/2023 00:00:00,Lubomira Rochet,4,A-Award,--D,12293,12293,1,0001859541,Restricted Stock Units
A,11/15/2022 00:00:00,Parize Isabelle,4,A-Award,--D,25000,83468,2,0001805944,Restricted Stock Units
A,11/15/2022 00:00:00,HUTH JOHANNES P,4,A-Award,--D,39452,39452,2,0001206779,Restricted Stock Units
A,11/15/2022 00:00:00,ARAMBURUZABALA MARIA ASUNICION,4,A-Award,--D,25000,63287,2,0001285695,Restricted Stock Units
A,11/15/2022 00:00:00,Singer Robert S,4,A-Award,--D,25000,95000,4,0001291809,Restricted Stock Units
D,11/15/2022 00:00:00,Singer Robert S,4,M-Exempt,--D,10000,70000,3,0001291809,Restricted Stock Units
A,11/15/2022 00:00:00,Singer Robert S,4,M-Exempt,--D,10000,249982,1,0001291809,Class A common stock
A,11/15/2022 00:00:00,Ballini Beatrice,4,A-Award,--D,25000,82808,2,0001789833,Restricted Stock Units
A,11/15/2022 00:00:00,Creus Joachim,4,A-Award,--D,25000,81547,1,0001794192,Restricted Stock Units
A,11/15/2022 00:00:00,Makanju Anna Adeola,4,A-Award,--D,25000,63287,1,0001838276,Restricted Stock Units
A,11/15/2022 00:00:00,Goudet Olivier,4,A-Award,--D,25000,95000,3,0001578897,Restricted Stock Units
D,11/15/2022 00:00:00,Goudet Olivier,4,M-Exempt,--D,10000,70000,2,0001578897,Restricted Stock Units
A,11/15/2022 00:00:00,Goudet Olivier,4,M-Exempt,--D,10000,1049129,1,0001578897,Class A common stock
A,11/15/2022 00:00:00,Schoewel Erhard,4,A-Award,--D,25000,95000,5,0001578917,Restricted Stock Units
D,11/15/2022 00:00:00,Schoewel Erhard,4,M-Exempt,--D,10000,70000,4,0001578917,Restricted Stock Units
A,11/15/2022 00:00:00,Schoewel Erhard,4,M-Exempt,--D,10000,139473,1,0001578917,Class A common stock
A,11/15/2022 00:00:00,HARF PETER,4,A-Award,--D,45000,187657,5,0001223301,Restricted Stock Units
D,11/15/2022 00:00:00,HARF PETER,4,M-Exempt,--D,10000,142657,4,0001223301,Restricted Stock Units
A,11/15/2022 00:00:00,HARF PETER,4,M-Exempt,--D,10000,30000,1,0001223301,Class A common stock
