MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/27/2023 00:00:00,JOHNSON WILLIS J,4,M-Exempt,--D,50000,0,16,0000930249,Stock Option
D,06/27/2023 00:00:00,JOHNSON WILLIS J,4,M-Exempt,--D,50000,0,15,0000930249,Stock Option
D,06/27/2023 00:00:00,JOHNSON WILLIS J,4,M-Exempt,--D,80000,0,14,0000930249,Stock Option
D,06/27/2023 00:00:00,JOHNSON WILLIS J,4,M-Exempt,--D,160000,0,13,0000930249,Stock Option
D,06/27/2023 00:00:00,JOHNSON WILLIS J,4,M-Exempt,--D,160000,0,12,0000930249,Stock Option
D,06/27/2023 00:00:00,JOHNSON WILLIS J,4,M-Exempt,--D,160000,0,11,0000930249,Stock Option (right to buy)
D,06/27/2023 00:00:00,JOHNSON WILLIS J,4,S-Sale,--D,660000,1773832,7,0000930249,Common Stock
A,06/27/2023 00:00:00,JOHNSON WILLIS J,4,M-Exempt,--D,50000,2433832,6,0000930249,Common Stock
A,06/27/2023 00:00:00,JOHNSON WILLIS J,4,M-Exempt,--D,50000,2383832,5,0000930249,Common Stock
A,06/27/2023 00:00:00,JOHNSON WILLIS J,4,M-Exempt,--D,80000,2333832,4,0000930249,Common Stock
A,06/27/2023 00:00:00,JOHNSON WILLIS J,4,M-Exempt,--D,160000,2253832,3,0000930249,Common Stock
A,06/27/2023 00:00:00,JOHNSON WILLIS J,4,M-Exempt,--D,160000,2093832,2,0000930249,Common Stock
A,06/27/2023 00:00:00,JOHNSON WILLIS J,4,M-Exempt,--D,160000,1933832,1,0000930249,Common Stock
D,05/30/2023 00:00:00,COHAN STEVEN D,4,M-Exempt,--D,80000,0,3,0001284107,Stock Option
D,05/30/2023 00:00:00,COHAN STEVEN D,4,S-Sale,--D,80000,0,2,0001284107,Common Stock
A,05/30/2023 00:00:00,COHAN STEVEN D,4,M-Exempt,--D,80000,80000,1,0001284107,Common Stock
D,05/23/2023 00:00:00,FISHER STEPHEN,4,M-Exempt,--D,50000,50000,4,0001567149,Stock Option
D,05/23/2023 00:00:00,FISHER STEPHEN,4,S-Sale,--D,22033,0,3,0001567149,Common Stock
D,05/23/2023 00:00:00,FISHER STEPHEN,4,S-Sale,--D,27967,22033,2,0001567149,Common Stock
A,05/23/2023 00:00:00,FISHER STEPHEN,4,M-Exempt,--D,50000,50000,1,0001567149,Common Stock
A,05/22/2023 00:00:00,MEEKS JAMES E,4,M-Exempt,--D,160000,160000,3,0001239694,Stock Option
D,05/22/2023 00:00:00,MEEKS JAMES E,4,S-Sale,--D,160000,0,2,0001239694,Common Stock
A,05/22/2023 00:00:00,MEEKS JAMES E,4,M-Exempt,--D,160000,160000,1,0001239694,Common Stock
A,05/19/2023 00:00:00,TRYFOROS THOMAS N,4,M-Exempt,--D,160000,160000,3,0000897542,Stock Option (right to buy)
D,05/19/2023 00:00:00,TRYFOROS THOMAS N,4,S-Sale,--D,143100,16900,2,0000897542,Common Stock
A,05/19/2023 00:00:00,TRYFOROS THOMAS N,4,M-Exempt,--D,160000,160000,1,0000897542,Common Stock
