MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/12/2023 00:00:00,WESTBROOK KELVIN R,4,A-Award,--D,2082,27014,1,0001190588,Common Shares
A,05/12/2023 00:00:00,WEBSTER STEVEN A,4,A-Award,--D,2082,113178,1,0001008023,Common Shares
A,05/12/2023 00:00:00,Sevilla-Sacasa Frances Aldrich,4,A-Award,--D,2082,21999,1,0001527033,Common Shares
A,05/12/2023 00:00:00,Khator Renu,4,A-Award,--D,2082,14568,1,0001694495,Common Shares
A,05/12/2023 00:00:00,INGRAHAM SCOTT S,4,A-Award,--D,2082,57980,1,0001192157,Common Shares
A,05/12/2023 00:00:00,Gibson Mark,4,A-Award,--D,2082,7974,1,0001387771,Common Shares
A,05/12/2023 00:00:00,Brunner Heather J.,4,A-Award,--D,2082,11555,1,0001531661,Common Shares
A,05/12/2023 00:00:00,Benito Javier,4,A-Award,--D,2082,3777,1,0001323300,Common Shares
D,05/10/2023 00:00:00,Jessett Alexander J.,4,G-Gift,--D,1352,124946,1,0001477861,Common Shares
D,05/05/2023 00:00:00,CAMPO RICHARD J,4,S-Sale,--D,5337,246799,1,0001020941,Common Shares
A,02/22/2023 00:00:00,Sengelmann William W.,4,A-Award,--D,12908,81575,1,0001428540,Common Shares
A,02/22/2023 00:00:00,ODEN D KEITH,4,A-Award,--D,34307,364995,1,0001020942,Common Shares
A,02/22/2023 00:00:00,Jessett Alexander J.,4,A-Award,--D,18188,126298,1,0001477861,Common Shares
A,02/22/2023 00:00:00,Gallagher Michael P,4,A-Award,--D,3298,31738,1,0001368279,Common Shares
A,02/22/2023 00:00:00,CAMPO RICHARD J,4,A-Award,--D,34307,252136,1,0001020941,Common Shares
A,02/22/2023 00:00:00,Baker Laurie,4,A-Award,--D,13748,64368,2,0001542694,Common Shares
D,02/15/2023 00:00:00,ODEN D KEITH,4,M-Exempt,--D,38022,26695,6,0001020942,Options to Repurchase
D,02/15/2023 00:00:00,ODEN D KEITH,4,M-Exempt,--D,8945,64717,5,0001020942,Options to Repurchase
D,02/15/2023 00:00:00,ODEN D KEITH,4,M-Exempt,--D,5491,73662,4,0001020942,Options to Repurchase
A,02/15/2023 00:00:00,ODEN D KEITH,4,M-Exempt,--D,38022,330494,3,0001020942,Common Shares
A,02/15/2023 00:00:00,ODEN D KEITH,4,M-Exempt,--D,8945,292472,2,0001020942,Common Shares
A,02/15/2023 00:00:00,ODEN D KEITH,4,M-Exempt,--D,5491,283527,1,0001020942,Common Shares
D,02/15/2023 00:00:00,CAMPO RICHARD J,4,M-Exempt,--D,38022,175859,6,0001020941,Options to Repurchase
D,02/15/2023 00:00:00,CAMPO RICHARD J,4,M-Exempt,--D,8945,213881,5,0001020941,Options to Repurchase
D,02/15/2023 00:00:00,CAMPO RICHARD J,4,M-Exempt,--D,5491,222826,4,0001020941,Options to Repurchase
A,02/15/2023 00:00:00,CAMPO RICHARD J,4,M-Exempt,--D,38022,225081,3,0001020941,Common Shares
A,02/15/2023 00:00:00,CAMPO RICHARD J,4,M-Exempt,--D,8945,187059,2,0001020941,Common Shares
A,02/15/2023 00:00:00,CAMPO RICHARD J,4,M-Exempt,--D,5491,178114,1,0001020941,Common Shares
D,01/04/2023 00:00:00,Baker Laurie,4,G-Gift,--D,200,50518,1,0001542694,Common Shares
D,01/04/2023 00:00:00,Sengelmann William W.,4,M-Exempt,--D,953,3813,4,0001428540,Option to Repurchase
D,01/04/2023 00:00:00,Sengelmann William W.,4,S-Sale,--D,9339,68667,3,0001428540,Common Shares
D,01/04/2023 00:00:00,Sengelmann William W.,4,S-Sale,--D,953,78006,2,0001428540,Common Shares
A,01/04/2023 00:00:00,Sengelmann William W.,4,M-Exempt,--D,953,78959,1,0001428540,Common Shares
D,01/04/2023 00:00:00,Gallagher Michael P,4,S-Sale,--D,1332,28110,1,0001368279,Common Shares
D,01/04/2023 00:00:00,Brunner Heather J.,4,S-Sale,--D,1278,9473,1,0001531661,Common Shares
D,09/15/2022 00:00:00,WESTBROOK KELVIN R,4,S-Sale,--D,1820,24932,1,0001190588,Common Shares
A,05/12/2022 00:00:00,Khator Renu,4,A-Award,--D,1527,12486,1,0001694495,Common Shares
A,05/12/2022 00:00:00,WESTBROOK KELVIN R,4,A-Award,--D,1527,26752,1,0001190588,Common Shares
A,05/12/2022 00:00:00,WEBSTER STEVEN A,4,A-Award,--D,1527,111096,1,0001008023,Common Shares
A,05/12/2022 00:00:00,Sevilla-Sacasa Frances Aldrich,4,A-Award,--D,1527,19917,1,0001527033,Common Shares
A,05/12/2022 00:00:00,INGRAHAM SCOTT S,4,A-Award,--D,1527,55898,1,0001192157,Common Shares
A,05/12/2022 00:00:00,Gibson Mark,4,A-Award,--D,1527,5892,1,0001387771,Common Shares
A,05/12/2022 00:00:00,Brunner Heather J.,4,A-Award,--D,1527,10751,1,0001531661,Common Shares
A,05/12/2022 00:00:00,Benito Javier,4,A-Award,--D,1527,1695,1,0001323300,Common Shares
D,02/25/2022 00:00:00,Brunner Heather J.,4,S-Sale,--D,883,9224,1,0001531661,Common Shares
A,02/16/2022 00:00:00,Gallagher Michael P,4,A-Award,--D,2232,29248,1,0001368279,Common Shares
A,02/16/2022 00:00:00,Sengelmann William W.,4,A-Award,--D,8778,78006,1,0001428540,Common Shares
A,02/16/2022 00:00:00,ODEN D KEITH,4,A-Award,--D,19710,278036,1,0001020942,Common Shares
A,02/16/2022 00:00:00,Jessett Alexander J.,4,A-Award,--D,10607,108110,1,0001477861,Common Shares
A,02/16/2022 00:00:00,CAMPO RICHARD J,4,A-Award,--D,19710,172623,1,0001020941,Common Shares
A,02/16/2022 00:00:00,Benito Javier,4,A-Award,--D,168,168,1,0001323300,Common Shares
A,02/16/2022 00:00:00,Baker Laurie,4,A-Award,--D,4116,50718,1,0001542694,Common Shares
D,01/04/2022 00:00:00,WESTBROOK KELVIN R,4,S-Sale,--D,2617,25225,1,0001190588,Common Shares
D,01/04/2022 00:00:00,ODEN D KEITH,4,M-Exempt,--D,72267,79153,3,0001020942,Rights to Repurchase
D,01/04/2022 00:00:00,ODEN D KEITH,4,S-Sale,--D,72267,258073,2,0001020942,Common Shares
A,01/04/2022 00:00:00,ODEN D KEITH,4,M-Exempt,--D,72267,330340,1,0001020942,Common Shares
D,01/04/2022 00:00:00,Gallagher Michael P,4,S-Sale,--D,3362,27016,1,0001368279,Common Shares
D,12/28/2021 00:00:00,CAMPO RICHARD J,5,G-Gift,--D,6000,152660,1,0001020941,Common Shares
D,12/23/2021 00:00:00,ODEN D KEITH,4,M-Exempt,--I,29607,157886,4,0001020942,Rights to Repurchase
D,12/23/2021 00:00:00,ODEN D KEITH,4,S-Sale,--I,29607,0,2,0001020942,Common Shares
A,12/23/2021 00:00:00,ODEN D KEITH,4,M-Exempt,--I,29607,29607,1,0001020942,Common Shares
D,12/17/2021 00:00:00,ODEN D KEITH,4,M-Exempt,--I,27393,187493,4,0001020942,Rights to Repurchase
D,12/17/2021 00:00:00,ODEN D KEITH,4,S-Sale,--I,27393,0,2,0001020942,Common Shares
A,12/17/2021 00:00:00,ODEN D KEITH,4,M-Exempt,--I,27393,27393,1,0001020942,Common Shares
D,12/17/2021 00:00:00,CAMPO RICHARD J,4,S-Sale,--D,34422,158660,1,0001020941,Common Shares
D,12/13/2021 00:00:00,Baker Laurie,4,S-Sale,--D,1752,46602,1,0001542694,Common Shares
D,12/08/2021 00:00:00,STEWART H MALCOLM,4,S-Sale,--D,18337,55932,2,0001020947,Common Shares
D,12/08/2021 00:00:00,STEWART H MALCOLM,4,S-Sale,--D,16866,74269,1,0001020947,Common Shares
D,12/02/2021 00:00:00,INGRAHAM SCOTT S,4,S-Sale,--D,7463,65250,1,0001192157,Common Shares
D,11/03/2021 00:00:00,Gallagher Michael P,4,S-Sale,--D,907,30378,1,0001368279,Common Shares
D,11/02/2021 00:00:00,STEWART H MALCOLM,4,S-Sale,--D,37500,91135,1,0001020947,Common Shares
D,09/15/2021 00:00:00,Sevilla-Sacasa Frances Aldrich,4,S-Sale,--D,81,18390,2,0001527033,Common Shares
