MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/29/2023 00:00:00,MCCAIN ELLIS L,4,A-Award,--D,3000,3000,11,0001227698,PHANTOM UNITS
D,05/29/2023 00:00:00,MCCAIN ELLIS L,4,M-Exempt,--D,750,2250,10,0001227698,PHANTOM UNITS
D,05/29/2023 00:00:00,MCCAIN ELLIS L,4,M-Exempt,--D,750,1500,9,0001227698,PHANTOM UNITS
D,05/29/2023 00:00:00,MCCAIN ELLIS L,4,M-Exempt,--D,750,750,8,0001227698,PHANTOM UNITS
D,05/29/2023 00:00:00,MCCAIN ELLIS L,4,M-Exempt,--D,750,0,7,0001227698,PHANTOM UNITS
A,05/29/2023 00:00:00,MCCAIN ELLIS L,4,M-Exempt,--D,750,13875,6,0001227698,Units Representing Limited Partner Interests
A,05/29/2023 00:00:00,MCCAIN ELLIS L,4,M-Exempt,--D,750,13125,5,0001227698,Units Representing Limited Partner Interests
D,05/29/2023 00:00:00,MCCAIN ELLIS L,4,D-Return,--D,375,12375,4,0001227698,Units Representing Limited Partner Interests
A,05/29/2023 00:00:00,MCCAIN ELLIS L,4,M-Exempt,--D,750,12750,3,0001227698,Units Representing Limited Partner Interests
D,05/29/2023 00:00:00,MCCAIN ELLIS L,4,D-Return,--D,375,12000,2,0001227698,Units Representing Limited Partner Interests
A,05/29/2023 00:00:00,MCCAIN ELLIS L,4,M-Exempt,--D,750,12375,1,0001227698,Units Representing Limited Partner Interests
D,05/25/2023 00:00:00,Grindal Corey,4,S-Sale,--D,7649,0,1,0001948374,Units Representing Limited Partner Interests
A,04/03/2023 00:00:00,CQP ROCKIES PLATFORM LLC,4,J-Other,--I,2453,123848,12,0001806172,Common Units
A,04/03/2023 00:00:00,CQP ROCKIES PLATFORM LLC,4,J-Other,--I,6319,338242,11,0001806172,Common Units
D,04/03/2023 00:00:00,CQP ROCKIES PLATFORM LLC,4,J-Other,--I,6004,0,10,0001806172,Common Units
A,04/03/2023 00:00:00,CQP ROCKIES PLATFORM LLC,4,P-Purchase,--I,6004,6004,9,0001806172,Common Units
D,04/03/2023 00:00:00,CQP ROCKIES PLATFORM LLC,4,J-Other,--I,2768,0,8,0001806172,Common Units
A,04/03/2023 00:00:00,CQP ROCKIES PLATFORM LLC,4,P-Purchase,--I,2768,2768,7,0001806172,Common Units
A,04/03/2023 00:00:00,Blackstone Holdings III L.P.,4,J-Other,--I,2453,123848,12,0001404073,Common Units
A,04/03/2023 00:00:00,Blackstone Holdings III L.P.,4,J-Other,--I,6319,338242,11,0001404073,Common Units
