MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/19/2023 00:00:00,Hayat Omar,4,A-Award,--D,7926,36993,2,0001981013,Common Stock
A,06/19/2023 00:00:00,Hayat Omar,4,A-Award,--D,11890,29067,1,0001981013,Common Stock
D,06/14/2023 00:00:00,Gould Christopher D.,4,F-InKind,--D,17054,56465,1,0001866661,Common Stock
A,05/08/2023 00:00:00,Molina Peralta Manuela,4,A-Award,--D,22206,22206,1,0001976880,Common Stock
A,04/28/2023 00:00:00,Veltmann Alejandra,4,A-Award,--D,5029,11528,1,0001564633,Common Stock
A,04/28/2023 00:00:00,Roby William B,4,A-Award,--D,5029,46921,1,0001830485,Common Stock
A,04/28/2023 00:00:00,Quintana Julio M,4,A-Award,--D,5029,37740,1,0001364531,Common Stock
A,04/28/2023 00:00:00,Neeman Brady Nicole Elana,4,A-Award,--D,5029,14572,1,0001840954,Common Stock
D,04/28/2023 00:00:00,McFarland Mark Allen,4,M-Exempt,--D,324954,0,5,0001720720,Performance Stock Units
D,04/28/2023 00:00:00,McFarland Mark Allen,4,F-InKind,--D,14471,540258,4,0001720720,Common Stock
A,04/28/2023 00:00:00,McFarland Mark Allen,4,M-Exempt,--D,324954,554729,3,0001720720,Common Stock
D,04/28/2023 00:00:00,McFarland Mark Allen,4,D-Return,--D,85253,229775,2,0001720720,Common Stock
A,04/28/2023 00:00:00,McFarland Mark Allen,4,A-Award,--D,5029,315028,1,0001720720,Common Stock
A,04/28/2023 00:00:00,CHAPMAN JAMES N,4,A-Award,--D,5029,37740,1,0001264228,Common Stock
A,04/28/2023 00:00:00,Bremner Andrew B.,4,A-Award,--D,5029,18488,1,0001861892,Common Stock
A,04/28/2023 00:00:00,CEPAK TIFFANY THOM,4,A-Award,--D,8172,66022,1,0001468952,Common Stock
D,03/22/2023 00:00:00,McFarland Mark Allen,4,F-InKind,--D,3797,309749,1,0001720720,Common Stock
A,02/23/2023 00:00:00,Repetti Noelle M.,4,A-Award,--D,3159,26481,2,0001715053,Common Stock
A,02/23/2023 00:00:00,Repetti Noelle M.,4,A-Award,--D,4738,23322,1,0001715053,Common Stock
A,02/23/2023 00:00:00,Preston Michael L.,4,A-Award,--D,14742,117582,2,0001622072,Common Stock
A,02/23/2023 00:00:00,Preston Michael L.,4,A-Award,--D,22112,102840,1,0001622072,Common Stock
A,02/23/2023 00:00:00,Leon Francisco,4,A-Award,--D,29615,154616,2,0001732190,Common Stock
A,02/23/2023 00:00:00,Leon Francisco,4,A-Award,--D,44422,125001,1,0001732190,Common Stock
A,02/23/2023 00:00:00,Kerns Shawn M.,4,A-Award,--D,14215,116083,2,0001621969,Common Stock
A,02/23/2023 00:00:00,Kerns Shawn M.,4,A-Award,--D,21323,101868,1,0001621969,Common Stock
A,02/23/2023 00:00:00,Gould Christopher D.,4,A-Award,--D,14294,73519,2,0001866661,Common Stock
A,02/23/2023 00:00:00,Gould Christopher D.,4,A-Award,--D,21441,59225,1,0001866661,Common Stock
A,02/23/2023 00:00:00,Bys Jay A.,4,A-Award,--D,14215,95122,2,0001860787,Common Stock
A,02/23/2023 00:00:00,Bys Jay A.,4,A-Award,--D,21323,80907,1,0001860787,Common Stock
D,01/25/2023 00:00:00,Repetti Noelle M.,4,F-InKind,--D,566,18584,1,0001715053,Common Stock
D,01/25/2023 00:00:00,Preston Michael L.,4,F-InKind,--D,1507,80728,1,0001622072,Common Stock
D,01/25/2023 00:00:00,Leon Francisco,4,F-InKind,--D,1506,80579,1,0001732190,Common Stock
D,01/25/2023 00:00:00,Kerns Shawn M.,4,F-InKind,--D,1507,80545,1,0001621969,Common Stock
D,01/25/2023 00:00:00,Bys Jay A.,4,F-InKind,--D,1109,59584,1,0001860787,Common Stock
A,09/06/2022 00:00:00,Roby William B,4,P-Purchase,--D,103,41892,1,0001830485,Common Stock
D,06/14/2022 00:00:00,Gould Christopher D.,4,F-InKind,--D,796,37784,1,0001866661,Common Stock
A,05/04/2022 00:00:00,Veltmann Alejandra,4,A-Award,--D,4587,6499,1,0001564633,Common Stock
A,05/04/2022 00:00:00,Neeman Brady Nicole Elana,4,A-Award,--D,4587,9543,1,0001840954,Common Stock
A,05/04/2022 00:00:00,Bremner Andrew B.,4,A-Award,--D,4587,13459,1,0001861892,Common Stock
D,04/06/2022 00:00:00,GOLDENTREE ASSET MANAGEMENT LP,4,S-Sale,--I,29302,7498085,3,0001278951,Common Stock
D,04/05/2022 00:00:00,GOLDENTREE ASSET MANAGEMENT LP,4,S-Sale,--I,110000,7527387,2,0001278951,Common Stock
D,04/05/2022 00:00:00,GOLDENTREE ASSET MANAGEMENT LP,4,S-Sale,--I,90000,7637387,1,0001278951,Common Stock
