MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,04/29/2023 00:00:00,Lutz Marcos M,4,F-InKind,--D,894,56632.4313,1,0001608867,Common Stock
D,04/29/2023 00:00:00,Engel Klaus A,4,F-InKind,--D,894,33772.8293,1,0001778544,Common Stock
A,04/28/2023 00:00:00,Nayyar Nayaki R,4,A-Award,--D,531.7408,20388.5706,1,0001756318,Common Stock
A,04/28/2023 00:00:00,Johanns Michael O.,4,A-Award,--D,531.7408,36880.9497,1,0001630280,Common Stock
A,04/28/2023 00:00:00,Giesselman Janet Plaut,4,A-Award,--D,53.1741,10164.2266,1,0001635634,Common Stock
A,04/21/2023 00:00:00,Ward Pat,4,A-Award,--D,2770,28981.892,1,0001436125,Common Stock
A,04/21/2023 00:00:00,Preete Kerry J,4,A-Award,--D,2770,9602.9308,1,0001438256,Common Stock
A,04/21/2023 00:00:00,PAGE GREGORY R,4,A-Award,--D,4720,53360.3668,1,0001250570,Common Stock
A,04/21/2023 00:00:00,Nayyar Nayaki R,4,A-Award,--D,2770,19856.8298,1,0001756318,Common Stock
A,04/21/2023 00:00:00,Lutz Marcos M,4,A-Award,--D,2770,57526.4313,1,0001608867,Common Stock
A,04/21/2023 00:00:00,Liebert Rebecca B.,4,A-Award,--D,2770,23317.8293,1,0001744488,Common Stock
A,04/21/2023 00:00:00,Johanns Michael O.,4,A-Award,--D,2770,36349.2089,1,0001630280,Common Stock
A,04/21/2023 00:00:00,Grimes Karen H.,4,A-Award,--D,2770,9602.9308,1,0001770273,Common Stock
A,04/21/2023 00:00:00,Giesselman Janet Plaut,4,A-Award,--D,2770,10111.0525,1,0001635634,Common Stock
A,04/21/2023 00:00:00,EVERITT DAVID C,4,A-Award,--D,2770,10873.9308,1,0001196652,Common Stock
A,04/21/2023 00:00:00,Engel Klaus A,4,A-Award,--D,2770,34666.8293,1,0001778544,Common Stock
A,04/21/2023 00:00:00,ANDREOTTI LAMBERTO,4,A-Award,--D,2770,31020.916,1,0001208099,Common Stock
D,04/12/2023 00:00:00,ANDERSON DAVID J,4,F-InKind,--D,11849,63190.2903,1,0001101124,Common Stock
D,04/04/2023 00:00:00,King Robert D.,4,F-InKind,--D,9177,58666.7098,1,0001921979,Common Stock
D,04/04/2023 00:00:00,Grimm Audrey,4,F-InKind,--D,169,9619.55,1,0001921682,Common Stock
A,02/28/2023 00:00:00,TITUS BRIAN,4,A-Award,--D,2802,2802,2,0001775281,Non-Qualified Stock Option (right-to-buy)
A,02/28/2023 00:00:00,TITUS BRIAN,4,A-Award,--D,964,20811.8149,1,0001775281,Common Stock
A,02/28/2023 00:00:00,Grimm Audrey,4,A-Award,--D,8170,8170,2,0001921682,Non-Qualified Stock Option (right-to-buy)
A,02/28/2023 00:00:00,Grimm Audrey,4,A-Award,--D,2810,10047.806,1,0001921682,Common Stock
A,02/28/2023 00:00:00,FUERER CORNEL B,4,A-Award,--D,13072,13072,2,0001775173,Non-Qualified Stock Option (right-to-buy)
A,02/28/2023 00:00:00,FUERER CORNEL B,4,A-Award,--D,4496,107335.3907,1,0001775173,Common Stock
A,02/28/2023 00:00:00,King Robert D.,4,A-Award,--D,14006,14006,2,0001921979,Non-Qualified Stock Option (right-to-buy)
A,02/28/2023 00:00:00,King Robert D.,4,A-Award,--D,4817,67665.4294,1,0001921979,Common Stock
A,02/28/2023 00:00:00,GLENN TIMOTHY P,4,A-Award,--D,15874,15874,3,0001775149,Non-Qualified Stock Option (right-to-buy)
A,02/28/2023 00:00:00,GLENN TIMOTHY P,4,A-Award,--D,5459,159042.4856,1,0001775149,Common Stock
A,02/28/2023 00:00:00,Eathington Samuel R,4,A-Award,--D,13072,13072,3,0001839284,Non-Qualified Stock Option (right-to-buy)
A,02/28/2023 00:00:00,Eathington Samuel R,4,A-Award,--D,4496,49473.266,1,0001839284,Common Stock
A,02/28/2023 00:00:00,ANDERSON DAVID J,4,A-Award,--D,28945,28945,2,0001101124,Non-Qualified Stock Option (right-to-buy)
A,02/28/2023 00:00:00,ANDERSON DAVID J,4,A-Award,--D,9954,74850.0789,1,0001101124,Common Stock
A,02/28/2023 00:00:00,Magro Charles V.,4,A-Award,--D,95705,95705,2,0001893081,Non-Qualified Stock Option (right-to-buy)
A,02/28/2023 00:00:00,Magro Charles V.,4,A-Award,--D,32911,155577.1381,1,0001893081,Common Stock
D,02/26/2023 00:00:00,TITUS BRIAN,4,F-InKind,--D,747,19847.8149,1,0001775281,Common Stock
D,02/26/2023 00:00:00,Grimm Audrey,4,F-InKind,--D,123,7237.806,1,0001921682,Common Stock
D,02/21/2023 00:00:00,Grimm Audrey,4,F-InKind,--D,193,7360.806,2,0001921682,Common Stock
D,02/18/2023 00:00:00,TITUS BRIAN,4,F-InKind,--D,124,20594.8149,1,0001775281,Common Stock
D,02/18/2023 00:00:00,Magro Charles V.,4,F-InKind,--D,3429,122666.1381,1,0001893081,Common Stock
D,02/18/2023 00:00:00,Grimm Audrey,4,F-InKind,--D,93,7553.806,1,0001921682,Common Stock
D,02/18/2023 00:00:00,GLENN TIMOTHY P,4,F-InKind,--D,857,153583.4856,1,0001775149,Common Stock
D,02/18/2023 00:00:00,FUERER CORNEL B,4,F-InKind,--D,696,102839.3907,1,0001775173,Common Stock
D,02/18/2023 00:00:00,Eathington Samuel R,4,F-InKind,--D,784,44977.266,1,0001839284,Common Stock
D,02/18/2023 00:00:00,ANDERSON DAVID J,4,F-InKind,--D,1164,64896.0789,1,0001101124,Common Stock
A,02/06/2023 00:00:00,Magro Charles V.,4,P-Purchase,--D,40000,126095.1381,1,0001893081,Common Stock
A,01/31/2023 00:00:00,Giesselman Janet Plaut,4,A-Award,--D,50.4267,7323.0711,1,0001635634,Common Stock
A,01/31/2023 00:00:00,Nayyar Nayaki R,4,A-Award,--D,504.2669,17041.8645,1,0001756318,Common Stock
A,01/31/2023 00:00:00,Johanns Michael O.,4,A-Award,--D,504.2669,33490.7961,1,0001630280,Common Stock
D,01/26/2023 00:00:00,TITUS BRIAN,4/A,F-InKind,--D,3176,20718.8149,1,0001775281,Common Stock
D,01/26/2023 00:00:00,GLENN TIMOTHY P,4/A,F-InKind,--D,16102,154440.4856,1,0001775149,Common Stock
D,01/26/2023 00:00:00,FUERER CORNEL B,4/A,F-InKind,--D,12623,103535.3907,1,0001775173,Common Stock
D,01/26/2023 00:00:00,Eathington Samuel R,4/A,F-InKind,--D,7106,45761.266,1,0001839284,Common Stock
D,01/26/2023 00:00:00,TITUS BRIAN,4,F-InKind,--D,3168,20726.8149,2,0001775281,Common Stock
A,01/26/2023 00:00:00,TITUS BRIAN,4,A-Award,--D,9911,23804.4335,1,0001775281,Common Stock
D,01/26/2023 00:00:00,GLENN TIMOTHY P,4,F-InKind,--D,16087,154455.4856,2,0001775149,Common Stock
A,01/26/2023 00:00:00,GLENN TIMOTHY P,4,A-Award,--D,40540,170541.4856,1,0001775149,Common Stock
D,01/26/2023 00:00:00,FUERER CORNEL B,4,F-InKind,--D,12610,103548.3907,2,0001775173,Common Stock
A,01/26/2023 00:00:00,FUERER CORNEL B,4,A-Award,--D,32432,116158.3907,1,0001775173,Common Stock
D,01/26/2023 00:00:00,Eathington Samuel R,4,F-InKind,--D,7094,45773.266,2,0001839284,Common Stock
A,01/26/2023 00:00:00,Eathington Samuel R,4,A-Award,--D,20700,52801.4696,1,0001839284,Common Stock
D,11/02/2022 00:00:00,Eathington Samuel R,4,F-InKind,--D,3622,32101.4696,1,0001839284,Common Stock
A,10/31/2022 00:00:00,Nayyar Nayaki R,4,A-Award,--D,497.3982,16496.514,1,0001756318,Common Stock
A,10/31/2022 00:00:00,Johanns Michael O.,4,A-Award,--D,497.3982,32904.5379,1,0001630280,Common Stock
D,09/15/2022 00:00:00,Grimm Audrey,4,S-Sale,--D,10000,7510.9854,1,0001921682,Common Stock
A,07/29/2022 00:00:00,Nayyar Nayaki R,4,A-Award,--D,564.7263,15960.5761,1,0001756318,Common Stock
A,07/29/2022 00:00:00,Johanns Michael O.,4,A-Award,--D,564.7263,32329.0325,1,0001630280,Common Stock
