MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/18/2023 00:00:00,MILLON JEAN PIERRE,4,A-Award,--D,1437,1437,1,0001190016,Common Stock
A,05/18/2023 00:00:00,Finucane Anne A.,4,A-Award,--D,1437,8757.2482,1,0001511491,Common Stock
A,05/18/2023 00:00:00,DEPARLE NANCY ANN,4,A-Award,--D,1437,27599,1,0001144511,Common Stock
A,05/18/2023 00:00:00,Balser Jeffrey R.,4,A-Award,--D,1329,3276,1,0001751633,Common Stock
A,05/18/2023 00:00:00,AGUIRRE FERNANDO,4,A-Award,--D,1329,30178,1,0001224983,Common Stock
A,05/18/2023 00:00:00,SCHAPIRO MARY L,4,A-Award,--D,1329.1733,15534.0707,2,0001192486,Share Credits
A,05/18/2023 00:00:00,LUDWIG EDWARD J,4,A-Award,--D,2068.6048,11816.975,3,0001221783,Share Credits
A,05/18/2023 00:00:00,FARAH ROGER N,4,A-Award,--D,3917.1837,24634.358,2,0001112072,Share Credits
A,05/18/2023 00:00:00,BROWN C DAVID II,4,A-Award,--D,1437.3828,74674.4498,2,0001197672,Share Credits
A,05/18/2023 00:00:00,DECOUDREAUX ALECIA A,4,A-Award,--D,1329.1733,26715.372,2,0001233354,Share Credits
A,05/03/2023 00:00:00,Lynch Karen S,4,P-Purchase,--D,14000,431392,1,0001333760,Common Stock (By Trust)
A,04/01/2023 00:00:00,Shah Prem S,4,A-Award,--D,89073,89073,14,0001900910,Stock Option
D,04/01/2023 00:00:00,Shah Prem S,4,F-InKind,--D,3221,49364.3199,1,0001900910,Common Stock
A,04/01/2023 00:00:00,PELUSO MICHELLE A,4,A-Award,--D,89073,89073,5,0001271739,Stock Option
D,04/01/2023 00:00:00,PELUSO MICHELLE A,4,F-InKind,--D,98299,124383,1,0001271739,Common Stock
A,04/01/2023 00:00:00,Mandadi Tilak,4,A-Award,--D,96496,96496,2,0001872827,Stock Option
A,04/01/2023 00:00:00,Lynch Karen S,4,A-Award,--D,244952,244952,10,0001333760,Stock Option
