MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/21/2023 00:00:00,CORBET KATHLEEN A,4/A,A-Award,--D,12248,12248,3,0001234341,Restricted Stock Unit
D,06/21/2023 00:00:00,CORBET KATHLEEN A,4/A,M-Exempt,--D,3405,0,2,0001234341,Restricted Stock Unit
A,06/21/2023 00:00:00,CORBET KATHLEEN A,4/A,M-Exempt,--D,3405,5190,1,0001234341,Class A Common Stock
A,06/21/2023 00:00:00,Singh Jaswinder Pal,4,A-Award,--D,12248,12248,3,0001590497,Restricted Stock Unit
D,06/21/2023 00:00:00,Singh Jaswinder Pal,4,M-Exempt,--D,10993,0,2,0001590497,Restricted Stock Unit
A,06/21/2023 00:00:00,Singh Jaswinder Pal,4,M-Exempt,--D,10993,10993,1,0001590497,Class A Common Stock
A,06/21/2023 00:00:00,Jones Lisa,4,A-Award,--D,12248,12248,3,0001417919,Restricted Stock Unit
D,06/21/2023 00:00:00,Jones Lisa,4,M-Exempt,--D,9423,0,2,0001417919,Restricted Stock Units
A,06/21/2023 00:00:00,Jones Lisa,4,M-Exempt,--D,9423,9423,1,0001417919,Class A Common Stock
A,06/21/2023 00:00:00,AIGRAIN JACQUES,4,A-Award,--D,12248,12248,3,0001094730,Restricted Stock Unit
D,06/21/2023 00:00:00,AIGRAIN JACQUES,4,M-Exempt,--D,3320,0,2,0001094730,Restricted Stock Unit
A,06/21/2023 00:00:00,AIGRAIN JACQUES,4,M-Exempt,--D,3320,28320,1,0001094730,Class A Common Stock
A,06/21/2023 00:00:00,CORBET KATHLEEN A,4,A-Award,--D,12248,12248,3,0001234341,Restricted Stock Unit
D,06/21/2023 00:00:00,CORBET KATHLEEN A,4,M-Exempt,--D,3405,0,2,0001234341,Restricted Stock Unit
A,06/21/2023 00:00:00,CORBET KATHLEEN A,4,M-Exempt,--D,3405,3405,1,0001234341,Class A Common Stock
D,06/20/2023 00:00:00,"WCAS XII CARBON ANALYTICS ACQUISITION, L.P.",4,C-Conversion,--I,3215940,39337746,5,0001879860,CWAN Holdings LLC Interests
D,06/20/2023 00:00:00,"WCAS XII CARBON ANALYTICS ACQUISITION, L.P.",4,S-Sale,--I,10000000,0,4,0001879860,Class A Common Stock
A,06/20/2023 00:00:00,"WCAS XII CARBON ANALYTICS ACQUISITION, L.P.",4,C-Conversion,--I,10000000,10000000,3,0001879860,Class A Common Stock
D,06/20/2023 00:00:00,"WCAS XII CARBON ANALYTICS ACQUISITION, L.P.",4,C-Conversion,--I,6784060,46727944,2,0001879860,Class D Common Stock
D,06/20/2023 00:00:00,"WCAS XII CARBON ANALYTICS ACQUISITION, L.P.",4,C-Conversion,--I,3215940,39337746,1,0001879860,Class C Common Stock
D,06/20/2023 00:00:00,"WCAS XII CARBON ANALYTICS ACQUISITION, L.P.",4,C-Conversion,--I,3215940,39337746,5,0001879860,CWAN Holdings LLC Interests
D,06/20/2023 00:00:00,"WCAS XII CARBON ANALYTICS ACQUISITION, L.P.",4,S-Sale,--I,10000000,0,4,0001879860,Class A Common Stock
A,06/20/2023 00:00:00,"WCAS XII CARBON ANALYTICS ACQUISITION, L.P.",4,C-Conversion,--I,10000000,10000000,3,0001879860,Class A Common Stock
D,06/20/2023 00:00:00,"WCAS XII CARBON ANALYTICS ACQUISITION, L.P.",4,C-Conversion,--I,6784060,46727944,2,0001879860,Class D Common Stock
D,06/20/2023 00:00:00,"WCAS XII CARBON ANALYTICS ACQUISITION, L.P.",4,C-Conversion,--I,3215940,39337746,1,0001879860,Class C Common Stock
D,06/01/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,996,7742122,17,0001798849,Class A Common Stock
D,05/31/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,42490,7743118,16,0001798849,Class A Common Stock
D,05/31/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,1100,7785608,15,0001798849,Class A Common Stock
D,05/31/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,1100,7786708,14,0001798849,Class A Common Stock
D,05/31/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,49600,7787808,13,0001798849,Class A Common Stock
D,05/31/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,30000,7837408,12,0001798849,Class A Common Stock
D,05/31/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,150000,7867408,11,0001798849,Class A Common Stock
D,05/31/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,6207,8017408,10,0001798849,Class A Common Stock
D,05/31/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,58339,8023615,9,0001798849,Class A Common Stock
D,05/30/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,9119,8081954,8,0001798849,Class A Common Stock
D,05/30/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,32788,8091073,7,0001798849,Class A Common Stock
D,05/30/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,1000,8123861,6,0001798849,Class A Common Stock
D,05/30/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,500,8124861,5,0001798849,Class A Common Stock
D,05/30/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,200,8125361,4,0001798849,Class A Common Stock
D,05/30/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,3818,8125561,3,0001798849,Class A Common Stock
D,05/30/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,3466,8129379,2,0001798849,Class A Common Stock
D,05/30/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,10000,8132845,1,0001798849,Class A Common Stock
D,05/26/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,4200,8142845,3,0001798849,Class A Common Stock
D,05/26/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,68147,8147045,2,0001798849,Class A Common Stock
D,05/25/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,200,8215192,1,0001798849,Class A Common Stock
D,05/24/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,6085,8215392,23,0001798849,Class A Common Stock
D,05/24/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,25000,8221477,22,0001798849,Class A Common Stock
D,05/24/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,23128,8246477,21,0001798849,Class A Common Stock
D,05/24/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,23345,8269605,20,0001798849,Class A Common Stock
D,05/24/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,11000,8292950,19,0001798849,Class A Common Stock
D,05/24/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,12571,8303950,18,0001798849,Class A Common Stock
D,05/23/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,5000,8316521,17,0001798849,Class A Common Stock
D,05/23/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,5000,8321521,16,0001798849,Class A Common Stock
D,05/23/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,5000,8326521,15,0001798849,Class A Common Stock
D,05/23/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,113809,8331521,14,0001798849,Class A Common Stock
D,05/23/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,67926,8445330,13,0001798849,Class A Common Stock
D,05/23/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,13900,8513256,12,0001798849,Class A Common Stock
D,05/23/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,46476,8527156,11,0001798849,Class A Common Stock
D,05/23/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,30400,8573632,10,0001798849,Class A Common Stock
D,05/23/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,4094,8604032,9,0001798849,Class A Common Stock
D,05/23/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,10000,8608126,8,0001798849,Class A Common Stock
D,05/23/2023 00:00:00,Durable Capital Partners LP,4,S-Sale,--I,200,8618126,7,0001798849,Class A Common Stock
