MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/15/2023 00:00:00,Brown James Keith,4,A-Award,--D,16011,16011,1,0001976917,Deferred Stock
A,05/15/2023 00:00:00,Rasheed Shaka,4,A-Award,--D,16011,29086,1,0001861225,Deferred Stock
A,05/15/2023 00:00:00,McCray Gregory James,4,A-Award,--D,16011,32032,1,0001327057,Class A Common Stock
A,05/15/2023 00:00:00,Diefenderfer Jeannie,4,A-Award,--D,16011,49355,1,0001614839,Class A Common Stock
A,05/15/2023 00:00:00,REISS DALE ANNE,4,A-Award,--D,16011,56107,1,0001438802,Class A Common Stock
A,05/15/2023 00:00:00,Fosheim Jon A,4,A-Award,--D,16011,86415,1,0001628418,Deferred Stock
A,05/15/2023 00:00:00,Curtin Nancy Ann,4,A-Award,--D,16011,95300,1,0001615735,Deferred Stock
A,05/15/2023 00:00:00,Tolley David,4,A-Award,--D,16011,22278,1,0001326359,Class A Common Stock
A,04/17/2023 00:00:00,Curtin Nancy Ann,4,J-Other,--D,68,79289,1,0001615735,Deferred Stock
A,04/17/2023 00:00:00,Rasheed Shaka,4,J-Other,--D,12,13075,1,0001861225,Deferred Stock
A,04/17/2023 00:00:00,Fosheim Jon A,4,J-Other,--D,61,70404,1,0001628418,Deferred Stock
D,03/31/2023 00:00:00,Kim Sonia,4,F-InKind,--D,1281,64869,2,0001839035,Class A Common Stock
A,03/31/2023 00:00:00,Kim Sonia,4,A-Award,--D,4139,66150,1,0001839035,Class A Common Stock
D,03/31/2023 00:00:00,Ganzi Marc C,4,F-InKind,--D,2885,451623,2,0001817264,Class A Common Stock
A,03/31/2023 00:00:00,Ganzi Marc C,4,A-Award,--D,7333,454508,1,0001817264,Class A Common Stock
D,03/31/2023 00:00:00,Sanders Ronald M.,4,F-InKind,--D,16938,318079,2,0001472238,Class A Common Stock
A,03/31/2023 00:00:00,Sanders Ronald M.,4,A-Award,--D,33333,335017,1,0001472238,Class A Common Stock
D,03/23/2023 00:00:00,Wu Jacky,4,F-InKind,--D,26090,315957,1,0001641811,Class A Common Stock
A,03/15/2023 00:00:00,Stewart Liam,4,A-Award,--D,65200,171957,2,0001645812,Class A Common Stock
D,03/15/2023 00:00:00,Stewart Liam,4,F-InKind,--D,8055,106757,1,0001645812,Class A Common Stock
A,03/15/2023 00:00:00,Jenkins Benjamin J.,4,A-Award,--D,65200,84546,2,0001921375,Class A Common Stock
D,03/15/2023 00:00:00,Jenkins Benjamin J.,4,F-InKind,--D,4167,19346,1,0001921375,Class A Common Stock
A,03/15/2023 00:00:00,Kim Sonia,4,A-Award,--D,12836,62011,2,0001839035,Class A Common Stock
D,03/15/2023 00:00:00,Kim Sonia,4,F-InKind,--D,2860,49175,1,0001839035,Class A Common Stock
A,03/15/2023 00:00:00,Sanders Ronald M.,4,A-Award,--D,68786,301684,2,0001472238,Class A Common Stock
D,03/15/2023 00:00:00,Sanders Ronald M.,4,F-InKind,--D,19714,232898,1,0001472238,Class A Common Stock
A,03/15/2023 00:00:00,Wu Jacky,4,A-Award,--D,81500,342047,2,0001641811,Class A Common Stock
D,03/15/2023 00:00:00,Wu Jacky,4,F-InKind,--D,4725,260547,1,0001641811,Class A Common Stock
A,03/15/2023 00:00:00,Ganzi Marc C,4,A-Award,--D,103740,447175,2,0001817264,Class A Common Stock
D,03/15/2023 00:00:00,Ganzi Marc C,4,F-InKind,--D,42988,343435,1,0001817264,Class A Common Stock
A,01/17/2023 00:00:00,Curtin Nancy Ann,4,J-Other,--D,63,79221,2,0001615735,Deferred Stock
A,01/17/2023 00:00:00,Fosheim Jon A,4,J-Other,--D,58,70343,2,0001628418,Deferred Stock
A,01/17/2023 00:00:00,Rasheed Shaka,4,J-Other,--D,12,13063,1,0001861225,Deferred Stock
A,01/16/2023 00:00:00,Curtin Nancy Ann,4,A-Award,--D,4839,79158,1,0001615735,Deferred Stock
A,01/16/2023 00:00:00,Fosheim Jon A,4,A-Award,--D,1485,70285,1,0001628418,Deferred Stock
A,10/17/2022 00:00:00,Curtin Nancy Ann,4,J-Other,--D,61,74319,2,0001615735,Deferred Stock
A,10/17/2022 00:00:00,Rasheed Shaka,4,J-Other,--D,12,13051,1,0001861225,Deferred Stock
A,10/17/2022 00:00:00,Fosheim Jon A,4,J-Other,--D,59,68800,2,0001628418,Deferred Stock
A,10/15/2022 00:00:00,Curtin Nancy Ann,4,A-Award,--D,5135,74258,1,0001615735,Deferred Stock
A,10/15/2022 00:00:00,Fosheim Jon A,4,A-Award,--D,1593,68741,1,0001628418,Deferred Stock
A,09/20/2022 00:00:00,Ganzi Marc C,4,P-Purchase,--D,32000,386423,1,0001817264,Class A Common Stock
A,09/20/2022 00:00:00,Stewart Liam,4,P-Purchase,--D,3300,114812,1,0001645812,Class A Common Stock
D,09/14/2022 00:00:00,Stewart Liam,4,F-InKind,--D,18142,111512,1,0001645812,Class A Common Stock
A,09/13/2022 00:00:00,Tolley David,4,A-Award,--D,6267,6267,1,0001326359,Class A Common Stock
A,08/31/2022 00:00:00,Ganzi Marc C,4,P-Purchase,--D,27943,354423,1,0001817264,Class A Common Stock
D,08/09/2022 00:00:00,Wu Jacky,4,F-InKind,--D,46447,1061086,1,0001641811,Class A Common Stock
A,08/08/2022 00:00:00,Wu Jacky,4,P-Purchase,--D,9157,1107533,1,0001641811,Class A Common Stock
A,07/15/2022 00:00:00,Fosheim Jon A,4,A-Award,--D,14348,268591,1,0001628418,Deferred Stock
