MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/01/2023 00:00:00,Menard Peter M,4,S-Sale,--D,630,18680,1,0001736700,Diodes Incorporated Common Stock
D,05/30/2023 00:00:00,Yang Emily,4,S-Sale,--D,2000,59071,2,0001726369,Diodes Incorporated Common Stock
D,05/30/2023 00:00:00,Yang Emily,4,S-Sale,--D,1747,61071,1,0001726369,Diodes Incorporated Common Stock
D,05/30/2023 00:00:00,White Richard Dallas,4,S-Sale,--D,2000,45375,1,0001368889,Diodes Incorporated Common Stock
D,05/30/2023 00:00:00,LU KEH SHEW,4,S-Sale,--I,3000,283492,1,0001196531,Diodes Incorporated Common Stock
D,05/26/2023 00:00:00,LU KEH SHEW,4,S-Sale,--I,3000,286492,3,0001196531,Diodes Incorporated Common Stock
D,05/26/2023 00:00:00,LU KEH SHEW,4,F-InKind,--D,984,116604,2,0001196531,Diodes Incorporated Common Stock
D,05/26/2023 00:00:00,Yu Gary,4,S-Sale,--D,1000,45296,1,0001848176,Diodes Incorporated Common Stock
D,05/26/2023 00:00:00,Zhao Jin,4,S-Sale,--D,1125,23178,1,0001848005,Diodes Incorporated Common Stock
A,05/24/2023 00:00:00,Bull Elizabeth,4,A-Award,--D,3000,3000,1,0001979756,Diodes Incorporated Common Stock
A,05/24/2023 00:00:00,LU KEH SHEW,4,A-Award,--D,6000,117588,1,0001196531,Diodes Incorporated Common Stock
A,05/24/2023 00:00:00,Sung Wen-Chi,4,A-Award,--D,3000,24240,1,0001707312,Diodes Incorporated Common Stock
A,05/24/2023 00:00:00,Menard Peter M,4,A-Award,--D,3000,19310,1,0001736700,Diodes Incorporated Common Stock
A,05/24/2023 00:00:00,Chen Warren,4,A-Award,--D,3000,11640,1,0001812946,Diodes Incorporated Common Stock
A,05/24/2023 00:00:00,GIORDANO MICHAEL R,4,A-Award,--D,3000,81971,1,0001196535,Diodes Incorporated Common Stock
A,05/24/2023 00:00:00,Chen Button Angie,4,A-Award,--D,3000,8040,1,0001848133,Diodes Incorporated Common Stock
D,05/22/2023 00:00:00,Yu Gary,4,S-Sale,--D,1000,46296,1,0001848176,Diodes Incorporated Common Stock
D,05/22/2023 00:00:00,LU KEH SHEW,4,S-Sale,--I,1000,289492,4,0001196531,Diodes Incorporated Common Stock
D,05/22/2023 00:00:00,LU KEH SHEW,4,S-Sale,--I,1000,6000,3,0001196531,Diodes Incorporated Common Stock
D,05/22/2023 00:00:00,LU KEH SHEW,4,S-Sale,--I,1000,7000,2,0001196531,Diodes Incorporated Common Stock
D,05/22/2023 00:00:00,LU KEH SHEW,4,S-Sale,--I,683,8000,1,0001196531,Diodes Incorporated Common Stock
D,05/19/2023 00:00:00,LU KEH SHEW,4,S-Sale,--I,24000,8683,5,0001196531,Diodes Incorporated Common Stock
D,05/18/2023 00:00:00,Yang Emily,4,S-Sale,--D,1618,62818,3,0001726369,Diodes Incorporated Common Stock
D,05/18/2023 00:00:00,LU KEH SHEW,4,G-Gift,--I,2500,32683,4,0001196531,Diodes Incorporated Common Stock
D,05/18/2023 00:00:00,LU KEH SHEW,4,S-Sale,--I,11000,35183,3,0001196531,Diodes Incorporated Common Stock
D,05/18/2023 00:00:00,LU KEH SHEW,4,F-InKind,--D,665,111588,1,0001196531,Diodes Incorporated Common Stock
D,05/18/2023 00:00:00,Whitmire Brett R,4,S-Sale,--D,1819,47972,1,0001768901,Diodes Incorporated Common Stock
D,05/17/2023 00:00:00,Yang Emily,4,S-Sale,--D,135,64436,2,0001726369,Diodes Incorporated Common Stock
D,05/17/2023 00:00:00,Yang Emily,4,S-Sale,--D,1500,64571,1,0001726369,Diodes Incorporated Common Stock
D,05/17/2023 00:00:00,LU KEH SHEW,4,S-Sale,--I,5000,46183,2,0001196531,Diodes Incorporated Common Stock
D,05/17/2023 00:00:00,Yu Gary,4,S-Sale,--D,1000,47296,3,0001848176,Diodes Incorporated Common Stock
D,05/16/2023 00:00:00,Yu Gary,4,S-Sale,--D,1000,48296,2,0001848176,Diodes Incorporated Common Stock
D,05/16/2023 00:00:00,Yu Gary,4,S-Sale,--D,1000,49296,1,0001848176,Diodes Incorporated Common Stock
D,04/03/2023 00:00:00,Tsong Andy,4,F-InKind,--D,316,33301,1,0001966189,Diodes Incorporated Common Stock
D,04/03/2023 00:00:00,Tsong Andy,4,F-InKind,--D,316,33301,1,0001966189,Diodes Incorporated Common Stock
D,04/01/2023 00:00:00,Holland Julie,4,D-Return,--D,6133,9200,2,0001436690,Diodes Incorporated Common Stock - Performance Stock Units
D,04/01/2023 00:00:00,Holland Julie,4,D-Return,--D,3067,15333,1,0001436690,Diodes Incorporated Common Stock - Performance Stock Units
D,03/16/2023 00:00:00,GIORDANO MICHAEL R,4,S-Sale,--D,10000,78971,1,0001196535,Diodes Incorporated Common Stock
D,02/28/2023 00:00:00,Zhao Jin,4,S-Sale,--D,760,24303,2,0001848005,Diodes Incorporated Common Stock
D,02/27/2023 00:00:00,Holland Julie,4,S-Sale,--D,2300,41402,1,0001436690,Diodes Incorporated Common Stock
D,02/27/2023 00:00:00,Yang Emily,4,S-Sale,--D,2913,66071,3,0001726369,Diodes Incorporated Common Stock
D,02/24/2023 00:00:00,Yu Gary,4,F-InKind,--D,518,50296,1,0001848176,Diodes Incorporated Common Stock
D,02/24/2023 00:00:00,Yu Evan,4,F-InKind,--D,95,74862,1,0001727188,Diodes Incorporated Common Stock
D,02/24/2023 00:00:00,Whitmire Brett R,4,F-InKind,--D,748,49791,1,0001768901,Diodes Incorporated Common Stock
