MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/02/2023 00:00:00,Shellabarger Catherine Anne,4,S-Sale,--D,803,3769,1,0001976827,Common Shares
A,05/11/2023 00:00:00,Byrne Robert J,4,A-Award,--I,1655,38565,1,0001580704,Common Shares
A,05/11/2023 00:00:00,BILNEY JODY L,4,A-Award,--D,1121,13532,1,0001185995,Common Shares
A,05/11/2023 00:00:00,FOSTER JONATHAN F,4,A-Award,--D,1121,10894,1,0001122068,Common Shares
A,05/11/2023 00:00:00,Ruffalo Barry A.,4,A-Award,--D,1121,2312,1,0001394244,Common Shares
A,05/11/2023 00:00:00,Steinfeld Jay Ira,4,A-Award,--D,1121,5617,1,0001831266,Common Shares
A,05/11/2023 00:00:00,SCRICCO FRANCIS M,4,A-Award,--D,1121,19477,1,0001285235,Common Shares
A,05/11/2023 00:00:00,Dachowski Peter R,4,A-Award,--D,1121,13048,1,0001580701,Common Shares
A,05/11/2023 00:00:00,Jones Daphne E,4,A-Award,--D,1121,8061,1,0001475924,Common Shares
D,05/11/2023 00:00:00,Legall Alexander Albert,4,S-Sale,--D,1700,3257,1,0001966410,Common Shares
D,04/04/2023 00:00:00,Pelletier James C,4,F-InKind,--D,958,8189,1,0001805124,Common Shares
D,03/03/2023 00:00:00,Byrne Robert J,4,S-Sale,--D,2500,946,1,0001580704,Common Shares
A,02/27/2023 00:00:00,Pelletier James C,4,A-Award,--D,1609,1609,2,0001805124,Stock Appreciation Right
A,02/27/2023 00:00:00,Pelletier James C,4,A-Award,--D,1769,9147,1,0001805124,Common Shares
A,02/27/2023 00:00:00,Paxton Robert,4,A-Award,--D,1839,1839,2,0001439121,Stock Appreciation Right
A,02/27/2023 00:00:00,Paxton Robert,4,A-Award,--D,2022,19958,1,0001439121,Common Shares
A,02/27/2023 00:00:00,Tiejema Russell Thane,4,A-Award,--D,3065,3065,2,0001656951,Stock Appreciation Right
A,02/27/2023 00:00:00,Tiejema Russell Thane,4,A-Award,--D,3371,41159,1,0001656951,Common Shares
A,02/27/2023 00:00:00,White Randal Alan,4,A-Award,--D,1685,1685,2,0001717902,Stock Appreciation Right
A,02/27/2023 00:00:00,White Randal Alan,4,A-Award,--D,1854,20820,1,0001717902,Common Shares
A,02/27/2023 00:00:00,Ball Christopher O,4,A-Award,--D,2758,2758,2,0001881802,Stock Appreciation Right
A,02/27/2023 00:00:00,Ball Christopher O,4,A-Award,--D,3034,7220,1,0001881802,Common Shares
A,02/27/2023 00:00:00,HECKES HOWARD C,4,A-Award,--D,12720,12720,2,0001635164,Stock Appreciation Right
A,02/27/2023 00:00:00,HECKES HOWARD C,4,A-Award,--D,13990,48972,1,0001635164,Common Shares
D,02/27/2023 00:00:00,HECKES HOWARD C,4,F-InKind,--D,10259,34982,2,0001635164,Common Shares
D,02/27/2023 00:00:00,White Randal Alan,4,F-InKind,--D,1749,21401,2,0001717902,Common Shares
D,02/27/2023 00:00:00,Tiejema Russell Thane,4,F-InKind,--D,2707,38134,2,0001656951,Common Shares
D,02/27/2023 00:00:00,Paxton Robert,4,F-InKind,--D,1630,17936,2,0001439121,Common Shares
A,02/25/2023 00:00:00,HECKES HOWARD C,4,A-Award,--D,14294,45241,1,0001635164,Common Shares
A,02/25/2023 00:00:00,White Randal Alan,4,A-Award,--D,2435,23150,1,0001717902,Common Shares
D,02/25/2023 00:00:00,Tiejema Russell Thane,4,F-InKind,--D,346,37788,3,0001656951,Common Shares
A,02/25/2023 00:00:00,Tiejema Russell Thane,4,A-Award,--D,4172,40841,1,0001656951,Common Shares
A,02/25/2023 00:00:00,Paxton Robert,4,A-Award,--D,2268,19566,1,0001439121,Common Shares
D,02/23/2023 00:00:00,Paxton Robert,4,F-InKind,--D,275,15668,1,0001439121,Common Shares
D,02/23/2023 00:00:00,White Randal Alan,4,F-InKind,--D,273,16531,1,0001717902,Common Shares
D,02/23/2023 00:00:00,Tiejema Russell Thane,4,F-InKind,--D,402,36669,1,0001656951,Common Shares
D,02/23/2023 00:00:00,HECKES HOWARD C,4,F-InKind,--D,1495,20688,1,0001635164,Common Shares
D,02/23/2023 00:00:00,Ball Christopher O,4,F-InKind,--D,410,4186,1,0001881802,Common Shares
D,02/22/2023 00:00:00,HECKES HOWARD C,4,F-InKind,--D,1184,32442,1,0001635164,Common Shares
D,02/22/2023 00:00:00,Paxton Robert,4,F-InKind,--D,192,17573,1,0001439121,Common Shares
D,02/22/2023 00:00:00,Tiejema Russell Thane,4,F-InKind,--D,324,37071,1,0001656951,Common Shares
D,02/22/2023 00:00:00,White Randal Alan,4,F-InKind,--D,204,18553,1,0001717902,Common Shares
D,11/11/2022 00:00:00,Dachowski Peter R,4,S-Sale,--D,855,11927,2,0001580701,Common Shares
D,11/11/2022 00:00:00,Dachowski Peter R,4,S-Sale,--D,1777,12782,1,0001580701,Common Shares
D,09/06/2022 00:00:00,Ball Christopher O,4,F-InKind,--D,270,4596,1,0001881802,Common Shares
D,06/03/2022 00:00:00,HECKES HOWARD C,4,F-InKind,--D,1408,33626,1,0001635164,Common Shares
A,05/12/2022 00:00:00,Dachowski Peter R,4,A-Award,--D,1191,14559,1,0001580701,Common Shares
A,05/12/2022 00:00:00,Oesterle William Seelye,4,A-Award,--D,1191,6940,1,0001385294,Common Shares
A,05/12/2022 00:00:00,FOSTER JONATHAN F,4,A-Award,--D,1191,9773,1,0001122068,Common Shares
A,05/12/2022 00:00:00,Ruffalo Barry A.,4,A-Award,--D,1191,1191,1,0001394244,Common Shares
A,05/12/2022 00:00:00,BILNEY JODY L,4,A-Award,--D,1191,12411,1,0001185995,Common Shares
A,05/12/2022 00:00:00,Byrne Robert J,4,A-Award,--I,1786,36910,1,0001580704,Common Shares
A,05/12/2022 00:00:00,Steinfeld Jay Ira,4,A-Award,--D,1191,4496,1,0001831266,Common Shares
A,05/12/2022 00:00:00,SCRICCO FRANCIS M,4,A-Award,--D,1191,18356,1,0001285235,Common Shares
A,05/12/2022 00:00:00,Jones Daphne E,4,A-Award,--D,1191,6940,1,0001475924,Common Shares
A,04/04/2022 00:00:00,Pelletier James C,4,A-Award,--D,1575,1575,2,0001805124,Stock Appreciation Right
A,04/04/2022 00:00:00,Pelletier James C,4,A-Award,--D,7378,7378,1,0001805124,Common Shares
D,03/04/2022 00:00:00,Lewis Robert Edgar,4,M-Exempt,--D,1891,0,4,0001580863,Stock Appreciation Right
D,03/04/2022 00:00:00,Lewis Robert Edgar,4,D-Return,--D,1164,18132,3,0001580863,Common Shares
D,03/04/2022 00:00:00,Lewis Robert Edgar,4,F-InKind,--D,287,19296,2,0001580863,Common Shares
A,03/04/2022 00:00:00,Lewis Robert Edgar,4,M-Exempt,--D,1891,19583,1,0001580863,Common Shares
D,02/25/2022 00:00:00,Paxton Robert,4,F-InKind,--D,2190,17765,5,0001439121,Common Shares
A,02/25/2022 00:00:00,Paxton Robert,4,A-Award,--D,5563,19955,4,0001439121,Common Shares
D,02/25/2022 00:00:00,Paxton Robert,4,F-InKind,--D,352,14392,3,0001439121,Common Shares
D,02/25/2022 00:00:00,Paxton Robert,4,F-InKind,--D,1730,14744,2,0001439121,Common Shares
D,02/25/2022 00:00:00,Paxton Robert,4,F-InKind,--D,585,16474,1,0001439121,Common Shares
D,02/25/2022 00:00:00,HECKES HOWARD C,4,F-InKind,--D,1140,35034,1,0001635164,Common Shares
D,02/25/2022 00:00:00,Lewis Robert Edgar,4,F-InKind,--D,2500,17692,4,0001580863,Common Shares
A,02/25/2022 00:00:00,Lewis Robert Edgar,4,A-Award,--D,6309,20192,3,0001580863,Common Shares
D,02/25/2022 00:00:00,Lewis Robert Edgar,4,F-InKind,--D,203,13883,2,0001580863,Common Shares
D,02/25/2022 00:00:00,Lewis Robert Edgar,4,F-InKind,--D,452,14086,1,0001580863,Common Shares
D,02/25/2022 00:00:00,White Randal Alan,4,F-InKind,--D,3111,18757,5,0001717902,Common Shares
A,02/25/2022 00:00:00,White Randal Alan,4,A-Award,--D,5951,21868,4,0001717902,Common Shares
D,02/25/2022 00:00:00,White Randal Alan,4,F-InKind,--D,378,15917,3,0001717902,Common Shares
D,02/25/2022 00:00:00,White Randal Alan,4,F-InKind,--D,2582,16295,2,0001717902,Common Shares
D,02/25/2022 00:00:00,White Randal Alan,4,F-InKind,--D,827,18877,1,0001717902,Common Shares
D,02/25/2022 00:00:00,Tiejema Russell Thane,4,F-InKind,--D,4008,37395,5,0001656951,Common Shares
A,02/25/2022 00:00:00,Tiejema Russell Thane,4,A-Award,--D,9909,41403,4,0001656951,Common Shares
D,02/25/2022 00:00:00,Tiejema Russell Thane,4,F-InKind,--D,650,31494,3,0001656951,Common Shares
D,02/25/2022 00:00:00,Tiejema Russell Thane,4,F-InKind,--D,850,32144,2,0001656951,Common Shares
D,02/25/2022 00:00:00,Tiejema Russell Thane,4,F-InKind,--D,1264,32994,1,0001656951,Common Shares
A,02/24/2022 00:00:00,Steinfeld Jay Ira,4,P-Purchase,--D,1000,3305,1,0001831266,Common Shares
A,02/23/2022 00:00:00,White Randal Alan,4,A-Award,--D,2074,2074,2,0001717902,Stock Appreciation Right
A,02/23/2022 00:00:00,White Randal Alan,4,A-Award,--D,1862,19704,1,0001717902,Common Shares
A,02/23/2022 00:00:00,HECKES HOWARD C,4,A-Award,--D,12821,12821,2,0001635164,Stock Appreciation Right
A,02/23/2022 00:00:00,HECKES HOWARD C,4,A-Award,--D,11511,36174,1,0001635164,Common Shares
A,02/23/2022 00:00:00,Paxton Robert,4,A-Award,--D,2074,2074,2,0001439121,Stock Appreciation Right
A,02/23/2022 00:00:00,Paxton Robert,4,A-Award,--D,1862,17059,1,0001439121,Common Shares
A,02/23/2022 00:00:00,Ball Christopher O,4,A-Award,--D,3111,3111,2,0001881802,Stock Appreciation Right
A,02/23/2022 00:00:00,Ball Christopher O,4,A-Award,--D,2793,4866,1,0001881802,Common Shares
A,02/23/2022 00:00:00,Tiejema Russell Thane,4,A-Award,--D,3393,3393,2,0001656951,Stock Appreciation Right
A,02/23/2022 00:00:00,Tiejema Russell Thane,4,A-Award,--D,3047,34258,1,0001656951,Common Shares
D,02/22/2022 00:00:00,HECKES HOWARD C,4,F-InKind,--D,1176,24663,1,0001635164,Common Shares
D,02/22/2022 00:00:00,Lewis Robert Edgar,4,F-InKind,--D,189,14538,1,0001580863,Common Shares
D,02/22/2022 00:00:00,White Randal Alan,4,F-InKind,--D,204,17842,1,0001717902,Common Shares
D,02/22/2022 00:00:00,Tiejema Russell Thane,4,F-InKind,--D,324,31211,1,0001656951,Common Shares
D,02/22/2022 00:00:00,Paxton Robert,4,F-InKind,--D,192,15197,1,0001439121,Common Shares
D,11/16/2021 00:00:00,Lewis Robert Edgar,4,G-Gift,-ED,100,14727,8,0001580863,Common Shares
D,11/12/2021 00:00:00,Lewis Robert Edgar,4,M-Exempt,--D,3670,1891,10,0001580863,Stock Appreciation Right
D,11/12/2021 00:00:00,Lewis Robert Edgar,4,M-Exempt,--D,3637,0,9,0001580863,Stock Appreciation Right
D,11/12/2021 00:00:00,Lewis Robert Edgar,4,F-InKind,--D,733,14827,7,0001580863,Common Shares
D,11/12/2021 00:00:00,Lewis Robert Edgar,4,D-Return,--D,1808,15560,6,0001580863,Common Shares
A,11/12/2021 00:00:00,Lewis Robert Edgar,4,M-Exempt,--D,3670,17368,5,0001580863,Common Shares
D,11/12/2021 00:00:00,Lewis Robert Edgar,4,F-InKind,--D,488,13698,4,0001580863,Common Shares
D,11/12/2021 00:00:00,Lewis Robert Edgar,4,D-Return,--D,2399,14186,3,0001580863,Common Shares
A,11/12/2021 00:00:00,Lewis Robert Edgar,4,M-Exempt,--D,3637,16585,2,0001580863,Common Shares
D,11/12/2021 00:00:00,Lewis Robert Edgar,4,S-Sale,--D,8600,12948,1,0001580863,Common Shares
A,09/06/2021 00:00:00,Ball Christopher O,4,A-Award,--D,2073,2073,1,0001881802,Common Shares
D,09/01/2021 00:00:00,Hair James A,4,M-Exempt,--D,1099,2234,20,0001667368,Stock Appreciation Right
D,09/01/2021 00:00:00,Hair James A,4,M-Exempt,--D,5800,2988,19,0001667368,Stock Appreciation Right
D,09/01/2021 00:00:00,Hair James A,4,M-Exempt,--D,7247,0,18,0001667368,Stock Appreciation Right
D,09/01/2021 00:00:00,Hair James A,4,M-Exempt,--D,5518,0,17,0001667368,Stock Appreciation Right
D,09/01/2021 00:00:00,Hair James A,4,M-Exempt,--D,4767,0,16,0001667368,Stock Appreciation Right
D,09/01/2021 00:00:00,Hair James A,4,D-Return,--D,797,16538,15,0001667368,Common Shares
D,09/01/2021 00:00:00,Hair James A,4,F-InKind,--D,120,17335,14,0001667368,Common Shares
A,09/01/2021 00:00:00,Hair James A,4,M-Exempt,--D,1099,17455,13,0001667368,Common Shares
D,09/01/2021 00:00:00,Hair James A,4,D-Return,--D,2772,16356,12,0001667368,Common Shares
D,09/01/2021 00:00:00,Hair James A,4,F-InKind,--D,1192,19128,11,0001667368,Common Shares
A,09/01/2021 00:00:00,Hair James A,4,M-Exempt,--D,5800,20320,10,0001667368,Common Shares
D,09/01/2021 00:00:00,Hair James A,4,D-Return,--D,3914,14520,9,0001667368,Common Shares
D,09/01/2021 00:00:00,Hair James A,4,F-InKind,--D,1312,18434,8,0001667368,Common Shares
A,09/01/2021 00:00:00,Hair James A,4,M-Exempt,--D,7247,19746,7,0001667368,Common Shares
D,09/01/2021 00:00:00,Hair James A,4,D-Return,--D,3531,12499,6,0001667368,Common Shares
D,09/01/2021 00:00:00,Hair James A,4,F-InKind,--D,783,16030,5,0001667368,Common Shares
A,09/01/2021 00:00:00,Hair James A,4,M-Exempt,--D,5518,16813,4,0001667368,Common Shares
D,09/01/2021 00:00:00,Hair James A,4,D-Return,--D,2312,11295,3,0001667368,Common Shares
D,09/01/2021 00:00:00,Hair James A,4,F-InKind,--D,967,13607,2,0001667368,Common Shares
