MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/06/2023 00:00:00,Cerepak Brad M,4,S-Sale,--D,17769,54569,1,0001333585,Common Stock
D,03/15/2023 00:00:00,Malinas David J.,4,F-InKind,--D,58,3912,3,0001709078,Common Stock
D,03/15/2023 00:00:00,Malinas David J.,4,F-InKind,--D,76,3970,2,0001709078,Common Stock
D,03/15/2023 00:00:00,Malinas David J.,4,F-InKind,--D,74,4046,1,0001709078,Common Stock
D,03/15/2023 00:00:00,Kosinski Anthony K,4,F-InKind,--D,29,5997,3,0001678627,Common Stock
D,03/15/2023 00:00:00,Kosinski Anthony K,4,F-InKind,--D,37,6026,2,0001678627,Common Stock
D,03/15/2023 00:00:00,Kosinski Anthony K,4,F-InKind,--D,38,6063,1,0001678627,Common Stock
D,03/15/2023 00:00:00,Cerepak Brad M,4,F-InKind,--D,432,72338,3,0001333585,Common Stock
D,03/15/2023 00:00:00,Cerepak Brad M,4,F-InKind,--D,564,72770,2,0001333585,Common Stock
D,03/15/2023 00:00:00,Cerepak Brad M,4,F-InKind,--D,544,73334,1,0001333585,Common Stock
D,03/15/2023 00:00:00,Paulson Ryan,4,F-InKind,--D,25,1767,3,0001782599,Common Stock
D,03/15/2023 00:00:00,Paulson Ryan,4,F-InKind,--D,32,1792,2,0001782599,Common Stock
D,03/15/2023 00:00:00,Paulson Ryan,4,F-InKind,--D,33,1824,1,0001782599,Common Stock
D,03/15/2023 00:00:00,Cabrera Ivonne M,4,F-InKind,--D,175,38048,3,0001512696,Common Stock
D,03/15/2023 00:00:00,Cabrera Ivonne M,4,F-InKind,--D,183,38223,2,0001512696,Common Stock
D,03/15/2023 00:00:00,Cabrera Ivonne M,4,F-InKind,--D,187,38406,1,0001512696,Common Stock
D,03/15/2023 00:00:00,BORS KIMBERLY K,4,F-InKind,--D,60,6046,3,0001237886,Common Stock
D,03/15/2023 00:00:00,BORS KIMBERLY K,4,F-InKind,--D,78,6106,2,0001237886,Common Stock
D,03/15/2023 00:00:00,BORS KIMBERLY K,4,F-InKind,--D,82,6184,1,0001237886,Common Stock
D,03/15/2023 00:00:00,Tobin Richard J,4,F-InKind,--D,1660,185355,3,0001681915,Common Stock
D,03/15/2023 00:00:00,Tobin Richard J,4,F-InKind,--D,2046,187015,2,0001681915,Common Stock
D,03/15/2023 00:00:00,Tobin Richard J,4,F-InKind,--D,1972,189061,1,0001681915,Common Stock
D,03/15/2023 00:00:00,Juneja Girish,4,F-InKind,--D,92,8592,3,0001707806,Common Stock
D,03/15/2023 00:00:00,Juneja Girish,4,F-InKind,--D,80,8684,2,0001707806,Common Stock
D,03/15/2023 00:00:00,Juneja Girish,4,F-InKind,--D,82,8764,1,0001707806,Common Stock
D,03/15/2023 00:00:00,Moran James M,4,F-InKind,--D,25,5132,3,0001438387,Common Stock
D,03/15/2023 00:00:00,Moran James M,4,F-InKind,--D,32,5157,2,0001438387,Common Stock
D,03/15/2023 00:00:00,Moran James M,4,F-InKind,--D,33,5189,1,0001438387,Common Stock
D,03/13/2023 00:00:00,Cerepak Brad M,4,S-Sale,--D,8086,73878,2,0001333585,Common Stock
D,03/13/2023 00:00:00,Cerepak Brad M,4,S-Sale,--D,26886,81964,1,0001333585,Common Stock
