MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/23/2023 00:00:00,Tumminello Peter I,4,P-Purchase,--D,5000,9888,1,0001491158,Common Stock
A,05/11/2023 00:00:00,SKAGGS ROBERT C JR,4,P-Purchase,--D,2000,19539,1,0001059354,Common Stock
A,05/09/2023 00:00:00,Pickle Elaine M,4,P-Purchase,--D,1500,1500,1,0001869022,Common Stock
A,05/08/2023 00:00:00,Slater David,4,P-Purchase,--D,1500,33273,1,0001724472,Common Stock
A,05/05/2023 00:00:00,Archon Angela N,4,A-Award,--D,2451,2451,1,0001669602,Restricted Stock Units
A,05/05/2023 00:00:00,Pickle Elaine M,4,A-Award,--D,2451,2451,1,0001869022,Restricted Stock Units
A,05/05/2023 00:00:00,Wilson Dwayne Andree,4,A-Award,--D,2451,2451,1,0001391996,Restricted Stock Units
A,05/05/2023 00:00:00,Baker Stephen W,4,A-Award,--D,2451,2451,1,0001488318,Restricted Stock Units
A,05/05/2023 00:00:00,Tumminello Peter I,4,A-Award,--D,2451,2451,3,0001491158,Restricted Stock Units
D,05/05/2023 00:00:00,Tumminello Peter I,4,M-Exempt,--D,1795,0,2,0001491158,Restricted Stock Units
A,05/05/2023 00:00:00,Tumminello Peter I,4,M-Exempt,--D,1888,4888,1,0001491158,Common Stock
D,05/04/2023 00:00:00,Jewell Jeffrey A,4,M-Exempt,--D,16511.5,13209.2,3,0001722782,Restricted Stock Units
D,05/04/2023 00:00:00,Jewell Jeffrey A,4,F-InKind,--D,8192,26013,2,0001722782,Common Stock
A,05/04/2023 00:00:00,Jewell Jeffrey A,4,M-Exempt,--D,17984,34205,1,0001722782,Common Stock
D,02/03/2023 00:00:00,Slater David,4,F-InKind,--D,7286,31773,2,0001724472,Common Stock
D,02/03/2023 00:00:00,Zona Christopher,4,F-InKind,--D,2309,17541,2,0001869034,Common Stock
D,02/03/2023 00:00:00,Jewell Jeffrey A,4,F-InKind,--D,3427,16221,2,0001722782,Common Stock
D,02/03/2023 00:00:00,Cox Melissa,4,F-InKind,--D,718,2063,2,0001928974,Common Stock
D,02/03/2023 00:00:00,Ellis Wendy,4,F-InKind,--D,2088,5335,2,0001864357,Common Stock
A,02/01/2023 00:00:00,Slater David,4,A-Award,--D,25680,25680,3,0001724472,Restricted Stock Units
A,02/01/2023 00:00:00,Slater David,4,A-Award,--D,15994,39059,1,0001724472,Common Stock
A,02/01/2023 00:00:00,Zona Christopher,4,A-Award,--D,6979,6979,3,0001869034,Restricted Stock Units
A,02/01/2023 00:00:00,Zona Christopher,4,A-Award,--D,6585,19850,1,0001869034,Common Stock
A,02/01/2023 00:00:00,Jewell Jeffrey A,4,A-Award,--D,6769,6769,3,0001722782,Restricted Stock Units
A,02/01/2023 00:00:00,Jewell Jeffrey A,4,A-Award,--D,7526,19648,1,0001722782,Common Stock
A,02/01/2023 00:00:00,Cox Melissa,4,A-Award,--D,2094,2094,3,0001928974,Restricted Stock Units
A,02/01/2023 00:00:00,Cox Melissa,4,A-Award,--D,1411,2781,1,0001928974,Common Stock
A,02/01/2023 00:00:00,Ellis Wendy,4,A-Award,--D,4104,4104,3,0001864357,Restricted Stock Units
A,02/01/2023 00:00:00,Ellis Wendy,4,A-Award,--D,4233,7423,1,0001864357,Common Stock
D,01/29/2023 00:00:00,Ellis Wendy,4,M-Exempt,--D,1320.92,0,3,0001864357,Restricted Stock Units
D,01/29/2023 00:00:00,Ellis Wendy,4,F-InKind,--D,764,3190,2,0001864357,Common Stock
A,01/29/2023 00:00:00,Ellis Wendy,4,M-Exempt,--D,1418,3954,1,0001864357,Common Stock
D,01/29/2023 00:00:00,Jewell Jeffrey A,4,M-Exempt,--D,2311.61,0,3,0001722782,Restricted Stock Units
D,01/29/2023 00:00:00,Jewell Jeffrey A,4,F-InKind,--D,1184,12122,2,0001722782,Common Stock
A,01/29/2023 00:00:00,Jewell Jeffrey A,4,M-Exempt,--D,2482,13306,1,0001722782,Common Stock
