MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/26/2023 00:00:00,Wilson Andrew,4,S-Sale,--I,5000,82809,1,0001545193,Common Stock
A,06/22/2023 00:00:00,Canfield Stuart,4,A-Award,--D,19131,19131,1,0001982711,Restricted Stock Units
A,06/16/2023 00:00:00,Wilson Andrew,4,A-Award,--D,63733,63733,1,0001545193,Restricted Stock Units
A,06/16/2023 00:00:00,Singh Vijayanthimala,4,A-Award,--D,21374,21374,1,0001689214,Restricted Stock Units
A,06/16/2023 00:00:00,Schatz Jacob J.,4,A-Award,--D,21374,21374,1,0001609751,Restricted Stock Units
A,06/16/2023 00:00:00,Miele Laura,4,A-Award,--D,31089,31089,1,0001670477,Restricted Stock Units
A,06/16/2023 00:00:00,Kelly Eric Charles,4,A-Award,--D,4274,4274,1,0001879932,Restricted Stock Units
D,06/01/2023 00:00:00,Miele Laura,4,S-Sale,--D,1500,38586,1,0001670477,Common Stock
D,05/30/2023 00:00:00,Wilson Andrew,4,S-Sale,--I,30,87809,4,0001545193,Common Stock
D,05/30/2023 00:00:00,Wilson Andrew,4,S-Sale,--I,4970,87839,3,0001545193,Common Stock
D,05/24/2023 00:00:00,Kelly Eric Charles,4,S-Sale,--D,2000,6112,1,0001879932,Common Stock
D,05/22/2023 00:00:00,Wilson Andrew,4,S-Sale,--I,1037,92809,4,0001545193,Common Stock
D,05/22/2023 00:00:00,Wilson Andrew,4,S-Sale,--I,1862,93846,3,0001545193,Common Stock
D,05/20/2023 00:00:00,Kelly Eric Charles,4,J-Other,--D,1072,2865,4,0001879932,Performance-based Stock Units
D,05/20/2023 00:00:00,Kelly Eric Charles,4,M-Exempt,--D,360,3937,3,0001879932,Performance-based Stock Units
D,05/20/2023 00:00:00,Kelly Eric Charles,4,F-InKind,--D,125,8112,2,0001879932,Common Stock
A,05/20/2023 00:00:00,Kelly Eric Charles,4,M-Exempt,--D,360,8237,1,0001879932,Common Stock
D,05/16/2023 00:00:00,Wilson Andrew,4,M-Exempt,--D,28129,28129,15,0001545193,Restricted Stock Units
D,05/16/2023 00:00:00,Wilson Andrew,4,M-Exempt,--D,6312,12622,14,0001545193,Restricted Stock Units
D,05/16/2023 00:00:00,Wilson Andrew,4,M-Exempt,--D,15907,0,13,0001545193,Restricted Stock Units
D,05/16/2023 00:00:00,Wilson Andrew,4,J-Other,--D,161299,0,12,0001545193,Performance-based Restricted Stock Units
D,05/16/2023 00:00:00,Wilson Andrew,4,M-Exempt,--D,7635,161299,11,0001545193,Performance-based Restricted Stock Units
D,05/16/2023 00:00:00,Wilson Andrew,4,F-InKind,--I,13891,95708,8,0001545193,Common Stock
A,05/16/2023 00:00:00,Wilson Andrew,4,M-Exempt,--I,28129,109599,7,0001545193,Common Stock
D,05/16/2023 00:00:00,Wilson Andrew,4,F-InKind,--I,3130,81470,6,0001545193,Common Stock
A,05/16/2023 00:00:00,Wilson Andrew,4,M-Exempt,--I,6312,84600,5,0001545193,Common Stock
D,05/16/2023 00:00:00,Wilson Andrew,4,F-InKind,--I,7887,78288,4,0001545193,Common Stock
A,05/16/2023 00:00:00,Wilson Andrew,4,M-Exempt,--I,15907,86175,3,0001545193,Common Stock
D,05/16/2023 00:00:00,Wilson Andrew,4,F-InKind,--I,2641,70268,2,0001545193,Common Stock
A,05/16/2023 00:00:00,Wilson Andrew,4,M-Exempt,--I,7635,72909,1,0001545193,Common Stock
D,05/16/2023 00:00:00,Suh Chris,4,M-Exempt,--D,8334,16669,3,0001885015,Restricted Stock Units
D,05/16/2023 00:00:00,Suh Chris,4,F-InKind,--D,4013,9585,2,0001885015,Common Stock
A,05/16/2023 00:00:00,Suh Chris,4,M-Exempt,--D,8334,13598,1,0001885015,Common Stock
D,05/16/2023 00:00:00,Singh Vijayanthimala,4,M-Exempt,--D,9767,9767,13,0001689214,Restricted Stock Units
