MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/09/2023 00:00:00,AMIN TARANG,4,G-Gift,--I,200000,200000,5,0001513988,"Common Stock, $0.01 par value"
D,06/09/2023 00:00:00,AMIN TARANG,4,G-Gift,--I,200000,174015,4,0001513988,"Common Stock, $0.01 par value"
A,06/09/2023 00:00:00,AMIN TARANG,4,G-Gift,--I,200000,200000,3,0001513988,"Common Stock, $0.01 par value"
D,06/09/2023 00:00:00,AMIN TARANG,4,G-Gift,--I,200000,374015,2,0001513988,"Common Stock, $0.01 par value"
D,06/09/2023 00:00:00,AMIN TARANG,4,G-Gift,--I,40000,574015,1,0001513988,"Common Stock, $0.01 par value"
D,06/07/2023 00:00:00,FIELDS MANDY J,4,S-Sale,--D,16024,108874,1,0001773316,"Common Stock, $0.01 par value"
D,06/06/2023 00:00:00,WOLFORD RICHARD G,4,S-Sale,--D,4300,22143,2,0001243112,"Common Stock, $0.01 par value"
D,06/06/2023 00:00:00,WOLFORD RICHARD G,4,S-Sale,--D,32473,26443,1,0001243112,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,AMIN TARANG,4,M-Exempt,--D,39740,119221,13,0001513988,Stock Option (Right to Buy)
D,06/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,2138,297337,11,0001513988,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,6198,299475,10,0001513988,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,2590,297337,9,0001513988,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,5746,299927,8,0001513988,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,158,252792,7,0001513988,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,13647,252950,6,0001513988,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,19010,266597,5,0001513988,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,100,285607,4,0001513988,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,17934,285707,3,0001513988,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,21706,303641,2,0001513988,"Common Stock, $0.01 par value"
A,06/05/2023 00:00:00,AMIN TARANG,4,M-Exempt,--D,39740,325347,1,0001513988,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,Milsten Scott,4,M-Exempt,--D,6000,12000,6,0001448992,Stock Option (Right to Buy)
D,06/05/2023 00:00:00,Milsten Scott,4,S-Sale,--D,278,79104,4,0001448992,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,Milsten Scott,4,S-Sale,--D,11310,79382,3,0001448992,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,Milsten Scott,4,S-Sale,--D,12071,90692,2,0001448992,"Common Stock, $0.01 par value"
A,06/05/2023 00:00:00,Milsten Scott,4,M-Exempt,--D,6000,102763,1,0001448992,"Common Stock, $0.01 par value"
D,06/05/2023 00:00:00,Mitchell Kenneth Jr,4,G-Gift,--D,2800,13440,1,0001831961,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,Milsten Scott,4,S-Sale,--D,4795,96763,4,0001448992,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,Milsten Scott,4,S-Sale,--D,3121,101558,3,0001448992,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,Milsten Scott,4,S-Sale,--D,7063,104679,2,0001448992,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,Franks Joshua Allen,4,S-Sale,--D,1995,108506,7,0001797370,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,Franks Joshua Allen,4,S-Sale,--D,1045,110501,6,0001797370,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,Franks Joshua Allen,4,S-Sale,--D,3977,111546,5,0001797370,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,Franks Joshua Allen,4,S-Sale,--D,5333,115523,4,0001797370,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,Franks Joshua Allen,4,S-Sale,--D,3471,120856,3,0001797370,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,Franks Joshua Allen,4,S-Sale,--D,1542,124327,2,0001797370,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,FIELDS MANDY J,4,S-Sale,--D,5333,124898,4,0001773316,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,FIELDS MANDY J,4,S-Sale,--D,3471,130231,3,0001773316,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,FIELDS MANDY J,4,S-Sale,--D,6856,133702,2,0001773316,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,Hartnett Jennifer Catherine,4,S-Sale,--D,6979,66436,2,0001927843,Common Stock
D,06/02/2023 00:00:00,MARCHISOTTO KORY,4,S-Sale,--D,5333,146997,4,0001768965,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,MARCHISOTTO KORY,4,S-Sale,--D,3471,152330,3,0001768965,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,MARCHISOTTO KORY,4,S-Sale,--D,6856,155801,2,0001768965,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,10180,285607,4,0001513988,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,8793,295787,3,0001513988,"Common Stock, $0.01 par value"
D,06/02/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,15235,304580,2,0001513988,"Common Stock, $0.01 par value"
A,06/01/2023 00:00:00,Milsten Scott,4,A-Award,--D,18772,111742,1,0001448992,"Common Stock, $0.01 par value"
A,06/01/2023 00:00:00,Franks Joshua Allen,4,A-Award,--D,18772,125869,1,0001797370,"Common Stock, $0.01 par value"
A,06/01/2023 00:00:00,FIELDS MANDY J,4,A-Award,--D,18772,140558,1,0001773316,"Common Stock, $0.01 par value"
A,06/01/2023 00:00:00,Hartnett Jennifer Catherine,4,A-Award,--D,16425,73415,1,0001927843,Common Stock
A,06/01/2023 00:00:00,MARCHISOTTO KORY,4,A-Award,--D,18772,162657,1,0001768965,"Common Stock, $0.01 par value"
A,06/01/2023 00:00:00,AMIN TARANG,4,A-Award,--D,32851,319815,1,0001513988,"Common Stock, $0.01 par value"
D,05/31/2023 00:00:00,Levitan Lauren Cooks,4,S-Sale,--D,2500,25709,1,0001683786,"Common Stock, $0.01 par value"
D,05/05/2023 00:00:00,AMIN TARANG,4,M-Exempt,--D,39740,158961,12,0001513988,Stock Option (Right to Buy)
D,05/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,300,305673,10,0001513988,"Common Stock, $0.01 par value"
D,05/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,2700,305973,9,0001513988,"Common Stock, $0.01 par value"
D,05/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,5332,308673,8,0001513988,"Common Stock, $0.01 par value"
D,05/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,320,305673,7,0001513988,"Common Stock, $0.01 par value"
D,05/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,2747,305993,6,0001513988,"Common Stock, $0.01 par value"
D,05/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,5265,308740,5,0001513988,"Common Stock, $0.01 par value"
D,05/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,3400,286964,4,0001513988,"Common Stock, $0.01 par value"
D,05/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,13134,290364,3,0001513988,"Common Stock, $0.01 par value"
D,05/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,23206,303498,2,0001513988,"Common Stock, $0.01 par value"
A,05/05/2023 00:00:00,AMIN TARANG,4,M-Exempt,--D,39740,326704,1,0001513988,"Common Stock, $0.01 par value"
D,04/24/2023 00:00:00,FIELDS MANDY J,4,M-Exempt,--D,20940,0,5,0001773316,Stock Option
D,04/24/2023 00:00:00,FIELDS MANDY J,4,S-Sale,--D,2003,121786,4,0001773316,"Common Stock, $0.01 par value"
D,04/24/2023 00:00:00,FIELDS MANDY J,4,S-Sale,--D,3690,123789,3,0001773316,"Common Stock, $0.01 par value"
D,04/24/2023 00:00:00,FIELDS MANDY J,4,S-Sale,--D,15247,127479,2,0001773316,"Common Stock, $0.01 par value"
A,04/24/2023 00:00:00,FIELDS MANDY J,4,M-Exempt,--D,20940,142726,1,0001773316,"Common Stock, $0.01 par value"
D,04/05/2023 00:00:00,AMIN TARANG,4,M-Exempt,--D,39740,198701,12,0001513988,Stock Option (Right to Buy)
D,04/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,1000,314005,10,0001513988,"Common Stock, $0.01 par value"
D,04/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,3932,315005,9,0001513988,"Common Stock, $0.01 par value"
D,04/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,3400,318937,8,0001513988,"Common Stock, $0.01 par value"
D,04/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,1000,314005,7,0001513988,"Common Stock, $0.01 par value"
D,04/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,3627,315005,6,0001513988,"Common Stock, $0.01 par value"
D,04/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,3705,318632,5,0001513988,"Common Stock, $0.01 par value"
D,04/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,5733,286964,4,0001513988,"Common Stock, $0.01 par value"
D,04/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,21610,292697,3,0001513988,"Common Stock, $0.01 par value"
D,04/05/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,12397,314307,2,0001513988,"Common Stock, $0.01 par value"
A,04/05/2023 00:00:00,AMIN TARANG,4,M-Exempt,--D,39740,326704,1,0001513988,"Common Stock, $0.01 par value"
D,03/13/2023 00:00:00,MARCHISOTTO KORY,4,M-Exempt,--D,28775,0,5,0001768965,Stock Option (Right to Buy)
D,03/13/2023 00:00:00,MARCHISOTTO KORY,4,S-Sale,--D,1100,143885,4,0001768965,"Common Stock, $0.01 par value"
D,03/13/2023 00:00:00,MARCHISOTTO KORY,4,S-Sale,--D,23875,144985,3,0001768965,"Common Stock, $0.01 par value"
D,03/13/2023 00:00:00,MARCHISOTTO KORY,4,S-Sale,--D,3800,168860,2,0001768965,"Common Stock, $0.01 par value"
A,03/13/2023 00:00:00,MARCHISOTTO KORY,4,M-Exempt,--D,28775,172660,1,0001768965,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,M-Exempt,--D,39740,238441,17,0001513988,Stock Option (Right to Buy)
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,1600,322337,15,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,2000,323937,14,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,4736,325937,13,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,1500,322337,12,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,2100,323837,11,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--I,4736,325937,10,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,1235,286964,9,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,7797,288199,8,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,4072,295996,7,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,16859,300068,6,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,2320,316927,5,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,9964,319247,4,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,5724,329211,3,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,21732,334935,2,0001513988,"Common Stock, $0.01 par value"
A,03/06/2023 00:00:00,AMIN TARANG,4,M-Exempt,--D,39740,356667,1,0001513988,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,Franks Joshua Allen,4,S-Sale,--D,1180,107097,4,0001797370,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,Franks Joshua Allen,4,S-Sale,--D,1400,108277,3,0001797370,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,Franks Joshua Allen,4,S-Sale,--D,1200,109677,2,0001797370,"Common Stock, $0.01 par value"
D,03/06/2023 00:00:00,Franks Joshua Allen,4,S-Sale,--D,3400,110877,1,0001797370,"Common Stock, $0.01 par value"
D,03/03/2023 00:00:00,Milsten Scott,4,M-Exempt,--D,6000,18000,6,0001448992,Stock Option (Right to Buy)
D,03/03/2023 00:00:00,Milsten Scott,4,S-Sale,--D,1450,92970,4,0001448992,"Common Stock, $0.01 par value"
D,03/03/2023 00:00:00,Milsten Scott,4,S-Sale,--D,23433,94420,3,0001448992,"Common Stock, $0.01 par value"
A,03/03/2023 00:00:00,Milsten Scott,4,M-Exempt,--D,6000,117853,2,0001448992,"Common Stock, $0.01 par value"
D,03/02/2023 00:00:00,MARCHISOTTO KORY,4,S-Sale,--D,15515,143885,1,0001768965,"Common Stock, $0.01 par value"
D,03/02/2023 00:00:00,AMIN TARANG,4,S-Sale,--D,30569,316927,1,0001513988,"Common Stock, $0.01 par value"
D,03/02/2023 00:00:00,Milsten Scott,4,S-Sale,--D,15707,111853,1,0001448992,"Common Stock, $0.01 par value"
D,02/27/2023 00:00:00,AMIN TARANG,4,G-Gift,--I,13600,614015,1,0001513988,"Common Stock, $0.01 par value"
D,02/21/2023 00:00:00,Watson Maureen C.,4,M-Exempt,--D,8000,17875,3,0001683795,Stock Option (Right to Buy)
D,02/21/2023 00:00:00,Watson Maureen C.,4,S-Sale,--D,8000,4894,2,0001683795,"Common Stock, $0.01 par value"
A,02/21/2023 00:00:00,Watson Maureen C.,4,M-Exempt,--D,8000,12894,1,0001683795,"Common Stock, $0.01 par value"
D,02/09/2023 00:00:00,Franks Joshua Allen,4,M-Exempt,--D,12161,14700,7,0001797370,Stock Option (Right to Buy)
D,02/09/2023 00:00:00,Franks Joshua Allen,4,S-Sale,--D,500,114277,5,0001797370,"Common Stock, $0.01 par value"
