MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/28/2023 00:00:00,McMahon Chandra,4,A-Award,--D,898,1335,2,0001983686,EPAM Common Stock
A,06/28/2023 00:00:00,McMahon Chandra,4,A-Award,--D,437,437,1,0001983686,EPAM Common Stock
A,06/05/2023 00:00:00,Robb Karl,4,A-Award,--D,872,5312,1,0001538410,EPAM Common Stock
A,06/02/2023 00:00:00,Aguirre DeAnne,4/A,A-Award,--D,876,1214,1,0001934428,EPAM Common Stock
A,06/02/2023 00:00:00,Aguirre DeAnne,4,A-Award,--D,872,1210,1,0001934428,EPAM Common Stock
D,06/02/2023 00:00:00,Roman Eugene,4/A,F-InKind,--D,98,2534,2,0001802803,EPAM Common Stock
A,06/02/2023 00:00:00,Roman Eugene,4/A,A-Award,--D,876,2632,1,0001802803,EPAM Common Stock
D,06/02/2023 00:00:00,Roman Eugene,4,F-InKind,--D,98,2530,2,0001802803,EPAM Common Stock
A,06/02/2023 00:00:00,Roman Eugene,4,A-Award,--D,872,2628,1,0001802803,EPAM Common Stock
A,06/02/2023 00:00:00,Shan Helen L.,4/A,A-Award,--D,876,3248,1,0001748873,EPAM Common Stock
A,06/02/2023 00:00:00,Shan Helen L.,4,A-Award,--D,872,3244,1,0001748873,EPAM Common Stock
A,06/02/2023 00:00:00,Mayoras Richard Michael,4/A,A-Award,--D,876,8270,1,0001566490,EPAM Common Stock
A,06/02/2023 00:00:00,Mayoras Richard Michael,4,A-Award,--D,872,8266,1,0001566490,EPAM Common Stock
A,06/02/2023 00:00:00,Segert Robert E.,4/A,A-Award,--D,876,18315,1,0001539198,EPAM Common Stock
A,06/02/2023 00:00:00,Segert Robert E.,4,A-Award,--D,872,18311,1,0001539198,EPAM Common Stock
A,06/02/2023 00:00:00,Robb Karl,4/A,A-Award,--D,876,5316,1,0001538410,EPAM Common Stock
A,06/02/2023 00:00:00,Smart Jill,4/A,A-Award,--D,876,6901,1,0001529343,EPAM Common Stock
A,06/02/2023 00:00:00,Smart Jill,4,A-Award,--D,872,6897,1,0001529343,EPAM Common Stock
A,06/02/2023 00:00:00,Vargo Ronald P,4/A,A-Award,--D,876,8503,1,0001355666,EPAM Common Stock
A,06/02/2023 00:00:00,Vargo Ronald P,4,A-Award,--D,872,8499,1,0001355666,EPAM Common Stock
A,03/31/2023 00:00:00,Rockwell Edward,4,A-Award,--D,3175,3175,2,0001761897,Employee Stock Option (right to buy)
A,03/31/2023 00:00:00,Rockwell Edward,4,A-Award,--D,1682,4848,1,0001761897,EPAM Common Stock
A,03/31/2023 00:00:00,Dvorkin Viktar,4,A-Award,--D,6350,6350,2,0001732239,Employee Stock Option (right to buy)
A,03/31/2023 00:00:00,Dvorkin Viktar,4,A-Award,--D,3365,10261,1,0001732239,EPAM Common Stock
A,03/31/2023 00:00:00,Yezhkov Sergey,4,A-Award,--D,4445,4445,2,0001732194,Employee Stock Option (right to buy)
A,03/31/2023 00:00:00,Yezhkov Sergey,4,A-Award,--D,2355,12698,1,0001732194,EPAM Common Stock
A,03/31/2023 00:00:00,Abrahams Gary C,4,A-Award,--D,589,1985,1,0001703877,EPAM Common Stock
A,03/31/2023 00:00:00,Peterson Jason D.,4,A-Award,--D,9525,9525,3,0001702274,Employee Stock Option (right to buy)
