MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,04/14/2023 00:00:00,Mavoides Peter M.,4,A-Award,--D,553,528852,1,0001547475,Common Stock
A,02/15/2023 00:00:00,Mavoides Peter M.,4,A-Award,--D,56270,528299,3,0001547475,Common Stock
A,02/15/2023 00:00:00,Earnshaw Timothy J,4,A-Award,--D,4341,33516,1,0001801339,Common Stock
A,02/15/2023 00:00:00,Patten Mark E,4,A-Award,--D,11254,86168,1,0001282528,Common Stock
D,02/14/2023 00:00:00,Mavoides Peter M.,4,F-InKind,--D,25033,472029,2,0001547475,Common Stock
A,02/14/2023 00:00:00,Mavoides Peter M.,4,A-Award,--D,97880,497062,1,0001547475,Common Stock
D,01/18/2023 00:00:00,Mavoides Peter M.,4,F-InKind,--D,64676,399182,5,0001547475,Common Stock
D,01/18/2023 00:00:00,Earnshaw Timothy J,4,F-InKind,--D,1309,29175,1,0001801339,Common Stock
D,01/18/2023 00:00:00,Patten Mark E,4,F-InKind,--D,1335,74914,1,0001282528,Common Stock
A,01/13/2023 00:00:00,Mavoides Peter M.,4,A-Award,--D,1127,463858,4,0001547475,Common Stock
A,10/14/2022 00:00:00,Mavoides Peter M.,4,A-Award,--D,1355,462731,3,0001547475,Common Stock
D,08/10/2022 00:00:00,Patten Mark E,4,F-InKind,--D,8204,76249,1,0001282528,Common Stock
A,07/14/2022 00:00:00,Mavoides Peter M.,4,A-Award,--D,1219,461376,2,0001547475,Common Stock
A,06/15/2022 00:00:00,Patten Mark E,4,P-Purchase,--D,1000,84453,1,0001282528,Common Stock
A,06/13/2022 00:00:00,Mavoides Peter M.,4,P-Purchase,--D,20000,459170,1,0001547475,Common Stock
A,05/16/2022 00:00:00,Sautel Stephen D,4,A-Award,--D,4323,268504,1,0001743606,Common Stock
A,05/16/2022 00:00:00,DeLucca Joyce,4,A-Award,--D,4323,21166,1,0001744135,Common Stock
A,05/16/2022 00:00:00,Sivanesan Janaki,4,A-Award,--D,4323,13869,1,0001429111,Common Stock
A,05/16/2022 00:00:00,Bossidy Paul T,4,A-Award,--D,4323,53166,1,0001335108,Common Stock
A,05/16/2022 00:00:00,Neary Heather Leed,4,A-Award,--D,4323,15469,1,0001801341,Common Stock
A,05/16/2022 00:00:00,Minich Lawrence J,4,A-Award,--D,4323,16369,1,0001801383,Common Stock
A,05/16/2022 00:00:00,ESTES SCOTT A,4,A-Award,--D,4323,91166,1,0001242824,Common Stock
A,04/13/2022 00:00:00,Seibert Gregg A,4,A-Award,--D,395,255619,1,0001307830,Common Stock
A,04/13/2022 00:00:00,Mavoides Peter M.,4,A-Award,--D,987,460157,1,0001547475,Common Stock
A,03/04/2022 00:00:00,Mavoides Peter M.,4,A-Award,--D,55577,439170,1,0001547475,Common Stock
A,02/15/2022 00:00:00,Patten Mark E,4,A-Award,--D,9693,83453,1,0001282528,Common Stock
A,02/15/2022 00:00:00,Earnshaw Timothy J,4,A-Award,--D,4725,30484,1,0001801339,Common Stock
A,02/15/2022 00:00:00,Seibert Gregg A,4,A-Award,--D,9693,255224,1,0001307830,Common Stock
D,01/18/2022 00:00:00,Mavoides Peter M.,4,F-InKind,--D,50298,383593,2,0001547475,Common Stock
A,01/18/2022 00:00:00,Mavoides Peter M.,4,A-Award,--D,192220,433891,1,0001547475,Common Stock
D,01/18/2022 00:00:00,Patten Mark E,4,F-InKind,--D,519,73760,1,0001282528,Common Stock
D,01/18/2022 00:00:00,Seibert Gregg A,4,F-InKind,--D,13292,245531,2,0001307830,Common Stock
A,01/18/2022 00:00:00,Seibert Gregg A,4,A-Award,--D,76885,258823,1,0001307830,Common Stock
D,01/08/2022 00:00:00,Seibert Gregg A,4,F-InKind,--D,1408,181938,1,0001307830,Common Stock
D,01/08/2022 00:00:00,Mavoides Peter M.,4,F-InKind,--D,3547,241671,1,0001547475,Common Stock
D,01/08/2022 00:00:00,Earnshaw Timothy J,4,F-InKind,--D,932,25759,1,0001801339,Common Stock
A,01/05/2022 00:00:00,Mavoides Peter M.,4,A-Award,--D,34686,245218,1,0001547475,Common Stock
D,11/03/2021 00:00:00,Mavoides Peter M.,4,G-Gift,-ED,4939,210532,1,0001547475,Common Stock
D,08/10/2021 00:00:00,Patten Mark E,4,F-InKind,--D,6614,74279,1,0001282528,Common Stock
D,06/30/2021 00:00:00,Seibert Gregg A,4,S-Sale,--D,31158,183346,1,0001307830,Common Stock
D,06/30/2021 00:00:00,Mavoides Peter M.,4,S-Sale,--D,48822,215471,1,0001547475,Common Stock
D,06/30/2021 00:00:00,Earnshaw Timothy J,4,S-Sale,--D,1256,26691,1,0001801339,Common Stock
A,05/24/2021 00:00:00,Sautel Stephen D,4,A-Award,--D,2395,264181,1,0001743606,Common Stock
A,05/24/2021 00:00:00,Neary Heather Leed,4,A-Award,--D,2395,11146,1,0001801341,Common Stock
A,05/24/2021 00:00:00,Minich Lawrence J,4,A-Award,--D,2395,12046,1,0001801383,Common Stock
A,05/24/2021 00:00:00,ESTES SCOTT A,4,A-Award,--D,2395,86843,1,0001242824,Common Stock
A,05/24/2021 00:00:00,Sivanesan Janaki,4,A-Award,--D,2395,9546,1,0001429111,Common Stock
A,05/24/2021 00:00:00,DeLucca Joyce,4,A-Award,--D,2395,16843,1,0001744135,Common Stock
A,05/24/2021 00:00:00,Bossidy Paul T,4,A-Award,--D,2395,48843,1,0001335108,Common Stock
A,03/23/2021 00:00:00,Earnshaw Timothy J,4,P-Purchase,--D,442,27947,1,0001801339,Common Stock
A,03/22/2021 00:00:00,Patten Mark E,4,A-Award,--D,1000,80893,1,0001282528,Common Stock
A,03/18/2021 00:00:00,Patten Mark E,4,A-Award,--D,2000,79893,1,0001282528,Common Stock
A,02/22/2021 00:00:00,Seibert Gregg A,4,A-Award,--D,13894,214504,1,0001307830,Common Stock
A,02/22/2021 00:00:00,Earnshaw Timothy J,4,A-Award,--D,3256,27505,1,0001801339,Common Stock
A,02/22/2021 00:00:00,Mavoides Peter M.,4,A-Award,--D,55579,264293,1,0001547475,Common Stock
A,02/22/2021 00:00:00,Patten Mark E,4,A-Award,--D,6079,77893,1,0001282528,Common Stock
D,01/11/2021 00:00:00,Earnshaw Timothy J,4,S-Sale,--D,276,24249,2,0001801339,Common Stock
D,01/11/2021 00:00:00,Seibert Gregg A,4,S-Sale,--D,756,200610,2,0001307830,Common Stock
D,01/08/2021 00:00:00,Mavoides Peter M.,4,F-InKind,--D,1521,208714,1,0001547475,Common Stock
D,01/08/2021 00:00:00,Earnshaw Timothy J,4,F-InKind,--D,669,24525,1,0001801339,Common Stock
D,01/08/2021 00:00:00,Seibert Gregg A,4,F-InKind,--D,644,201366,1,0001307830,Common Stock
A,11/11/2020 00:00:00,ESTES SCOTT A,4,A-Award,--D,20000,84448,1,0001242824,Common Stock
A,11/09/2020 00:00:00,Neary Heather Leed,4,A-Award,--D,500,8751,1,0001801341,Common Stock
A,08/10/2020 00:00:00,Patten Mark E,4,A-Award,--D,69814,71814,1,0001282528,Common Stock
A,07/15/2020 00:00:00,Sivanesan Janaki,4,A-Award,--D,2331,7151,1,0001429111,Common Stock
A,07/15/2020 00:00:00,Neary Heather Leed,4,A-Award,--D,2331,8251,1,0001801341,Common Stock
A,07/15/2020 00:00:00,Minich Lawrence J,4,A-Award,--D,2331,9651,1,0001801383,Common Stock
D,06/30/2020 00:00:00,Seibert Gregg A,4,S-Sale,--D,34693,202010,1,0001307830,Common Stock
D,06/30/2020 00:00:00,Mavoides Peter M.,4,S-Sale,--D,48602,210235,1,0001547475,Common Stock
A,06/25/2020 00:00:00,Sivanesan Janaki,4,A-Award,--D,989,4820,2,0001429111,Common Stock
A,06/25/2020 00:00:00,Sivanesan Janaki,4,A-Award,--D,3831,3831,1,0001429111,Common Stock
D,06/25/2020 00:00:00,Sautel Stephen D,4,A-Award,--D,3831,261786,1,0001743606,Common Stock
A,06/25/2020 00:00:00,Neary Heather Leed,4,A-Award,--D,989,5920,2,0001801341,Common Stock
A,06/25/2020 00:00:00,Neary Heather Leed,4,A-Award,--D,3831,4931,1,0001801341,Common Stock
A,06/25/2020 00:00:00,Minich Lawrence J,4,A-Award,--D,989,7320,2,0001801383,Common Stock
A,06/25/2020 00:00:00,Minich Lawrence J,4,A-Award,--D,3831,6331,1,0001801383,Common Stock
A,06/25/2020 00:00:00,ESTES SCOTT A,4,A-Award,--D,3831,64448,1,0001242824,Common Stock
A,06/25/2020 00:00:00,Dobkin Anthony K.,4,A-Award,--D,691,123840,1,0001785536,Common Stock
A,06/25/2020 00:00:00,DeLucca Joyce,4,A-Award,--D,3831,14448,1,0001744135,Common Stock
A,06/25/2020 00:00:00,Bossidy Paul T,4,A-Award,--D,3831,46448,1,0001335108,Common Stock
D,05/15/2020 00:00:00,Mavoides Peter M.,4,S-Sale,--D,25000,258837,2,0001547475,Common Stock
A,05/15/2020 00:00:00,Minich Lawrence J,4,P-Purchase,--D,500,2500,2,0001801383,Common Stock
D,05/14/2020 00:00:00,Mavoides Peter M.,4,S-Sale,--D,20000,283837,1,0001547475,Common Stock
A,05/14/2020 00:00:00,Sautel Stephen D,4,P-Purchase,--D,5000,265617,1,0001743606,Common Stock
A,05/14/2020 00:00:00,Minich Lawrence J,4,P-Purchase,--D,500,2000,1,0001801383,Common Stock
A,05/13/2020 00:00:00,Sautel Stephen D,4,P-Purchase,--D,20000,260617,2,0001743606,Common Stock
A,05/12/2020 00:00:00,Sautel Stephen D,4,P-Purchase,--D,18000,240617,1,0001743606,Common Stock
A,05/12/2020 00:00:00,Earnshaw Timothy J,4,P-Purchase,--D,825,25194,1,0001801339,Common Stock
