MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/13/2023 00:00:00,EDELMAN MARTIN L,4,A-Award,--D,5773,5773,1,0001047252,LTIP Units
A,06/13/2023 00:00:00,LINNEMAN PETER,4,A-Award,--D,5773,43186,1,0001170994,Common Shares of Beneficial Interest
A,06/13/2023 00:00:00,Chube Ellen-Blair,4,A-Award,--D,5773,15604,1,0001744743,Common Shares of Beneficial Interest
A,06/13/2023 00:00:00,SPECTOR GERALD A,4,A-Award,--D,5773,39293,1,0001219721,Common Shares of Beneficial Interest
A,06/13/2023 00:00:00,ROBERTSON MARY JANE,4,A-Award,--D,5773,42477,1,0001191446,Common Shares of Beneficial Interest
A,06/13/2023 00:00:00,STAR JAMES A,4,A-Award,--D,5773,79308,1,0001260705,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,HELFAND DAVID,4,A-Award,--D,57773,57773,6,0001201466,Restricted Share Units
D,02/07/2023 00:00:00,HELFAND DAVID,4,M-Exempt,--D,29508,0,5,0001201466,Restricted Share Units
D,02/07/2023 00:00:00,HELFAND DAVID,4,F-InKind,--D,50305,995983,3,0001201466,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,HELFAND DAVID,4,A-Award,--D,57774,1046288,2,0001201466,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,HELFAND DAVID,4,M-Exempt,--D,29508,988514,1,0001201466,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,ZELL SAMUEL,4,A-Award,--I,75745,75745,4,0001024193,LTIP Units
D,02/07/2023 00:00:00,ZELL SAMUEL,4,M-Exempt,--I,19343,0,3,0001024193,Restricted Share Units
A,02/07/2023 00:00:00,ZELL SAMUEL,4,M-Exempt,--I,19343,825116,1,0001024193,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,Shifrin Orrin S,4,A-Award,--I,18676,18676,5,0001608764,Restricted Share Units
D,02/07/2023 00:00:00,Shifrin Orrin S,4,M-Exempt,--I,9539,0,4,0001608764,Restricted Share Units
D,02/07/2023 00:00:00,Shifrin Orrin S,4,F-InKind,--I,17184,208466,3,0001608764,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,Shifrin Orrin S,4,A-Award,--I,18676,225650,2,0001608764,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,Shifrin Orrin S,4,M-Exempt,--I,9539,206974,1,0001608764,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,Griffiths William H,4,A-Award,--I,4441,4441,6,0001850352,Restricted Share Units
D,02/07/2023 00:00:00,Griffiths William H,4,M-Exempt,--I,2202,0,5,0001850352,Restricted Share Units
D,02/07/2023 00:00:00,Griffiths William H,4,F-InKind,--I,3767,68534,3,0001850352,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,Griffiths William H,4,A-Award,--I,4441,72301,2,0001850352,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,Griffiths William H,4,M-Exempt,--I,2202,67860,1,0001850352,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,Weinberg David S,4,A-Award,--I,30611,30611,5,0001608852,Restricted Share Units
D,02/07/2023 00:00:00,Weinberg David S,4,M-Exempt,--I,15635,0,4,0001608852,Restricted Share Units
D,02/07/2023 00:00:00,Weinberg David S,4,F-InKind,--I,23869,384599,3,0001608852,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,Weinberg David S,4,A-Award,--I,30612,408468,2,0001608852,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,Weinberg David S,4,M-Exempt,--I,15635,377856,1,0001608852,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,Levy Andrew,4,A-Award,--D,307,307,5,0001913722,Restricted Share Units
D,02/07/2023 00:00:00,Levy Andrew,4,M-Exempt,--D,152,0,4,0001913722,Restricted Share Units
D,02/07/2023 00:00:00,Levy Andrew,4,F-InKind,--D,225,3244,3,0001913722,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,Levy Andrew,4,A-Award,--D,307,3469,2,0001913722,Common Shares of Beneficial Interest
A,02/07/2023 00:00:00,Levy Andrew,4,M-Exempt,--D,152,3162,1,0001913722,Common Shares of Beneficial Interest
A,01/26/2023 00:00:00,ZELL SAMUEL,4,A-Award,--I,25771,805773,1,0001024193,Common Shares of Beneficial Interest
A,01/26/2023 00:00:00,HELFAND DAVID,4,A-Award,--D,47754,959006,1,0001201466,Common Shares of Beneficial Interest
A,01/26/2023 00:00:00,Shifrin Orrin S,4,A-Award,--I,13090,197435,1,0001608764,Common Shares of Beneficial Interest
A,01/26/2023 00:00:00,Levy Andrew,4,A-Award,--D,838,3010,1,0001913722,Common Shares of Beneficial Interest
A,01/26/2023 00:00:00,Griffiths William H,4,A-Award,--I,10894,65658,1,0001850352,Common Shares of Beneficial Interest
A,01/26/2023 00:00:00,Weinberg David S,4,A-Award,--I,21455,362221,1,0001608852,Common Shares of Beneficial Interest
D,09/20/2022 00:00:00,Shifrin Orrin S,4,S-Sale,--I,50000,184345,1,0001608764,Common Shares of Beneficial Interest
A,06/21/2022 00:00:00,ROBERTSON MARY JANE,4,A-Award,--D,3604,36704,1,0001191446,Common Shares of Beneficial Interest
A,06/21/2022 00:00:00,EDELMAN MARTIN L,4,A-Award,--D,3604,3604,1,0001047252,LTIP Units
