MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/09/2023 00:00:00,TAYLOR KEITH D,4,S-Sale,--D,1000,23177,1,0001197203,Common Stock
D,06/09/2023 00:00:00,MORANDI BRANDI GALVIN,4,S-Sale,--D,10,15608,12,0001219928,Common Stock
D,06/09/2023 00:00:00,MORANDI BRANDI GALVIN,4,S-Sale,--D,19,15618,11,0001219928,Common Stock
D,06/09/2023 00:00:00,MORANDI BRANDI GALVIN,4,S-Sale,--D,367,15637,10,0001219928,Common Stock
D,06/09/2023 00:00:00,MORANDI BRANDI GALVIN,4,S-Sale,--D,316,16004,9,0001219928,Common Stock
D,06/09/2023 00:00:00,MORANDI BRANDI GALVIN,4,S-Sale,--D,242,16320,8,0001219928,Common Stock
D,06/09/2023 00:00:00,MORANDI BRANDI GALVIN,4,S-Sale,--D,1169,16562,7,0001219928,Common Stock
D,06/09/2023 00:00:00,MORANDI BRANDI GALVIN,4,S-Sale,--D,223,17731,6,0001219928,Common Stock
D,06/09/2023 00:00:00,MORANDI BRANDI GALVIN,4,S-Sale,--D,90,17954,5,0001219928,Common Stock
D,06/09/2023 00:00:00,MORANDI BRANDI GALVIN,4,S-Sale,--D,379,18044,4,0001219928,Common Stock
D,06/09/2023 00:00:00,MORANDI BRANDI GALVIN,4,S-Sale,--D,679,18423,3,0001219928,Common Stock
D,06/09/2023 00:00:00,MORANDI BRANDI GALVIN,4,S-Sale,--D,711,19102,2,0001219928,Common Stock
D,06/09/2023 00:00:00,MORANDI BRANDI GALVIN,4,S-Sale,--D,630,19813,1,0001219928,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,1,4562,16,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,3,4563,15,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,7,4566,14,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,7,4573,13,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,4,4580,12,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,4,4584,11,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,5,4588,10,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,4,4593,9,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,8,4597,8,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,7,4605,7,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,11,4612,6,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,4,4623,5,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,4,4627,4,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,4,4631,3,0001901777,Common Stock
D,06/02/2023 00:00:00,Lin Jonathan,4,S-Sale,--D,2,4635,2,0001901777,Common Stock
D,06/01/2023 00:00:00,Lin Jonathan,4,M-Exempt,--D,175,0,17,0001901777,Restricted Stock Units
A,06/01/2023 00:00:00,Lin Jonathan,4,M-Exempt,--D,175,4637,1,0001901777,Common Stock
A,05/25/2023 00:00:00,CALDWELL NANCI,4,A-Award,--D,353,353,3,0001232403,Restricted Stock  Unit
D,05/25/2023 00:00:00,CALDWELL NANCI,4,M-Exempt,--D,364,0,2,0001232403,Restricted Stock Units
A,05/25/2023 00:00:00,CALDWELL NANCI,4,M-Exempt,--D,364,1963,1,0001232403,Common Stock
A,05/25/2023 00:00:00,Fox-Martin Adaire,4,A-Award,--D,353,353,1,0001795624,Restricted Stock  Unit
