MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,04/03/2023 00:00:00,Gerhardt Hans-Peter,4,A-Award,--D,430.571,14577.571,2,0001654705,Ordinary Shares
A,04/03/2023 00:00:00,Gerhardt Hans-Peter,4,A-Award,--D,129,14147,1,0001654705,Ordinary Shares
A,04/03/2023 00:00:00,Cross Susan Lee,4,A-Award,--D,430.571,1522.571,1,0001441862,Ordinary Shares
A,04/03/2023 00:00:00,Carey James D,4,A-Award,--D,430.571,430.571,2,0001490137,Restricted Share Unit
A,04/03/2023 00:00:00,Carey James D,4,A-Award,--D,118.407,8610.756,1,0001490137,Share Unit
A,04/03/2023 00:00:00,Beesley Sharon Anne,4,A-Award,--D,430.571,1020.571,1,0001884883,Ordinary Shares
A,04/03/2023 00:00:00,CAMPBELL ROBERT J,4,A-Award,--D,753.498,753.498,2,0000928635,Restricted Share Unit
A,04/03/2023 00:00:00,CAMPBELL ROBERT J,4,A-Award,--D,261.572,24529.766,1,0000928635,Share Unit
A,04/03/2023 00:00:00,O'Shea Paul James,4,A-Award,--D,466.451,98565.451,1,0001387739,Ordinary Shares
A,04/03/2023 00:00:00,Patel Hiteshkumar R.,4,A-Award,--D,430.571,430.571,2,0001642210,Restricted Share Unit
A,04/03/2023 00:00:00,Patel Hiteshkumar R.,4,A-Award,--D,123.143,5768.808,1,0001642210,Share Unit
A,04/03/2023 00:00:00,Hendry Willard Myron Jr,4,A-Award,--D,430.571,430.571,1,0001780810,Restricted Share Unit
A,04/03/2023 00:00:00,Winslow Poul Albaek,4,A-Award,--D,430.571,430.571,1,0001654502,Restricted Share Unit
A,04/03/2023 00:00:00,Becker Bernard F.,4,A-Award,--D,430.571,1871.571,1,0001634780,Ordinary Shares
D,03/30/2023 00:00:00,Kirk Matthew,4,F-InKind,--D,32,7641,1,0001928980,Ordinary Shares
D,03/30/2023 00:00:00,Brockman Paul Michael James,4,F-InKind,--D,51,26802,1,0001709412,Ordinary Shares
D,03/30/2023 00:00:00,Taranto Audrey Bowen,4,F-InKind,--D,36,10380,1,0001827304,Ordinary Shares
D,03/30/2023 00:00:00,Ni David Kang-Wen,4,F-InKind,--D,60,18551,1,0001928828,Ordinary Shares
D,03/30/2023 00:00:00,Thaper Seema,4,F-InKind,--D,50,3782,1,0001927920,Ordinary Shares
D,03/30/2023 00:00:00,Al Obaidat Nazar,4,F-InKind,--D,80,14486,1,0001780142,Ordinary Shares
D,03/30/2023 00:00:00,Plumb Laurence,4,F-InKind,--D,30,2634,1,0001927917,Ordinary Shares
A,03/20/2023 00:00:00,Gregory Orla,4,A-Award,--D,13465,63496,1,0001635347,Ordinary Shares
D,03/20/2023 00:00:00,Plumb Laurence,4,F-InKind,--D,30,2664,2,0001927917,Ordinary Shares
A,03/20/2023 00:00:00,Plumb Laurence,4,A-Award,--D,341,2694,1,0001927917,Ordinary Shares
D,03/20/2023 00:00:00,Al Obaidat Nazar,4,F-InKind,--D,234,14566,3,0001780142,Ordinary Shares
A,03/20/2023 00:00:00,Al Obaidat Nazar,4,A-Award,--D,4488,14800,2,0001780142,Ordinary Shares
A,03/20/2023 00:00:00,Al Obaidat Nazar,4,A-Award,--D,808,10312,1,0001780142,Ordinary Shares
D,03/20/2023 00:00:00,Taranto Audrey Bowen,4,F-InKind,--D,242,10416,2,0001827304,Ordinary Shares
A,03/20/2023 00:00:00,Taranto Audrey Bowen,4,A-Award,--D,620,10658,1,0001827304,Ordinary Shares
D,03/20/2023 00:00:00,Kirk Matthew,4,F-InKind,--D,174,7673,2,0001928980,Ordinary Shares
A,03/20/2023 00:00:00,Kirk Matthew,4,A-Award,--D,566,7847,1,0001928980,Ordinary Shares
D,03/20/2023 00:00:00,Thaper Seema,4,F-InKind,--D,150,3832,3,0001927920,Ordinary Shares
