MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/24/2023 00:00:00,Dumont Serge,4,A-Award,--D,2603,4609,1,0001928018,Common Stock
A,05/24/2023 00:00:00,Kay Sabrina,4,A-Award,--D,2603,11449,1,0001835895,Common Stock
A,05/24/2023 00:00:00,Irving Paul H,4,A-Award,--D,2603,39171,1,0001490960,Common Stock
A,05/24/2023 00:00:00,CAMPBELL MOLLY,4,A-Award,--D,2603,16446,1,0001615786,Common Stock
A,05/24/2023 00:00:00,Alvarez Manuel Pham,4,A-Award,--D,2603,7048,1,0001903523,Common Stock
A,05/24/2023 00:00:00,SUSSMAN LESTER,4,A-Award,--D,2603,23180,1,0001247504,Common Stock
A,05/24/2023 00:00:00,LIU JACK C,4,A-Award,--D,2603,19739,1,0001235502,Common Stock
A,05/24/2023 00:00:00,Estrada Rudolph,4,A-Award,--D,2603,20959,1,0001334196,Common Stock
A,05/24/2023 00:00:00,Deskus Archana,4,A-Award,--D,2603,11796,1,0001566186,Common Stock
A,05/11/2023 00:00:00,Alvarez Manuel Pham,4,P-Purchase,--D,1250,4445,1,0001903523,Common Stock
A,05/09/2023 00:00:00,Deskus Archana,4,P-Purchase,--D,500,9193,2,0001566186,Common Stock
A,05/09/2023 00:00:00,Kay Sabrina,4,P-Purchase,--D,6840,8846,1,0001835895,Common Stock
A,05/08/2023 00:00:00,Deskus Archana,4,P-Purchase,--D,500,8693,1,0001566186,Common Stock
A,05/08/2023 00:00:00,Alvarez Manuel Pham,4,P-Purchase,--D,500,3195,1,0001903523,Common Stock
A,05/08/2023 00:00:00,CAMPBELL MOLLY,4,P-Purchase,--D,650,13843,1,0001615786,Common Stock
A,05/05/2023 00:00:00,SUSSMAN LESTER,4,P-Purchase,--D,1000,20577,1,0001247504,Common Stock
A,05/05/2023 00:00:00,NG DOMINIC,4,P-Purchase,--D,5700,895309,1,0001201236,Common Stock
A,05/04/2023 00:00:00,Shi Parker,4,P-Purchase,--D,4780,4780,1,0001903569,Common Stock
A,05/04/2023 00:00:00,NG DOMINIC,4,P-Purchase,--D,5900,889609,2,0001201236,Common Stock
A,05/04/2023 00:00:00,NG DOMINIC,4,P-Purchase,--D,6000,883709,1,0001201236,Common Stock
A,05/04/2023 00:00:00,Oh Irene H,4,P-Purchase,--D,1000,125925,1,0001482107,Common Stock
A,05/04/2023 00:00:00,TEO GARY,4,P-Purchase,--D,3450,14583,1,0001668233,Common Stock
